[00:00.000 --> 00:15.000]  Another world, another time, in the age of wonder.
[00:15.000 --> 00:28.000]  Another world, another time, his life was green and good, until the crystal cracked.
[00:28.000 --> 00:33.000]  If you are receiving this transmission, you are the Resistance.
[00:33.000 --> 00:40.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:40.000 --> 00:47.000]  March your calendars, my fellow Americans, my fellow humans across the planet.
[00:47.000 --> 00:58.000]  Monday, December 9th, 2019, the day the sleeping giant that is free humanity began to really awaken and take action.
[00:58.000 --> 01:05.000]  Something very, very magic happened this morning.
[01:05.000 --> 01:23.000]  As Owen Schreuer just spontaneously decided to confront Nadler right as he began his opening statement, I literally had a shot of energy go through me and I ran out to my wife and I said the answer is hitting the streets, the answer is protesting in Congress, the answer is the silent majority rising up.
[01:23.000 --> 01:26.000]  Sure, that's a common sense answer, but I felt the energy.
[01:26.000 --> 01:31.000]  Five minutes later the phone started ringing, Owen had just taken over the hearings.
[01:31.000 --> 01:35.000]  This is amazing what's going on, ladies and gentlemen.
[01:35.000 --> 01:40.000]  So let's go to some of what unfolded the IG report coming out and so much more.
[01:40.000 --> 01:43.000]  Here is how the committee will proceed for this hearing.
[01:43.000 --> 01:48.000]  I will make an opening statement and then I will recognize the ranking member for an opening statement.
[01:48.000 --> 01:52.000]  After that we will hear two sets of presentations.
[01:52.000 --> 02:06.000]  We will hear 30 minute breeze opening arguments from councils for the majority and the minority of this.
[02:06.000 --> 02:14.000]  Jerry Nadler and the Democrat Party are committing treason against this country and you can kick me out, but he's the one committing crimes.
[02:14.000 --> 02:22.000]  You are Jerry Nadler, you're the one committing treason, America is done with this, America is sick of the treason committed by the Democrat Party.
[02:22.000 --> 02:27.000]  We're not going to sit here and watch you run and receive the treason and remove our vote.
[02:27.000 --> 02:31.000]  We voted for Donald Trump and there's people removing it because they don't like it.
[02:31.000 --> 02:36.000]  Americans are sick of their treason, they're sick of the Democrat treason.
[02:36.000 --> 02:46.000]  We voted for Donald Trump and it wasn't Trump.
[02:46.000 --> 02:48.000]  The committee will come to order.
[02:48.000 --> 03:03.000]  Obviously I shouldn't have to remind everyone present that the audience is here to observe, but not to demonstrate, not to indicate agreement or disagreement with any witness or with any member of the committee.
[03:03.000 --> 03:06.000]  This is Owen Schreuer from infowords.com.
[03:06.000 --> 03:07.000]  What's your name?
[03:07.000 --> 03:08.000]  Owen Schreuer.
[03:08.000 --> 03:12.000]  I think it's ironic I'm being pulled out of here when the Democrats are the ones committing crimes.
[03:12.000 --> 03:13.000]  Thank you.
[03:17.000 --> 03:20.000]  I'm being arrested right now for disrupting the Congress.
[03:20.000 --> 03:22.000]  I'm a criminal for my first amendment of Rochester.
[03:22.000 --> 03:48.000]  See you right here, folks.
[03:48.000 --> 04:02.000]  We're here at the Central Texas News Center in Austin, Texas where, with your help, we have helped reignite the awakening of the American Republic against the globalist threat.
[04:02.000 --> 04:07.000]  But that just started the war with the deep state, the chocombs and others out in the open.
[04:07.000 --> 04:18.000]  So now, in the next 330 days, we're working seven days a week ahead of this critical election to try to keep our populist president who's under incredible attack, Donald John Trump in the White House.
[04:18.000 --> 04:26.000]  Ladies and gentlemen, we're going to be out in the streets peacefully bringing information to the American people, but the Antifa terrorists have gotten very, very violent.
[04:26.000 --> 04:31.000]  And so we've had to up our game in the face of the global scourge.
[04:31.000 --> 04:38.000]  We're going to have our crew across the United States in this baby going into areas these terrorists would deny us.
[04:38.000 --> 04:40.000]  This is the end of the war.
[04:40.000 --> 04:54.000]  And this is our commitment to you to fight harder than we ever have to get the word out and not submit to these pirates and their chocombs backers that would silence the American people because America is rising in 2020.
[04:54.000 --> 04:56.000]  Be part of it.
[04:56.000 --> 05:08.000]  The 12 days of Christmas Super Sale has come to Info Wars with free shipping store-wide and double Patriot points.
[05:08.000 --> 05:12.000]  Don't shop with Amazon or other big tech companies that hate your guts.
[05:12.000 --> 05:16.000]  Take the Info Wars Christmas Challenge and support the fight for freedom.
[05:16.000 --> 05:21.000]  Finish your Christmas shopping with one click and support the Info War.
[05:21.000 --> 05:34.000]  For the 12 days of Christmas, we're adding a new special every day plus free shipping, double Patriot points and extra stickers in every package to be good little elves and spread the Info War triggering Lib Tards.
[05:34.000 --> 05:37.000]  Check in every day to find the new deals.
[05:37.000 --> 05:40.000]  We're also coming out of the gates with specials we've never had before.
[05:40.000 --> 05:55.000]  Christmas Mega Pack is at cost at $99.95. Get two bottles of Knockout, two bottles of Brain Force Plus, one box of Turbo Force, one bottle of Ultimate Crill Oil and one bottle of Survival Shield X3 at cost.
[05:55.000 --> 06:11.000]  Find this amazing special and over 100 others at InfoWarsStore.com and support the Info War.
[06:25.000 --> 06:54.000]  If you want to turn this world and turn this planet around, all we have to do is have our voices heard and stop complying with the corrupt forces that are on our planet
[06:54.000 --> 07:13.000]  and promoting the good forces. You are those good forces. You are the light in the dark of the night and you belong in the capital, in the state houses, in the legislatures, in the county commissioners, in the city councils.
[07:13.000 --> 07:27.000]  You belong in the neighborhood commissions. You belong in the churches. You belong instead of hiding out in our homes, watching the NFL mesmerize in a trance while the globalists steal our future.
[07:27.000 --> 07:43.000]  It is Monday, December 9th, 2019 and this morning I was getting dressed, getting ready to come into the office and I just was energized as I was starting to walk out of the bedroom and walk out the front door.
[07:43.000 --> 07:57.000]  And my wife said, man, you look wound up. You look like you're been electrocuted or something. You're just like shining. She said, wow, what's going on? And started trying to drag me back on the bedroom.
[07:57.000 --> 08:06.000]  And that's true story. And I said, we're going to take action. We're going to confront the globalist. We're going to call for people to march on D.C. peacefully now.
[08:06.000 --> 08:16.000]  Now is the time for the march on D.C. And we're going to go into the capital and we're going to go into the meeting rooms and we're going to let these traders and criminals know that they're not going to impeach our president for thought crime.
[08:16.000 --> 08:25.000]  And we're going to do it in the streets. We're going to do it in front of the state capitals. We're going to do it everywhere, whether you're one person or a hundred and more and more and more are going to come out.
[08:25.000 --> 08:37.000]  Just like the movie network saying, I'm mad as hell. I'm not going to take it anymore. You're not going to impeach our president because there's reports out. They've got senators ready to flip on the president. They've got all these excuses for them to turn against him.
[08:37.000 --> 08:48.000]  And there's a very good chance they could remove him. They've got a lot of tricks up their sleeves, but not if we are confronting individuals in swing states with the truth, not if we are active, not if we're in the streets.
[08:48.000 --> 08:58.000]  If they see us in the streets of D.C., everybody's got to get on a plane. I'm going to do it as well. And you've got to go to D.C. So it hit me.
[08:58.000 --> 09:06.000]  And I even said to my wife, we need people to hit the streets. We need our voices to be heard. We have a sleeping giant to rise up. And she goes, yeah, that's common sense.
[09:06.000 --> 09:19.000]  That's why this tyranny is happening is because we don't follow natural law and we don't stand up for ourselves. And then I was getting a coffee to go loading up my water bottle.
[09:19.000 --> 09:32.000]  Five minutes later and buzzfeed Washington Times Associated Press. They're like, did you tell Owen to do this?
[09:32.000 --> 09:48.000]  That's how they try to trick you all to see like if it was some directive I gave. And I started saying, do what? They started sending me screenshots and images of Owen standing up to Nadler and pointing out that he's guilty of treason.
[09:48.000 --> 10:03.000]  And that one small thing, if more people did it, if more people did it around the Capitol and around the White House and all these live media events with these gaggles of so-called media reporters outside.
[10:03.000 --> 10:12.000]  If people take over these live events, it's over for them because the majority is already awake and upset and angry and knows what's happening.
[10:12.000 --> 10:29.000]  But we are a silent majority, so we have to stop being silent, whether it's a bumper sticker on your car or whether it is calling into a talk show or whether it is posting online or sharing an article or video.
[10:29.000 --> 10:42.000]  Or going to Congress. These are the people's house. The seats weren't even full when Owen and the cameraman Drew got in. And they banned Drew from being there. And this is why the media sort of called me.
[10:42.000 --> 10:56.000]  They said, oh, did you direct this? And I didn't. I told you we were going to be in D.C. Whenever I go into these events, I don't disrupt them because I'm already being attacked at these hearings in many cases, the hearings we show up for.
[10:56.000 --> 11:04.000]  And I'm already not allowed to face my accusers. So I like to sit there and it points out in the media that I'm being attacked, but I can't speak.
[11:04.000 --> 11:13.000]  And I specifically told Owen, don't get arrested when you're in D.C. and also at the Hershey, Pennsylvania event tomorrow night.
[11:13.000 --> 11:19.000]  Owen did this as a citizen. And I'm proud of him. And now is the time for civil disobedience.
[11:19.000 --> 11:28.000]  But they did what I thought they'd do. They barred our camera person as if he'd done something wrong when he didn't even know it was going to happen.
[11:28.000 --> 11:38.000]  Drew didn't even know it was going to happen until Owen did it. They came in. They sat down. That was sort of talking. And Owen couldn't control himself.
[11:38.000 --> 11:46.000]  And I probably couldn't have at that point either. You can see Owen coming in right there. It's on C-span. He is hot. He is sick of it.
[11:46.000 --> 11:51.000]  And then boom, it happened. There's Drew behind him, a young handsome Phel Castro clone.
[11:51.000 --> 12:00.000]  And he's Hispanic. He doesn't look like Phel Castro. He's the biggest Phel Castro. He's like, that's a big Mexican.
[12:00.000 --> 12:10.000]  The point is that he's not allowed to be in there either now. Total discrimination. Owen did that as a citizen.
[12:10.000 --> 12:20.000]  Ladies and gentlemen, and I'm proud of it. But they can't stop you, ladies and gentlemen, for having your voice heard, however you're going to do it.
[12:20.000 --> 12:28.000]  And the left piled on and said, how dare him do that? Or others say, oh, you're pathetic. You know, you're not going to have any effect.
[12:28.000 --> 12:36.000]  Those are going to make you feel small. It's all military propaganda. Laydown, GI, Tokyo rose. You're going down. We're going to defeat you.
[12:36.000 --> 12:43.000]  But the truth is these criminals have overplayed their hand. They're going down unless we don't stand up to them.
[12:43.000 --> 12:50.000]  They could push and daring greatly. Fortune favors the bold. They could snatch victory from the jaws of defeat.
[12:50.000 --> 13:02.000]  Now, just before we went live, minutes ago, we got the call. Owen just got out of jail. He is driving back to the Capitol so that we can do a live feed with him from outside.
[13:02.000 --> 13:10.000]  He was in about 15 minutes or so live on air. And he did get arrested. They were saying they were going to charge him with disrupting Congress.
[13:10.000 --> 13:22.000]  Most of the time when leftists fall down and yell and scream, they don't get charged. But we'll see what happens because the crime of being an American standing up to treason is the highest crime to the globalist.
[13:22.000 --> 13:32.000]  So that's all coming up. But I'm telling you, now is the time if you were ever going to go to DC. Now is the time if you were ever going to travel to Congress.
[13:32.000 --> 13:44.000]  They're open public houses to the people. Everyone's so intimidated to be near this that Owen and Drew, I was talking to Drew earlier, had to wait in line about 10 minutes.
[13:44.000 --> 13:52.000]  And they walked in. There were still seats available, not many, but still seats available because everyone's so intimidated of the people's house.
[13:52.000 --> 13:58.000]  They're not royalty. It's not Windsor Palace. It's our house. We built it. It's ours.
[13:58.000 --> 14:05.000]  Everybody else was in their videotaping. One of the top trending things on Twitter is this video and the truth is getting out.
[14:05.000 --> 14:20.000]  Again, if you decide this is the trigger, like in Fifa Vendetta, at the end of the movie, when the people cross the line and the soldiers stand down, if you decide, then we can en masse go to DC and let these criminals know we're not putting up with it.
[14:20.000 --> 14:31.000]  When the president tweets when lying individuals like Fiona Hill are saying, I don't know, George Soros, I'm not a globalist when she runs his major foundation and writes for theglobalist.com.
[14:31.000 --> 14:40.000]  They say that when he tweets and says I'm innocent, they say that's intimidating witnesses. They say your speech is illegal. They say the president's speech is illegal.
[14:40.000 --> 14:50.000]  And he's surrounded by traders and cowards. He's isolated, sinking into the swamp. We're not. And if we stand here like a bunch of damn spectators, we get what we deserve.
[14:50.000 --> 15:09.000]  So I was downtown at the Capitol last night from 7 to 9 at night, talking to people in bullhorning and speaking out about the war on Christmas and the war on Christianity and the Islamic attack on Christmas events all over the world, from Asia to Europe to Canada to the U.S.
[15:09.000 --> 15:23.000]  And I'm just going to start hitting the streets every day for the next 329 days. You have my confirmed confirmation. I'm going to be in public places for the next 329 days every day.
[15:23.000 --> 15:40.000]  I'm physically able to, not just on air, not just doing more live shows. And I told you last Friday with that video we aired earlier, the armored vehicle rolling out of our garage to go meet our crew in D.C. It's all there right now. We've got lots of peaceful resistance to tyranny planned and that armored vehicle.
[15:40.000 --> 15:54.000]  I'm so glad we were renting it at first that we got it because it just touched over the news media and our topics coming to the mainstream every time with that. So it's another blessing. Thanks to all of you supporting us and keeping us in the game so much taking place.
[15:54.000 --> 16:21.000]  The Special General Report set to drop any minute now. We'll cover it all now.
[16:24.000 --> 16:28.000]  Don't risk it when you can take charge of it.
[16:55.000 --> 17:10.000]  Attention GCN self-reliance listeners. If you've ever wanted an emergency solar survival backup system that we're waiting for prices too crazy to pass up, this will be the most important message you'll ever hear.
[17:10.000 --> 17:25.000]  Bill Hyde here. I want to tell you about a huge sale with historically low prices on our PPX microgrid system that's going to let you produce an endless supply of electricity off the grid. The clearance price is a result of the historic flooding we're having here right on the east bank of the Mississippi.
[17:25.000 --> 17:37.000]  Because of the flooding, we've had to move a lot of our inventory to a temporary location and rather than move it back to the warehouse, we thought we'd offer the system at a price that might seem unbelievable if you didn't know the floodwater's backstory.
[17:37.000 --> 17:49.000]  So here's what you should do right now. Check out the PPX microgrid system at myownpowergrid.com. That's myownpowergrid.com. Over $1,000 in great off the grid gear and a ton of bonuses too.
[17:49.000 --> 18:01.000]  In the best part, you're not going to pay $750 or $500, $300 or even $200. Go to myownpowergrid.com to learn more. That's myownpowergrid.com.
[18:01.000 --> 18:14.000]  The last few days I've been online looking for the speech. I actually read it in a book about Winston Churchill many years ago and I've found a few places where it's mentioned, but if you can find it, please send it to showtipstemforewords.com.
[18:14.000 --> 18:23.000]  And he talked about in the darkest hours at the beginning of World War II the fact that there have been times in history where people had a chance to stand up and fight early on and were assured of victory.
[18:23.000 --> 18:37.000]  Then there was a second point in history where folks have to fight even though the chances of winning are pretty steep. There's a third time when you know you're going to lose but you have to fight because being enslaved and being slowly killed is much, much worse.
