[00:00:00.989 --> 00:00:16.372]  Welcome, ladies and gentlemen.
[00:00:16.372 --> 00:00:17.152]  Welcome.
[00:00:17.152 --> 00:00:18.772]  I am not Alex Jones.
[00:00:18.772 --> 00:00:23.773]  I am Jason Bermas, and I will be sitting in for the remainder of the week.
[00:00:23.773 --> 00:00:27.714]  Alex should be joining us at some time today.
[00:00:27.714 --> 00:00:29.014]  However, if you didn't know,
[00:00:30.515 --> 00:00:36.897]  Michael Reagan and his cronies have now had Mark Dice's YouTube account pulled.
[00:00:36.897 --> 00:00:48.341]  That's right, because Mark Dice posted that small little audio clip about Michael Reagan threatening his life and really the lives of all 9-11 truthers.
[00:00:48.341 --> 00:00:54.223]  They've pulled his account and he's gonna come on to talk about that but there is a press release.
[00:00:54.223 --> 00:00:59.985]  Talk show host Michael Reagan files copyright infringement claim to remove audio clip of him calling for the murder
[00:01:00.586 --> 00:01:00.906]  I think?
[00:01:31.892 --> 00:01:34.894]  And if this caught national attention, I mean, there's no way to save his job.
[00:01:34.894 --> 00:01:39.078]  He, uh, commissioned for our murders.
[00:01:39.078 --> 00:01:46.043]  Friday, June 13th, Dice received a call from Reagan's producer demanding the clip be removed, claiming they hold the copyright.
[00:01:46.043 --> 00:01:53.589]  And Dice explained that falls under the Fair Use Laws and the clip is evidence of a crime, which it is.
[00:01:53.589 --> 00:01:58.353]  The clip was available at the following URL until Wednesday, June 8th at 343 Pacific Time.
[00:02:00.086 --> 00:02:10.136]  Reagan also removed the entire hour of his show from his podcast directory, so others can't download that part of the show and hear his statements.
[00:02:10.136 --> 00:02:17.024]  Hour 2 of the June 10th show is now missing from the directory, located at RadioAmerica.org.
[00:02:17.024 --> 00:02:22.289]  Audio clips of Reagan's statements may still be available on other YouTube accounts if someone searches for it.
[00:02:23.564 --> 00:02:39.888]  Reagan's statements were made after he heard that Dice and others were sending letters and DVDs to troops stationed in Iraq which supported the idea that the United States officials had allowed the 9-11 attacks to happen on purpose and aided in their execution for political leverage.
[00:02:39.888 --> 00:02:43.569]  According to a 2006 Scripps Howard News Service poll, 36% of Americans believe this.
[00:02:48.727 --> 00:02:51.028]  Oh, and then there's the transcript of the statements.
[00:02:51.028 --> 00:02:54.750]  I would probably try to play it from YouTube, but I'm going to guess most of them are pulled.
[00:02:54.750 --> 00:02:56.031]  It's pretty unbelievable.
[00:02:56.031 --> 00:02:57.992]  And like I said, we're going to have Mark on in a couple minutes.
[00:02:57.992 --> 00:03:04.815]  We're also going to have Jonathan from We Are Change Colorado on in the top of the hour in the second half.
[00:03:04.815 --> 00:03:11.759]  And we're going to be playing some of these urban warfare drills that are going on right now in Colorado.
[00:03:11.759 --> 00:03:13.560]  We've been reporting on in the last few days.
[00:03:14.229 --> 00:03:19.692]  Then at noon, we're going to have Barbara Lowe Fisher from the National Vaccine Information Center.
[00:03:19.692 --> 00:03:21.993]  At one, we're going to have Bob Chapman.
[00:03:21.993 --> 00:03:25.455]  And two, we're going to have Michael Markovich.
[00:03:25.455 --> 00:03:27.537]  And I'm hoping that Alex is going to call in.
[00:03:27.537 --> 00:03:34.300]  He is on vacation, but you know, let's get his opinion, at least on these urban warfare drills.
[00:03:34.300 --> 00:03:39.423]  I really feel like they're gearing up for something big at the DNC.
[00:03:39.423 --> 00:03:42.425]  From trying to provocateur well-meaning people into violence,
[00:03:43.769 --> 00:03:48.251]  To rounding them up, it really looks like they're going to have their bases covered.
[00:03:48.251 --> 00:03:50.312]  And this is scary to me.
[00:03:50.312 --> 00:03:57.635]  You know, I mean, again, Apache helicopters, Blackhawks, they're all being used right now.
[00:03:57.635 --> 00:04:02.657]  So people who are like, you know, that's black helicopter stuff, Jason.
[00:04:02.657 --> 00:04:03.417]  I don't want to hear it.
[00:04:03.417 --> 00:04:06.359]  Well, black helicopters unfortunately do exist.
[00:04:06.359 --> 00:04:08.140]  It's a simple Google search away.
[00:04:08.140 --> 00:04:11.201]  They've been in America for some time now.
[00:04:11.201 --> 00:04:11.461]  Okay.
[00:04:13.311 --> 00:04:16.173]  It's time to stop being in denial.
[00:04:16.173 --> 00:04:17.834]  It's time to show people this.
[00:04:17.834 --> 00:04:20.956]  It's time to say, hey, wait a minute.
[00:04:20.956 --> 00:04:24.578]  Maybe this shouldn't be going on in our country.
[00:04:24.578 --> 00:04:27.780]  Jonathan posted the videos over at loosechange911.com.
[00:04:27.780 --> 00:04:31.041]  I'm sure Prison Planet will be doing a story very soon.
[00:04:31.041 --> 00:04:33.123]  And we're going to have Mark Dice on the other side.
[00:04:33.123 --> 00:04:34.303]  This is the Alex Jones Show.
[00:04:34.303 --> 00:04:35.484]  Infowars.com.
[00:04:35.484 --> 00:04:36.725]  PrisonPlanet.com.
[00:04:53.530 --> 00:04:55.491]  Our beloved Republic is on her knees.
[00:04:55.491 --> 00:04:59.113]  The forces of globalism are destroying national sovereignty worldwide.
[00:04:59.113 --> 00:05:01.575]  But in Liberty's darkest hour, there is hope.
[00:05:01.575 --> 00:05:04.596]  The first time in modern history, the people are beginning to wake up.
