[00:00.000 --> 00:01.500]  We've got it, Tata.
[00:01.500 --> 00:03.500]  The Earth Space is coming to you.
[00:07.200 --> 00:09.500]  Waging war on corruption.
[00:10.000 --> 00:11.500]  Alright, you are a ghost.
[00:11.500 --> 00:13.500]  It's Alex Jones.
[00:13.500 --> 00:17.500]  Coming to you live from the front lines of the Info War.
[00:20.000 --> 00:21.500]  Can we see the Earth?
[00:22.500 --> 00:23.500]  You've got it.
[00:25.500 --> 00:27.500]  Can we see the Earth now?
[00:27.500 --> 00:29.000]  You've got it.
[00:31.000 --> 00:33.000]  Can we see the Earth?
[00:34.000 --> 00:36.000]  We are live, my friends.
[00:36.000 --> 00:38.500]  Thank you so much for joining us.
[00:38.500 --> 00:43.000]  It is Sunday, the 24th day of July 2011.
[00:44.000 --> 00:47.000]  I am going to attempt to be calm today
[00:47.000 --> 00:51.000]  and look over every facet and angle
[00:51.000 --> 00:57.000]  of the incredibly devastating attack in Oslo, Norway.
[00:57.000 --> 00:59.000]  I'm not talking about the seven dead.
[00:59.000 --> 01:01.000]  Of course, that's bad enough with the car bomb,
[01:01.000 --> 01:05.000]  but the 93 dead and scores of others injured
[01:05.000 --> 01:08.000]  in this nightmarish attack,
[01:08.000 --> 01:13.000]  reportedly carried out by Anders Brevik or Bravik.
[01:14.000 --> 01:18.000]  I am hoping and praying right now that as bad as this is,
[01:18.000 --> 01:21.000]  that this is a lone nut.
[01:22.000 --> 01:26.000]  Unfortunately, all the evidence points towards
[01:26.000 --> 01:30.000]  it being a provocateur event in the mold
[01:30.000 --> 01:33.000]  of countless other confirmed provocateur events
[01:33.000 --> 01:35.000]  that we've seen.
[01:35.000 --> 01:38.000]  Doctor of History, also an economist, Webster Tarpley,
[01:38.000 --> 01:42.000]  has published an article that's just gone up at Infowars.com
[01:42.000 --> 01:47.000]  where he concurs in his own analysis with our research
[01:47.000 --> 01:51.000]  that this is a false flag terror attack.
[01:53.000 --> 01:57.000]  We also have an eyewitness who was actually blown back
[01:57.000 --> 01:59.000]  by the bomb going off.
[01:59.000 --> 02:02.000]  He'd have left 20 seconds earlier from work
[02:02.000 --> 02:04.000]  walking down the street towards the car bomb.
[02:04.000 --> 02:07.000]  He would have been killed or seriously injured by it.
[02:07.000 --> 02:08.000]  He's going to be joining us.
[02:08.000 --> 02:10.000]  I'm sure I'm going to butcher this name,
[02:10.000 --> 02:12.000]  but we talked to him some Friday.
[02:12.000 --> 02:17.000]  Doctor of History, George Jepistol, who lives and works
[02:17.000 --> 02:20.000]  in Oslo and contacted us when we called him back
[02:20.000 --> 02:22.000]  at his Oslo phone number Friday.
[02:22.000 --> 02:26.000]  And now he'll have a lot more for us on the developments
[02:26.000 --> 02:30.000]  coming up in about 30 minutes from now.
[02:30.000 --> 02:32.000]  And then Doctor Webster Griffin Tarpley, of course,
[02:32.000 --> 02:34.000]  will be joining us coming up in the second hour.
[02:34.000 --> 02:39.000]  We'll also interspers your phone calls later in the hour
[02:39.000 --> 02:42.000]  and into the second hour when I open the phones up specifically
[02:42.000 --> 02:45.000]  on this issue.
[02:45.000 --> 02:48.000]  Now, how do you sit here and explain to someone
[02:48.000 --> 02:51.000]  how your gut knows that something's an inside job?
[02:51.000 --> 02:53.000]  I mean, there's data that goes into that,
[02:53.000 --> 02:56.000]  but it's thousands of pieces of data and research
[02:56.000 --> 03:01.000]  and history and understanding and timing.
[03:01.000 --> 03:03.000]  How do you tell people about things
[03:03.000 --> 03:06.000]  that most folks are not aware of
[03:06.000 --> 03:09.000]  and that most people subconsciously find very frightening?
[03:09.000 --> 03:11.000]  And you should.
[03:11.000 --> 03:14.000]  If megacorporations running governments
[03:14.000 --> 03:18.000]  are staging terror attacks and framing patsies
[03:18.000 --> 03:22.000]  and creating elaborate backstories
[03:22.000 --> 03:24.000]  or provocaturing psychopaths,
[03:24.000 --> 03:26.000]  as we know they've been caught doing in the past,
[03:26.000 --> 03:28.000]  then we're in a lot of trouble.
[03:28.000 --> 03:30.000]  We're going to come back from break
[03:30.000 --> 03:32.000]  and get into the body of this information
