[00:00:06.184 --> 00:00:08.285]  The Alex Jones Show.
[00:00:08.285 --> 00:00:10.146]  Because there is a war on.
[00:00:10.146 --> 00:00:11.227]  Or you're mine.
[00:00:11.227 --> 00:00:12.007]  It's February 21st.
[00:00:12.007 --> 00:00:12.587]  The year is 2020.
[00:00:12.587 --> 00:00:13.388]  It is Friday.
[00:00:13.388 --> 00:00:14.589]  255 days out from the election.
[00:00:14.589 --> 00:00:15.389]  I am your host Alex Jones.
[00:00:15.389 --> 00:00:17.770]  Our very existence is because of your support.
[00:00:35.948 --> 00:00:44.990]  In defiance of the post-humanist technocrats' operations.
[00:00:44.990 --> 00:00:48.950]  Well, this is going to be a transmission that no one should miss.
[00:00:48.950 --> 00:00:53.691]  I am going to try to zen out as much as I can and just cover this news.
[00:00:53.691 --> 00:00:58.232]  When we come back, we have a raft of informative, important guests.
[00:00:58.232 --> 00:00:59.472]  Four of them.
[00:00:59.472 --> 00:01:03.833]  I also intend to try to jam some calls in.
[00:01:03.833 --> 00:01:04.253]  We have
[00:01:05.359 --> 00:01:10.560]  The most important coronavirus information yet that we're going to be breaking down.
[00:01:10.560 --> 00:01:13.621]  I've done a deep analysis of it.
[00:01:13.621 --> 00:01:19.222]  That is all coming up here today.
[00:01:19.222 --> 00:01:23.783]  Mike Adams joins us at the bottom of the hour with the big new developments.
[00:01:23.783 --> 00:01:30.065]  Please understand this is a participation sport for the future of humanity.
[00:01:31.272 --> 00:01:36.377]  If you don't tell people about Bandai Video and infowars.com forward slash show, the enemy will win.
[00:01:36.377 --> 00:01:45.827]  If you do take action, we will win.
[00:01:45.827 --> 00:01:52.914]  In June of 2019, two million Hong Kongers took to the streets to protest the communist Chinese government.
[00:01:56.661 --> 00:02:05.726]  Men, women and children all united against communism and thousands of young protesters willing to be martyrs.
[00:02:05.726 --> 00:02:12.030]  It was a serious problem for Xi Jinping's regime.
[00:02:12.030 --> 00:02:16.373]  The protests grew and the world watched.
[00:02:16.373 --> 00:02:20.315]  Everyone asking, how will China make this go away?
[00:02:23.365 --> 00:02:30.917]  On October 1st, the Communist Chinese celebrated the 70th anniversary of their revolution.
[00:02:30.917 --> 00:02:33.702]  No end in sight for the growing protests.
[00:02:36.072 --> 00:02:54.540]  A couple weeks later, on October 18th, the Bill and Melinda Gates Foundation, along with John Hopkins and the World Economic Forum, hosted Event 201, a high-level pandemic simulation based on the coronavirus, wherein they concluded that it could kill 65 million people.
[00:02:58.775 --> 00:03:10.161]  A couple weeks after that, on Halloween, the controversial 5G network was fully test-fired for the first time in Wuhan, China.
[00:03:10.161 --> 00:03:16.824]  Scientists have warned us that 5G causes flu-like symptoms.
[00:03:16.824 --> 00:03:23.748]  Weeks later, the coronavirus outbreak begins in Wuhan, China.
[00:03:23.748 --> 00:03:27.530]  And the protests in Hong Kong abruptly come to an end.
[00:03:29.912 --> 00:03:32.393]  Are they related?
[00:03:32.393 --> 00:03:36.355]  China was not prepared for President Trump's trade war.
[00:03:36.355 --> 00:03:43.257]  And by most accounts, Xi Jinping was losing ground.
[00:03:43.257 --> 00:03:52.081]  Massive levels of sulfur dioxide gas was detected on the outskirts of Wuhan, causing many to ask if they are burning bodies.
[00:03:54.352 --> 00:04:12.535]  A staffer from a funeral home in Wuhan claims that her funeral home alone has cremated an estimated 4,725 bodies suspected of dying from the coronavirus since January 22nd.
[00:04:12.535 --> 00:04:16.856]  Experts tell us the virus was weaponized in a lab.
[00:04:16.856 --> 00:04:20.977]  And while nobody disputes this fact, the mainstream media hide it.
[00:04:23.479 --> 00:04:27.962]  The numbers are now beginning to show themselves outside of China.
[00:04:27.962 --> 00:04:36.607]  And in a short time, we will all know the true impact of the Wuhan coronavirus outbreak of 2020.
[00:04:36.607 --> 00:04:41.049]  But so far, it does not look good at all.
[00:04:41.049 --> 00:04:43.551]  For InfoWars.com, this is Greg Reese.
[00:04:58.703 --> 00:05:08.465]  Before I started working at InfoWars, I was not only a fan of Alex Jones and InfoWars.com, but also the products at InfoWarsStore.com.
[00:05:08.465 --> 00:05:15.827]  And there's one product that's offered at InfoWarsStore.com that is the elite of the supplements, and that's DNA Force Plus.
[00:05:15.827 --> 00:05:19.368]  Now, I remember when Alex first started talking about this with some of his special guests.
[00:05:19.728 --> 00:05:20.089]  I think so.
[00:05:34.685 --> 00:05:35.445]  It's expensive.
[00:05:35.445 --> 00:05:35.765]  Why?
[00:05:35.765 --> 00:05:38.546]  Because it is an elite supplement.
[00:05:38.546 --> 00:05:45.827]  And then I started seeing other competitors coming up with competitive supplements for telomere support, and they came and they went.
[00:05:45.827 --> 00:05:48.868]  But DNA Force Plus is still there.
[00:05:48.868 --> 00:05:50.548]  It is the elite supplement.
[00:05:50.548 --> 00:05:54.209]  I get excited when DNA Force Plus is on sale because I know it's expensive.
[00:05:54.209 --> 00:06:00.070]  So you should take advantage of 50% off DNA Force Plus at InfoWarsTore.com.
[00:06:22.898 --> 00:06:25.580]  Friday, February 21st, 2020.
[00:06:25.580 --> 00:06:27.741]  I am your host, Alex Jones.
[00:06:27.741 --> 00:06:29.582]  Thank you for joining us.
