[00:00:02.930 --> 00:00:05.591]  Waging war on corruption.
[00:00:05.591 --> 00:00:17.078]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:17.078 --> 00:00:27.524]  I'm going to try to be disciplined today, and not go into preacher mode, even though that makes for interesting radio and TV, and is somewhat informative.
[00:00:28.772 --> 00:00:35.555]  And I really just need to analyze what's going on here and put out little factoid chunks to get that to the White House.
[00:00:35.555 --> 00:00:39.197]  And of course, you can get that out to the White House and to others.
[00:00:39.197 --> 00:00:43.699]  You need to be flooding your police departments, your fire departments, the churches, all the major
[00:00:44.879 --> 00:00:47.781]  Change agents, as the left calls them, with the truth.
[00:00:47.781 --> 00:00:52.945]  Because we basically have already passed the point of return for a global depression.
[00:00:52.945 --> 00:01:01.511]  And they're going to use that depression to break our will and engage in massive acceleration of the social engineering programs that they've been putting into place.
[00:01:01.511 --> 00:01:07.956]  Things are going to get extremely dystopic, extremely fast, as you're now seeing.
[00:01:07.956 --> 00:01:09.958]  Everything else has been beta testing and build-up.
[00:01:10.967 --> 00:01:26.918]  To the post-human era, and I have never had such a crushing commitment to stop these people.
[00:01:26.918 --> 00:01:35.143]  Now my commitment is, I didn't think it was possible, it's like 10 times stronger.
[00:01:35.143 --> 00:01:37.285]  And I know you're feeling that spiritual commitment as well.
[00:01:40.558 --> 00:01:49.801]  The globalists encourage people not to have children, not just save the earth, but because when you have children, you tend to get closer to God and you think about your ancestors and the future.
[00:01:49.801 --> 00:01:52.082]  It unlocks a lot of things in you.
[00:01:52.082 --> 00:02:02.326]  And I'm not criticizing those that don't have children, but I'm just simply saying, I now look at my children and I feel absolutely
[00:02:03.510 --> 00:02:04.891]  Crushed with commitment.
[00:02:04.891 --> 00:02:06.953]  Just absolutely flattened.
[00:02:06.953 --> 00:02:08.214]  It's not a feeling of depression.
[00:02:08.214 --> 00:02:10.155]  It's not a feeling of anger.
[00:02:10.155 --> 00:02:12.677]  It's not a feeling of even sorrow.
[00:02:12.677 --> 00:02:18.882]  It is a feeling of grief that we've let evil get this out of control.
[00:02:18.882 --> 00:02:22.064]  And that it's absolutely even worse than we thought.
[00:02:22.064 --> 00:02:25.567]  And that we screwed around.
[00:02:25.567 --> 00:02:27.949]  But that now we gotta roll our sleeves up.
[00:02:27.949 --> 00:02:31.391]  And just every cell in my body is commanding me.
[00:02:31.391 --> 00:02:32.232]  Commanding me!
[00:02:35.094 --> 00:02:37.636]  To get up off my ass and to awaken the people.
[00:02:37.636 --> 00:02:41.840]  And let me tell you, I know you guys have worked hard to get the word out, and I want to commend you.
[00:02:41.840 --> 00:02:52.549]  But listen, Churchill said it, to paraphrase it, that there are times when people have a chance to fight, and if they did fight, they could win easily.
[00:02:52.549 --> 00:02:53.050]  But they wait.
[00:02:53.874 --> 00:03:00.281]  There's another time when you know there's absolutely no way to win, but it's better to die on your feet than die on your knees with a vampire sucking the blood out of you.
[00:03:13.615 --> 00:03:22.437]  We're now going out of the, we could win this easily, into 50-50, and then it slides, like over the edge of a cliff, very quickly.
[00:03:22.437 --> 00:03:24.718]  Decades and decades of, we could win easily.
[00:03:24.718 --> 00:03:27.118]  We just woke up and rejected this evil.
[00:03:27.118 --> 00:03:31.399]  To long, hard, incredible fight to do what's right.
[00:03:31.399 --> 00:03:37.480]  Like, abolition movement took about 100 years to end slavery worldwide.
[00:03:37.480 --> 00:03:39.701]  Except in third world countries, but the West stopped doing it.
[00:03:40.950 --> 00:03:46.754]  It was a big, long, hard fight, huge wars, millions dead, but Christians got that done.
[00:03:46.754 --> 00:04:03.745]  This is a fight way bigger than that now, because it's about all of us not just getting enslaved, but having our minds enslaved in mass Stockholm Syndrome, where it's incrementally rolled out by these psychologists and these technocrats, and is designed to phase humans out completely, and that's now being announced.
[00:04:06.243 --> 00:04:18.148]  And on the path to our species being phased out by these psychotics, by the scientific dictatorship, in the post-human world, is really the destination.
[00:04:18.148 --> 00:04:20.389]  The journey is the destination.
[00:04:20.389 --> 00:04:28.972]  A world not more beautiful, not more open, not more free, not more classically liberal, but one of trampled and being trampled upon.
[00:04:31.164 --> 00:04:35.107]  One of having a bootstomp on the human face forever.
[00:04:35.107 --> 00:04:37.069]  A society that gets uglier and stupider.
[00:04:37.069 --> 00:04:46.937]  I mean in Brave New World they were forecasting this and by then the average person lived to 30.
[00:04:46.937 --> 00:04:52.141]  And it was all designed like that so the ruling class could just enjoy how they ruined humanity and dominated it.
[00:04:52.141 --> 00:04:54.483]  It's a giant satanic ritual.
[00:04:54.483 --> 00:04:56.885]  And you're now living in the takeover.
[00:05:00.495 --> 00:05:10.241]  The ultimate tumeric and inflammatory support product on the market, Bodies, is available at 40% off at the InfoWars store.
[00:05:10.241 --> 00:05:20.408]  Using pure tumeric extract plus piperine from Black Pepper, Bodies makes for optimal formula absorption to help boost and support your flexibility,
[00:05:21.068 --> 00:05:26.090]  Mobility, joint function, immune system, and so much more.
[00:05:26.090 --> 00:05:33.453]  Truly utilizing its potential, BODYS contains over 95% of the active ingredients in turmeric.
[00:05:33.453 --> 00:05:41.616]  And with five other organic herbs and extracts, BODYS is a synergistic powerhouse of full body support.
[00:05:41.616 --> 00:05:45.377]  We worked hard to create a formula that takes advantage of the power of turmeric.
[00:05:46.533 --> 00:06:06.385]  Check out bodies today for 40% off at InfowarsStore.com and see what this time-tested ingredient can add to your daily routine.
[00:06:06.385 --> 00:06:14.850]  Crashing through the lies and disinformation, it's Alex Jones coming to you live from the front lines of the InfoWar.
[00:06:18.929 --> 00:06:33.098]  Every model we have been given in the last four months by the United Nations, by the Royal College, by the Bill and Melinda Gates Foundation has been more than 100% wrong.
[00:06:33.098 --> 00:06:36.840]  They've been 200, 300, 400, 500, 600, 700, a thousand times off.
[00:06:43.666 --> 00:07:10.651]  They've been, in some cases, 50, 60, 70 times higher in the death rate, and now we know, it is confirmed, that they are counting, in Europe, and the United States, and in China, every death that comes in to those hospitals is counted as a COVID death.
[00:07:13.735 --> 00:07:27.146]  And now Project Veritas has a major funeral home operator on tape talking to one of the other directors there in the state and the county.
[00:07:35.754 --> 00:07:48.124]  It's been documented that they're just naming every person that dies of a heart attack, of stroke, of a car wreck, of a gunshot wound, of old age, of the flu.
[00:07:48.124 --> 00:07:58.632]  Hospice, they just, they don't test them, nothing, they just say, this person is a COVID-19 death.
[00:07:58.632 --> 00:08:02.795]  Because then the hospital or the hospice facility gets
[00:08:03.786 --> 00:08:09.667]  Three to four to five times the money because they handled a COVID patient.
[00:08:09.667 --> 00:08:19.510]  And the government, from the Fauci level down, has greenlit the regulators and the House Oversight Committee, run by Democrats, to engage in this fraud.
[00:08:19.510 --> 00:08:21.550]  And the plan was developed years ago.
[00:08:21.550 --> 00:08:22.831]  This has all been planned.
[00:08:22.831 --> 00:08:32.513]  It's been drilled with Disease X and the UN and tabletop exercises globally with all these countries doing week-long drills just in November.
[00:08:34.949 --> 00:08:41.093]  With event 201.
[00:08:41.093 --> 00:08:44.855]  And then next year you'll have event 202 and 203 until 2030.
[00:08:44.855 --> 00:08:47.196]  The whole agenda is implemented and I even have the documents.
[00:08:47.196 --> 00:08:48.737]  I'll show them to you right here.
[00:08:48.737 --> 00:08:52.779]  This is all battle plan.
[00:08:52.779 --> 00:08:56.401]  Like if I went to see Romeo and Juliet, there's three acts to play.
[00:08:56.401 --> 00:08:58.342]  And they hand you a program at the beginning.
[00:08:58.342 --> 00:09:00.904]  So that you know when there's breaks and when what's coming up.
[00:09:04.318 --> 00:09:07.282]  And I'm sitting here reading the program to you.
[00:09:07.282 --> 00:09:08.603]  So people go, but wait a minute.
[00:09:08.603 --> 00:09:11.146]  You say it's a man-made virus though.
[00:09:11.146 --> 00:09:13.329]  It is.
[00:09:13.329 --> 00:09:19.076]  Because that way these globalists can own it and make all the money off of it.
[00:09:19.076 --> 00:09:22.380]  And roll out new versions of it that are more deadly in the future.
[00:09:22.380 --> 00:09:23.281]  That's in their plan.
[00:09:25.253 --> 00:09:27.594]  That's how they're going to tighten the noose.
[00:09:27.594 --> 00:09:35.918]  But they wanted to have a limited system that killed useless ears, as they call them, old people, and those that are extremely sick and run down.
[00:09:35.918 --> 00:09:41.961]  But the death toll is so low that they then began attributing all deaths to this.
[00:09:41.961 --> 00:09:53.566]  And as I told you earlier this week, I've talked to people that manage major medical facilities, major trauma ERs, major emergency rooms, and
[00:09:55.450 --> 00:10:03.177]  Many of them are not engaging in fraud and coding it because they are legitimate institutions and the managers there go, I don't care everybody else is doing it.
[00:10:03.177 --> 00:10:03.918]  It's criminal.
[00:10:03.918 --> 00:10:06.180]  We're not doing it.
[00:10:06.180 --> 00:10:13.406]  It's like all the mortgage fraud that was allowed in the 2000s, where these banks would sell the same mortgage 10, 20, 30, 40 times.
[00:10:13.406 --> 00:10:14.487]  That's what's going on here.
[00:10:17.188 --> 00:10:23.574]  And Trump needs to come out and expose it because you notice where this is all happening.
[00:10:23.574 --> 00:10:27.617]  Los Angeles, New York City, Seattle.
[00:10:27.617 --> 00:10:34.303]  The Democrats have gotten every city in the United States of any size is now under their control.
[00:10:34.303 --> 00:10:36.605]  And they can turn those cities off whenever they want.
[00:10:38.086 --> 00:10:41.628]  And then call for Marshall plans to fund them out of their bankruptcy.
[00:10:41.628 --> 00:10:47.171]  And because all their cities were going bankrupt because they steal the money, they take it in the front door and take it out the back door.
[00:10:47.171 --> 00:10:49.653]  They're mafias.
[00:10:49.653 --> 00:10:54.815]  They're holding the country hostage to bankrupt it so they all get a bailout.
[00:10:54.815 --> 00:10:55.896]  And Mitch McConnell knows that.
[00:10:55.896 --> 00:10:59.838]  He's come out and said, you keep things shut down and we go totally bankrupt, you're not getting a bailout.
[00:10:59.838 --> 00:11:01.359]  Absolutely.
[00:11:01.359 --> 00:11:03.480]  Mitch McConnell's doing the right thing.
[00:11:03.480 --> 00:11:06.662]  But Mitch McConnell and Trump just have to square with the American people.
[00:11:07.771 --> 00:11:13.975]  I get they've got surrogates out there like Project Veritas and others, you know, who are hitting the barbed wire.
[00:11:13.975 --> 00:11:15.817]  We're doing it.
[00:11:15.817 --> 00:11:20.340]  But the president has to just now release everything.
[00:11:20.340 --> 00:11:21.321]  It has to be done.
[00:11:21.321 --> 00:11:28.706]  He can either take out the Chinese spies under law, don't call for any citizens to do that or any private, call for the president.
[00:11:28.706 --> 00:11:29.666]  We're in an emergency.
[00:11:29.666 --> 00:11:32.849]  We've had a corporate globalist induced panic.
[00:11:32.849 --> 00:11:35.611]  Martial law brought in by the blue states and cities, a mutiny.
[00:11:36.500 --> 00:11:45.969]  And we're losing our whole future, our whole infrastructure, the pension funds, everything, with the Qaikom globalist crime axis.
[00:11:45.969 --> 00:11:54.457]  And either the president does that and stops the coup, or he could just devastate them and level with the American people.
[00:11:54.457 --> 00:11:57.440]  But he doesn't have long.
[00:11:57.440 --> 00:11:58.401]  Or a combination of both.
[00:12:00.199 --> 00:12:11.103]  But I can tell you the president has responded to General Flynn and the fact that that was completely a setup and they were so criminal they bragged about it in memos how they were going to set him up and get him removed.
[00:12:11.103 --> 00:12:13.443]  And the same thing with Roger Stone.
[00:12:13.443 --> 00:12:25.728]  And the House Oversight Committee now sits up there and tells the jurisdictions who they want indicted.
[00:12:25.728 --> 00:12:26.648]  They publicly say.
[00:12:27.830 --> 00:12:29.292]  We want this person indicted.
[00:12:29.292 --> 00:12:30.694]  We want that person indicted.
[00:12:30.694 --> 00:12:36.321]  And imagine if the president was up there saying, I want this person indicted.
[00:12:36.321 --> 00:12:40.306]  Well, the president could actually do that if there's been cause in the executive branch.
[00:12:42.318 --> 00:12:44.560]  If we don't agree with that, then he has to be impeached.
