[00:00.000 --> 00:15.000]  Jesse Peters is right.
[00:15.000 --> 00:18.000]  Fauci wants to give our children a kill shot.
[00:18.000 --> 00:20.000]  A physical attack.
[00:20.000 --> 00:22.000]  We want to give them a kill shot of truth.
[00:22.000 --> 00:24.000]  Exposing that he ran to Wulhanna Valley Bill Gates.
[00:24.000 --> 00:25.000]  He launched the attack.
[00:25.000 --> 00:27.000]  He's the one behind it all.
[00:27.000 --> 00:29.000]  He's the one.
[00:29.000 --> 00:31.000]  Now you're going for the kill shot.
[00:31.000 --> 00:36.000]  The kill shot with an ambush, deadly.
[00:36.000 --> 00:38.000]  Because he doesn't see it coming.
[00:38.000 --> 00:40.000]  This is when you say,
[00:40.000 --> 00:48.000]  Dr. Fauci, you funded risky research at a sloppy Chinese lab.
[00:48.000 --> 00:53.000]  The same lab that sprung this pandemic on the world.
[00:53.000 --> 00:58.000]  You know why people don't trust you, don't you?
[00:58.000 --> 01:00.000]  Boom!
[01:00.000 --> 01:02.000]  He is dead.
[01:02.000 --> 01:04.000]  He is dead.
[01:04.000 --> 01:06.000]  He's done.
[01:06.000 --> 01:07.000]  Do what must be done.
[01:07.000 --> 01:09.000]  Now you do that 30 seconds.
[01:09.000 --> 01:12.000]  So you need 30 seconds.
[01:12.000 --> 01:14.000]  Now you get that footage to us.
[01:14.000 --> 01:16.000]  You get it to Fox.
[01:16.000 --> 01:17.000]  You get it to Human Events.
[01:17.000 --> 01:18.000]  You get it to Bright Bar.
[01:18.000 --> 01:19.000]  You get it to Daily Caller.
[01:19.000 --> 01:20.000]  You get it to The Turning Point.
[01:20.000 --> 01:22.000]  Don't get it to him for hours.
[01:22.000 --> 01:25.000]  Imagine Tucker Carlson teases out of the A-Block.
[01:25.000 --> 01:27.000]  Coming up.
[01:27.000 --> 01:32.000]  Brave college student confronts Lord Fauci at dinner.
[01:32.000 --> 01:34.000]  Lord Fauci, I love it.
[01:34.000 --> 01:36.000]  Exclusive footage right back.
[01:36.000 --> 01:38.000]  Lord Biden.
[01:38.000 --> 01:39.000]  Get us that.
[01:39.000 --> 01:41.000]  That's what we want.
[01:41.000 --> 01:44.000]  That changes the whole conversation of the country.
[01:44.000 --> 01:49.000]  I've authorized it.
[01:49.000 --> 01:52.000]  Just make sure it's legal.
[01:52.000 --> 01:56.000]  You know, I really love
[01:56.000 --> 01:58.000]  watching everybody imitate what we do,
[01:58.000 --> 01:59.000]  because that's actually my goal.
[01:59.000 --> 02:00.000]  People say,
[02:00.000 --> 02:01.000]  what do you like to call people Lord Fauci?
[02:01.000 --> 02:02.000]  Now they're doing it.
[02:02.000 --> 02:03.000]  They're saying go after the globalists.
[02:03.000 --> 02:04.000]  They're saying get in their face.
[02:04.000 --> 02:05.000]  We're all the same team.
[02:05.000 --> 02:06.000]  These are tactics.
[02:06.000 --> 02:07.000]  These are great facts.
[02:07.000 --> 02:08.000]  Send it to him.
