[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[00:31.000 --> 00:40.000]  We're live, my friends. It's already the fourth day of December 2011 on this live Sunday broadcast.
[00:40.000 --> 00:45.000]  We're going to be here for the next two hours and then of course I'll be back tomorrow, 11am, 2pm.
[00:45.000 --> 00:50.000]  Central Standard Time, 12 noon to 3pm Eastern. Wow!
[00:50.000 --> 00:56.000]  In fact, if you're watching on PrismPlanet.tv you can see all these stacks of news I've got here in front of me.
[00:56.000 --> 01:08.000]  Ron Paul has surged into a close second behind Mr. New World Order, Mr. Gun Control, Mr. Open Borders, Mr. Carbon Tax.
[01:08.000 --> 01:16.000]  The list just goes on and on. Mr. Government Healthcare, Newt Gennrich, Mitt Romney, now behind Ron Paul.
[01:16.000 --> 01:22.000]  It's the same many other states but the media continues to say Ron Paul can't win, Ron Paul can't win.
[01:22.000 --> 01:31.000]  He's the only one who would actually try to fix things. You know, a lot of people think that, oh my gosh, the government's a bunch of idiots.
[01:31.000 --> 01:35.000]  They just can't find a way out of this. They keep screwing stuff up.
[01:35.000 --> 01:43.000]  Yeah, insider trading, funding corporations, they're invested in with taxpayer money, becoming filthy rich, setting up tyranny.
[01:43.000 --> 01:51.000]  They're not screwing up. It's on purpose, the shutdown of the global economy just like the Great Depression was.
[01:51.000 --> 01:59.000]  So when Iowa Gennrich leads PAC, then Paul, then Romney, and this is in the Des Moines Register.
[01:59.000 --> 02:05.000]  It's in the Washington Post. It's all over the place that Ron Paul in a bunch of different scientific polls.
[02:05.000 --> 02:13.000]  Number two, number three or number two or number one, depending on the poll in New Hampshire, he's the only perennial front runner.
[02:13.000 --> 02:24.000]  They've all been up and down, whether it's Perry or whether it's Herman Cain or whether it's Romney or whether it's Gennrich who a month ago had 2%.
[02:24.000 --> 02:28.000]  People are desperately just looking for somebody to save them.
[02:28.000 --> 02:35.000]  There's only one person who'll be honest with you and say, well, the president can't save you, but he can act under the Constitution.
[02:35.000 --> 02:41.000]  But the rest of the government may not. I'm going to need your help. This is not going to be easy.
[02:41.000 --> 02:50.000]  But others just tell you, oh, yeah, there's a few little things we'll do and that'll fix it. No, we're deep into the New World Order, deep into it.
[02:50.000 --> 02:59.000]  And the fact that Ron Paul is so popular, despite the media blackouts and 89 seconds on the debates, the other candidates, you know, getting 10 minutes or whatever a piece,
[02:59.000 --> 03:05.000]  and the lying on polls he wins and the lying when he wins the straw poll, the media won't cover it.
[03:05.000 --> 03:11.000]  Despite all of that, he is the only candidate in all the major polls that can beat Obama.
[03:11.000 --> 03:18.000]  When they run them up against each other, it's Ron Paul hands down. We've covered those. It's a big deal.
[03:18.000 --> 03:27.000]  And that's coming up in the second hour. I will cover this and I will get to some of the audio and video clips that we're going to be playing here.
[03:27.000 --> 03:38.000]  But if you're watching me on prisonpana.tv, you can see via the document cam here. We have 85-year-old says she was strip searched at JFK.
[03:38.000 --> 03:46.000]  The response now of the Homeland Security Brown charges to say, well, we took her in a private room, but that's not a strip search.
[03:46.000 --> 03:53.000]  It's a security search. See, when an FBI agent grabs a child's genitals, it's assault. Or if you do it.
[03:53.000 --> 04:02.000]  But with the special little toilet attendant people who they claim is their administrative right, oh, they say it's not that.
[04:02.000 --> 04:09.000]  So we'll get into that report. Sandusky is saying he likes kids, likes to grab on them in the shower, but it's no big deal.
[04:09.000 --> 04:22.000]  Shows the delusional behavior of these people. I think that dovetails with too badly hurt as they are trampled at fan frenzy stampede after thousands storm football field following Oklahoma State win.
[04:22.000 --> 04:29.000]  I wish people would stampede for the Bill of Rights and Constitution and the Second Amendment and property rights that are all being flushed down the toilet.
[04:29.000 --> 04:42.000]  And of course, we're going to come back and get into the latest, you know, about the Thursday night passage of the National Defense Authorization Act that says the whole world is under globalist domination in the war zone,
[04:42.000 --> 04:50.000]  that the US is, that the military will be used in America, and that Americans anytime they want can disappear forever into a black hole and even be killed.
[04:50.000 --> 04:54.000]  It's maximum tyranny. Stay with us. We'll be right back.
[05:20.000 --> 05:48.000]  Get your eFoods today at 800-409-5633 or visit them online at eFoodsDirect.com forward slash Alex to find the special.
[05:48.000 --> 05:55.000]  Find the special. That's 800-409-5633 or eFoodsDirect.com forward slash Alex.
[05:55.000 --> 05:58.000]  You can bet your life on eFoodsDirect.
[06:03.000 --> 06:07.000]  You are listening to an Infowars.com frontline report.
[06:07.000 --> 06:14.000]  If you are receiving this transmission, you are the Resistance.
[06:21.000 --> 06:30.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[06:30.000 --> 06:39.000]  Welcome, ladies and gentlemen. Welcome again. Thank you so much for joining us.
[06:39.000 --> 06:46.000]  It is already the fourth day of December 2011. We're going to be here for the next two hours, and I'll be back tomorrow.
