[00:00:00.009 --> 00:00:00.249]  And the U.S.
[00:00:00.249 --> 00:00:02.731]  Democratic presidential candidate is in Afghanistan!
[00:00:30.569 --> 00:00:42.379]  Barack Obama met on Sunday with President Hamid Karzai and told the Afghan leader that he will pursue the war on terror with vigor if he's elected.
[00:00:42.379 --> 00:00:48.745]  Obama's on the second day of an overseas tour aimed at bolstering his foreign policy credentials.
[00:00:48.745 --> 00:00:51.227]  This is IRN USA Radio News.
[00:00:53.007 --> 00:00:55.729]  It works, it works, it works, it works!
[00:00:55.729 --> 00:00:58.010]  And what's best is it works from home!
[00:00:58.010 --> 00:01:00.052]  Hi, how in the world are you anyway?
[00:01:00.052 --> 00:01:04.335]  This is Andy Willoughby from the 3stepplan.com home business system.
[00:01:04.335 --> 00:01:08.618]  The dramatic difference with 3stepplan.com is that it does work.
[00:01:08.618 --> 00:01:18.344]  And after almost five years, I think that even the most diehard skeptic would have to agree there must be something different about the 3stepplan.com home business system.
[00:01:18.584 --> 00:01:28.906]  You see, we operate more like a mini-franchise, so you get the expertise of people who have actually been successful working at home to help and guide you in operating your home business.
[00:01:28.906 --> 00:01:33.327]  It's kind of like a McDonald's franchise, without the teenagers and big startup expense.
[00:01:33.327 --> 00:01:35.548]  And of course, we don't sell hamburgers.
[00:01:35.548 --> 00:01:39.849]  You do get to work with some really nice people who share similar family values.
[00:01:40.169 --> 00:01:45.351]  To find out how you can make more money working from home, go to 3stepplan.com or call 800-480-2102 800-480-2102
[00:01:53.180 --> 00:01:58.223]  Tropical storm Cristobal is cutting a slow path off the North Carolina coast.
[00:01:58.223 --> 00:02:04.907]  The storm's heaviest winds and rains have stayed well offshore, though it's led to strong currents along the beaches.
[00:02:04.907 --> 00:02:07.548]  Here's weather bug meteorologist Steve Prinzevely.
[00:02:07.548 --> 00:02:11.951]  It's moving northeast near six with maximum sustained winds of 45 miles an hour.
[00:02:11.951 --> 00:02:13.812]  Now some strengthening is possible.
[00:02:14.432 --> 00:02:16.174]  Sunday and into the day on Monday.
[00:02:16.174 --> 00:02:25.102]  Barack Obama's week-long trip includes a stop in Germany, where he'll give a speech on transatlantic relations at Berlin's Gold Top Victory Column.
[00:02:25.102 --> 00:02:35.131]  The Democrat had wanted to make remarks at the Brandenburg Gate, site of President Reagan's famed address, but Chancellor Angela Merkel made it clear she didn't like the idea.
[00:02:35.131 --> 00:02:39.876]  And there's a military streak in Ann Dunwoody's family a couple centuries long.
[00:02:40.416 --> 00:02:46.362]  The 55-year-old Lieutenant General has been nominated to be the first female four-star general in U.S.
[00:02:46.362 --> 00:02:47.343]  history.
[00:02:47.343 --> 00:02:51.347]  For more news and analysis, log on to irnnews.com.
[00:02:52.884 --> 00:02:54.125]  You're finally there.
[00:02:54.125 --> 00:02:56.867]  You've taken your idea and turned it into a reality.
[00:02:56.867 --> 00:02:58.148]  You're starting a business.
[00:02:58.148 --> 00:03:05.354]  When it comes to setting up your limited liability company, S Corporation or C Corporation, make sure you go to people you can trust.
[00:03:05.354 --> 00:03:06.555]  Inkfile.com.
[00:03:06.555 --> 00:03:14.201]  Inkfile has helped more than 30,000 people just like yourself protect their investment, with plans starting at just $49, plus state filing fees.
[00:03:14.201 --> 00:03:20.986]  For a limited time, use promo code RADIO and receive a $25 discount only at Inkfile.com.
[00:03:23.211 --> 00:03:31.137]  Pope Benedict has told hundreds of thousands of young people that it's up to them to preserve the spiritual dessert that he says is spreading throughout the world.
[00:03:31.137 --> 00:03:35.900]  I look forward to seeing you again in three years time.
[00:03:35.900 --> 00:03:42.224]  World Youth Day 2011 will take place in Madrid, Spain.
[00:03:42.224 --> 00:03:50.150]  Benedict addressed an estimated 350,000 people in Sydney, Australia on the closing day of the Catholic Church's World Youth Day Festival.
[00:03:50.942 --> 00:03:59.868]  The political call for a gas tax holiday for the summer has given way to the view that taxes on fuel will have to go up if they go anywhere at all.
[00:03:59.868 --> 00:04:10.495]  The reality of depriving the Highway Trust Fund of $9 billion at a time when it's already heading for a projected $3 billion deficit next year doomed the idea.
[00:04:10.495 --> 00:04:10.735]  U.S.
[00:04:10.735 --> 00:04:14.257]  drivers are still paying a lot less in gas taxes than people in Europe.
[00:04:14.761 --> 00:04:15.882]  Here's Bob Eller.
[00:04:15.882 --> 00:04:22.848]  Including state and local levies, Americans pay about 47 cents on average in taxes for a gallon of gasoline.
[00:04:22.848 --> 00:04:29.693]  Fuel in many European countries costs $8 to $9 a gallon, with half or more of that going to taxes.
[00:04:29.693 --> 00:04:37.220]  And Brad Favre is sticking to the script, declining to address his public rift with the Green Bay Packers in an appearance at Lambeau Field on Saturday.
[00:04:37.780 --> 00:04:43.723]  Barb says it was nice to be named Packers MVP for last season and football is about one thing.
[00:04:43.723 --> 00:04:45.944]  It's all about the team.
[00:04:45.944 --> 00:04:48.225]  I hope I have never lost sight of that.
[00:04:48.225 --> 00:04:51.506]  I'm Jody Jordan and that's news from the Information Radio Network.
[00:04:53.211 --> 00:04:54.072]  It's a fact.
[00:04:54.072 --> 00:05:01.676]  Since the creation of the Federal Reserve in 1913, all banks in these United States create money out of thin air for every single loan they issue.
[00:05:01.676 --> 00:05:10.821]  With never-ending late fees, over-the-limit fees, and higher and higher interest rates, it has become mathematically impossible to repay all debt, making all of us slaves to our creditors.
[00:05:10.821 --> 00:05:21.347]  The Federal Debt Relief System has created a successful, attorney-backed program to legally eliminate credit card debt, personal loans, lines of credit, and other unsecured debts which have been fraudulently created by the banks.
[00:05:21.607 --> 00:05:27.892]  We can terminate your unsecured debt within 18 months with a much lower monthly payment, ending with nothing on your credit report.
[00:05:27.892 --> 00:05:33.097]  Join the thousands of Americans who now breathe with a sigh of relief because they have legally eliminated their debt.
[00:05:33.097 --> 00:05:37.741]  Instead of living each day in fear and frustration, it's time to take action and turn your life around.
[00:05:37.741 --> 00:05:39.603]  Call the Federal Debt Relief System at 877-943-8600.
[00:05:39.603 --> 00:05:39.883]  That's 877-943-8600.
[00:05:39.883 --> 00:05:40.403]  Or visit FDRS.org.
[00:05:40.403 --> 00:05:42.285]  Find out how you can break the cycle of debt slavery.
[00:05:49.471 --> 00:05:52.493]  Visit FDRS.org today.
[00:05:52.493 --> 00:06:05.421]  Prepare yourself for a talk radio experience like no other.
[00:06:05.421 --> 00:06:08.163]  He stands for truth.
[00:06:08.163 --> 00:06:11.385]  He stands for justice.
[00:06:11.385 --> 00:06:13.827]  He stands for what's right.
[00:06:13.827 --> 00:06:17.129]  This is the Alex Jones Show.
[00:06:17.129 --> 00:06:18.850]  Call Alex now, toll free.
[00:06:20.615 --> 00:06:37.358]  Hello and thank you for joining us for a very important Sunday edition.
[00:06:37.358 --> 00:06:45.520]  I'm on the radio six days a week, Monday through Friday, and I come back in Sunday evenings, afternoons, 4 to 6 p.m.
[00:06:45.520 --> 00:06:46.000]  Central
[00:06:47.193 --> 00:06:51.476]  Standard time to do a two hour abbreviated special report.
[00:06:51.476 --> 00:06:53.057]  Tonight is very important.
[00:06:53.057 --> 00:07:06.848]  You know, driving in with the magnitude of news and information I have here in front of me, I a lot of times don't feel up to the task because I know the information I'm covering is accurate.
[00:07:06.848 --> 00:07:14.074]  The information is so well documented that there's no way for me to properly even prove all of it on air.
[00:07:14.074 --> 00:07:15.835]  I mean, I can give you a lot of the proof, but to go over
[00:07:16.755 --> 00:07:19.096]  The complete proof would take thousands of hours.
[00:07:19.096 --> 00:07:23.239]  There's that much evidence to everything we discuss here.
[00:07:23.239 --> 00:07:37.506]  And then I think about the fact that, conservatively, one hour of this Sunday radio show that's smaller than the older weekday show, about a million people tune in and out of it, and around a million and a half people total over the two hours.
[00:07:37.506 --> 00:07:40.728]  I've got two million listeners tuning in every day.
[00:07:40.728 --> 00:07:45.631]  That's conservative off AM and FM stations that happen to have ratings and, you know, that happen to subscribe to the ratings.
[00:07:46.107 --> 00:07:48.829]  So we know the type of listenership that we have.
[00:07:48.829 --> 00:07:58.875]  Then, of course, on the Internet, number one on Shoutcast, with hundreds of thousands listening at any one time around the world, millions in the aggregate every week.
[00:07:58.875 --> 00:08:09.342]  But number one on Shoutcast, number one on all the other major Internet rating services out there, number one on YouTube, number one on Google.
[00:08:09.342 --> 00:08:14.485]  In fact, in the Google Top 100 videos, routinely ten of them are mine.
[00:08:14.898 --> 00:08:16.639]  Including the coveted number one spot.
[00:08:16.639 --> 00:08:17.739]  Go look for yourself right now.
[00:08:17.739 --> 00:08:21.940]  It's the same on every other rating system.
[00:08:21.940 --> 00:08:24.901]  And you would think that I would have a big ego or be heady about that.
[00:08:24.901 --> 00:08:28.402]  It is really the opposite.
[00:08:28.402 --> 00:08:38.085]  It is quite a responsibility for me because, frankly, I listen to my radio show, The Rebroadcast, often and don't like what I have to hear, my delivery.
[00:08:38.085 --> 00:08:42.767]  Or I think of, for each issue I cover, hundreds of points that I wanted to make because
[00:08:43.174 --> 00:08:55.163]  It's easy driving down the road in your car, or listening on the computer at night, or watching some YouTube clip of yourself talk with the video added, because we videotaped this and put it on the PrisonPlanet.tv area, and people put it all over the web.
[00:08:55.163 --> 00:09:02.328]  You know, it's easy in hindsight to have wanted to make all these other points and then not get to it.
[00:09:02.328 --> 00:09:12.696]  Bottom line, ladies and gentlemen, you'd better take the issues and topics and news that I'm covering here very, very seriously.
[00:09:14.884 --> 00:09:39.185]  You can't afford to just laugh and scoff or say that I'm exaggerating or that I'm fear-mongering because in reality, and this is analyzing myself and what I cover and what my guests cover here, the situation we face is far worse than what I can even articulate.
[00:09:39.185 --> 00:09:41.267]  So I'm begging you listeners to realize
[00:09:42.210 --> 00:09:56.059]  That human history has been fraught with disaster and mass murder by the government, enslavement, theft, depression, abject tyranny, and pain.
[00:09:56.059 --> 00:09:57.580]  And that is the norm.
[00:09:57.580 --> 00:10:05.464]  Liberty is the rare jewel, the one-in-a-million exception.
[00:10:05.464 --> 00:10:11.328]  Liberty creates amazing success, milk and honey, great prosperity.
[00:10:11.912 --> 00:10:27.381]  And so countries, the handful of nations that have had some modicum of liberty in all of human recorded six thousand years of history can be counted up on less than two hands.
[00:10:27.381 --> 00:10:32.424]  In fact, it's hard to fill up all ten of your fingers.
[00:10:32.424 --> 00:10:37.647]  It's hard to go through a list and you can debate the last three or four.
[00:10:37.647 --> 00:10:39.328]  There's really only six or seven
[00:10:40.029 --> 00:10:45.334]  Nations or empires or systems that can be called somewhat free.
[00:10:45.334 --> 00:11:05.010]  Somehow they convinced the general public in the last 50 years that there is no tyranny, nothing bad in government, trust everything, let government be secret under the guise of national security, let private interest come in and buy off the government, everything's wonderful, government is only good, things never go wrong, bad things never happen inside government.
[00:11:05.010 --> 00:11:08.273]  Government is God, government is good, government is sweet,
[00:11:09.620 --> 00:11:15.986]  It is wonderful, it is to be trusted, and everything is fine.
[00:11:15.986 --> 00:11:18.047]  If you know anything about history, or even U.S.
[00:11:18.047 --> 00:11:23.552]  history, you know how asinine and ridiculous that is.
[00:11:23.552 --> 00:11:30.418]  Or, if you can convince somebody that there's problems in government, they will then say, well, there's problems in one party.
[00:11:31.038 --> 00:11:48.040]  There's problems with the Republicans, or there's problems with the Democrats, and then they get caught up so intensely in the debate about which party they're for, they never realize that both parties, for at least 40 years, have been run completely by foreign corporate interest.
[00:11:50.782 --> 00:12:02.952]  Who do not have your interest at stake, and in fact are quite predatory towards you, and see this country as an apple to be looted, to be gang-raped financially, economically.
[00:12:06.127 --> 00:12:26.767]  And they've written hundreds of books and thousands of think tank documents on it, and our own Pentagon and Naval War College and British Ministry of Defense say the people are the enemy, say NORTHCOM is martial law, we're already under, targeting the United States population as enemies of the state, and the British target their people as enemies of the state, and they state it all.
[00:12:26.767 --> 00:12:31.131]  This is a corrupt elite publicly declaring war on you.
[00:12:32.887 --> 00:12:35.988]  You know, in history, the castles weren't built for invasion.
[00:12:35.988 --> 00:12:37.028]  That rarely happened.
[00:12:37.028 --> 00:12:45.630]  The castles were built for the local nobles to be armored at night and to be in a keep from the public that they enslaved and controlled.
[00:12:45.630 --> 00:12:52.512]  And that's all that we see happening here today, but with a high-tech integration overlay.
[00:12:52.512 --> 00:12:58.594]  Let me give you the news, and I'm going to cover this news in as much detail as I can, just hitting the high points.
[00:13:01.184 --> 00:13:03.166]  Or we should call them the low points.
[00:13:03.166 --> 00:13:11.111]  Then we're going to take calls, wide open phones, in the second hour, and then cover some economic news.
[00:13:11.111 --> 00:13:25.341]  With a whimper, not a bang, the Chicago Tribune and NBC Channel 5, WMAQ out of Chicago, announced Thursday that the U.S.
[00:13:25.341 --> 00:13:30.685]  military will be in Chicago and statewide confiscating firearms out of citizens' homes.
[00:13:32.338 --> 00:13:34.280]  Just completely calm.
[00:13:34.280 --> 00:13:36.342]  I played a clip of this Thursday on the radio.
[00:13:36.342 --> 00:13:37.243]  I'm not going to play it today.
[00:13:37.243 --> 00:13:42.588]  If you want to just Google, Governor says Chicago is out of control.
[00:13:42.588 --> 00:13:43.188]  It'll pop up.
[00:13:43.188 --> 00:13:44.970]  You can watch the video link.
[00:13:44.970 --> 00:13:46.992]  There's now three of them on there.
[00:13:46.992 --> 00:13:50.335]  Thursday, there was just Video Governor's Plan.
[00:13:50.335 --> 00:13:53.858]  Now there's Read Viewer's Sound Off and more politics.
[00:13:53.858 --> 00:13:54.759]  You can watch more clips on it.
[00:13:57.236 --> 00:14:00.559]  We're going to go over that and give you the full import of what that means.
[00:14:00.559 --> 00:14:06.663]  You don't think they're just going to announce martial law and ring big bells from the church tops and tell you they're slaves, don't they?
[00:14:06.663 --> 00:14:17.712]  Just, oh, the troops are going to be coming in your houses and confiscating guns because guns are illegal in most areas of Illinois and we don't care what the Supreme Court has to say and we've got federal grants to take your guns.
[00:14:17.712 --> 00:14:24.337]  And all over the country, the police with the feds are raiding homes without warrants, quote, looking for guns.
[00:14:24.337 --> 00:14:25.298]  We'll go over all of that.
[00:14:28.121 --> 00:14:33.424]  All over the nation, they're running warrantless checkpoints, and then we have video police from D.C.
[00:14:33.424 --> 00:14:34.084]  to L.A.
[00:14:34.084 --> 00:14:39.867]  to San Diego to Dallas just walking up and saying, don't videotape us running a checkpoint.
[00:14:39.867 --> 00:14:41.448]  The citizen says, well, I have a right.
[00:14:41.448 --> 00:14:44.710]  And the cops start beating you in the head.
[00:14:44.710 --> 00:14:50.633]  I mean, that's martial law, ladies and gentlemen.
[00:14:50.633 --> 00:14:52.574]  That's martial law.
[00:14:52.574 --> 00:14:56.316]  Hey, you, slave, you don't videotape our operations.
[00:14:57.358 --> 00:15:01.220]  Remember, these are battle-hardened people who've had mental breakdowns.
[00:15:01.220 --> 00:15:02.741]  On the average, four tours.
[00:15:02.741 --> 00:15:03.581]  They're on Prozac.
[00:15:03.581 --> 00:15:05.843]  They're back in uniform.
[00:15:05.843 --> 00:15:06.983]  Totally psychopathic.
[00:15:06.983 --> 00:15:09.305]  Police are murdering their families all over the place.
[00:15:09.305 --> 00:15:14.988]  Every day I see five or six articles about that, because they come home, get put in uniform, meltdown, kill their families normally.
[00:15:14.988 --> 00:15:19.010]  And as bad as that is, at least they're only killing their families and not us on the streets.
[00:15:19.010 --> 00:15:22.612]  I'm sad they're killing their women and children, but, you know, that's what psychopathic meltdowns do.
[00:15:23.570 --> 00:15:24.990]  We'll be right back, ladies and gentlemen.
[00:15:24.990 --> 00:15:26.571]  I haven't gotten to Barack Obama.
[00:15:26.571 --> 00:15:29.651]  A million-man armed Stasi force.
[00:15:29.651 --> 00:15:32.812]  They will be youth brigades coming after your guns.
[00:15:32.812 --> 00:15:34.833]  You can't make this type of stuff up.
[00:15:34.833 --> 00:15:37.213]  You are witnessing the fall of the Republic.
[00:15:37.213 --> 00:15:39.734]  Will you hear the call and rally to our aid?
[00:15:39.734 --> 00:15:40.594]  Probably not.
[00:15:40.594 --> 00:15:43.235]  Suck your thumbs and prepare to go down with the ship.
[00:15:43.235 --> 00:15:43.855]  We'll be right back.
[00:15:53.200 --> 00:15:54.041]  Question.
[00:15:54.041 --> 00:15:58.785]  Is the world getting better or vastly worse?
[00:15:58.785 --> 00:16:03.249]  A world economic collapse could come any day.
[00:16:03.249 --> 00:16:04.090]  Question.
[00:16:04.090 --> 00:16:09.375]  Are you prepared or are you ignoring the signs?
[00:16:09.375 --> 00:16:10.155]  Question.
[00:16:10.155 --> 00:16:13.719]  Do you have seven years of healthy food for your family?
[00:16:19.016 --> 00:16:21.998]  Go to survivalistseeds.com now.
[00:16:21.998 --> 00:16:27.501]  12,000 seeds giving you 5,000 pounds of food for just four pennies a pound.
[00:16:27.501 --> 00:16:31.663]  Without a long-term food solution, your choices are limited.
[00:16:31.663 --> 00:16:36.626]  Visit survivalistseeds.com and check out our Doomsday Water Filter System.
[00:16:36.626 --> 00:16:37.747]  Without water, you
[00:16:38.368 --> 00:16:41.991]  It's all online at survivalistseeds.com.
[00:16:41.991 --> 00:16:43.052]  Are you prepared?
[00:16:43.052 --> 00:16:45.634]  That's survivalistseeds.com.
[00:16:45.634 --> 00:16:47.876]  Go to survivalistseeds.com.
[00:16:47.876 --> 00:16:50.759]  Do it now or become property of the new
[00:16:52.520 --> 00:16:53.561]  Hello, Ted Anderson.
[00:16:53.561 --> 00:16:58.503]  Listeners of the network are familiar with the Federal Reserve Note and understand the risks of deficit spending.
[00:16:58.503 --> 00:17:06.567]  Therefore, with catastrophic events, it comes as no surprise that some banks have currently placed limits on the amount of cash depositors can remove from their accounts.
[00:17:06.567 --> 00:17:11.930]  A fractional reserve system means only a small portion of your deposit is held in reserve for immediate withdrawal.
[00:17:12.150 --> 00:17:19.433]  Deficit spending will skyrocket through FDIC if the government is forced to insure deposits during a bank run followed by a depressed economy.
[00:17:19.433 --> 00:17:25.036]  A current effort is underway by the Fed along with other central banks to increase liquidity for depositors.
[00:17:25.036 --> 00:17:30.098]  However, an increase in money supply without equal expansion in productivity can cause inflation.
[00:17:30.098 --> 00:17:37.681]  In order to achieve strength and stability, I recommend a conservative portion of all investments to be calmly repositioned into gold and silver.
[00:17:38.021 --> 00:17:44.592]  While paper investments currently have been driven by debt, gold on its own has held value for over 6,000 years.
[00:17:44.592 --> 00:17:45.814]  For more information, call 1-800-686-2237.
[00:17:45.814 --> 00:17:46.055]  That's 1-800-686-2237.
[00:17:52.930 --> 00:17:59.592]  With oil at $105 per barrel and counting, we need radical change if we're to avert becoming a third world nation.
[00:17:59.592 --> 00:18:04.814]  It's time to jump on the next wave of free energy and radical natural alternative health solutions.
[00:18:04.814 --> 00:18:06.774]  Introducing Organ Products.
[00:18:06.774 --> 00:18:11.756]  Organ is the universal life force, the basic building block of all matter on the material planet.
[00:18:11.756 --> 00:18:15.337]  Organ Electro Medicine is the wave of the future dating back to the late 1800s.
[00:18:16.437 --> 00:18:23.563]  Wilhelm Reich Organ used CloudBuster technology that can now be applied in your home for dramatic energy savings of up to 25%.
[00:18:23.563 --> 00:18:27.787]  The possible uses for this device are only limited by your imagination.
[00:18:27.787 --> 00:18:32.951]  For less than the cost of a doctor's visit, you can have a device that can lead to the end of all your problems.
[00:18:33.191 --> 00:18:35.794]  Health doesn't need to be expensive or complicated.
[00:18:35.794 --> 00:18:39.818]  Simple technology equals profound results at organproducts.org.
[00:18:39.818 --> 00:18:42.962]  That's O-R-G-O-N-E products dot org.
[00:18:42.962 --> 00:18:45.825]  O-R-G-O-N-E products dot org.
[00:18:45.825 --> 00:18:46.265]  Or call 646-498-5309.
[00:18:46.265 --> 00:18:46.566]  That's 646-498-5309.
[00:18:53.342 --> 00:18:59.467]  Have you ever suffered from giardia, food poisoning, heavy metal poisoning, arthritis, fatigue, or high cholesterol?
[00:18:59.467 --> 00:19:06.032]  Maybe you're one of the 75 million Americans that the Center for Disease Control reports as suffering from internal parasites.
[00:19:06.032 --> 00:19:15.059]  If so, Freshwater Organics is proud to introduce you to a million-year-old miracle that has been used all over the world by health-conscious individuals seeking alternatives to chemicals and drugs.
[00:19:15.479 --> 00:19:22.664]  FPP or Fossilized Phytoplankton Powder is a 100% natural organic product with absolutely no additives.
[00:19:22.664 --> 00:19:27.948]  When taken daily, it is an excellent source of natural plant-based silica with 14 trace minerals.
[00:19:27.948 --> 00:19:30.951]  Many believe it is the key to a healthy digestive tract.
[00:19:30.951 --> 00:19:41.098]  To find an FPP distributor near you, or to buy it now, online, go to www.freshwaterorganics.com.
[00:19:42.259 --> 00:19:43.820]  You can also call toll-free at 888-949-3570.
[00:19:43.820 --> 00:19:44.140]  That's 888-949-3570.
[00:19:44.140 --> 00:19:46.461]  Are you tired of searching for great talk radio?
[00:19:46.461 --> 00:19:47.862]  Well, search no more.
[00:19:47.862 --> 00:19:49.242]  We are the GCN Radio Network.
[00:20:07.591 --> 00:20:09.072]  I'm going to make it very simple.
[00:20:09.072 --> 00:20:15.374]  Private central banks took control of the nation about 85 years ago.
[00:20:15.374 --> 00:20:28.740]  They have created a world empire using our money, our credit, our name, while destroying everything the Bill of Rights and Constitution stands for.
[00:20:28.740 --> 00:20:36.163]  Now the Ponzi scheme is within a few years, conservatively, it may even be quicker, of totally imploding.
[00:20:37.003 --> 00:20:38.985]  They don't want to get criminally in trouble.
[00:20:38.985 --> 00:20:50.915]  In fact, they want to maintain control of the husk, the sucked dry nest where they were basically hatched out of and then spread out worldwide with their tyranny.
[00:20:50.915 --> 00:20:56.119]  So we have provided the yolk to feed them in their egg that was the U.S.
[00:20:56.119 --> 00:21:05.907]  Now the global tyranny has broken out worldwide, taken over the planet, but they have to maintain their dominance over the original slave pit, over the original slave grid.
[00:21:07.469 --> 00:21:12.492]  And that's what they're doing now, setting up their military slave grid here in the United States.
[00:21:12.492 --> 00:21:21.817]  Now, before I cover this news, remember, and if you don't know this, just Google it, it's thousands of government websites, documents, all admitted everywhere.
[00:21:21.817 --> 00:21:27.320]  You can go to the Atomic Energy Agency website or nationally, you can go to the Department of Energy, they admit it.
[00:21:29.625 --> 00:21:37.970]  Where they, I use this example because it's one that's better known, there's thousands, where they took 4,300 and something foster children and radiated them to death.
