[00:00:01.000 --> 00:00:16.000]  Intro
[00:00:16.000 --> 00:00:20.000]  InfoWars. Tomorrow's news, today.
[00:00:24.000 --> 00:00:27.000]  There are of course those who do not want us to speak.
[00:00:27.000 --> 00:00:28.000]  We think, just let me think.
[00:00:28.000 --> 00:00:34.000]  As a fact, even now, orders are being shouted into telephones, and men with guns will soon be on their way.
[00:00:34.000 --> 00:00:35.000]  It's Chancellor Sutler.
[00:00:35.000 --> 00:00:36.000]  Damn it!
[00:00:36.000 --> 00:00:43.000]  Why? Because while the truncheon may be used in lieu of conversation, words will always retain their power.
[00:00:43.000 --> 00:00:49.000]  Words are for the means to meaning, and for those who will listen, the enunciation of truth.
[00:00:49.000 --> 00:00:54.000]  The truth is, there is something terribly wrong with this country, isn't there?
[00:00:54.000 --> 00:00:57.000]  You designed it, sir. You wanted it foolproof. You told me every television in London.
[00:00:57.000 --> 00:01:01.000]  Cruelty and injustice, intolerance and oppression.
[00:01:01.000 --> 00:01:05.000]  And where once you had the freedom to object, to think and speak as you saw fit,
[00:01:05.000 --> 00:01:10.000]  you now have censors and systems of surveillance, coercing your conformity and subverting your submissiveness.
[00:01:10.000 --> 00:01:12.000]  Cameras. We need cameras.
[00:01:12.000 --> 00:01:15.000]  How did this happen? Who's to blame?
[00:01:15.000 --> 00:01:18.000]  Well, certainly there are those who are more responsible than others.
[00:01:18.000 --> 00:01:20.000]  They will be held accountable.
[00:01:20.000 --> 00:01:26.000]  But again, truth be told, if you're looking for the guilty, you need only look into a mirror.
[00:01:26.000 --> 00:01:30.000]  I know why you did it. I know you were afraid.
[00:01:30.000 --> 00:01:34.000]  Who would it be? War? Terror? Disease?
[00:01:34.000 --> 00:01:40.000]  There were a myriad of problems which conspired to corrupt your reason and rob you of your common sense.
[00:01:40.000 --> 00:01:47.000]  Fear got the best of you, and in your panic you turned to the now High Chancellor, Adam Sutler.
[00:01:47.000 --> 00:01:50.000]  He promised you order. He promised you peace.
[00:01:50.000 --> 00:01:54.000]  And all he demanded in return was your silent, obedient consent.
[00:02:00.000 --> 00:02:03.000]  There is a war. It's happening now.
[00:02:03.000 --> 00:02:06.000]  It will decide the fate of humanity.
[00:02:06.000 --> 00:02:08.000]  The time to choose sides has come.
[00:02:08.000 --> 00:02:13.000]  We are the resistance. We are the Infowar.
[00:02:17.000 --> 00:02:31.000]  Ladies and gentlemen, a historic announcement today, taking the Deep State on head-on.
[00:02:31.000 --> 00:02:35.000]  Wow. It is Tuesday, August 8th, 2023.
[00:02:35.000 --> 00:02:42.000]  I'm Alex Jones, your host, coming to you from deep in the heart of Texas at Stephen Crowder's incredible studios.
[00:02:42.000 --> 00:02:47.000]  They have just launched a new network system partnered with Rumble.
[00:02:47.000 --> 00:02:52.000]  His show is routinely hitting 5 million viewers a day on one channel alone.
[00:02:52.000 --> 00:02:56.000]  This is explosive. And I'm going to start a weekly show with them.
[00:02:56.000 --> 00:03:01.000]  And I'm going to expand into Infowars and so much more with investigative crews on the streets,
[00:03:01.000 --> 00:03:03.000]  our reporters going all over the world.
[00:03:03.000 --> 00:03:06.000]  This is a match made in heaven.
[00:03:06.000 --> 00:03:11.000]  So I'm going to have Stephen Crowder and others coming up in studio.
[00:03:11.000 --> 00:03:16.000]  Amazing comedian Nick DiPaolo and so many others.
[00:03:16.000 --> 00:03:22.000]  We're also going to have the CEO, who's a really smart guy, of Stephen Crowder's Operation and Mug Club.
[00:03:22.000 --> 00:03:26.000]  We're going to be having Gerald Morgan in here with us in the first hour.
[00:03:26.000 --> 00:03:28.000]  It is going to be absolutely huge.
[00:03:28.000 --> 00:03:35.000]  And coming up next segment, they had an amazing hour, 15-minute press conference this morning that just ended about 35 minutes ago.
[00:03:35.000 --> 00:03:40.000]  We're going to air about 15 minutes of that with Stephen Crowder and myself making some big announcements.
[00:03:40.000 --> 00:03:43.000]  And then we're going to have Stephen and some of the crew.
[00:03:43.000 --> 00:03:47.000]  Brian Kellen, who I've known for many years and one of the top comedians out there,
[00:03:47.000 --> 00:03:51.000]  just hung out with him and Joe Rogan and had dinner on Saturday and went and saw a show on Friday in Austin.
[00:03:51.000 --> 00:03:56.000]  He has signed up here. So have the Hodge twins and so much more.
[00:03:56.000 --> 00:04:00.000]  And it was Stephen Crowder back when everybody turned their back on me pretty much during de-platforming
[00:04:00.000 --> 00:04:02.000]  other than Tucker Carlson that stood up for me.
[00:04:02.000 --> 00:04:06.000]  And he didn't shut down during the first lockdown, the first days of that.
[00:04:06.000 --> 00:04:08.000]  So he's the type of guy I want to work with.
[00:04:09.000 --> 00:04:12.000]  I love the energy, the intelligence of these folks.
[00:04:12.000 --> 00:04:17.000]  And this is a teaming up of InfoWars and Alex Jones and my crew with their crew.
[00:04:17.000 --> 00:04:19.000]  So it is definitely exciting.
[00:04:19.000 --> 00:04:21.000]  But remember, it's you that are the main crew.
[00:04:21.000 --> 00:04:22.000]  When you get excited, nothing stops.
[00:04:22.000 --> 00:04:23.000]  You tell everybody you know.
[00:04:23.000 --> 00:04:29.000]  Tune in now to InfoWars.com forward slash show and those local AM and FM stations that are amazing picking us up
[00:04:29.000 --> 00:04:32.000]  and the cable and TV stations to tell folks history is happening now.
[00:04:32.000 --> 00:04:35.000]  We have a patriot pro-America communication system.
[00:04:35.000 --> 00:04:37.000]  We are unstoppable.
[00:04:37.000 --> 00:04:41.000]  If we don't have that, they're going to continue to rule over this country, the deep state.
[00:04:41.000 --> 00:04:42.000]  You saw that.
[00:04:42.000 --> 00:04:45.000]  The intelligence agencies, the censorship, the surveillance that I told you about years ago,
[00:04:45.000 --> 00:04:48.000]  now all admitted in Congress the last few months.
[00:04:48.000 --> 00:04:51.000]  Humanity is striking back in the InfoWars.
[00:04:51.000 --> 00:04:54.000]  And this is such a historic moment to be alive.
[00:04:54.000 --> 00:04:55.000]  We're going to go to break for one minute.
[00:04:55.000 --> 00:04:58.000]  Join a lot of radio stations and TV stations to join us at six after.
[00:04:58.000 --> 00:05:00.000]  We're going to go to excerpts of the press conference.
[00:05:01.000 --> 00:05:08.000]  I beg you to think about how important your word of mouth is and you sharing the articles
[00:05:08.000 --> 00:05:12.000]  and sharing the videos and telling people get the forbidden truth you're not supposed to find
[00:05:12.000 --> 00:05:18.000]  at InfoWars.com forward slash show and getting products at InfoWarsStore.com.
[00:05:18.000 --> 00:05:22.000]  We've got three amazing products in stock, ready to ship, sold out for almost six months.
[00:05:22.000 --> 00:05:25.000]  Vitamin Mineral Fusion, so incredible, so good for your whole body.
[00:05:25.000 --> 00:05:28.000]  A one-stop shop for everything you need for vitamins, minerals,
[00:05:28.000 --> 00:05:30.000]  and key amino acids for your immune system and more.
[00:05:30.000 --> 00:05:32.000]  Back in stock, discounted.
[00:05:32.000 --> 00:05:35.000]  Silver Bullet, 30 parts per million from the top lab in the country,
[00:05:35.000 --> 00:05:37.000]  probably by us, discounted.
[00:05:37.000 --> 00:05:38.000]  InfoWarsStore.com.
[00:05:38.000 --> 00:05:41.000]  Nitric Boost to clean out your blood and make you healthier.
[00:05:41.000 --> 00:05:42.000]  It's in stock.
[00:05:42.000 --> 00:05:43.000]  Rave reviews.
[00:05:43.000 --> 00:05:45.000]  Top doctors say it's amazing.
[00:05:45.000 --> 00:05:47.000]  InfoWarsStore.com.
[00:05:47.000 --> 00:05:48.000]  And that keeps us on air.
[00:05:48.000 --> 00:05:50.000]  Thank you so much for your support.
[00:05:50.000 --> 00:05:51.000]  Spread the word.
[00:05:51.000 --> 00:05:52.000]  Pray for the broadcast.
[00:05:52.000 --> 00:05:58.000]  And go now to InfoWarsStore.com and get great products that keep the tip of the spear in the fight.
[00:06:12.000 --> 00:06:16.000]  It's Tuesday, August 8th, 2023.
[00:06:16.000 --> 00:06:19.000]  Historic developments in the fight for free speech
[00:06:19.000 --> 00:06:23.000]  and the restoration of our republic, 1776, worldwide.
[00:06:23.000 --> 00:06:25.000]  And I think the best way to lay out what's just happened
[00:06:25.000 --> 00:06:30.000]  is to air 15 minutes from the hour-and-a-half long incredible press conference
[00:06:30.000 --> 00:06:34.000]  that just ended about 35, 40 minutes ago here in North Texas
[00:06:34.000 --> 00:06:36.000]  at Stephen Crowder's incredible studios.
[00:06:36.000 --> 00:06:38.000]  They plan to bring on hundreds of hosts.
[00:06:38.000 --> 00:06:40.000]  They're going to have dozens of people on air.
[00:06:40.000 --> 00:06:44.000]  They're reaching 6, 7 million people every day.
[00:06:44.000 --> 00:06:47.000]  This is the biggest thing out there already,
[00:06:47.000 --> 00:06:48.000]  and it is about to explode.
[00:06:48.000 --> 00:06:50.000]  The system fears this.
[00:06:50.000 --> 00:06:51.000]  They're scared of this.
[00:06:51.000 --> 00:06:53.000]  InfoWars is going anywhere.
[00:06:53.000 --> 00:06:57.000]  This is InfoWars teaming up with Stephen Crowder
[00:06:57.000 --> 00:07:00.000]  and his incredible operation for reporters on the ground, investigative reports,
[00:07:00.000 --> 00:07:03.000]  just a massive expansion in the fight against tyranny.
[00:07:03.000 --> 00:07:06.000]  Instead of just hanging on, we are going to thrive.
[00:07:06.000 --> 00:07:08.000]  You either thrive or you implode.
[00:07:08.000 --> 00:07:11.000]  Well, we are going on the offense because if the globalists want to fight,
[00:07:11.000 --> 00:07:13.000]  we're not sure how this is going to end.
[00:07:13.000 --> 00:07:16.000]  But if they want to fight, they better believe they've got one.
[00:07:16.000 --> 00:07:20.000]  So we're about to air some of the press conference today.
[00:07:20.000 --> 00:07:24.000]  Everybody should go to ladderwithcrowder.com.
[00:07:24.000 --> 00:07:25.000]  Everybody should go there right now.
[00:07:25.000 --> 00:07:28.000]  If people want to see the new three-hour podcast, I'm going to start every week,
[00:07:28.000 --> 00:07:32.000]  and then it's going to expand to every day with the regular InfoWars show
[00:07:32.000 --> 00:07:33.000]  and so much more.
[00:07:33.000 --> 00:07:37.000]  You should go and sign up right now at jonescrowder.com,
[00:07:37.000 --> 00:07:41.000]  and you get a free month for all the shows with Stephen Crowder
[00:07:41.000 --> 00:07:44.000]  and all the other programs that are being launched and the Hodge Twins and more,
[00:07:44.000 --> 00:07:46.000]  and then that builds the infrastructure.
[00:07:46.000 --> 00:07:50.000]  Because imagine if instead of just a boycott,
[00:07:50.000 --> 00:07:53.000]  $40-something billion that Anheuser-Busch lost with the Bud Light thing,
[00:07:53.000 --> 00:07:57.000]  imagine a billion-dollar boycott.
[00:07:57.000 --> 00:08:00.000]  Hey, folks, if $50 million comes in, this will dwarf everything.
[00:08:00.000 --> 00:08:03.000]  This will dwarf all the other networks, Daily Wire, all of it.
[00:08:03.000 --> 00:08:04.000]  But it's not about competition.
[00:08:04.000 --> 00:08:08.000]  It's about the other conservative networks aren't going 20% of the way.
[00:08:08.000 --> 00:08:10.000]  We're going all the way to bring down the new world order
[00:08:10.000 --> 00:08:12.000]  with tomorrow's news today.
[00:08:12.000 --> 00:08:16.000]  So go to jonescrowder.com, jonescrowder.com,
[00:08:16.000 --> 00:08:19.000]  and we'll put that on screen later, jonescrowder.com,
[00:08:19.000 --> 00:08:23.000]  and that takes you right to the subpage at ladderwithcrowder.com
[00:08:23.000 --> 00:08:26.000]  where you get the free month.
[00:08:26.000 --> 00:08:29.000]  They've got a bunch of other specials and a bunch of other deals there as well,
[00:08:29.000 --> 00:08:31.000]  so be sure to take advantage of that.
[00:08:31.000 --> 00:08:33.000]  It takes money to fight a war.
[00:08:33.000 --> 00:08:36.000]  You want us to fight hard and go to Bilderberg and go to Bohemian Grove
[00:08:36.000 --> 00:08:39.000]  and go to all the other big events.
[00:08:39.000 --> 00:08:45.000]  You want us to go to the DNC, the RNC, Reporters on the Border.
[00:08:45.000 --> 00:08:47.000]  You want us to go to the Davos Group.
[00:08:47.000 --> 00:08:50.000]  We're going to do it, and this is the next level.
[00:08:50.000 --> 00:08:52.000]  I want to salute the info warriors out there.
[00:08:52.000 --> 00:08:58.000]  Go to jonescrowder.com now and be the frontline patriots,
