[00:00:01.000 --> 00:00:16.000]  Intro
[00:00:16.000 --> 00:00:21.000]  InfoWars. Tomorrow's News. Today.
[00:00:30.000 --> 00:00:55.000]  InfoWars. Today's News.
[00:00:55.000 --> 00:01:20.000]  Music
[00:01:20.000 --> 00:01:30.000]  Ladies and gentlemen.
[00:01:30.000 --> 00:01:35.000]  It is Tuesday, May 2nd, 2023.
[00:01:35.000 --> 00:01:37.000]  I'm your host, Alex Jones.
[00:01:37.000 --> 00:01:41.000]  And I'm particularly prepared for the last three days for this broadcast.
[00:01:41.000 --> 00:01:46.000]  Every stack of news here in front of me is incredibly important and beyond critical.
[00:01:46.000 --> 00:01:57.000]  That said, I have learned information the last 48 hours from multiple sources just dealing with what's happening on this planet
[00:01:57.000 --> 00:02:05.000]  that is so amazing that I have trouble even being on air.
[00:02:05.000 --> 00:02:11.000]  Because I'm not allowed to tell you about it, it was told to me in confidence.
[00:02:11.000 --> 00:02:22.000]  And so, different individuals I talked to, I said, well, can I couch it and can I basically disguise where the information came from?
[00:02:22.000 --> 00:02:29.000]  And they said, no, we just want you to know this and that you've been dead on.
[00:02:29.000 --> 00:02:39.000]  And at some point, very soon, hopefully they will talk about it.
[00:02:39.000 --> 00:02:43.000]  And I'm just going to leave it at that.
[00:02:43.000 --> 00:02:46.000]  I'm just going to leave it at that.
[00:02:46.000 --> 00:02:54.000]  But there's a reason we came in with a short clip of Disney's Fantasia Night on Bald Mountains.
[00:02:54.000 --> 00:02:59.000]  Just to give you a little commentary on what we're dealing with here.
[00:02:59.000 --> 00:03:09.000]  But very high level people have been having experiences that are biblical.
[00:03:09.000 --> 00:03:14.000]  And these have been individuals that didn't really believe in God, didn't really know what God was.
[00:03:14.000 --> 00:03:19.000]  And they're being shown directly just how spiritual this is.
[00:03:19.000 --> 00:03:22.000]  And I'm going to stop right there.
[00:03:22.000 --> 00:03:24.000]  I'm going to stop right there.
[00:03:24.000 --> 00:03:33.000]  But I've talked to multiple high up individuals and who are witnesses to some things that I've talked about on air.
[00:03:33.000 --> 00:03:36.000]  How I know God's real and I know the devil's real.
[00:03:36.000 --> 00:03:40.000]  Why every culture talks about this and the same thing unfolds.
[00:03:40.000 --> 00:03:46.000]  But we know there's a time, the Bible tells us, when evil will be turned loose on the earth.
[00:03:46.000 --> 00:03:52.000]  And that is the time we're living in.
[00:03:52.000 --> 00:03:57.000]  And like a cup being poured out, God is going to remove the protection from us.
[00:03:57.000 --> 00:03:59.000]  That means all of us to a great extent.
[00:03:59.000 --> 00:04:06.000]  But those of us that believe in Christ and call on Christ's name and truly believe in Christ will have the greatest protection.
[00:04:06.000 --> 00:04:12.000]  In fact, that's what's led these individuals to really know how real God is.
[00:04:13.000 --> 00:04:23.000]  They understood from what they heard from myself and others that if they did get attacked by this system spiritually,
