[00:00:11.167 --> 00:00:13.314]  The Alex Jones Show.
[00:00:13.314 --> 00:00:15.260]  Because there is a war on.
[00:00:15.260 --> 00:00:16.163]  For your mind.
[00:00:18.363 --> 00:00:19.244]  The View.
[00:00:19.244 --> 00:00:27.629]  A panel of leftists spewing Alinsky-i-propaganda-i slogans based on weaponized disinformation to their gullible mob audience.
[00:00:27.629 --> 00:00:33.253]  It's only a matter of time before Trump derangement syndrome begins to bubble to the surface.
[00:00:33.253 --> 00:00:34.334]  I have an ideologue.
[00:00:34.334 --> 00:00:38.397]  I mean, I have been in the crime business for over three decades.
[00:00:38.397 --> 00:00:40.478]  And I think I said that before.
[00:00:40.478 --> 00:00:42.660]  And I know a con when I see it.
[00:00:43.380 --> 00:00:53.524]  And I think that what has happened in the last... I think that what has happened, truly, in the last campaign, and everybody needs to be concerned about that.
[00:00:53.524 --> 00:00:55.544]  Lady Justice is supposed to be blind.
[00:00:55.544 --> 00:00:57.165]  I'm not an ideologue.
[00:00:57.165 --> 00:00:57.825]  I'm not.
[00:00:57.825 --> 00:01:01.706]  I am in law enforcement and it's right and real.
[00:01:01.706 --> 00:01:05.588]  Do you think Donald Trump embraces and embodies conservative ideology?
[00:01:06.468 --> 00:01:11.872]  Remember, he used to have a different position on pro-choice.
[00:01:11.872 --> 00:01:13.633]  He's imposing tariffs.
[00:01:13.633 --> 00:01:14.974]  He's against globalism.
[00:01:14.974 --> 00:01:18.416]  Do you think he is an ideologue that is faithful to conservative policies?
[00:01:18.416 --> 00:01:21.819]  You know, I'm not here to talk about what Donald Trump is and isn't.
[00:01:25.501 --> 00:01:31.704]  If you want to talk about Donald Trump, you tell me what metric in this country is worse off.
[00:01:31.704 --> 00:01:34.905]  Unemployment is lower than it's been in 50 years.
[00:01:34.905 --> 00:01:38.967]  Minorities, Hispanics, African-Americans have jobs.
[00:01:38.967 --> 00:01:45.629]  Wait a minute, the GDP under Obama was barely 1.
[00:01:45.629 --> 00:01:46.550]  We're going up to 4.
[00:01:46.550 --> 00:01:50.531]  And if Democrats don't get their you-know-what together, he's certainly going to get real.
[00:01:50.531 --> 00:01:53.212]  Here's my question for you, because you talk about... I am not.
[00:01:56.815 --> 00:01:57.896]  Did you just point at me?
[00:01:57.896 --> 00:02:00.760]  Listen, I don't have Trump derangement.
[00:02:00.760 --> 00:02:02.161]  Let me tell you what I have.
[00:02:02.161 --> 00:02:09.249]  I have a lot of... I'm tired of people starting a conversation with Mexicans or liars and rapists.
[00:02:09.249 --> 00:02:12.533]  I'm tired of people starting a conversation...
[00:02:12.881 --> 00:02:16.364]  This is where the Trump Derangement Syndrome starts to fester.
[00:02:16.364 --> 00:02:18.445]  Whoopi is arguing a moot point.
[00:02:18.445 --> 00:02:22.428]  Yes, Whoopi, over 32% of federal inmates in the U.S.
[00:02:22.428 --> 00:02:24.230]  are illegal aliens.
[00:02:24.230 --> 00:02:26.912]  And yes, roughly 5,000 U.S.
[00:02:26.912 --> 00:02:30.815]  citizens die every year as a result of illegal alien drivers.
[00:02:30.815 --> 00:02:35.999]  And yes, there is a largely ignored rape epidemic of American children by illegal aliens.
[00:02:35.999 --> 00:02:37.720]  And yes, it does cost the U.S.
[00:02:37.720 --> 00:02:39.221]  taxpayers roughly $113 billion per year.
[00:02:41.623 --> 00:02:45.407]  Listen, I'm 62 years old, there have been a lot of people in office that I didn't agree with, but I have never, ever
[00:03:05.455 --> 00:03:06.936]  I've never seen anything like this.
[00:03:06.936 --> 00:03:09.699]  I've never seen anybody whip up such hate.
[00:03:09.699 --> 00:03:19.787]  I've never seen anybody be so dismissive.
[00:03:19.787 --> 00:03:25.472]  One of the things that you talk about a lot, and I'm curious about it, is the deep state.
[00:03:25.472 --> 00:03:27.954]  How long has the deep state been there, and who's running it?
[00:03:28.334 --> 00:03:33.059]  Unfortunately, the judge isn't permitted to answer, so I will answer for her.
[00:03:33.059 --> 00:03:39.747]  The Deep State is a massive bureaucratic fourth branch of government that continues to infest Washington, D.C.
[00:03:39.747 --> 00:03:42.891]  as it remains indefinitely immune to our election process.
[00:03:43.291 --> 00:04:00.624]  As presidents and congressmen have come and gone, foreign and internal corruption have ensured that the deep state has grown in stature, feeding on, limiting, and ultimately destroying our Bill of Rights in order to gain an elitist totalitarian stranglehold on our country and its citizens.
[00:04:01.244 --> 00:04:19.210]  Its minions inhabit the intelligence community, the Pentagon, congressional lobbyists and politicians, think tanks like the Council on Foreign Relations, and representatives of the United Nations as the UN Agendas 21 and 30 are wielded on sovereignty across the globe.
[00:04:19.210 --> 00:04:23.452]  Its origins in the United States are embedded in the history of the Federal Reserve.
[00:04:24.652 --> 00:04:26.834]  And we have been told of its intentions.
[00:04:26.834 --> 00:04:43.808]  Eisenhower warned us of the military-industrial complex, JFK warned us of secret societies, and previous presidencies have exposed its power by kowtowing to policies in direct opposition of their own promises to the American citizenry.
[00:04:44.688 --> 00:04:48.171]  It's not a small, insignificant boogeyman, Whoopi.
[00:04:48.171 --> 00:04:50.934]  It is massive, and it is very real.
[00:04:50.934 --> 00:04:59.001]  The irony is, the daughter of one of its most prominent agents, John McCain, is sitting directly across from a man...
[00:05:00.657 --> 00:05:02.959]  Fueling your body is hard work.
[00:05:02.959 --> 00:05:08.742]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[00:05:08.742 --> 00:05:17.168]  Combine FloraLife Everyday Maintenance and Carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[00:05:17.168 --> 00:05:19.390]  There's no better way to power your body.
[00:05:19.910 --> 00:05:26.813]  Floralife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[00:05:26.813 --> 00:05:37.959]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[00:05:37.959 --> 00:05:44.882]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[00:05:45.402 --> 00:05:51.566]  There's no better time to try Floralife and Carnivore to see how well they can support your body.
[00:05:51.566 --> 00:05:55.409]  Don't miss out on the chance to fuel your body and support recovery.
[00:05:55.409 --> 00:05:58.551]  Try the InfoWars Life Daily Digestive Pack today!
[00:06:01.209 --> 00:06:07.733]  Ladies and gentlemen, we're about to break a world exclusive that will shake the planet if this story gets out.
[00:06:07.733 --> 00:06:13.716]  Hillary Clinton met repeatedly, secretly, with Vladimir Putin and wrote that she bonded with him.
[00:06:13.716 --> 00:06:16.078]  This was all written secretly.
[00:06:16.078 --> 00:06:23.682]  Now she has published it and admitted it and it's hiding in plain view and Google is trying to take it down as fast as they can.
[00:06:23.682 --> 00:06:24.523]  That's right.
[00:06:24.523 --> 00:06:29.726]  Hillary Clinton basically admits she was a Russian agent and sold out our uranium
[00:06:30.126 --> 00:06:31.609]  And she hit it in plain view.
[00:06:31.609 --> 00:06:40.564]  This is the beyond hypocrisy that we're witnessing as she says that we cannot trust Trump because he was at a public sanctioned meeting with Putin.
[00:06:40.564 --> 00:06:41.926]  All of this and more straight ahead.
[00:06:43.459 --> 00:06:48.744]  If you are receiving this transmission, you are the resistance.
