[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the Information War continues.
[00:08.000 --> 00:14.000]  It's Alex Jones and the GCN Radio Network.
[00:14.000 --> 00:17.000]  That's right my friends, the Information War continues.
[00:17.000 --> 00:21.000]  It is Sunday, the 25th day of July 2010.
[00:21.000 --> 00:25.000]  We're going to be live here for the next two hours.
[00:25.000 --> 00:29.000]  Let me throw out some of the news we're going to be going over today.
[00:29.000 --> 00:32.000]  We have a vital stack of economic news.
[00:32.000 --> 00:39.000]  The London Telegraph tells it like it is, just like three months ago the Texas Banking Association told the truth.
[00:39.000 --> 00:46.000]  Obama signs a bill that lets banks have U.S. over a barrel once more.
[00:46.000 --> 00:54.000]  The financial reform bill, just like the healthcare bill, was written by the big banks that own the military industrial complex
[00:54.000 --> 01:00.000]  and that also own the insurance companies because they have an Aladdin's lamp as one listener put it a few weeks ago.
[01:00.000 --> 01:09.000]  They create currency and credit, counterfeit money, and get government to license them to be able to commit a crime that no one else can commit.
[01:09.000 --> 01:15.000]  You try to counterfeit a few thousand dollars, a twenty dollar bill, the Secret Service is coming after you.
[01:15.000 --> 01:23.000]  Kind of like that story a few months ago in California out of Sacramento where the IRS came to a car wash
[01:23.000 --> 01:31.000]  over a four cent unpaid bill with two armed agents, but they won't investigate serious white-collar crime in the billions.
[01:31.000 --> 01:38.000]  Oh yeah, you counterfeit a few thousand dollars, you're going to go to prison for decades, but you counterfeit trillions.
[01:38.000 --> 01:42.000]  You're going to take over the planet and be left alone and bought the politicians.
[01:42.000 --> 01:49.000]  Or you don't pay billions in taxes, you're A-OK because the IRS basically has no enforcers for that.
[01:49.000 --> 01:55.000]  The Wall Street Journal reported that. They're all for blue-collar people, not even middle class now.
[01:55.000 --> 02:04.000]  So that's coming up. Also seven more big U.S. banks collapse on the first day of Europe's stress test.
[02:04.000 --> 02:07.000]  The stress test is being conducted by the big mega banks.
[02:07.000 --> 02:14.000]  The United States and other nations are losing their triple A rating status to the very same central banks that have engineered this.
[02:14.000 --> 02:23.000]  Then they loan us money that they create out of nothing out of thin air with even more interest tagged onto it.
[02:23.000 --> 02:29.000]  That's just some of what's coming up in the economic stack today.
[02:29.000 --> 02:36.000]  Also, I want to get into a very serious report out of the Cyprus Times here in Texas,
[02:36.000 --> 02:44.000]  breaking multiple ranches in Laredo, Texas, taken over by Los Zetas paramilitary narco terrorist.
[02:44.000 --> 02:48.000]  Kurt Nemo's got a detailed report on this.
[02:48.000 --> 02:56.000]  Mexico drug mafia invades Texas. That's up on infowars.com.
[02:56.000 --> 03:08.000]  I also want to get into AZ Central, the Arizona Republic, News 12, and others demonizing myself and Sheriff Paul Babu.
[03:08.000 --> 03:13.000]  And they try to imply with wordsmithing that I'm a white supremacist.
[03:13.000 --> 03:16.000]  And this caused quite a backlash on the Internet.
[03:16.000 --> 03:27.000]  The ADL was criticizing this sheriff for appearing on hundreds of radio shows, one of which is kind of a white nationalist show called the political cesspool.
[03:27.000 --> 03:31.000]  I haven't ever heard it, but I've read about it a few times.
[03:31.000 --> 03:36.000]  It's tame compared to some programs, but clearly is white nationalist.
[03:36.000 --> 03:43.000]  And then they said, oh, but the ADL says that's not the big issue that Alex Jones makes them look like George Will.
[03:43.000 --> 03:50.000]  And so he then turns to Babu and says, so you're on the white supremacist show when this show has nothing to do with that.
[03:50.000 --> 04:02.000]  So very, very serious. We're going to be countering that and tying it in with just the fact that all you hear on MSNBC or CNN is race baiting and race pimping all week long.
[04:02.000 --> 04:12.000]  Every time I turn on television, that's all they're discussing was this case with this bureaucrat who had said that, you know,
[04:12.000 --> 04:15.000]  he was a white farmer, so I didn't help him as much as I could.
[04:15.000 --> 04:19.000]  And then her full statement, she stepped away from that a bit.
[04:19.000 --> 04:23.000]  And then the farmers came out and said, oh, she was actually nice to us.
[04:23.000 --> 04:27.000]  And now the media is using that for incredible diversions and distractions.
[04:27.000 --> 04:29.000]  The bottom line is here.
[04:29.000 --> 04:39.000]  The media wants everybody at each other's throats and both the Republicans and Democrats play this games will be deciphering that today as well.
[04:39.000 --> 04:50.000]  But that isn't even our top story. I'll tell you about our top story when we come back, which is some really exciting positive news on this live Sunday broadcast.
[04:50.000 --> 05:09.000]  The 25th day of July, 2010, the websites are prisonplanet.com and infowars.net. Stay with us.
[05:20.000 --> 05:23.000]  In some areas of the country, the power grid is dangerously overloaded.
[05:23.000 --> 05:27.000]  And now new socialist legislation is only compounding the problem.
[05:27.000 --> 05:30.000]  Number four, dangerous weather is always a threat to local grids.
[05:30.000 --> 05:34.000]  Every year, thousands of families lose their power from weather-related onages.
[05:34.000 --> 05:39.000]  Number five, a solar power generator provides powerful backup insurance and peace of mind.
[05:39.000 --> 05:44.000]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my old sponsors.
[05:44.000 --> 05:50.000]  You can get more information at www.mysolarbackup.com. That's mysolarbackup.com.
[05:50.000 --> 05:59.000]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[05:59.000 --> 06:23.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[06:23.000 --> 06:34.000]  Well, you found it, ladies and gentlemen, the front lines of the Info War, the tip of the spear, the number one radio show online on the planet,
[06:34.000 --> 06:39.000]  and of course, climbing the ranks of hosts that are on the AM and FM dialed.
[06:39.000 --> 06:46.000]  That is all a testament to the great work of our listeners, spreading the word about this broadcast.
[06:46.000 --> 06:51.000]  Thank you so much for joining us on this live Sunday edition.
[06:51.000 --> 06:54.000]  I am, of course, live six days a week, Monday through Friday.
[06:54.000 --> 07:01.000]  We kick off at 11 a.m. central, then I come back with an abbreviated two-hour transmission and broadcast Sundays, 4-6 p.m.
[07:01.000 --> 07:10.000]  All times are central. The websites are prisonplanet.tv, infowars.net, jonesreport.com, if you want to check them out.
[07:10.000 --> 07:21.000]  Of course, our big flagship sites, the number one and number two alternative news websites in the world, respectively, infowars.com and prisonplanet.com.
[07:21.000 --> 07:26.000]  All right, more ominous news on the economic front.
[07:26.000 --> 07:34.000]  Mainstream news admitting that big megabanks wrote the financial reform bill to give them more power over the U.S. economy.
[07:34.000 --> 07:42.000]  Obama signs a bill that lets banks have U.S. over a barrel once more. That's the London Telegraph headline.
[07:42.000 --> 07:45.000]  That's just part of the big stack of financial news.
[07:45.000 --> 07:47.000]  We're going to be going over today.
[07:47.000 --> 07:56.000]  A lot of Tea Party news, major political realignment happening, not just with conservatives, but also people that consider themselves progressives.
[07:56.000 --> 08:03.000]  The new word for communist, which, of course, is all financed by George Soros and the big banks.
[08:03.000 --> 08:05.000]  They love communism.
[08:05.000 --> 08:07.000]  Idiots at the grassroots vote for it.
[08:07.000 --> 08:09.000]  The middle class is destroyed.
[08:09.000 --> 08:15.000]  All the money is handed to the elite who, on record, don't want a middle class under waging war against new money.
[08:15.000 --> 08:23.000]  We've also got Texas newspaper The Cyprus Times reporting multiple ranches in Laredo, Texas, taken over by Los Zetas.
[08:23.000 --> 08:33.000]  Three months ago, the media was laughing at the fact that over 80 miles of Arizona is basically off limits to citizens, major highways, roads, and national and state parks.
[08:33.000 --> 08:38.000]  Now that's admitted with the federal government putting up signs everywhere saying, don't go into these national parks.
[08:38.000 --> 08:41.000]  Don't drive down this highway. It's not safe.
[08:41.000 --> 08:46.000]  Well, now that's happening in Texas, and we've got multiple sheriffs and others on record there.
[08:46.000 --> 08:53.000]  If you want to read the full breakdown of this, Kurt Nemo wrote a story yesterday on Saturday at infowars.com.
[08:53.000 --> 08:56.000]  Mexican drug mafia invades Texas.
[08:56.000 --> 08:58.000]  Major shootouts.
[08:58.000 --> 09:00.000]  It's just intensifying.
[09:00.000 --> 09:10.000]  A federal judge is making noises that he is going to rule against the federal lawsuit, saying that on its face it appears to have no standing against Arizona,
[09:10.000 --> 09:15.000]  because it doesn't set up checkpoints and arrest Hispanics as the media has been lying.
[09:15.000 --> 09:24.000]  It says if they pull over a drunk driver or they pull somebody over for speeding and they have no ID and they're an illegal alien, they're going to be taken to jail.
[09:24.000 --> 09:35.000]  Now, if you don't like that system, fine, but it should also be that citizens don't have to have licenses and don't have to have registration and don't have to have insurance.
[09:35.000 --> 09:40.000]  I mean, if you don't like that and think it's a police state, and it very well may be.
[09:40.000 --> 09:45.000]  You know, 60, 70 years ago Americans wouldn't put up with that. Now we do.
[09:45.000 --> 09:48.000]  But the question is, why are the illegal aliens above the law?
[09:48.000 --> 09:57.000]  That's because 800 plus cities are sanctuary cities and they want the illegals here to drive down the wages and to be a voting block to vote for big government and anti-second amendment.
[09:57.000 --> 10:02.000]  And that's why I'm opposed to this, because you have a socialist government with all this welfare.
[10:02.000 --> 10:07.000]  You've got hundreds of millions of people worldwide trying to come here, 30 plus million that have come here in the last decade.
[10:07.000 --> 10:12.000]  Most of which are on welfare while working jobs as well, but they use it as a supplement.
[10:12.000 --> 10:14.000]  And why not? The government gives it to them.
[10:14.000 --> 10:20.000]  And we've got 46 states bankrupt or on the verge of bankruptcy, according to Bloomberg and their breakdown analysis.
[10:20.000 --> 10:24.000]  So the country is going into depression. We cannot pay for this.
[10:24.000 --> 10:27.000]  So we'll also be discussing that coming up.
[10:27.000 --> 10:33.000]  And I want to get into how the media is using race as their main diversion, their main distraction.
[10:33.000 --> 10:39.000]  And not just the Democrats. Republicans are playing into this as well, though the Democrats are more brazen.
[10:39.000 --> 10:46.000]  Oh, you don't want government healthcare. You're a racist. You don't want to have gun control. You're a racist.
