[00:00:05.120 --> 00:00:09.944]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:09.944 --> 00:00:11.546]  You want answers?
[00:00:11.546 --> 00:00:13.087]  Well, so does he.
[00:00:13.087 --> 00:00:17.291]  He's Alex Jones on the GCN Radio Network.
[00:00:17.291 --> 00:00:21.355]  And now, live from Austin, Texas, Alex Jones.
[00:00:43.356 --> 00:00:49.640]  The Guantanamo Five are top Taliban commanders, and the group has tried to free them for more than a decade.
[00:00:49.640 --> 00:01:00.566]  According to a 2008 Pentagon dossier on Guantanamo Bay inmates, it was disclosed by WikiLeaks, all five men released were considered to be a high risk to launch attacks against the U.S.
[00:01:00.566 --> 00:01:02.888]  and its allies if they were liberated.
[00:01:03.228 --> 00:01:13.997]  Mullah Mohammad Fazl is Taliban's former Deputy Defense Minister and is wanted by the United Nations for his role in massacres targeting Afghan's Shiite Muslim population.
[00:01:13.997 --> 00:01:21.903]  Mullah Narula Noori was a senior Taliban military figure directly subordinate to Taliban's Supreme Leader Mullah Ammar.
[00:01:21.903 --> 00:01:23.664]  Noori led troops against U.S.
[00:01:23.664 --> 00:01:27.007]  and coalition forces and is also wanted by the U.N.
[00:01:27.007 --> 00:01:30.550]  for possible war crimes, including the murder of thousands of Shiites.
[00:01:30.990 --> 00:01:35.331]  Abdul Haq Wasik is a former Deputy Minister of Intelligence.
[00:01:35.331 --> 00:01:37.592]  At one point he tried to cooperate with U.S.
[00:01:37.592 --> 00:01:43.973]  forces in Afghanistan, asking for a GPS system as well as a special radio to communicate with the U.S.
[00:01:43.973 --> 00:01:47.174]  military after the invasion in 2001.
[00:01:47.174 --> 00:01:55.396]  His dossier says that while he was Deputy Intelligence Minister, he was a crucial liaison between the Taliban and other Islamic fundamentalist groups.
[00:01:55.876 --> 00:02:01.040]  Mohammed Nabi Omari held several military leadership posts for the Taliban.
[00:02:01.040 --> 00:02:05.624]  He helped organize the Al-Qaeda and Taliban militias that fought against U.S.
[00:02:05.624 --> 00:02:08.286]  and coalition troops in the first year of the war.
[00:02:08.286 --> 00:02:14.491]  Nabi maintained weapons caches and supported extremist activities by smuggling fighters and weapons.
[00:02:14.491 --> 00:02:17.914]  Nabi maintains strong ties to active networks.
[00:02:19.876 --> 00:02:30.324]  A former Taliban governor of Herat was considered by the Pentagon's 2008 dossier to be a likely heroin trafficker and a major opium drug lord in western Afghanistan.
[00:02:30.324 --> 00:02:36.250]  And he likely participated in meetings with Iranian officials after 9-11 to help plot attacks on U.S.
[00:02:36.250 --> 00:02:36.970]  forces.
[00:02:36.970 --> 00:02:43.175]  The dossier says the detainee claimed to be a longtime friend of Afghanistan's President Hamid Karzai.
[00:02:43.175 --> 00:02:45.217]  According to Afghanistananalysts.org,
[00:02:46.158 --> 00:02:49.660]  Karikwa is the most senior of the five on the list.
[00:02:49.660 --> 00:02:54.843]  He is one of the fraternity of original Taliban who launched the movement in 1994.
[00:02:54.843 --> 00:03:01.468]  In other words, he is someone who will still command a great deal of influence and respect among today's insurgents.
[00:03:02.088 --> 00:03:04.889]  This week's secret diplomacy was not the first time the U.S.
[00:03:04.889 --> 00:03:10.510]  government has engaged the Taliban in an effort to negotiate a prisoner swap for Bergdahl's release.
[00:03:10.510 --> 00:03:16.351]  In 2011, State Department officials held a series of meetings with Taliban leaders in Doha.
[00:03:16.351 --> 00:03:19.292]  At the time, Dianne Feinstein opposed the swap, saying,
[00:03:23.553 --> 00:03:26.735]  And they will not be held in maximum security custody.
[00:03:26.735 --> 00:03:30.677]  Forget that it won't be Guantanamo, just maximum security custody.
[00:03:30.677 --> 00:03:36.781]  And in my view, there's no way of knowing what they may do and what kind of propaganda they may breed.
[00:03:36.781 --> 00:03:41.703]  Lawmakers suspected the released Taliban could eventually end up returning to the fight.
[00:03:41.703 --> 00:03:44.125]  So, what has changed in the last few years?
[00:03:47.691 --> 00:03:52.173]  Live on this June 3rd, 2014 Tuesday edition.
[00:03:52.173 --> 00:03:53.394]  I am your host Alex Jones.
[00:03:53.394 --> 00:03:54.894]  I am on the road today.
[00:03:54.894 --> 00:04:05.459]  I will be riding shotgun with David Knight, co-host of the radio show, along with Paul Watson, who also co-hosts the radio show slash TV transmission on a regular basis.
[00:04:05.459 --> 00:04:07.600]  So, Watson will be joining us from England.
[00:04:08.851 --> 00:04:24.137]  We're also going to have another guest who has a TV network in England, a host on the TV network that he also helps manage, who's going to be breaking down Bilderberg 2014, and again, Richie Allen.
[00:04:24.137 --> 00:04:28.258]  So we're going to have Richie Allen, David Knight, Paul Watson, and Alex Jones here today.
[00:04:28.258 --> 00:04:30.319]  Huge developments on the rollout
[00:04:31.039 --> 00:04:36.048]  of the Homeland Security grid against domestic groups breaking at InfoWars.com.
[00:04:36.048 --> 00:04:38.952]  It's all coming up straight ahead on this Tuesday edition.
[00:04:38.952 --> 00:04:39.694]  I'm Alex Jones.
[00:04:43.629 --> 00:04:45.931]  Hi, I'm Dr. Edward Group.
[00:04:45.931 --> 00:04:53.376]  It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
[00:04:53.376 --> 00:05:04.203]  The new Survival Shield X2 is mined from 7,000 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[00:05:04.203 --> 00:05:13.429]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth.
[00:05:14.169 --> 00:05:18.231]  It's the strongest nascent iodine on the market today.
[00:05:18.231 --> 00:05:21.992]  It delivers 650 micrograms per drop.
[00:05:21.992 --> 00:05:24.033]  Experience the new formula.
[00:05:24.033 --> 00:05:26.614]  Experience the ancient purity.
[00:05:26.614 --> 00:05:27.955]  Shield your family.
[00:05:27.955 --> 00:05:29.776]  Survival Shield X2.
[00:05:29.776 --> 00:05:32.937]  Available now at InfoWarsLife.com.
[00:05:32.937 --> 00:05:36.898]  X2 from InfoWarsLife.com or call toll free 888-253-3139.
[00:05:41.877 --> 00:05:49.044]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[00:05:49.044 --> 00:05:51.386]  But it's not just the air outside that's toxic.
[00:05:51.386 --> 00:05:56.670]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[00:05:56.670 --> 00:06:01.635]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[00:06:01.835 --> 00:06:05.156]  There are more than 42 million smokers in the United States.
[00:06:05.156 --> 00:06:09.238]  Well over a thousand types of mold and mildew linked to numerous conditions.
[00:06:09.238 --> 00:06:13.560]  And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[00:06:13.560 --> 00:06:23.784]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[00:06:23.784 --> 00:06:26.285]  Made with organic and wild cultivated herbs,
[00:06:26.505 --> 00:06:34.697]  And manufactured in the USA, the new InfoWars Life Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[00:06:34.697 --> 00:06:38.682]  Now available exclusively at InfoWarsLife.com or by calling toll free 888-253-3139.
[00:06:42.011 --> 00:06:48.153]  General, what do you think about the FBI saying that there's a terror alert on Monday about a potential forfeiture situation?
[00:06:48.153 --> 00:06:51.434]  The police are shoving people, shoving Alex, shoving the crowd.
[00:06:51.434 --> 00:06:52.314]  Here we go, folks!
[00:06:52.314 --> 00:06:53.234]  I'm being assaulted!
[00:06:53.234 --> 00:06:59.576]  Whether it's the radio show, the news websites, documentary films, or the nightly news, InfoWars is the tip of the spear.
[00:06:59.576 --> 00:07:05.478]  Is this another false flag stage attack to take our civil liberties and put more homeless in security by sticking our hands down on the fence on the streets?
[00:07:05.638 --> 00:07:09.579]  It's up to us to set brush fires in the minds of men and women everywhere.
[00:07:09.579 --> 00:07:12.660]  And that's what PrisonPlanet.TV is designed to do.
[00:07:12.660 --> 00:07:20.942]  You watch the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[00:07:20.942 --> 00:07:23.023]  What we see now is a war against reality.
[00:07:23.023 --> 00:07:24.083]  It's a war against the truth.
[00:07:24.443 --> 00:07:33.389]  It's more vital than ever that supporters of freedom become members of PrisonPlanet.tv and share their membership with up to 11 friends and family.
[00:07:33.389 --> 00:07:36.051]  Visit InfoWarsNews.com today.
[00:07:36.051 --> 00:07:44.876]  Become a member, share your membership, and help take the InfoWar to the next level.
[00:07:44.876 --> 00:07:45.457]  What's his name?
[00:08:06.934 --> 00:08:08.634]  There is a war.
[00:08:08.634 --> 00:08:10.455]  It's happening now.
[00:08:10.455 --> 00:08:12.875]  It will decide the fate of humanity.
[00:08:12.875 --> 00:08:15.456]  The time to choose sides has come.
[00:08:15.456 --> 00:08:17.357]  We are the resistance.
[00:08:17.357 --> 00:08:19.057]  We are the InfoWar.
[00:08:24.807 --> 00:08:29.751]  Ladies and gentlemen, it is Tuesday, June 3rd, 2014.
[00:08:29.751 --> 00:08:39.459]  I am your host, Alex Jones, coming to you from deep in the heart of South Texas, on the road with my family, but also working on some stories while I'm at it.
