[00:00.000 --> 00:14.000]  And now, the tip of the spear, leading the fight to take back the nation, it's Olin Shroyer.
[00:14.000 --> 00:36.000]  You're listening to the Alex Jones Show.
[00:36.000 --> 00:41.000]  Guys, I'm having an audio issue. What's the deal here? Am I live? Okay.
[00:41.000 --> 00:49.000]  I'll tell you, it's, of course, that's how the show would start. That pretty much represents the chaos that we're in right now.
[00:49.000 --> 01:08.000]  I'll tell you, it's amazing. I can't even believe that I'm hosting the Alex Jones Show while we are literally in the most paramount times probably of world history today.
[01:08.000 --> 01:19.000]  And you look at everything that's going on, you try to add it all up, you try to put it into a formula, you try to reach a conclusion, and that's the only conclusion you can reach.
[01:19.000 --> 01:32.000]  There is no other conclusion to be reached yet other than that these times are the most historical, most paramount, most incredible times you ever be alive.
[01:32.000 --> 01:44.000]  Whether it's being on the brink of World War III over Syria and Russia, and now you've got rhetoric being hurled back and forth between Russia like a ping-pong ball,
[01:44.000 --> 01:51.000]  and the United States just playing ping-pong, World War III ping-pong back and forth over Syria. Syria's the ping-pong ball.
[01:51.000 --> 02:15.000]  Or you've got, and this is the incredible angle that doesn't make sense in the overall equation. Unless, which leads me to my question today, is Donald Trump that dumb or is Donald Trump that smart to be playing World War III ping-pong with Russia?
[02:15.000 --> 02:25.000]  Now what do I mean by that? Do not forget about the Mueller probe. What is the purpose of the Mueller probe? Russian collusion.
[02:25.000 --> 02:34.000]  The Mueller probe has pretty much, whatever you want to call it, the Mueller probe, and it is a probe. Probing anything, probing everything.
[02:34.000 --> 02:52.000]  We've got more clips on that. He's limitless. But think about it. Mueller sends in the FBI to raid Trump's longtime lawyer's office. They say it's for documents pertaining to the Stormy Daniels case.
[02:52.000 --> 03:01.000]  But he could have taken anything. He could have taken the documents from every meeting that Trump's ever had with Cohen. And this is supposed to be part of the Russian collusion probe.
[03:01.000 --> 03:10.000]  So you've got Russia and the United States, Trump and Putin playing World War III ping-pong with Syria as the ping-pong ball.
[03:10.000 --> 03:25.000]  But then you have the Mueller probe investigating Trump colluding with Russia as if Russia and Trump were colluding the whole time and they've just raided his longtime lawyer's place, multiple places raided.
[03:25.000 --> 03:37.000]  So what is going on? Is Trump colluding with Russia and Mueller is probing to find that out because this is real? This is a threat? Trump and Russia taking over?
[03:37.000 --> 03:51.000]  Or is Trump playing World War III ping-pong with Russia the real deal? And that's the real deal. Is Trump either in bed with Russia or is Trump either about to go to World War III with Russia?
[03:51.000 --> 04:00.000]  And that's why you say, is Trump that dumb? Is Trump that dumb that he would go to World War III with Russia over a false flag in Syria?
[04:00.000 --> 04:15.000]  Or is Trump that smart that he would play the deep state Russian collusion probe like a fiddle and balk and head fake going to World War III with Russia over Syria, even though that's not really the plan?
[04:15.000 --> 04:28.000]  And if that's the case, you would have to assume or hope to assume that Trump and Putin have already worked out a deal and this is all political theater.
[04:28.000 --> 04:38.000]  So is that political theater? Is Mark Zuckerberg being grilled on the Hill for the second straight day, not under oath? Is that political theater?
[04:38.000 --> 04:48.000]  Is Robert Mueller's probe into Russian collusion with Donald Trump rating Trump's longtime lawyer's office? Is that political theater? Or is all of it real?
[04:48.000 --> 05:00.000]  I don't know. Like I said, the only conclusion I can reach today is that this is the most paramount time in human history. You better be awake for it.
