[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the Information War continues.
[00:08.000 --> 00:30.000]  It's Alex Jones and the GCN Radio Network.
[00:30.000 --> 00:42.000]  Okay, ladies and gentlemen, we are live. Thank you so much for joining us. It is Sunday, the 11th day of July, 2010.
[00:42.000 --> 00:50.000]  We're going to be here for the next two hours live.
[00:50.000 --> 01:03.000]  And you know, I really shouldn't talk about any of this incredibly important information I have in front of me. Just minutes ago, Spain scored a goal in the World Cup against the team they're playing, and there's only about a minute left in play.
[01:03.000 --> 01:19.000]  So it looks like the World Cup champions for 2010 and this round is Spain, unless a miracle in the next minute or so happens. My goodness, that's what's really important here today.
[01:19.000 --> 01:28.000]  So important. Why not even come in? But don't worry, we're going to talk about LeBron James and how he's going to Miami Heat and how he's leaving the Cleveland Cavaliers.
[01:28.000 --> 01:35.000]  We're going to cover the issues that are important. I'm not going to talk about Senate bill would make airport scanners mandatory.
[01:35.000 --> 01:44.000]  I'm not going to discuss all these top central bankers saying we're going to have a world depression. I won't talk about the Democrats saying they're going to lose the House and maybe even the Senate.
[01:44.000 --> 02:00.000]  I won't discuss the fact that US creativity is down in a major national study. I won't get into new sanctions against Iran that are an act of war and our own government in Israel talking about a strike on Iran that could trigger World War Three.
[02:00.000 --> 02:13.000]  We will talk about the World Cup and LeBron James here today, my friends, because these are the things that are really important to our children and our future as a society.
[02:13.000 --> 02:23.000]  Of course, I'm being sarcastic. We're going to talk about the serious issues that affect all of us individually.
[02:23.000 --> 02:31.000]  And it isn't just that people choose to only be concerned with celebrities and television shows and movies and sports.
[02:31.000 --> 02:46.000]  In other words, the government and the society by design admit that going back close to 100 years ago, they purposefully tried to change the focus in this nation and worldwide to issues of bread and circus that were distractions.
[02:46.000 --> 02:55.000]  So I'm going to start the second segment coming up here in a few minutes with the LeBron James situation and how it is a great diversion.
[02:55.000 --> 03:07.000]  And then I'm going to get into all the other important news. But Thursday, I shot a little video at the end of the radio show that we posted on YouTube that's gotten on the web on YouTube right up at 400,000 views, just with one version.
[03:07.000 --> 03:14.000]  And we'll be destined to have millions of views in the next week. And the Drudge Report linked to it and got a lot of attention.
[03:14.000 --> 03:22.000]  And I'm pleased to say that over 90% of the people posting on the YouTube video, tens of thousands of comments, agreed with me.
[03:22.000 --> 03:35.000]  But some of them didn't. And I found their comments to be quite revealing about their mindset and about what's happened to a lot of people in this society where they actually get angry if you try to get them to focus in on real issues.
[03:35.000 --> 03:43.000]  But we will be covering the latest on the oil spill that affects our economy, our society, our energy on so many fronts.
[03:43.000 --> 03:56.000]  And what's going to happen if and when hurricanes blow those hundreds of millions of gallons into Texas, Louisiana, Mississippi, Florida, Alabama, and then ultimately the East Coast as it goes around Florida in those currents.
[03:56.000 --> 04:04.000]  And we'll get into the economy. Huge developments there. Also, Obama spokesman says Democrats could lose the House and maybe even the Senate.
[04:04.000 --> 04:12.000]  Speaking of the Senate, as I said, Senate bill would make airport body scanners mandatory. That is some of the other news we'll be covering.
[04:12.000 --> 04:18.000]  Also, Attorney General Holder floats possibility of racial profiling suit against Arizona.
[04:18.000 --> 04:29.000]  We have some new climate change news and a lot of news from the front lines of the Afghanistan war and a lot of Republicans breaking ranks and saying they're against that war now and against the Iraq war.
