[00:00.000 --> 00:10.000]  And I grow up, I always be around you guys!
[00:30.000 --> 00:39.000]  We now take you live to the Central Texas Command Center in the heart of the Resistance. You're listening to Alex Jones.
[01:00.000 --> 01:18.000]  We're an American band. Info Wars is made in the USA. Info Wars is made out of pure Americana and victory.
[01:18.000 --> 01:29.000]  Info Wars is the sword Excalibur to take on the globalist. But you have to pull the sword from the stone. In the Arthurian legend.
[01:29.000 --> 01:44.000]  Or Roland of the French ethos. Or Elsid of Spain. We are facing the same threats our forebearers did yet again.
[01:44.000 --> 01:52.000]  Ladies and gentlemen, here we are broadcasting worldwide on this Wednesday, the 12th day of September 2018.
[01:52.000 --> 01:57.000]  We're going to be live here for the next four hours. We have a raft of really amazing guests joining us.
[01:57.000 --> 02:06.000]  The gentleman that had nine of his books banned in one day on Amazon. It wasn't Nambla. It wasn't Jihad books. It wasn't books on bomb making.
[02:06.000 --> 02:19.000]  No, ladies and gentlemen, it was books about how conservative men can pick up women with just standard stuff that I thought men just genetically knew how to do.
[02:19.000 --> 02:29.000]  Because I've actually read one of these guys' books. I was wondering the big craze about them all few years ago and I was like, doesn't everybody know this?
[02:29.000 --> 02:43.000]  But whatever. He's joining us. And then we've got a bunch of other special guests. We have former Fox contributor who got drummed out, I think for no reason.
[02:43.000 --> 02:48.000]  Eric Bowling is going to be in studio. He's now with a CRTV and others EricBowling.com.
[02:48.000 --> 03:00.000]  Graham Ledger is going to be joining us from One American News with big breaking news. So is Roger Stone, Millie Weaver and so much more today.
[03:00.000 --> 03:14.000]  But I really want to set the record straight on something when we come back from break that is so simple, so common sense, but also very, very, very profound.
[03:14.000 --> 03:32.000]  And I just want to be clear about this to everybody and to my enemies and everybody else because the process that Info Wars has been through and the process that our amazing president has been through is a roadmap to either victory or a roadmap to defeat.
[03:32.000 --> 03:45.000]  So I want to explain to people that really I don't think are sociopaths, but are like sociopath light. There's no reason to talk to the sociopaths or the psychopaths.
[03:45.000 --> 03:58.000]  But I can try to talk to people that are sociopath light. You've kind of been artificially inducted into this situation so that you really understand the choice you have to make.
[03:58.000 --> 04:07.000]  So we're going to really cover something extremely profound when we come back from break and then Trump derangement syndrome has gone into full meltdown.
[04:07.000 --> 04:14.000]  There are so many attacks coming in against conservatives that I can't even keep track of them. You go to the Breitbart article that has like 600.
[04:14.000 --> 04:28.000]  And none of the dozens that I've experienced personally or my crew have are even in there. So that's an example of just they say for every bad vaccine interaction, there's probably 60, 70, 80 that you don't hear about.
[04:28.000 --> 04:33.000]  For every bad drug interaction, there's many, many you don't hear about as well.
[04:33.000 --> 04:52.000]  Well, it's the same thing with attacks. They're epic, epic happening everywhere. Republican buildings being burned down, switchblade attacks, foaming at the mouth, plans for mass gun attacks on Trump Hotel in D.C. where I was just last week.
[04:52.000 --> 05:00.000]  I mean, it is crazy town for real.
[05:00.000 --> 05:07.000]  Whether you're looking to boost the benefits of our fish oil formula or just want an alternative, in full words, life has the formula for you.
[05:07.000 --> 05:17.000]  Ultimate Krill Oil is a powerhouse formula that takes advantages of the EPA, DHA and omega-3 is found in our high quality, ultra pure krill oil concentrate.
[05:17.000 --> 05:27.000]  Containing powerful antioxidants such as Azazanthin and omega-3, Ultimate Krill Oil can help you experience the benefits of fish oil with less required DHA and EPA.
[05:27.000 --> 05:38.000]  This incredible formula can help your body in many ways, including supporting heart health, joint health and cognitive health, aiding and regulating fat metabolism, helping to maintain cognitive function and more.
[05:38.000 --> 05:48.000]  And while other krill oil formulas may chemically modify their formulas, we're giving you the benefits of a simple formula that contains unmodified high quality krill oil concentrate.
[05:48.000 --> 05:58.000]  Paired with our ultimate fish oil or used separately, it's time to see what krill oil can do for you with Ultimate Krill Oil, now available at infowarstore.com.
[06:19.000 --> 06:23.000]  You want to stop tyranny? Well, so does he.
[06:23.000 --> 06:28.000]  Live from the Infowars.com studios, it's Alex Jones.
[06:38.000 --> 06:45.000]  We're now 55 days out from the most important election in world history.
[06:45.000 --> 06:52.000]  Not since George Washington took off arms in 1776.
[06:52.000 --> 06:57.000]  Have we been at such a crossroads as the one we're now in?
[06:57.000 --> 07:02.000]  The energy level of the planet is rising!
[07:07.000 --> 07:14.000]  We're going to break the globalist concentrate for all. You can feel it, but...
[07:14.000 --> 07:21.000]  Some of us have to really want it. We've got to be the first to slam into the enemy front line.
[07:21.000 --> 07:26.000]  We'll join all our ancestors in al-hala.
[07:26.000 --> 07:29.000]  Alright, ladies and gentlemen, let's lay it out.
[07:29.000 --> 07:42.000]  There is Trump derangement syndrome, switchblade attacks on congressional candidates, firebombing Republican facilities, death threats pouring in, plans for mass shootings discovered,
[07:42.000 --> 07:49.000]  Congressman Scalise warns of a violent blue wave of evil.
[07:49.000 --> 07:58.000]  CNN won't report on any of it. That's better than when they celebrated Scalise getting shot and had his friend on to say he was a hero just fighting evil.
[07:58.000 --> 08:02.000]  Wolf Blitzer looked at him and nodded his head.
[08:02.000 --> 08:07.000]  Talk about evil. They believe they own you.
[08:07.000 --> 08:12.000]  I'm going to get into the hurricane that is, thank God, slowing down from a six.
[08:12.000 --> 08:15.000]  They were estimate to go up to six. It slowed down to a four.
[08:15.000 --> 08:21.000]  The problem is they think it might stall right over North Carolina instead of running up the coast and kind of giving everybody a little bit of water.
