[00:00.000 --> 00:28.000]  Info wars. Tomorrow's news. Today.
[00:28.000 --> 00:34.000]  It's the lady of the Big T through tour manager citizens has just announced she is leaving office. Here she was moments ago.
[00:34.000 --> 00:47.000]  Now it's saying that I will not be seeking re-election. And then my term as Prime Minister will conclude no later than the 7th of February.
[00:47.000 --> 00:57.000]  Most authoritarian leader that country has ever had and no one else comes close. An appalling abuser of human rights of her own people.
[00:57.000 --> 01:05.000]  She of course earned the admiration of Western leaders including former CIA director Michael Hayden by ushering in an era of near totalitarianism in New Zealand.
[01:05.000 --> 01:19.000]  She shut down the entire country over a single COVID case. She told everyone to stay in their bubbles. She told citizens to inform on their neighbors by calling the police if they saw them outside.
[01:19.000 --> 01:24.000]  Not making this up by the way. We kept a video record. Here's some of it.
[01:24.000 --> 01:35.000]  Stay local and do not congregate. Don't talk to your neighbors. Please keep to your bubbles. It comes down again to those very simple principles.
[01:35.000 --> 01:43.000]  We know from overseas cases of the Delta variant that it can be spread by people simply walking past one another.
[01:43.000 --> 01:46.000]  So keep those movements outside to the bare minimum.
[01:46.000 --> 01:56.000]  If someone refuses in our facilities to be tested they have to keep staying. So they won't be able to leave after 14 days. They have to stay on for another 14 days.
[01:56.000 --> 02:03.000]  So it's a pretty good incentive. You either get your tests done and make sure you're cleared or we will keep you in a facility longer.
[02:03.000 --> 02:07.000]  So I think most people will look at that and say I'll take the test.
[02:07.000 --> 02:17.000]  You can now see family and friends again in their homes and use the bathroom inside luxury.
[02:17.000 --> 02:27.000]  What are the chances she was a puppet of the Chinese government? We don't have enough evidence to prove that but we would rate that as about 100% likely.
[02:27.000 --> 02:31.000]  And who is the main agent of the Chinese government?
[02:31.000 --> 02:43.000]  China is the model a month ago. Klaus Schwab and the World Economic Forum that is the criminal consortium that the big megabags used to merge us with communist China.
[02:43.000 --> 02:53.000]  He got hounded by reporters last night. Victor Borla got destroyed by rebel media in the most epic tag team you're ever going to see. That's coming up.
[02:53.000 --> 03:02.000]  We have all this news of the globalist and their whole agenda falling apart at every level because it's their great reset.
[03:02.000 --> 03:11.000]  It's their war for the world. And as humanity wakes up to the fact that they're waging war against us, they're going to be in the spotlight, something they didn't want to be in.
[03:11.000 --> 03:15.000]  They want to be in the spotlight as our saviors, not the ones causing all the big problems.
[03:15.000 --> 03:25.000]  So you have the out of control protege of Klaus Schwab in New Zealand. We have guests from New Zealand joining us in the fourth hour to talk about it.
[03:25.000 --> 03:35.000]  Being singled out by Klaus Schwab and the UN as the twin prodigy that they said was the best example of what they want.
[03:35.000 --> 03:46.000]  And of course, the other twin is Trudeau of Canada and then Jacinda Arden in New Zealand. And they follow exactly what they're told to do.
[03:46.000 --> 03:54.000]  They follow the exact same draconian enslavement policies and Tucker did a great job last night, but he didn't get the worst clips.
[03:54.000 --> 04:02.000]  I mean, she said, don't talk to your neighbors. She said, don't look at the sun. She said, if you don't take your shots, you're never going to be allowed to leave your home.
[04:02.000 --> 04:12.000]  She said, we are radically changing civilization. We're going to ban cows. We're going to ban your sheep or a coffee. You can't have coffee. It's hurting the climate.
[04:12.000 --> 04:19.000]  The woman is a mouthpiece of the New World Order. And she has been massively rejected.
[04:19.000 --> 04:32.000]  Poll shows she's got about 20% support. So the election's coming up, so she's resigning instead of that happening. And there are reports of criminal investigations now in New Zealand about money and payoffs.
[04:32.000 --> 04:48.000]  Same thing in Australia of government ministers by Pfizer and by Moderna and by all the rest of these criminal groups who we are identifying like flipping the lights on at midnight and catching the cockroaches on the dinner table, having the bregs of what's left of your food.
[04:48.000 --> 04:59.000]  It's all coming up today. I mean, we are blowing their New World Order to bits. Yeah, get some, get some.
[04:59.000 --> 05:22.000]  What have you had the plans to the Death Star? What have you knew the globalist operations that could stop it? Well, we've done the research. We have the number one best-selling book in the country, not just in politics, but period.
[05:22.000 --> 05:31.000]  It's the great reset in the world. And you get a signed copy of this, the last 1400, keep InfoWars on the air. Please take action. I want to thank you all for your past support.
[05:31.000 --> 05:37.000]  Get one of these signed copies and know you kept InfoWars on the air at the most critical juncture in our history.
[05:37.000 --> 05:43.000]  Again, 2023 is here. The last round of signed copies of the book. We also have unsigned copies as well.
[05:43.000 --> 05:53.000]  The signed copies are limited and are about to run out. Thank you for your support. Again, get yours at infowarstore.com.
[06:13.000 --> 06:39.000]  The mission is not impossible. 30 years ago, I would read the New American magazine put up by the John Burt society with these incredible quotes by corporate heads of industry, banking dynasty families, so-called world leaders.
[06:39.000 --> 06:55.000]  They were calling for world government and end of the family, cutting off our resources, bringing neo-futilism, using environmentalism, and I said, if this is true, I've got to fight this.
[06:55.000 --> 07:19.000]  And I didn't just believe the New American. I went to the libraries and I pulled the books. They were quoting, and guess what? Exactly what they said was in the books written by Prince Charles, written by Francois Mitterrand, saying he worshipped Flucifer, the former French president.
[07:19.000 --> 07:30.000]  And so I said, I've got to get more. So then, they didn't really have Amazon back then. I tried to find them in bookstores and things and started going to the UT library every week.
[07:30.000 --> 07:49.000]  Ooh, I started checking the micro fish. And all of a sudden, they have librarians come out from behind the thing and say, we've seen you've been here four or five hours today. Are you going to UT? Why do you care about all this? Most people don't come in here and do this unless they're PhD students.
[07:49.000 --> 08:02.000]  And I said, oh, I'm just pulling these quotes up like David Rockefeller in the New York Times saying, we're going to create Mao Zedong communism in America, and he's the model of the world, and we're backing Mao Zedong.
[08:02.000 --> 08:13.000]  And the librarians, I put them down there 50 times, started helping me saying, ooh, would you like more? We've got a big area that's off limits. The stacks, come back next week, we'll have some things for you.
[08:13.000 --> 08:27.000]  And they would let me then photograph and video it right there at UT. And it was exciting. I was 19 years old when I was going down to UT about a year and a half before I started going on air on local access TV.
[08:27.000 --> 08:39.000]  And the adventure of it, learning that they'd actually years before been pushing this, but because of major heat on it, in the 80s and a little bit of the 90s, they kind of backed up while they were working behind the scenes.
[08:39.000 --> 08:53.000]  And I got more and more into reading books they'd written 30, 40, 50 years previous, and I noticed everything they said they do in the 20s and 30s and 40s and 50s and 60s and 70s, I was living under.
[08:53.000 --> 09:07.000]  I was seeing exactly what they said they were going to do in my personal life. Here's an example. We played Paul Ehrlich, one of their top gurus, calling for forcede population and all the rest of it, with the population bomb and all those books pushed by the system.
[09:07.000 --> 09:26.000]  He was the most common record guest that Johnny Carson had on because he was basically ordered to push it. And there's Paul Ehrlich saying, we're going to take control of the media and advertise families are bad and make male role models look bad to break down society and we're going to depopulate you.
[09:26.000 --> 09:38.000]  We're going to set the taxes up so high that you can't afford to have children. And you're sitting there watching that clip from 1970. I wasn't even a twinkle in my mother's eye at that point, didn't exist yet.
[09:38.000 --> 10:03.000]  And there he was laying out the course. And that's why I knew I went, wait a minute. It's the early 1990s. And if they did everything they said they do, pretty much on schedule, and it's horrible, and the next thing they say is they're going to release bio weapon plugs, they're going to lock us down, they're going to cut off the resources,
[10:03.000 --> 10:14.000]  they're going to cut off our gas pipelines, they're going to implode our borders. If I start warning people about the really horrible stuff they're planning, I'll get made fun of it first.
[10:14.000 --> 10:30.000]  Some will listen because they see the documents, but it won't matter. So many people will be warned that when they finally launch the next big really horrible phase, the real takeover, humanity will rally and be ready.
[10:30.000 --> 10:46.000]  Here's an analogy. Let's say you're in a bathroom and you're in the stall, people will know you're in there, and two men are talking about how they're going to rob the bank down the street.
[10:46.000 --> 10:54.000]  And you leave, you call the police and they don't really quite listen to you, but you still go and you tell the bank, hey, I hear you're going to get robbed.
[10:54.000 --> 11:05.000]  And then you have credibility when the bank are robbed, okay? So that's what we did, folks, and that's why they're in so much trouble right now, because we've been planting seeds, planting seeds, planting seeds,
[11:05.000 --> 11:15.000]  you've been planting seeds, planting seeds, planting seeds, beautifully, going through hell, being attacked, being ostracized, being deplatformed, being censored, being harassed, all of it.
[11:15.000 --> 11:24.000]  But now we're not being caught flat-footed, and as people see the full horror of this and realize what's happening, it's came over.
[11:24.000 --> 11:34.000]  And here's an example. Whether you're on Instagram, whether you're on Facebook, whether you're on Twitter, whether you're on Reddit, the comments are now 99% even on liberal sites.
[11:34.000 --> 11:46.000]  99% saying screw the new world order, screw Bill Gates, screw Klaus Schwab, screw the UN. So they have these talking heads on TV making it look like the facade's still there and everybody's buying into it.
[11:46.000 --> 11:58.000]  They're not, folks. And I say this every day, and Gavin McGinnis was on two days ago, he saw the same thing. When Trump first got elected, he was getting 30%, 40% hate.
[11:58.000 --> 12:09.000]  Now he's getting 99% love. And we're getting the same thing. When I go out on the street, I get love, love, love, love, love, love, love now.
[12:09.000 --> 12:17.000]  Whereas just a couple of years ago, I was getting 20% hate, and it was rough to go out to dinner. It was rough to walk down the street. Not now.
[12:17.000 --> 12:24.000]  They failed, ladies and gentlemen. You're not Gavin McGinnis or Donald Jones. Thank you, Lucky Stars, you're not because we're targets. But it was worth it to do it.
[12:24.000 --> 12:32.000]  We get to know the amount of love because we are prominent and people see us. And I can tell you, it's the same thing with Tucker Carlson.
[12:32.000 --> 12:43.000]  All he gets is love. And Joe Rogan, all he gets is love, fight the new world order. So all they get is hate, all they get is criminal investigations, all they get is to go to prison.
[12:43.000 --> 12:54.000]  All they get is to be known as the eugenicist control freaks, financed by the British Crown for 170 years to set up a world government eugenics operation.
[12:54.000 --> 13:01.000]  I'm not blaming the British people or what you would think of as the British Crown. The British Crown isn't even German. It's not English. It's not House of Windsor.
[13:01.000 --> 13:16.000]  It's one of the oldest rural houses in the world, the Saxe-Coburg-Gothus. And there are some nasty, nasty folks. And they intermarried the last 200 years with the Rothschilds and have made this satanic hybrid bloodline that is just off the charts, bad news.
[13:16.000 --> 13:26.000]  So that's where we are, ladies and gentlemen. And this is a really big moment we're at.
[13:26.000 --> 13:32.000]  They're panicked. They're scared. They're body languages. They think they're all about to be put in prison.
[13:32.000 --> 13:37.000]  They're going to hit us with cyber attacks and power outages. They're probably going to go ahead and try to have World War III.
[13:37.000 --> 13:46.000]  They don't give up. They don't stop. And so I'm saying to the intelligence agencies and to the governments, everybody else that's been following orders, you're betting on an insane horse.
[13:46.000 --> 13:50.000]  You're betting on all of our own destruction. Just don't follow their orders.
[13:50.000 --> 13:56.000]  You don't have to have a war. You don't have to have a civil war. You don't have to kill each other. You don't have to do any of this stupid stuff.
[13:56.000 --> 14:06.000]  Just stop following the criminal orders. And do stuff like the Secret Service and NYPD and everybody gave us the info, the specifics of him crapping his pants.
[14:06.000 --> 14:15.000]  And that's just an example of letting them know about Joe Biden, letting them know that he's mad about that and doesn't trust the Secret Service.
[14:15.000 --> 14:24.000]  Well, they don't trust you, okay? And even somebody who's a social climber and likes to be around power at a certain point, those officers aren't all bad people.
[14:24.000 --> 14:30.000]  But even the ones that are bad, those agents, I mean, is this a suicide pact?
[14:30.000 --> 14:37.000]  I mean, do you really want to not have beef and not have coffee and not have electricity and do you really want your kids to have no future?
[14:37.000 --> 14:45.000]  I mean, really, this is stupid. There is no reason to go along with these psychotics that cooked up a long-term eugenics plan with Francis Galton.
[14:45.000 --> 14:51.000]  Watch my film, Endgame, if you want to live. It's all there.
[14:51.000 --> 15:00.000]  Their whole plan where they say, we're about to become aliens. We're about to become gods. We don't believe in God or aliens, but we with science are going to transcend and become God.
[15:00.000 --> 15:09.000]  We got quote after quote after quote. What did John Kerry say on Monday? We're saving the earth. We're the guardians of the planet. It's like we're aliens here to save you.
[15:09.000 --> 15:15.000]  I read their writings. They are lunatics.
[15:15.000 --> 15:29.000]  And you notice how fast that arrogant con game with the Prime Minister of New Zealand fades and she's basically up there crying and panicked and obviously drugged out of her mind.
[15:29.000 --> 15:38.000]  She's a servant of evil. You look at her 10 years ago, a nice, pretty, sweet-looking woman. 10 years under Satan's control, she's a husk, ladies and gentlemen.
