[00:00.000 --> 00:02.000]  We've got it
[00:07.440 --> 00:09.440]  Waging war on corruption
[00:09.440 --> 00:36.440]  It's Alex Jones, coming to you live from the front lines of the Info War
[00:36.440 --> 00:42.440]  We are live, ladies and gentlemen, thank you so much for joining us
[00:42.440 --> 00:48.440]  It is Sunday, the 28th day of August, 2011
[00:48.440 --> 00:54.440]  And we're now just, what, four days away from the premiere of Info Wars
[00:54.440 --> 00:57.440]  Nightly News, a completely new media operation
[00:57.440 --> 01:00.440]  Folks know that I'm dedicated, my crew was dedicated
[01:00.440 --> 01:10.440]  So that's certainly belling up to the Info Wars Warfare Bar to sign on to produce five TV shows a week
[01:10.440 --> 01:18.440]  You've seen some of the special reports, a lot of production value, a ton of research, hard hitting
[01:18.440 --> 01:22.440]  And if you want to see a sample of what the Nightly News is going to be like, go to InfoWars.com
[01:22.440 --> 01:32.440]  And you can see an expanded special report up there on the site that breaks all of that down
[01:32.440 --> 01:37.440]  It's also posted on PrisonPlanet.tv
[01:37.440 --> 01:47.440]  Now, obviously, thank God, Hurricane Irene was not as bad as many had hyped
[01:47.440 --> 01:53.440]  And Obama grandstanded as our savior at the Command Center
[01:53.440 --> 01:59.440]  We're going to be going over that report, Irene leaves a few scars in New York City
[01:59.440 --> 02:05.440]  But from flooding, there is a reported 10 deaths in other states
[02:05.440 --> 02:11.440]  So certainly a serious issue, but thank God that it did weaken before it made landfall
[02:11.440 --> 02:14.440]  And not only the main problem is flooding and some wind damage
[02:14.440 --> 02:19.440]  At least 10 dead and 2 million without power, that's being reported on
[02:19.440 --> 02:28.440]  And as Ron Paul said yesterday, his statement on Irene, there's no need to call out FEMA
[02:28.440 --> 02:33.440]  All FEMA does is destroy the coordination of the local governments that know what they're doing
[02:33.440 --> 02:38.440]  And in the case of Hurricane Katrina, block actual aid being delivered
[02:38.440 --> 02:44.440]  And then direct the paramilitary police on a gun confiscation errand
[02:44.440 --> 02:49.440]  So we'll be talking some about that today, but speaking of the hurricane
[02:49.440 --> 02:54.440]  Every time there's hot weather, cold weather, a thunderstorm, a tornado, a cyclone
[02:54.440 --> 03:00.440]  They say if you pay Al Gore money, he will wave a magic wand and buy another big palace on the ocean front
[03:00.440 --> 03:05.440]  Even though he said years ago we'd already be under water on all the major coastlines
[03:05.440 --> 03:08.440]  It doesn't matter, Al Gore is very arrogant
[03:08.440 --> 03:11.440]  Same guy that told you NAFTA and GATT was going to be absolutely wonderful
[03:11.440 --> 03:14.440]  And like mother's milk to this country
[03:14.440 --> 03:20.440]  And here's a report coming up, Gore, global warming skeptics are this generation's racist
