[00:00.000 --> 00:16.000]  Music
[00:16.000 --> 00:28.000]  Ladies and gentlemen, it is Sunday, July 5th, 2020, the day after Independence Day, July 4th,
[00:28.000 --> 00:38.000]  which yesterday marked a historic day in American folklore and history where Democrats,
[00:38.000 --> 00:51.000]  members of the American media and leftists in the streets wanted to cancel the 4th of July,
[00:51.000 --> 01:01.000]  which of course is really just the single-day representation, manifestation of what they really want to do,
[01:01.000 --> 01:10.000]  which is cancel America, attempting to cancel the 4th with mask orders and shutdown orders
[01:10.000 --> 01:19.000]  and threats of fines and declaring fireworks illegal, rivers illegal, shutting down nature.
[01:19.000 --> 01:33.000]  That's just them seizing the harnesses of a holiday, seizing the momentum of a national holiday
[01:33.000 --> 01:44.000]  and attempting to declare it their own. Well, it was rejected. It was rejected in full force.
[01:44.000 --> 01:54.000]  And so, for example, in LA, even though they had declared gatherings illegal, barbecues illegal,
[01:54.000 --> 02:07.000]  family gatherings, fireworks fun, basically illegal, epic footage of Los Angeles is at Infowars.com.
[02:07.000 --> 02:25.000]  The skyline lit up with non-stopping bursts and explosions of pyrotechnics, otherwise known as fireworks in the sky.
[02:25.000 --> 02:30.000]  Yes, there was The New York Times. The fireworks show must not go on.
[02:30.000 --> 02:41.000]  And Washington Post and CNN and MSNBC telling you to stay home during the 4th. There's ways to be COVID safe on the 4th.
[02:41.000 --> 02:51.000]  You've never seen such a sight over LA as you did last night.
[02:51.000 --> 03:01.000]  Even here in Austin on Lake Travis where they canceled the actual, you know, city-sponsored fireworks show, you know, the big ones, everybody go to the park, whatever.
[03:01.000 --> 03:12.000]  They canceled that. Well, that didn't really matter because from about 9 o'clock to about 10.30 at night on Lake Travis, it was non-stop fireworks in every direction.
[03:12.000 --> 03:24.000]  And God so blessed us with one of the most beautiful full moons you've ever seen in your life.
[03:24.000 --> 03:36.000]  So that's our representation. That's our physical manifestation of us seizing the day.
[03:36.000 --> 03:51.000]  You cannot cancel the 4th of July. You cannot cancel God-given freedoms. You cannot cancel the United States of America.
[03:51.000 --> 04:12.000]  And when you consider the president's last two speeches, one at Mount Rushmore, one in front of the White House, and him signaling the bravery, the courage, and yes, the actions of our founding fathers,
[04:12.000 --> 04:35.000]  declaring war on the radical anti-American communists left, this could be a major pivot point in Trump's reelection bid and in the 2020 history books,
[04:35.000 --> 04:44.000]  where the left and the Democrats and the media and the mobs had their way for the first half of the year. Maybe now it's our turn.
[04:44.000 --> 04:59.000]  Maybe now we get our way. And so we're all in this together and it's going to be a wild ride. Alex Jones on the other side of this break, this is the Alex Jones show.
[04:59.000 --> 05:09.000]  The 4th of July 2020 special has gone into high gear. We have 50% off. Bodies, really strong extractive tumor in formula.
[05:09.000 --> 05:16.000]  Sold out for months. That's back in stock. DNA Force Plus with the BQQ, the CoQ10. So good for yourself. So amazing. That's back in stock for yourself.
[05:16.000 --> 05:22.000]  Winner's son's been sold out for over three months. It's back in stock. Pure, high quality vitamin D3.
[05:22.000 --> 05:29.000]  Taken out of the tongue. Greater absorption. So good for your whole body. So essential. That's back in stock. Ultra 12. Super high quality B12.
[05:29.000 --> 05:36.000]  Again, taken out of the tongue. That is back in stock. Survival Silt X2. Next to the I9 spray, 33% off. And so much more.
[05:36.000 --> 05:47.000]  So I want to thank you all of this July 4th coming up for standing with us. I want to invite you to take advantage of these great deals and great products that enrich yourself and your family's lives and also fund hardcore truth.
[05:47.000 --> 05:59.000]  Again, take action. Big Fortress July sales right now at FullWorksStore.com. We could not have done this without you. I thank you for your continued prayer, your focus and your support. Again, I salute you all.
[06:18.000 --> 06:32.000]  Prediction last week, several times on air, there really wasn't a hard prediction to make. It was great to see it come true that we would witness five, ten times the fireworks shot off across the United States we normally do,
[06:32.000 --> 06:42.000]  because I just gauge the general public from what I believe. I believe you're like me. I believe you want freedom. I believe you want justice. I believe you love America.
[06:42.000 --> 06:52.000]  You understand we are America. You understand that all these big, foreign, ruthless multinational corporations that are setting up private, corporate, global government are jealous of that.
[06:52.000 --> 07:00.000]  They're jealous that you love God. They're jealous that you love your family. They're jealous of our relationships. They're jealous of the nuclear family.
[07:00.000 --> 07:11.000]  They are openly declaring war on all that is good and decent because they need people that are failed, people that they can control. They want to create losers.
[07:11.000 --> 07:18.000]  And so when we go after these Democrat events and look at these zombie-like people and how stupid they are, we tend to laugh, but you know what? It's not funny, folks.
[07:18.000 --> 07:33.000]  Those are people we let down. Those are people we let globalists in the educational system dumb down. But that said, I was out at Lake Travis for the 4th of July and it went past midnight into July 5th.
[07:33.000 --> 07:44.000]  We were up to about 130 fireworks were still going off. When I said I thought there'd be 5, 10 times of fireworks, excuse me. This was 20 times, 30 times. I mean, this was ridiculous.
[07:44.000 --> 07:50.000]  So they tried to cancel it. A bunch of little towns and cities did cancel it. Private citizens somehow got all these fireworks.
[07:50.000 --> 07:56.000]  You can say, oh, that's just a show of light in the air. What's that mean? It's a bunch of hype. It's a grand balloon.
[07:56.000 --> 08:12.000]  No, it's not because the flag stands for the Republic, the Declaration of Independence. We, the people, the Constitution, the Bill of Rights. It's been a world model all over the planet against authoritarianism, against monarchy, against monotheistic religious rule.
[08:12.000 --> 08:21.000]  I mean, it is the most classically liberal thing anybody's ever imagined. It is the fount of the Renaissance. We're it.
[08:21.000 --> 08:28.000]  And that's why we have most of the inventions and most of the freedom and that's why people can come here and do anything they basically want to do.
[08:28.000 --> 08:41.000]  But the authoritarian globalists are in competition with that. So as I speak here, just look at some of the footage from Los Angeles alone taken by the Main Street media, but the most powerful footage was taken down at street level.
[08:41.000 --> 08:52.000]  And it's the same thing I saw last night out in the country, out in the suburbs, and it's the same thing that my parents, I talked to my dad, who lives right in the middle of Austin, lived there many, many years.
[08:52.000 --> 09:00.000]  It's really central Austin now. It used to be central South Austin, and he just doesn't normally fire mortars off because they'll call the police on you.
[09:00.000 --> 09:06.000]  But this time, there were so many mortars going off, so many big fireworks, and it went on for like an hour.
[09:06.000 --> 09:16.000]  He said, well, hell, I got a bunch in the garage that we shoot out in the country. He went and got them and just fired them and fired them and fired them because it was an act of defiance.
[09:16.000 --> 09:21.000]  And the same left that doesn't want us to fire off fireworks, the same ones that call the cops when we do.
[09:21.000 --> 09:32.000]  So people get this. The left are throwing fireworks at police. We're simply firing them up in the air to show our solidarity with America, our solidarity with fellow Americans.
[09:32.000 --> 09:38.000]  And tomorrow I intend to do this. Owen's about to take over. Owen Schreuer on this live Sunday show.
[09:38.000 --> 09:58.000]  I want to read Proud to Be an American by Leigh Greenwald because it's so prophetic. He wrote that song 35 years ago or so, and you read it and it's everything that's happening now because the flag still stands for freedom.
[09:58.000 --> 10:10.000]  They can't take that away. They were trying to take it away then, folks. The globalists have captured America to a great extent, used us for evil, but we've woken up to it and said, no, we're pulling our troops out of these unnecessary wars.
[10:10.000 --> 10:20.000]  We're rediscovering who we are. We're rebuilding our industry and our systems and finding our patriotism and God again. That's incredible.
[10:20.000 --> 10:29.000]  So when you look at the venom of de Blasio and all these other pieces of garbage like AOC, there's a powerful clip that we'll play later, but Owen has time.
[10:29.000 --> 10:41.000]  We're not all playing tomorrow. We're de Blasio. Is that a press conference on the July 4th yesterday? And he says, he says, oh, it's apples and oranges.
[10:41.000 --> 10:50.000]  Church leaders agree we shouldn't have churches open. The Black Lives Matter protests are too important, so those are good. We should have those. That's the double speak, the double thing.
[10:50.000 --> 11:00.000]  Authoritarians have to get you to hold two separate thoughts that oppose each other and that kill logic in your mind, as George Arwell said, because what they're selling you doesn't make sense.
[11:00.000 --> 11:12.000]  And so that's why on every front they say a man can have a baby or a woman can be a man or any of this. It's about getting you to just give up on what's in front of your face, your common sense.
[11:12.000 --> 11:19.000]  And these big multinational corporations that invest in communist China and slave camps and are involved in human animal cloning.
[11:19.000 --> 11:25.000]  I mean, the worst stuff you can imagine at three million Muslims at death camps in China and Apple openly has their components built there.
[11:25.000 --> 11:38.000]  And it comes out as like, oh, it's okay, Tim Kuskay. Think about how sick that is and how it's in our face and how the president's bad for liking Mount Rushmore and how Democrats go.
[11:38.000 --> 11:45.000]  Oh, we purposely are pulling down Lincoln statues. He wasn't good enough. These are people making us, hey, our country and trying to conquer us.
[11:45.000 --> 11:56.000]  And the key to this is understanding big mega corporations finance this big mega corporations control this. And this is the man. This is the establishment.
[11:56.000 --> 12:08.000]  The globalists are trying to sink our ship. And they're trying to get us to fight with each other while they do it so they can loot it and take the whole thing over.
[12:08.000 --> 12:19.000]  But I'm proud of Americans because when they have a symbol of fireworks to support America, like put an American flag out on your doorstep, which are now being attacked and humanized, it's so strong.
[12:19.000 --> 12:31.000]  And it stands up to bullies like Nike and Kaepernick. Kaepernick, he's not even black, had two white people adopting, take care of him, but they were leftist America haters.
