whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 4 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing 'wav/20221207_Wed_Alex.wav' (230336889 samples, 14396.1 sec), 4 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:10.000]   [MUSIC]
[00:00:10.000 --> 00:00:20.000]   >> InfoWars, tomorrow's news today.
[00:00:20.000 --> 00:00:34.000]   [MUSIC]
[00:00:34.000 --> 00:00:44.000]   >> From the front lines of the information war, it's Alex Jones.
[00:00:44.000 --> 00:00:57.000]   >> It's Wednesday, December 7th, 2022, a day that will live in infamy.
[00:00:57.000 --> 00:01:04.000]   >> Putin, risk of nuclear war rising, will defend Russia by all available means.
[00:01:04.000 --> 00:01:14.000]   After three separate events last week of cruise missiles being fired out of Ukraine,
[00:01:14.000 --> 00:01:22.000]   hundreds of miles into Russia, damaging Russian nuclear bomber bases.
[00:01:22.000 --> 00:01:27.000]   Kind of a big deal, as we said last Friday and through the weekend and
[00:01:27.000 --> 00:01:31.000]   through this week that this could lead to nuclear war very easily.
[00:01:31.000 --> 00:01:35.000]   And that is just a minor footnote, really not even in the mainstream news,
[00:01:35.000 --> 00:01:37.000]   in any of the front of the papers.
[00:01:37.000 --> 00:01:43.000]   Just a little footnote that Ukraine is firing cruise missiles into Russia.
[00:01:43.000 --> 00:01:48.000]   Then of course we have Democrat Senator Warnock defeats Republican
[00:01:48.000 --> 00:01:55.000]   Herschel Walker in Georgia runoff and more evidence of fraud is beginning to come out there.
[00:01:55.000 --> 00:02:02.000]   In Brazil, a consortium of government watchdogs have now filed a detailed report
[00:02:02.000 --> 00:02:08.000]   with the public and also the Supreme Court of the country documenting unbelievable fraud
[00:02:08.000 --> 00:02:12.000]   in that election and foreign meddling of the State Department and the CIA
[00:02:12.000 --> 00:02:15.000]   that we know meddle heavily in our elections illegally.
[00:02:15.000 --> 00:02:20.000]   That's all come out in the Twitter files, documenting and verifying and vindicating
[00:02:20.000 --> 00:02:27.000]   everything that we have been laying out for so long here.
[00:02:27.000 --> 00:02:32.000]   Continuing, I have a whole stack of news articles from the United States, Canada and Europe,
[00:02:32.000 --> 00:02:38.000]   Australia promoting euthanasia, including government forced euthanasia, which is outright murder.
