[00:00.000 --> 00:26.200]  InfoWars, tomorrow's news, today.
[00:26.200 --> 00:32.280]  Corey Diggs recently published a comprehensive report on the business behind the vaccine
[00:32.280 --> 00:33.580]  passport.
[00:33.580 --> 00:39.840]  It includes every facet of banking and big tech, including IBM, who did virtually the
[00:39.840 --> 00:46.400]  same thing during World War II, and in trust, a company run by the prominent Nazi quant
[00:46.400 --> 00:47.560]  family.
[00:47.560 --> 00:51.520]  Her extensive research spells out the plan very clearly.
[00:51.520 --> 00:55.800]  The QR code will be the so-called mark of the beast.
[00:55.800 --> 00:59.600]  Just like livestock, and no longer free.
[00:59.600 --> 01:05.360]  The QR code has already become the standard for DNA data storage.
[01:05.360 --> 01:12.360]  We can now scan a specimen's QR code and extract the entire genomic map.
[01:12.360 --> 01:15.720]  And we can create a creature from this data.
[01:15.720 --> 01:22.000]  George Church of Nebula Genomics explains how his company has the ability to read ancient
[01:22.000 --> 01:25.680]  DNA, write and edit it with CRISPR.
[01:25.680 --> 01:28.280]  We can read the woey mammoth genome, which is pretty amazing.
[01:28.280 --> 01:30.360]  These things have been extinct for a long time.
[01:30.360 --> 01:35.080]  We can read the ancient DNA, and we can now write it, can edit the elephant genomes with
[01:35.080 --> 01:36.280]  CRISPR again.
[01:36.280 --> 01:37.280]  And we've done this.
[01:37.280 --> 01:41.160]  We've made 15 edits so far of bringing back extinct DNA.
[01:41.160 --> 01:48.560]  He said in a 2013 interview with Der Spiegel that DNA can be assembled into an embryo
[01:48.560 --> 01:51.840]  and planted inside of a human woman.
[01:51.840 --> 01:59.280]  Church's Nebula Genomics wants to give people the opportunity to sell their genetic information
[01:59.280 --> 02:01.520]  for digital tokens.
[02:01.520 --> 02:07.520]  And he has Hollywood's Morgan Freeman to help promote and normalize his radical modern-day
[02:07.520 --> 02:10.880]  Frankenstein work.
[02:10.880 --> 02:16.160]  Stamping a human's DNA genome onto their mark is one thing.
[02:16.160 --> 02:22.440]  But in order to store a person's entire life onto a single QR code and have it utilized
[02:22.440 --> 02:28.080]  efficiently across the entire web, they are using the blockchain.
[02:28.080 --> 02:33.280]  Blockchain technology allows information to be stored by a tamper-proof ledger that others
[02:33.280 --> 02:37.080]  on the chain can monitor and validate in real time.
[02:37.080 --> 02:41.560]  And it is being adopted in nearly every major industry.
[02:41.560 --> 02:46.560]  With the help of Big Pharma and the media, the bankers are corralling everyone inside
[02:46.560 --> 02:54.360]  their rentals, wired up to the Internet of Things with a QR digital ID that holds their
[02:54.360 --> 03:03.840]  entire DNA genome on the blockchain and managed by artificial intelligence, just as the Rockefeller
[03:03.840 --> 03:10.800]  Foundation announced in their 2020 publication Mapping an AI Future and the UK Ministry of
[03:10.800 --> 03:21.640]  Defense in their 2021 publication Human Augmentation, The Dawn of a New Paradigm, marked like livestock
[03:21.640 --> 03:24.240]  and no longer free.
[03:24.240 --> 03:27.760]  Unless of course we all say no.
[03:27.760 --> 03:42.000]  For Infowars.com, this is Greg Rees.
[03:42.000 --> 03:48.680]  The mark of the beast has arrived in the United States and Canada as well as Europe, Australia
[03:48.680 --> 03:49.680]  and New Zealand.
[03:49.680 --> 03:54.960]  They are announcing that you must have the QR code, that you have had all the injections.
[03:54.960 --> 03:59.600]  They're now saying every five to six months, now they're saying every month.
[03:59.600 --> 04:03.000]  And they're saying if you take two pills per day, Pfizer has announced they're in charge
[04:03.000 --> 04:04.000]  of the planet.
[04:04.000 --> 04:08.760]  Even if you have a clip of Trump, I forgot to play this weekend, we'll pull it up where
[04:08.760 --> 04:13.640]  he was on national TV and said, yeah, you know, Pfizer, they really run the FDA now.
[04:13.640 --> 04:14.640]  He said it very cryptically.
[04:14.640 --> 04:17.200]  He said, you ought to look into that to the reporter.
[04:17.200 --> 04:19.920]  So we're going to queue that up and play that next segment.
[04:19.920 --> 04:21.760]  But this is it.
[04:21.760 --> 04:22.840]  So I hope you'll fight back.
[04:22.840 --> 04:27.160]  I hope you'll share with your sheeple friends out there before it's too late because I know
[04:27.160 --> 04:29.960]  you're awake, but a lot of your friends and family may not be just like we all have those
[04:29.960 --> 04:33.760]  folks in our circle of people we know.
[04:33.760 --> 04:37.560]  I hope you'll go to Band-Aid video, but I hope you'll get the Greg Rees report.
[04:37.560 --> 04:38.560]  It's now the feature video.
[04:38.560 --> 04:42.600]  It just went live five minutes ago and I hope you'll share the living daylights out of it.
[04:42.600 --> 04:44.960]  The mark of the beast is here.
[04:44.960 --> 04:47.000]  It has arrived.
[04:47.000 --> 04:48.480]  And will you roll over to it?
[04:48.480 --> 04:49.560]  And I want to explain, we come back.
[04:49.560 --> 04:53.120]  What happens once you accept the mark of the beast?
[04:53.120 --> 04:59.360]  Oh, well, with that comes death and hell and just absolute enslavement.
[04:59.360 --> 05:02.600]  In these insane times, I wouldn't mess around.
[05:02.600 --> 05:05.640]  I wouldn't screw around with your health and your immune system.
[05:05.640 --> 05:11.480]  I would do everything you can to boost your body's natural defenses and at the same time,
[05:11.480 --> 05:15.880]  support those that are fighting the globalist and fighting to stop new lockdowns and tyranny.
[05:15.880 --> 05:21.720]  Well, you find all of that perfect storm at one place, infowarstore.com, and great products
[05:21.720 --> 05:25.240]  that boost your body's natural defenses that have been sold out for months are back in
[05:25.240 --> 05:29.600]  stock discounted 33 to 50% off.
[05:29.600 --> 05:33.520]  Vitamin mineral fusion with all the vitamins, minerals, amino acids, that's essential.
[05:33.520 --> 05:37.840]  Back in stock, our concentrated tumor formula, so good for your immune system and your body
[05:37.840 --> 05:38.920]  and for inflammation.
[05:38.920 --> 05:40.280]  Back in stock discounted.
[05:40.280 --> 05:42.520]  We have X2, back in stock discounted.
[05:42.520 --> 05:44.800]  We have living defense, back in stock discounted.
[05:44.800 --> 05:49.640]  We have pollen block, back in stock discounted, and of course, we have our concentrated activated
[05:49.640 --> 05:53.840]  charcoal toothpaste sold out for months, so boost your body's natural defenses and help
[05:53.840 --> 06:23.760]  fight the globalist all at one place, infowarstore.com.
[06:24.840 --> 06:40.520]  Well, now evil is out of the open, it has reared its stinking, fetid head, and humanity
[06:40.520 --> 06:45.920]  has a real shot at opposing it and fighting it.
[06:45.920 --> 06:51.400]  Before I play a clip today of President Trump coming out a few days ago and saying, you
[06:51.400 --> 06:59.040]  know, Pfizer really runs the FDA and the governments of the world and people want to look at Pfizer
[06:59.040 --> 07:01.000]  and the booster shots.
[07:01.000 --> 07:04.920]  So he's starting to edge up towards taking on the fraud.
[07:04.920 --> 07:09.200]  He knows he's been set up and he needs to do it.
[07:09.200 --> 07:16.840]  That will take Trump from being a figure pushed off to the side, still getting some good Republicans
[07:16.840 --> 07:21.560]  elected, still has incredible power to being the populist he was meant to be.
[07:21.560 --> 07:26.960]  People will forgive him in a moment for being conned by Fauci and others and lying to him
