[00:00:11.617 --> 00:00:13.498]  Sorry folks, park's closed.
[00:00:13.498 --> 00:00:17.181]  We were here a week ago and this one entrance was closed.
[00:00:17.181 --> 00:00:19.022]  There were no cars here.
[00:00:19.022 --> 00:00:24.446]  But here we are a week later and it's open and hundreds of people are enjoying the Austin Greenbelt.
[00:00:24.446 --> 00:00:27.108]  And that's what this exercise of freedom is about.
[00:00:27.108 --> 00:00:31.411]  All over the world they're closing outdoor facilities under the COVID hoax.
[00:00:31.411 --> 00:00:35.294]  We're here because in Australia and in Spain and in Canada
[00:00:35.934 --> 00:00:40.995]  And in Austin and in California, they're trying to keep the beaches and the parks closed.
[00:00:40.995 --> 00:00:46.296]  And humanity is saying, no, we will not bow down to you.
[00:00:46.296 --> 00:00:48.096]  We will go outside.
[00:00:48.096 --> 00:00:54.697]  We will enjoy God's creation.
[00:00:54.697 --> 00:01:02.899]  We are here to exercise our First Amendment and our right to travel and our right to use the public amenities.
[00:01:07.614 --> 00:01:20.778]  Ladies and gentlemen, we are here because the United Nations on record launched the COVID hoax and counts all the regular pneumonia and flus that do kill people as it does scare everyone.
[00:01:20.778 --> 00:01:32.382]  But we are here in defiance of this evil and we are here saying humanity knows we're under attack and we're taking the planet back from the global earth!
[00:01:34.497 --> 00:01:38.860]  This is a quarter mile hike down, quarter mile up, so get plenty of water.
[00:01:38.860 --> 00:01:47.565]  We're out here exercising our free speech and I salute and thank you all for being here!
[00:02:28.017 --> 00:02:29.982]  No matter what, we just have to maintain America.
[00:02:29.982 --> 00:02:31.727]  In Jesus' name, America!
[00:02:40.126 --> 00:02:41.166]  This is what it's all about.
[00:02:41.166 --> 00:02:42.447]  Humanity just being humans.
[00:02:42.447 --> 00:02:44.507]  They want to end humans as we know it.
[00:02:44.507 --> 00:02:46.108]  They want to genetically program everybody.
[00:02:46.108 --> 00:02:50.149]  And they want us out of nature, in our houses, on VR, under their control.
[00:02:50.149 --> 00:02:56.831]  And these folks are here as the tip of the spear for all of humanity, saying we're keeping the human planet open.
[00:02:56.831 --> 00:02:58.112]  We're not the post-generation!
[00:03:02.870 --> 00:03:07.273]  Next Saturday, Martin Springs, the free side is crystal clear.
[00:03:07.273 --> 00:03:09.094]  It's only a hundred yard walk.
[00:03:09.094 --> 00:03:10.015]  I'm going to be out there.
[00:03:10.015 --> 00:03:11.896]  I don't care what the city says.
[00:03:11.896 --> 00:03:13.897]  I'm going to pay for a professional food truck.
[00:03:13.897 --> 00:03:20.842]  Here's to freedom!
[00:03:20.842 --> 00:03:29.847]  And here's to all of you out here in defiance to the tyrant!
[00:03:29.847 --> 00:03:30.368]  Salute you all!
[00:03:32.403 --> 00:03:35.904]  Cordello, especially Al, did not pay for this ad, even though we're using the theme music.
[00:03:35.904 --> 00:03:37.205]  You guys are badass, don't thank me!
[00:03:37.205 --> 00:03:38.586]  Great job kicking ass, guys!
[00:03:38.586 --> 00:03:42.287]  We could play that music a lot longer than they've had it for their ad.
[00:03:42.287 --> 00:03:44.748]  So I said throw it on there at the end as a joke.
[00:03:44.748 --> 00:03:53.452]  Um, you know, I thought to go to that part of the park, because that's where they denied my wife and myself and others, but I wasn't thinking, hey, it's 105 degrees, and it's a good walk down to it.
[00:03:53.452 --> 00:03:55.453]  Barton Springs, it's a 100-yard walk.
[00:03:55.453 --> 00:03:59.794]  So everybody said it was a great success, but I apologize to the few people that collapsed from heat exhaustion.
[00:03:59.794 --> 00:04:00.755]  Uh, but they were warned.
[00:04:01.075 --> 00:04:02.917]  But it was still a big success.
