[00:00:01.511 --> 00:00:02.312]  Welcome to everyone.
[00:00:02.312 --> 00:00:19.671]  We've got about 51 minutes left here today and there's just a plethora, an entire archipelago of just overt criminal activities in our faces.
[00:00:19.671 --> 00:00:20.172]  In our face.
[00:00:21.169 --> 00:00:24.152]  And I want to talk to Michael Rivera about just the propaganda.
[00:00:24.152 --> 00:00:39.305]  How they tell us that, oh look, these Iraqi newspapers are all free, we brought them freedom, and look, they love the government and they love the occupation, and it turns out no one's allowed to write anything anti-US or anti-globalist, or they're taking over.
[00:00:39.305 --> 00:00:42.528]  And it's all paid for, and that news is used here domestically.
[00:00:42.528 --> 00:00:46.632]  And they have the military surveilling us here domestically.
[00:00:48.053 --> 00:00:55.577]  And then, meanwhile, we have the Pentagon program ordering soldiers to promote Iraq war while at home on leave.
[00:00:55.577 --> 00:00:56.857]  Well, I've heard this myself.
[00:00:56.857 --> 00:00:59.679]  I don't even have to now see it in the mainstream news.
[00:00:59.679 --> 00:01:03.861]  I hear all over talk radio, all over TV, soldiers saying the same script.
[00:01:03.861 --> 00:01:06.242]  I mean, it's not even well written.
[00:01:06.242 --> 00:01:07.643]  This is un-American.
[00:01:07.643 --> 00:01:15.867]  Even if you love this war and want to kill every Arab on the planet, having our military run around and engage in domestic psyops is totally un-American.
[00:01:16.972 --> 00:01:19.374]  And the people are against this war.
[00:01:19.374 --> 00:01:23.878]  There's nothing the globalists can do to put it back together again unless they carry out another terror attack.
[00:01:23.878 --> 00:01:25.139]  So I want to get into that.
[00:01:25.139 --> 00:01:32.786]  And also I want to talk about DynCorp and Halliburton and the sex slaves and how now we have governors of Illinois and big papers.
[00:01:33.446 --> 00:01:42.450]  Going public and reporting on this, that our government is letting lobbyists run around on the Hill, lobbying against the Pentagon, stopping these practices.
[00:01:42.450 --> 00:01:45.111]  Michael Rivero, it's always great to have you join us once a month.
[00:01:45.111 --> 00:01:46.311]  Thanks for spending time with us.
[00:01:46.311 --> 00:01:48.312]  Well, thanks for having me on the show, Alex.
[00:01:48.312 --> 00:01:49.092]  You bet.
[00:01:49.092 --> 00:01:55.115]  WhatReallyHappened.com, a real beacon out there of alternative news and information, and we're always honored to have you with us.
[00:01:56.496 --> 00:01:59.399]  I just mentioned four or five things that I'd like to get your take on.
[00:01:59.399 --> 00:02:01.261]  Any other things that you think we should get in?
[00:02:01.261 --> 00:02:13.215]  I mean, I would imagine that you want to talk about their Spiegel and Jerusalem Post, our criminal government telling Turkey, hey, we're about to use your bases to bomb Iran.
[00:02:13.215 --> 00:02:15.157]  Yeah, whether Turkey wants it or not.
[00:02:15.157 --> 00:02:16.859]  It seems to be an ongoing debate.
[00:02:17.359 --> 00:02:24.581]  Where apparently Putin met with the leadership in Turkey and basically convinced them that this was not a good idea.
[00:02:24.581 --> 00:02:32.703]  Because ultimately any attack on Iran is going to involve Russian nationals who are currently working at the construction sites for the power stations.
[00:02:32.703 --> 00:02:42.485]  So Putin went in and got a commitment from the government of Turkey to not allow the US to use their territory to launch attacks from.
[00:02:42.845 --> 00:02:43.725]  But of course, the U.S.
[00:02:43.725 --> 00:02:46.486]  is attempting to pressure Turkey back the other way.
[00:02:46.486 --> 00:02:58.169]  All of this, of course, pulls together with other indications that Bush does intend to carry out an attack on Iran for absolutely no reason at all other than he and his neocon buddies seem to want it.
[00:02:58.169 --> 00:03:03.150]  They're not even bothering trying to come up with some kind of an excuse or justification.
[00:03:03.150 --> 00:03:09.531]  They're just saying, you know, they've got nuclear sites, therefore we are justified in attacking them, which of course is completely silly.
[00:03:09.531 --> 00:03:11.172]  Nobody deserves to be attacked for having a
[00:03:12.492 --> 00:03:13.672]  A power station.
[00:03:13.672 --> 00:03:22.974]  And I want to get back to this whole issue, when we went over this during the run-up to the war in Iraq, where we were being told that Iraq was building nuclear bombs.
[00:03:22.974 --> 00:03:27.435]  And it's very hard to take Bush serious about it, because he can't even pronounce the word correctly.
[00:03:27.435 --> 00:03:29.276]  Nuclear!
[00:03:29.276 --> 00:03:29.976]  Nuclear!
[00:03:29.976 --> 00:03:31.416]  Nuclear bombs there.
[00:03:31.416 --> 00:03:34.197]  But what you need to look back at is the U.S.
[00:03:35.845 --> 00:03:40.388]  We're still paying for this tremendously capable nuclear deterrent.
[00:03:40.388 --> 00:03:43.129]  We have Ohio-class submarines.
[00:03:43.129 --> 00:03:45.030]  We have cruise missiles.
[00:03:45.030 --> 00:03:46.771]  We have ballistic missiles.
[00:03:46.771 --> 00:03:50.093]  We can lay waste to any country on Earth that dares to attack us.
[00:03:50.593 --> 00:03:55.596]  Well, for Bush or anybody else to get up there and say that Iraq or Iran is a danger to the U.S.
[00:03:55.596 --> 00:04:01.220]  because they might be developing a nuclear bomb, is in essence saying that the nuclear deterrent, the U.S.
[00:04:01.220 --> 00:04:08.284]  nuclear deterrent that we paid trillions of dollars to build and maintain, does not work, because it's not deterring an attack.
[00:04:08.784 --> 00:04:11.927]  So there is a tremendously strange disconnect.
[00:04:11.927 --> 00:04:20.153]  Also, Bill Gertz, who really ought to write a story about CIA operatives in the media, I bet he could really give us a good inside story.
[00:04:20.153 --> 00:04:21.234]  What do you think, Mike?
[00:04:21.234 --> 00:04:22.675]  He's such an expert on it.
[00:04:22.675 --> 00:04:32.183]  Why, they've got magic bombs that are going to EMP us like Bugs Bunny's death ray or Marvin the Martian, and we're going to be back in the Stone Age, it's said.
[00:04:33.121 --> 00:04:48.149]  Well, it's just a lot of scaremongering, and the bottom line is that Iraq and Iran and those countries can build all the atomic bombs they want and put them in museums or run them on parades, but the bottom line is that they're not a threat to the U.S.
[00:04:48.149 --> 00:04:55.093]  because, you know, we have the capability of, you know, simply wiping an attacking country off the face of the earth.
[00:04:57.452 --> 00:05:07.477]  Well, listen, North Korea is running around threatening to nuke us, China threatens to nuke us, and then, oh, they're our friends, but, oh, we better attack Iran right now.
[00:05:07.477 --> 00:05:14.180]  Yeah, absolutely, and of course, as was the case in Iraq, there is no evidence that Iran is building nuclear weapons of any kind.
[00:05:14.180 --> 00:05:17.602]  They're doing everything that is consistent with building a power station.
[00:05:17.942 --> 00:05:28.246]  Now it's clear, the CIA's own documents, not the Koch ones, but the real ones say, and this was a few months ago, that it will take 10 years for them to have a nuclear device.
[00:05:28.246 --> 00:05:29.166]  10 years to do it.
[00:05:29.166 --> 00:05:31.947]  Meanwhile, the neocons, the very same liars,
[00:05:33.209 --> 00:05:40.955]  Or three years ago, or on TV, CNN, Fox, you name it, saying they could have a bomb within three months and kill us all.
[00:05:40.955 --> 00:05:42.196]  Yeah, absolutely.
[00:05:42.196 --> 00:05:48.822]  And it's the same rhetoric we heard going into Iraq, that they could attack us in 45 minutes, and all of it turned out to be a lie.
[00:05:48.822 --> 00:05:53.866]  They cannot be so disconnected from the American public that they think anybody is believing it again.
[00:05:53.866 --> 00:06:01.772]  I think it is just they're going through the motions to justify an attack they're going to carry out, and they're basically relying on the American people to not stand up
[00:06:02.230 --> 00:06:05.673]  And slap them in the nose and saying you should not to do this anymore.
[00:06:05.673 --> 00:06:08.575]  But it is very clear that... Mike, do you think they're going to attack Iran?
[00:06:08.575 --> 00:06:11.897]  Yes, I believe that they're going to attack Iran, possibly Syria.
[00:06:11.897 --> 00:06:14.439]  They're going to keep on going until... Now, I've been saying this for years.
[00:06:14.439 --> 00:06:15.299]  You've been saying this for years.
[00:06:15.299 --> 00:06:16.800]  People are like, they're not that crazy.
[00:06:16.800 --> 00:06:17.941]  They wouldn't dare.
[00:06:17.941 --> 00:06:19.262]  Listen, this is their agenda.
[00:06:19.262 --> 00:06:24.686]  This is a criminal group that is attempting to use the military domestically against the American people.
[00:06:24.686 --> 00:06:27.148]  Give us your take on all the domestic propaganda.
[00:06:27.148 --> 00:06:29.970]  I mean, I don't think people realize how widespread this is.
[00:06:31.114 --> 00:06:37.196]  The propaganda is becoming, we're becoming saturated in it, is really what it comes down to.
[00:06:37.196 --> 00:06:46.319]  We have, you know, the scandals where the White House was paying reporters to write favorable pieces in the newspaper, the American newspapers.
[00:06:46.319 --> 00:06:54.602]  We had, only a few years ago, where military psyops operatives were actually working in places like the CNN newsrooms.
[00:06:54.602 --> 00:06:55.162]  We had
[00:06:56.344 --> 00:07:00.845]  Places, you know, situations where we just found out that the U.S.
[00:07:00.845 --> 00:07:07.187]  government is paying journalists in Iraq to write favorable news and forbidding the writing of any negative news about what's going on.
[00:07:07.187 --> 00:07:14.809]  Hundreds of them, hundreds of them, and then knowing that that news is then telegraphed here, meanwhile, lying on our news saying there's total freedom of press over there.
[00:07:15.339 --> 00:07:16.180]  Yeah, absolutely.
[00:07:16.180 --> 00:07:22.624]  Well, of course, if you're going to use the media to lie to the population, you have to first of all convince them that the media is not going to be lying.
[00:07:22.624 --> 00:07:28.028]  You know, if you live in a country where you know the press is simply parroting what the government says, you're going to ignore them.
[00:07:28.028 --> 00:07:36.293]  So for the propaganda campaign to be effective, the first and biggest lie they have to put out there is that the press is uncontrolled by the government.
[00:07:36.293 --> 00:07:38.355]  We now know for a fact that that is not the case.
[00:07:39.136 --> 00:07:44.706]  The government uses all kinds of covert and overt means to sway the media in their favor.
[00:07:44.706 --> 00:07:46.870]  Holding out those seats on Air Force One.
[00:07:46.870 --> 00:07:51.097]  Reporters aren't going to say anything bad about the government as long as they get a free ride in the back of that 747.
[00:07:52.742 --> 00:08:03.414]  So, uh, between that and outright bribes, and now we find out that the government has been bugging journalists, uh, without warrants to find out, you know, things that can be used to persuade them.
[00:08:03.414 --> 00:08:04.215]  Well, that's the thing.
[00:08:04.215 --> 00:08:09.201]  We all know the NSA's been spying on us for decades, and then Bush tries to use that as a rationale.
[00:08:09.201 --> 00:08:09.842]  No, that makes it...
[00:08:10.502 --> 00:08:14.025]  It absolutely is, and I think a big part of this whole current bugging scandal
[00:08:30.337 --> 00:08:34.058]  As you said, the NSA has been doing this for years.
[00:08:34.058 --> 00:08:35.178]  It's really not new.
[00:08:35.178 --> 00:08:40.240]  But I think the reason it was allowed out is Bush realizes he's losing the public relations battle.
[00:08:40.240 --> 00:08:47.262]  He is losing support for future wars, and they have been unable to control radio shows and websites like yours and mine.
[00:08:48.162 --> 00:09:05.357]  And so this, I think, is a last-ditch desperate attempt to trick the people who are getting their news from the blogs and the internet and the radio shows from talking to the rest of America that is still getting all their news from ABC and the other networks because, you know... You know, it's funny you say that.
[00:09:05.357 --> 00:09:10.761]  I believe they came out with this on purpose as a chilling effect and now we have even more evidence.
[00:09:10.761 --> 00:09:13.924]  We're seeing a whole flotilla or squadron
[00:09:14.744 --> 00:09:15.325]  We're good.
[00:09:27.504 --> 00:09:36.451]  Predominantly in England, saying the Internet's evil, showing pictures of Hitler, saying should it be controlled, and they want you to go register with them to discuss it.
[00:09:36.451 --> 00:09:39.574]  So they're also at the same level, that's a triple-pronged attack.
[00:09:39.574 --> 00:09:49.101]  They're saying it's dangerous and evil needs to be regulated, but they're also saying come join us and discuss it, trying to become us, the alternative media, so yes, you're right.
[00:09:49.975 --> 00:10:15.474]  Yeah, right now the biggest problem that Bush and the neocons are facing is that people are talking to each other, and as you said before, the thing about the military being ordered to talk up the Iraq War, I experienced that myself directly recently when we attended a wedding of somebody who was about to go to Iraq, and he's there trying to talk up about the positive side of the war, but every time we ask him a direct question, he goes, yeah, well, yeah, that's true.
[00:10:19.976 --> 00:10:21.337]  Exactly, folks, here's the script.
[00:10:21.337 --> 00:10:25.919]  They go, I tell ya, nobody talks about the positive things that are happening.
[00:10:25.919 --> 00:10:29.280]  The liberal media only focuses on the negative.
[00:10:29.280 --> 00:10:35.463]  When it's not a liberal media, it's lying, but they make it look even more extreme by then saying that it's liberal.
[00:10:36.580 --> 00:10:37.401]  Absolutely.
[00:10:37.401 --> 00:10:43.967]  And it seems like every administration, when the press starts becoming adversarial, they just blame it all their bias toward the other party.
[00:10:43.967 --> 00:10:50.052]  When Clinton was in power, they were calling it the conservative press, was exposing his crimes.
[00:10:50.052 --> 00:10:51.573]  Vast right-wing conspiracy.
[00:10:51.573 --> 00:10:53.315]  Yeah, vast right-wing conspiracy.
[00:10:53.315 --> 00:10:54.036]  And it wasn't.
[00:10:54.036 --> 00:10:58.439]  A lot of things were being let out that the American public needed to know.
[00:10:58.439 --> 00:11:00.902]  And, you know, as long as the media is not
[00:11:01.929 --> 00:11:03.150]  Uh, putting this stuff out.
[00:11:03.150 --> 00:11:07.593]  Americans don't have the information they need to make good decisions, especially going into an election year.
[00:11:07.593 --> 00:11:08.733]  Michael Rivera, stay there.
[00:11:08.733 --> 00:11:15.698]  I want to talk about what you see happening in the next six months, the next year, and then I want to get into a whole host of other issues and take phone calls.
[00:11:19.773 --> 00:11:24.475]  If you think your engine is safe by having the oil changed every 3,000 miles, think again.
[00:11:24.475 --> 00:11:28.216]  Every time you start your car, your engine creates friction between the moving parts.
[00:11:28.216 --> 00:11:36.599]  These moving parts wear against each other, and the result is small metal particles circulating through your oil, causing premature wear and damage to your engine.
[00:11:36.599 --> 00:11:42.221]  Oil filters do a good job of trapping the large metal particles, but they will not trap the most harmful tiny particles.
[00:11:42.521 --> 00:11:48.027]  These tiny particles circulate constantly through your oil and over time your engine begins to show signs of wear.
[00:11:48.027 --> 00:11:50.389]  This is why you need the Filter Mag.
[00:11:50.389 --> 00:12:02.542]  The Filter Mag is a powerful magnet that holds itself to the outside of your oil filter, trapping the tiny metal particles to the inside wall of the filter, extending the life of your oil and ultimately extending the life of your engine.
[00:12:02.762 --> 00:12:07.405]  The reusable FilterMag is maintenance-free, installs in two seconds, and lasts forever.
[00:12:07.405 --> 00:12:08.526]  So what are you waiting for?
[00:12:08.526 --> 00:12:10.287]  Go to FilterMag.com.
[00:12:10.287 --> 00:12:12.329]  That's FilterMag.com.
[00:12:12.329 --> 00:12:12.849]  Or call 800-345-8376.
[00:12:12.849 --> 00:12:13.069]  That's 800-345-8376.
[00:12:13.069 --> 00:12:13.990]  Currency devaluation, inflation.
[00:12:13.990 --> 00:12:14.590]  One and the same.
[00:12:29.401 --> 00:12:33.402]  If you had deposited $100,000 in a bank at 1%, in a 30-month period dating from May 24, 2005, here is what happened to your funds.
[00:12:33.402 --> 00:12:35.463]  The dollar lost 33% of its value in that time frame.
[00:12:35.463 --> 00:12:36.023]  The bank paid you 1%.
[00:12:36.023 --> 00:12:37.804]  Your $100,000 now has a net purchasing power of $68,000.
[00:12:37.804 --> 00:12:38.284]  Here is reality.
[00:12:38.284 --> 00:12:40.324]  The devaluation of currency equals real inflation.
[00:12:55.129 --> 00:12:59.373]  Keep in mind how the value of your paper assets are measured in dollars.
[00:12:59.373 --> 00:13:03.576]  Gold in the same time frame increased 35% in value.
[00:13:03.576 --> 00:13:07.639]  Learn how to protect and profit in this truly unstable world economy.
[00:13:07.639 --> 00:13:09.161]  Call Midas Resources at 1-800-686-2237.
[00:13:09.161 --> 00:13:09.381]  That's 1-800-686-2237.
[00:13:20.080 --> 00:13:28.586]  Hello folks, Alex Jones here introducing Prudent Places USA, an interactive CD book that is your premier resource for hard-to-find information.
[00:13:28.586 --> 00:13:38.653]  Find out about everything from job migration to evacuation information, such as major bridges in disrepair and FEMA evacuation time studies for coastal cities.
[00:13:39.133 --> 00:13:45.196]  Zero in on man-made disaster zones, environmental areas of concern, and natural disaster zones.
[00:13:45.196 --> 00:13:56.081]  Find out everything from where to get water in an emergency, the geographic income levels, housing prices, complete with over 3 gigabytes of detailed information on the 3,000 plus counties in the U.S.
[00:13:56.081 --> 00:14:02.844]  Full-color photographs, 550 high-resolution full-color maps, and detailed information and analysis that you need.
[00:14:02.844 --> 00:14:07.986]  Order Prudent Places USA now for only $29, plus shipping by calling New Millennium
[00:14:08.246 --> 00:14:08.727]  At 888-803-4438.
[00:14:08.727 --> 00:14:10.008]  And tell them Alex Jones sent you.
[00:14:10.008 --> 00:14:10.368]  That's 888-803-4438.
[00:14:10.368 --> 00:14:11.929]  Or order online at berkeywater.com.
[00:14:19.389 --> 00:14:20.910]  Would you like to own a computer?
[00:14:20.910 --> 00:14:23.632]  Would you like to upgrade to a newer, more up-to-date computer?
[00:14:23.632 --> 00:14:30.357]  Do you have no credit, limited credit, bad credit, or even a past bankruptcy that is preventing you from owning the computer you want?
[00:14:30.357 --> 00:14:31.598]  There is a solution.
[00:14:31.598 --> 00:14:38.063]  At FinanceMyPC.com, you are accepted are the words you will hear when applying for the computer you have been looking for.
[00:14:38.243 --> 00:14:44.309]  FinanceMyPC.com offers the latest and greatest laptop and desktop computers available on the market.
[00:14:44.309 --> 00:14:51.356]  With new name brand computers such as Dell, Gateway, and Hewlett Packard, you can rest assured you are getting the best computer money can buy.
[00:14:51.356 --> 00:14:58.884]  At FinanceMyPC.com, regardless of your credit history, you can begin to re-establish your credit while enjoying the computer you deserve.
[00:14:59.164 --> 00:15:03.226]  Having a computer is a right that everyone deserves, even good people with bad credit.
[00:15:03.226 --> 00:15:09.708]  For a limited time, you will receive a free digital camera when you log on to FinanceMyPC.com and place your order.
[00:15:09.708 --> 00:15:13.530]  Call them today, 1-800-829-9017.
[00:15:13.530 --> 00:15:15.811]  That's 1-800-829-9017.
[00:15:15.811 --> 00:15:21.433]  Or simply log on to FinanceMyP... Crashing through the lies and disinformation.
[00:15:21.433 --> 00:15:25.275]  It's Alex Jones, only on the GCN Radio Network.
[00:15:28.374 --> 00:15:34.257]  All right, specifically, we put a big article out this weekend on PrisonPlanet.com and InfoWars.com.
[00:15:34.257 --> 00:15:37.859]  Headline, Dying Corps at Halliburton Sex Slave Scandal Won't Go Away.
[00:15:37.859 --> 00:15:41.740]  And I mentioned some of the topics to Mr. Rivera during the break.
[00:15:41.740 --> 00:15:42.661]  I said, what do you want to talk about next?
[00:15:42.661 --> 00:15:44.142]  He said, well, that sounds pretty interesting.
[00:15:44.142 --> 00:15:52.666]  Of course, he knows about the general five-year saga of this, or six-year now, since they were caught doing it in the Balkans specifically.
[00:15:52.666 --> 00:15:57.348]  But now, the governor of Illinois has written a letter, and this is in the Chicago Tribune,
[00:15:59.043 --> 00:16:01.264]  And said, why are you blocking this?
