[00:00.000 --> 00:25.800]  We now take you live to the Central Texas Command Center in the heart of the resistance,
[00:25.800 --> 00:30.800]  Alex Jones.
[00:30.800 --> 00:58.800]  Today, the revelation surrounding Seales' involvement with the vice presidency of George H. Bush, the Arkansas governorship of Bill Clinton, secret money laundering dealings with the DEA, and CIA director William J. Casey's shadow government of the United States paints a clear picture of the evolution of the current corruption that infests the highest levels of government today.
[00:58.800 --> 01:08.800]  In a staff meeting in 1981 with newly elected president Ronald Reagan, CIA director William Casey said,
[01:08.800 --> 01:26.800]  We'll know our disinformation program is complete when everything the American public believes is false.
[01:26.800 --> 01:53.800]  Governor Bill Clinton's new initiative to bring good jobs to the people of Arkansas, to her surprise, Teresa Dickey gradually uncovered a massive shadow government operation, replete with illegal cargo plane modifications for drug running and money laundering that would have huge ties to the DEA, and at the center of that deliberate and illegal operation was Barry Seal, a fearless drug smuggler and gun runner for the DEA and the CIA.
[01:53.800 --> 01:59.800]  Barry Seal had been busted for drug smuggling and worked out a deal with the DEA to act as an informant.
[01:59.800 --> 02:11.800]  But last night in Louisiana, Barry Seal's enemies caught up with him and killed him. Tonight, three men are in custody, NBC's Brian Ross reports that Seal was about to testify for the government once again.
[02:11.800 --> 02:21.800]  It was Seal who posed as a smuggler and flew into Nicaragua and took these pictures, showing Colombian drug dealers and Sandinista officials loading cocaine on his plane.
[02:21.800 --> 02:42.800]  I came to the table with a background in Air Force Intelligence, eight years during the Vietnam War, worked with the CIA and Air America, and then that led me into contract work with the CIA in an obscure place called Mina, Arkansas, back when Bill Clinton was governor, and back when George Bush was the president.
[02:42.800 --> 02:59.800]  And I personally witnessed a complicity between these two men, Bush and Clinton, in terms of transporting cocaine into the U.S. for the purpose of sale to generate money to fight a war.
[02:59.800 --> 03:06.800]  That war at the time was the conflict in Central America involving the Sandinistas in Nicaragua.
[03:06.800 --> 03:20.800]  And after the Iran Contra hearings detailed Oliver North's diversion of funds to the Contras and all of the failed indictments never brought anyone to justice, to this day the banks continue to launder the billion-dollar drug cartel industry's money.
[03:20.800 --> 03:24.800]  And when they are caught, they pay a fine and no one goes to prison.
[03:24.800 --> 03:29.800]  Thank you, Clinton and Bush crime family. Corruption has been largely normalized.
[03:29.800 --> 03:38.800]  Although all of this evidence may seem irrelevant as the statute of limitations has been surpassed, what does it mean to the upcoming election?
[03:38.800 --> 03:41.800]  What difference at this point does it make?
[03:41.800 --> 03:47.800]  It means everything. It means innocent people mysteriously died in Arkansas for no reason.
[03:47.800 --> 03:59.800]  Because of Linda Ives investigation into the death of her son, she was placed on Bill Clinton's enemy list by White House counsel Mark Fabian.
[03:59.800 --> 04:07.800]  Already people associated with the case were beginning to die and what amounted to a reign of terror among young people in Alexander, Arkansas.
[04:07.800 --> 04:24.800]  The crime syndicate operating within the Bush and Clinton families will either be stopped dead in its tracks from entering the executive office once again, or a Hillary presidency will usher in a new age of corruption that will bring the United States to its knees.
[04:24.800 --> 04:39.800]  John Bown for info wars dot com.
[04:39.800 --> 04:54.800]  I'm your host Alex Jones and we'll be back after this quick break. So get locked in loaded. We're less than 24 hours out right now to the kickoff of the big debate. I mean, it's technically like 26 hours, 27 hours.
[04:54.800 --> 05:10.800]  But for all the purposes, it is game time. Stay with us.
[05:10.800 --> 05:25.800]  You guys were putting those out there. I am a relatively short time listener and I'm quite a supporter of your fine fine products. Welcome to the info war. It's so easy to get these incredible nutraceuticals that support your health and the info war at the same time.
[05:25.800 --> 05:44.800]  I'm a nine year listener. I buy all the nutraceuticals. I feel effects. Nice. Let me ask you a question. Have they worked for you? They're the most unbelievable products I've ever had in my life. What products are you taking? Everything from Superman to brain force to winter sun X to even got a little DNA force.
[05:44.800 --> 06:07.800]  So when I just free up everything and I just went to auto bill visit info wars life.com to read the information and research and to see the reviews for yourself. That's info wars life.com or call 888-253-3139.
[06:07.800 --> 06:19.800]  It's Sunday, September 25th, 2016, 43 days out from the November 8th general election. The final countdown.
