whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 |

main: processing './wav/20190327_Wed_Alex.wav' (230270851 samples, 14391.9 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:06.620]   [MUSIC]
[00:00:06.620 --> 00:00:11.900]   >> From the front lines of the information war, it's Alex Jones.
[00:00:11.900 --> 00:00:14.620]   [MUSIC]
[00:00:14.620 --> 00:00:19.400]   >> Wednesday, March 27th, 2019.
[00:00:19.400 --> 00:00:24.280]   And the Mueller report coming up empty is even more devastating to the deep state
[00:00:24.280 --> 00:00:28.080]   and the globalist media combine that I thought they are in ratings.
[00:00:28.080 --> 00:00:33.080]   >> Total implosion free fall, their credibility already close to zero has
[00:00:33.080 --> 00:00:34.560]   now gone negative.
[00:00:34.560 --> 00:00:38.920]   The small it arrogance because it goes all the way up to Obama.
[00:00:38.920 --> 00:00:45.560]   The arrogance of the system letting him off Scott free is now spiraling
[00:00:45.560 --> 00:00:49.840]   completely out of control, blowing up in their faces,
[00:00:49.840 --> 00:00:54.520]   their hubris and arrogance meets reality.
[00:00:54.520 --> 00:00:58.400]   But first, we've seen a lot of compilations of the Russiagate fail, but
[00:00:58.400 --> 00:01:00.640]   here's one of the biggest and most extensive and
[00:01:00.640 --> 00:01:03.800]   newest that we posted to info wars.com.
[00:01:03.800 --> 00:01:04.640]   >> Breaking news.
[00:01:04.640 --> 00:01:09.840]   >> My God, breaking news, ABC News Brian Ross is reporting.
[00:01:09.840 --> 00:01:14.120]   Michael Flynn promised full cooperation to the Mueller team and
[00:01:14.120 --> 00:01:16.560]   is prepared to testify that as a candidate,
[00:01:16.560 --> 00:01:19.520]   Donald Trump directed him to make contact with the Russians.
[00:01:19.520 --> 00:01:29.520]   >> [APPLAUSE]
[00:01:29.520 --> 00:01:36.200]   >> I'm confident now even more so than I have been throughout the last year that
[00:01:36.200 --> 00:01:40.400]   this nightmare presidency of Donald John Trump will end prematurely and end soon.
[00:01:40.400 --> 00:01:43.080]   >> If we discover that Donald Trump or
[00:01:43.080 --> 00:01:48.320]   his advocates played a role in helping to devise strategy.
[00:01:48.320 --> 00:01:51.160]   If they're the ones who came up with crooked Hillary.
[00:01:51.160 --> 00:01:52.200]   >> Crooked Hillary.
