[00:00.000 --> 00:24.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:24.000 --> 00:50.000]  I shot a video this morning that's up on infowars.com that shows the Justice Department FBI's own crime statistics that from 1976 to 2011, that's the latest crime numbers they have, 270 plus thousand black people, self-identified black people in this country were killed.
[00:50.000 --> 01:00.000]  And 260 plus thousand, I'm going to go over those actual numbers coming up in the broadcast today on the Sunday edition, were killed by other black people.
[01:00.000 --> 01:22.000]  94%. In fact, at home I was able to pull up the Justice Department numbers. I just searched this again right when I got to the office and got the Wall Street Journal community struggling to break a grim cycle of violence, and then it's got the number in there of the 94% of blacks were killed by blacks.
[01:22.000 --> 01:51.000]  And this is an article actually that came out last year, but you can go and read it right there in the article. And what was strange was, there is 94% of the time, what was strange is that I put the video out, and the black folks on there that were responding to me, some of them, were saying stuff like,
[01:51.000 --> 02:06.000]  we're going to kill you, Alex Jones. In fact, I forgot to show you guys that. The video is titled, I got here earlier today, but didn't get around to getting a lot of the stuff compiled until I suddenly just went on air and remembered, oh, I didn't get that video.
[02:06.000 --> 02:25.000]  The video is titled, Flash Riots in Oakland after the George Zimmerman verdict. And there's quite a few comments in there saying, look, we know you're really racist. That's why you're citing with the Kim Jong-il look alike, George Zimmerman or the Kim Jong-un look alike.
[02:25.000 --> 02:44.000]  And, you know, your time's coming, we're going to kill you. I mean, if I put out a comment saying, I'm going to kill somebody, the police would be here within about a day. They're already here all the time over vague comments on our website from a libertarian perspective.
[02:44.000 --> 03:11.000]  FBI, Secret Service, federal marshals, Texas Rangers, I mean, if a mouse farts on the roof, they show up here. But the whole point is, is that I made a video about, hey, shouldn't you be upset about the number one cause for black men, unnatural cause of death is other black men.
[03:11.000 --> 03:22.000]  But that doesn't count. That doesn't matter. It's all just about how much fun it is to think that white people are bad and that white people are evil.
[03:22.000 --> 03:37.000]  And it's just very, very frustrating because all I want is true liberty and freedom. And you know something, O.J. Simpson, there was a very small reasonable doubt and he got off, even though it was pretty obvious he did it.
[03:37.000 --> 03:47.000]  And he's back in prison for something else right now, obviously. But there was a reasonable doubt there and you didn't see a bunch of riots over that, even though the media tried to play it up as a racial division.
[03:47.000 --> 04:00.000]  And it just shows how we're obsessed on religion or race or where you're from over what you stand for and what you believe in and what you produce.
[04:00.000 --> 04:10.000]  I mean, I don't care what color you are if you sing beautiful music or play a guitar well or have great poetry or a great oil painter or a great football player or whatever it is.
[04:10.000 --> 04:25.000]  I admire your humanity. And I thought most people are like that, but the system doesn't want us to judge off of what's really going on, the real palette, the real flavor, the real spectrum of who somebody is.
[04:25.000 --> 04:35.000]  They want it all in stereotypes. They don't want you thinking. And they sell all this racial division in the name of racial unity.
[04:35.000 --> 04:43.000]  So we're going to be breaking it all down today, ladies and gentlemen, big broadcast, and then we'll tie into more racial obsession.
[04:43.000 --> 04:56.000]  You know, with the TV station putting out the joke Asian names and, you know, calls about how racist this was when it was a mistake and a prank online that they greedily grabbed and loaded into the teleprompter.
[04:56.000 --> 05:17.000]  The debate is about the parrot prompters.
[05:27.000 --> 05:32.000]  You're getting soap products twice as good as what you're using now.
[05:32.000 --> 05:36.000]  This is an amazing deal and you will love the way real soap makes your skin feel.
[05:36.000 --> 05:48.000]  Call 1-800-340-7091 or visit www.5starsope.com. Alex and his staff have used these earth-friendly pure soaps for years.
[05:48.000 --> 05:58.000]  See them on the web www.5starsope.com or call 1-800-340-7091 for a catalog.
[06:19.000 --> 06:43.000]  You've got it.
[06:43.000 --> 06:50.000]  Monday through Friday from 11 a.m. to 2 p.m. Central, we're here live with the weekday transmission.
[06:50.000 --> 06:57.000]  Then I come back live and we're live Sunday 4-6 p.m. Central Standard Time.
[06:57.000 --> 07:03.000]  It is the 14th day of July 2013.
[07:03.000 --> 07:09.000]  We're going to be live here for the next two hours as we are every Sunday evening.
[07:09.000 --> 07:14.000]  We also host one of my great crew of anchors and reporters, Info Wars Nightly News,
[07:14.000 --> 07:17.000]  Five Dights a Week, 7 o'clock Central Standard Time.
[07:17.000 --> 07:22.000]  No rest in the defense of liberty and awakening humanity.
[07:22.000 --> 07:27.000]  You know, there are a lot of different forms of discrimination in this world.
[07:27.000 --> 07:36.000]  It's discriminatory that the top mega corporations globally lobby western governments to be tax-exempt.
[07:36.000 --> 07:41.000]  But then lobby to have governments raise taxes on the middle class in poor
[07:41.000 --> 07:47.000]  to then conduit corporate welfare and bailouts to these trillion-dollar conglomerates
[07:47.000 --> 07:57.000]  and combines with men and women worth 10, 20, 30, 40, 50, 100, 200, 300, 400 billion dollars apiece.
[07:57.000 --> 07:58.000]  That's right.
[07:58.000 --> 08:01.000]  The richest people in the world are not worth 50, 60 billion folks.
[08:01.000 --> 08:07.000]  And notice they put their money in tax-exempt foundations like Bill and Melinda Gates and Warren Buffett.
[08:07.000 --> 08:13.000]  The real old money leverages trillions of dollars, and their wealth are state secrets.
[08:13.000 --> 08:19.000]  Like the Queen of England, who owns the large controlling portion of British Petroleum
[08:19.000 --> 08:22.000]  or the Queen of the Netherlands, her cousin that controls the controlling interest.
[08:22.000 --> 08:27.000]  That's a state secret, but it's been leaked to Dutch Royal Shell.
[08:27.000 --> 08:34.000]  There's a reason it's called Dutch Royal, because it is Royal.
[08:34.000 --> 08:37.000]  But oh, they don't want that being discussed.
[08:37.000 --> 08:44.000]  No, the British Empire learned from Caesar that they had the old Latin manuals translated into English
[08:44.000 --> 08:47.000]  on how to divide and conquer populations.
[08:47.000 --> 08:51.000]  You're going in to fight with just a few hundred men, thousands of natives.
[08:51.000 --> 08:57.000]  You find out about the divisions between the natives first, and then you play those divisions off.
[08:57.000 --> 09:03.000]  That's how Cortez could come in with a couple hundred men into what's Mexico City today
[09:03.000 --> 09:12.000]  and defeat an army of Aztecs, numbering more than 40,000.
[09:12.000 --> 09:13.000]  They used propaganda.
[09:13.000 --> 09:14.000]  They used psiops.
[09:14.000 --> 09:17.000]  They used divide and conquer.
[09:17.000 --> 09:22.000]  They played different political factions off against each other.
[09:22.000 --> 09:30.000]  And that's what you're seeing happen with the whole Trayvon Martin, George Zimmerman distraction.
[09:30.000 --> 09:36.000]  That's what you see going on here, vividly projected and put out.
[09:36.000 --> 09:48.000]  Anybody out there can search the term 94% of blacks are killed by blacks and you'll get Justice Department FBI numbers
[09:48.000 --> 10:01.000]  released in 2011 from 1976 to 2011 were 700, 270 plus thousand.
[10:01.000 --> 10:13.000]  That's 270 plus thousand blacks were killed in this country.
[10:13.000 --> 10:25.000]  In those years between 76 and 2011 and 262 plus thousand of them or 94% were killed by other blacks.
[10:25.000 --> 10:29.000]  And you'll get AP Reuters Wall Street Journal.
[10:29.000 --> 10:49.000]  Here are the actual numbers, 279,384 total black murder victims, 279,384 and of those 262,621 were killed by other blacks.
[10:49.000 --> 10:59.000]  Now, why do I start out with that? Because I shot a video that anybody can go look at.
[10:59.000 --> 11:06.000]  It's up on infowars.com and it's also on our YouTube channel.
[11:06.000 --> 11:18.000]  You can go to the YouTube channel and see the article flash riots break out after Zimmerman set free.
[11:18.000 --> 11:26.000]  And you can go read people with real channels, with videos of their families on them, family vacations, music.
[11:26.000 --> 11:29.000]  These are real black people.
[11:29.000 --> 11:37.000]  These aren't joke spoof accounts saying they're going to kill George Zimmerman and that next they're going to kill me.
[11:37.000 --> 11:41.000]  And then people say, come on, we need to come together for liberty and freedom.
[11:41.000 --> 11:49.000]  Don't talk like that. And the people on there say, oh, you're just scared we're coming to kill you.
[11:49.000 --> 12:04.000]  Well, no, I'm actually not scared with my.357 Magnum right here in my AR-15 out there in instant access locker and Barrett.50 caliber rifles and everything.
[12:04.000 --> 12:11.000]  No, I'm not. I'll be honest. I'm not really scared. I am scared of the ignorance, though, of some people.
[12:11.000 --> 12:28.000]  And I am scared of the fact that no one attacking me would look at the video and say, why aren't you upset about black people killing 262,000 other black people in less than 30 years?
[12:28.000 --> 12:40.000]  The number one cause of death for black males, unnatural death, is death by black male, death by another black man.
[12:40.000 --> 12:46.000]  And in the whole gangster culture pushed by MTV, that's the cool thing. That's the fun thing. That's what's great.
[12:46.000 --> 12:55.000]  I shot another video that's got like 90% positive comments. I mean, both these videos do, but I'm just responding to those that don't seem to get it.
