[00:00.000 --> 00:28.000]  this Wednesday.
[00:30.000 --> 00:39.320]  almost forgot to add, the year is 2020. We're here. In the age of the foretold Buck Rogers
[00:39.320 --> 00:52.320]  and George Jetson, it's not how Hollywood told us it would be, because the future, technology
[00:52.320 --> 01:00.280]  is not evenly distributed. Alright, thank you for joining us. To say that we've reached
[01:00.280 --> 01:08.680]  information overload is nothing but a redundancy. Every day I come back to sit in this chair
[01:08.680 --> 01:18.080]  after doing enormous amounts of research, there is a sense of dread, a sense of fear,
[01:18.080 --> 01:26.480]  a sense of panic, a sense of concern, but also a sense of exhilaration and empowerment.
[01:26.480 --> 01:33.920]  And that great times of change after great decades of stagnation are here, and that good
[01:33.920 --> 01:45.360]  exists just like evil. And if we have faith in that, then humanity has more than a chance.
[01:45.360 --> 01:55.000]  And this is the animating contest of liberty. And I'm going to attempt to cover the news.
[01:55.000 --> 02:01.880]  It's all completely over the top. I could easily talk for 10 hours about Kobe Bryant
[02:01.880 --> 02:05.360]  and how much it's really freaked people out that he was announced to have just a few hours
[02:05.360 --> 02:14.560]  ago with at least one of his young daughters in a helicopter crash in Calabasas, California.
[02:14.560 --> 02:20.280]  And the psychology of how people are so upset because he was a smart, likable guy, he was
[02:20.280 --> 02:26.920]  a great basketball player, he was a handsome guy, well-spoken father figure, and he'd
[02:26.920 --> 02:32.040]  been falsely accused before and been through the ringer. And there's nothing like somebody
[02:32.040 --> 02:47.480]  who knows innocent being persecuted that makes you and dear someone. It was Stalin that said,
[02:47.480 --> 02:52.960]  one man dies, it's a tragedy, 10,000 die, it's a statistic. So I can talk all day about
[02:52.960 --> 02:57.040]  Kobe Bryant, and I've shot up a six and a half minute video that just went live on
[02:57.040 --> 03:03.000]  them FullWars.com. If you want to know what I think about it, the different facets to
[03:03.000 --> 03:05.960]  it. I made a couple calls to two different helicopter pilots I know. One's a military
[03:05.960 --> 03:11.040]  helicopter pilot, one's a private helicopter pilot, and they basically said the same thing
[03:11.040 --> 03:16.320]  that that helicopter he was on was very new, very high-tech, and they would never fly into
[03:16.320 --> 03:22.080]  full fog. It has fleer, so you can see where you're going. So how they flew into the side
[03:22.080 --> 03:27.480]  of a mountain, there's the records right there for TV viewers, very tragic, and that's his
[03:27.480 --> 03:34.080]  helicopter, his big high-tech fancy helicopter. So somebody wasn't paying attention or something
[03:34.080 --> 03:40.160]  malfunctioned, but while you fly into a bank of fog when you've got fleer, and in all sorts
[03:40.160 --> 03:45.040]  of other technology on those things, I mean you can fly pitch black, rain, fog, it sees
[03:45.040 --> 03:56.440]  right through all of it. So maybe the fleer was out that day. But that said, I'm done
[03:56.440 --> 04:07.440]  talking about it, because if you want to join Kobe Bryant, where we all will join Kobe
[04:07.440 --> 04:11.040]  Bryant, we're all going to meet our maker, that's the great equalizer, but we could all
[04:11.040 --> 04:16.960]  join him a lot faster with this virus outbreak that's now a pandemic, headed towards the
[04:16.960 --> 04:23.440]  global pandemic, with the cover-up unraveling, Gigi Ping admitting it's a crisis, troops
[04:23.440 --> 04:29.220]  and armored vehicles and checkpoints, and millions trying to flee Wuhan, I mean this
[04:29.220 --> 04:35.560]  is total breakdown, and the fifth case has popped up in the U.S., and we have exclusive
[04:35.560 --> 04:42.320]  horrifying intel that's so intense, I was planning to go on vacation in six days, I
[04:42.320 --> 04:46.680]  never go on vacation, I need to do it, and if we're just four or five days, I'm probably
[04:46.680 --> 04:52.320]  going to cancel that, because it's just that intense. It's all coming up, and that's just
[04:52.320 --> 04:55.640]  the tip of the iceberg, you've got the trial of the president, you've got, it just goes
