[00:00:17.441 --> 00:00:18.583]  Things are bad.
[00:00:18.583 --> 00:00:20.366]  Everybody knows things are bad.
[00:00:20.366 --> 00:00:22.309]  It's a depression.
[00:00:22.309 --> 00:00:25.193]  Everybody's out of work or scared of losing their job.
[00:00:26.599 --> 00:00:28.219]  The dollar buys a nickel's worth.
[00:00:28.219 --> 00:00:29.680]  The banks are going bust.
[00:00:29.680 --> 00:00:32.260]  Chunky must keep a gun under the coat.
[00:00:32.260 --> 00:00:33.921]  Punks are running wild in the street.
[00:00:33.921 --> 00:00:38.082]  Nobody anywhere seems to know what to do and there's no end to it.
[00:00:38.082 --> 00:00:38.862]  We know.
[00:00:38.862 --> 00:00:40.682]  The air is unfit to breathe.
[00:00:40.682 --> 00:00:43.083]  Our food is unfit to eat.
[00:00:43.083 --> 00:00:46.303]  Sick watching our TVs while some local newscaster tells us.
[00:00:46.303 --> 00:00:49.884]  Today we had 15 homicides and 63 violent crimes.
[00:00:49.884 --> 00:00:51.684]  As if that's the way it's supposed to be.
[00:00:51.684 --> 00:00:52.905]  We know things are bad.
[00:00:52.905 --> 00:00:53.765]  Worse than bad.
[00:00:54.365 --> 00:00:55.165]  They're crazy.
[00:00:55.165 --> 00:00:58.727]  It's like everything everywhere is going crazy, so we don't go out anymore.
[00:00:58.727 --> 00:01:05.689]  We sit in the house and slowly the world we're living in is getting smaller and all we say is please at least leave us alone in our living rooms.
[00:01:05.689 --> 00:01:07.990]  Well, I'm not going to leave you alone.
[00:01:07.990 --> 00:01:10.131]  I want you to get mad.
[00:01:10.131 --> 00:01:14.752]  I don't know what to do about the depression and the inflation and the Russians and the crime in the street.
[00:01:14.752 --> 00:01:17.773]  All I know is that first, you've got to get mad.
[00:01:17.773 --> 00:01:19.494]  You've got to say, I'm a human being.
[00:01:26.783 --> 00:01:29.826]  I want you to get up now.
[00:01:29.826 --> 00:01:32.309]  I want all of you to get up out of your chairs.
[00:01:32.309 --> 00:01:45.182]  I want you to get up right now and go to the window, open it, and stick your head out and yell, I'm as bad as hell and I'm not going to take this anymore!
[00:01:45.182 --> 00:01:47.345]  I want you to get up right now.
[00:01:47.345 --> 00:01:47.745]  Get up!
[00:01:59.297 --> 00:01:59.978]  I think?
[00:02:35.999 --> 00:02:44.032]  You are about to see the most detailed and comprehensive footage from the historic Million Maga March held in Washington, D.C.
[00:02:44.032 --> 00:02:45.735]  on November 14, 2020.
[00:02:45.735 --> 00:02:49.601]  The corporate press is desperately trying to suppress this information.
