[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[00:18.000 --> 00:41.000]  It is Sunday, January 8th, 2012. We're going to be live here for the next two hours. I, of course, will be back tomorrow.
[00:41.000 --> 00:49.000]  Live on the radio, 11 a.m. to 2 p.m. Central, 12 noon to 3 p.m. Eastern.
[00:49.000 --> 01:06.000]  I cannot believe that the official statements that war with Iran is a foregone conclusion and basically imminent is not a bigger news item here in the United States.
[01:06.000 --> 01:12.000]  I guess we've been hearing about war for so long that you just begin to expect it.
[01:12.000 --> 01:27.000]  Kind of like you grow up your whole life hearing about how you die someday, and you watch grandparents die, you watch friends die, you watch neighbors die, you watch teachers die, you watch friends die, you watch a spouse die, you watch children die, and when it's time to die, you're like, well, this is just what happens.
[01:27.000 --> 01:36.000]  But this whole Iran situation is supposed to be the primer for the global crisis to really bring us into an official world government.
[01:36.000 --> 01:43.000]  It's unofficially been there, this corporate, global, anti-free market, anti-family tyranny for a very, very long time.
[01:43.000 --> 01:49.000]  But now it's staring us right in the eyeballs, and it's not even menacing words.
[01:49.000 --> 01:56.000]  And you see the entire Bill of Rights and Constitution being shoved into a meat grinder or like a stick of celery.
[01:56.000 --> 02:06.000]  The last thing to go in is the First Amendment, and they're now shelling the idea that, yeah, we're going to start shutting off talk radio and people that question government, that means conspiracy theorist.
[02:06.000 --> 02:13.000]  All of this is going on. All of this is happening, and it's mind-blowing.
[02:13.000 --> 02:20.000]  Now, I did watch the Republican ABC New Hampshire debate. We got that big primary coming up on Tuesday.
[02:20.000 --> 02:27.000]  Ron Paul is just turbocharging into second place everywhere, and I've got even the corporate horror media admitting that.
[02:27.000 --> 02:33.000]  We've got the demonization tactics against him. I've got some advice to the Paul campaign.
[02:33.000 --> 02:43.000]  But watching the debate last night, I know why so many people still get suckered, because it is off who sounds the nicest, who sounds the best, who sounds the most reasonable.
[02:43.000 --> 02:50.000]  These are paid liars. All of them, but Ron Paul. I'm not saying Mitt Romney's an evil person.
[02:50.000 --> 02:58.000]  I'm not saying Huntsman's an evil person. I am saying Newt Gennrich is evil. He's a globalist and a liar like I've never seen.
[02:58.000 --> 03:04.000]  But still, they're bought and paid for by the interest that control the Democrats.
[03:04.000 --> 03:09.000]  Just like Obama, I said, I don't think he's probably an evil person, but he's certainly a sellout.
[03:09.000 --> 03:15.000]  He's bought and sold hundreds of times to get to where he is, and I knew what Obama would do from his advisors.
[03:15.000 --> 03:23.000]  I made the Obama deception that's even more popular three and a half years after he got into office than when I first made it.
[03:23.000 --> 03:32.000]  And the day he was elected, November 2008, and was seated January 22, 2009.
[03:32.000 --> 03:40.000]  I mean, I had that film almost done in his inauguration. I did the intro. I'd already done the rest of the film when he got inaugurated, so I had that intro shot.
[03:40.000 --> 03:48.000]  And I laid out everything he'd do. He's going to invade Libya. They're going to attack this country. They're going to invade Africa through Africa.
[03:48.000 --> 03:57.000]  They're going to call it peace. That's why he's being given the peace prize. They're going to pass the carbon taxes, all of it.
[03:57.000 --> 04:07.000]  And I keep going back to the Obama deception because it's the best work we've got. I could point at something over three years old
