[00:00:13.112 --> 00:00:19.157]  Ladies and gentlemen,
[00:00:42.665 --> 00:00:45.866]  It's September 3rd, 2019.
[00:00:45.866 --> 00:00:48.467]  I'm your host, Alex Jones.
[00:00:48.467 --> 00:00:50.467]  We're gonna be live here for the next four hours.
[00:00:50.467 --> 00:00:54.528]  Then you've got the War Room.
[00:00:54.528 --> 00:00:55.889]  Black sunshine.
[00:00:55.889 --> 00:00:56.709]  I like that term.
[00:00:56.709 --> 00:01:00.170]  We're shining light on the black projects.
[00:01:00.170 --> 00:01:08.372]  The secret projects of the establishment that would rather have the general population behave like a bunch of over-entertained
[00:01:11.004 --> 00:01:19.236]  Brain damaged zombies on their way to historical, cultural, biological oblivion.
[00:01:19.236 --> 00:01:20.939]  But I don't want that.
[00:01:20.939 --> 00:01:23.022]  And I know how the universe works.
[00:01:23.022 --> 00:01:26.327]  Those of us that are aware of how the universe works will be doomed
[00:01:27.495 --> 00:01:34.499]  to something akin to hell if we do not try to help people achieve real consciousness.
[00:01:34.499 --> 00:01:45.045]  That's just the law of the universe, and all these fools that see the childlike nature of the general public and use it against them are not going to cross the River Jordan, I can assure you.
[00:01:45.045 --> 00:01:48.987]  But they're cut off from God, so the globalists don't understand that.
[00:01:48.987 --> 00:01:51.108]  Here's what's going to happen.
[00:01:51.108 --> 00:01:57.012]  Whenever I have something that is of the utmost importance, I wouldn't call it choking
[00:01:58.123 --> 00:02:00.644]  But I would call it a form of over-preparing.
[00:02:00.644 --> 00:02:02.425]  I set my alarm clock for 5 a.m.
[00:02:02.425 --> 00:02:16.312]  this morning, and I got up again at 5.15, got to the desk drinking coffee, and reviewed a lot of documents, a lot of legislation that's passed, a lot of defense spending, a lot of intelligence agency spending.
[00:02:16.312 --> 00:02:22.996]  And so I put together four or five big stacks here of exhibits.
[00:02:24.881 --> 00:02:40.967]  And I tend to, when I put these exhibits together, wait till later in the show to get to them, just because it's so daunting that I'm really going to try to give my best analysis and my best oratory skills here to tell you the absolute truth.
[00:02:42.111 --> 00:02:59.265]  And the problem is there's so much data that I tend to get caught up showing you the proof instead of just telling you what's going on and then talking about the action we need to take and then pointing you in an article that has all the links to it and all the admissions.
[00:02:59.265 --> 00:03:00.886]  Now, I'm gonna be very clear here.
[00:03:00.886 --> 00:03:03.648]  There's one of three things going on with Trump.
[00:03:03.648 --> 00:03:05.090]  And we're gonna lay these out when we come back.
[00:03:05.090 --> 00:03:07.592]  I'm gonna get to it now.
[00:03:07.592 --> 00:03:11.535]  There's one of three things going on here.
[00:03:13.396 --> 00:03:15.317]  One of three things.
[00:03:15.317 --> 00:03:26.204]  Either the president is truly a troglodyte and doesn't understand what's going on in his administration, like they say.
[00:03:26.204 --> 00:03:32.969]  Or he's working for the bad guys and knows full well what's happening.
[00:03:32.969 --> 00:03:41.094]  Or he believes that he's got to head off other big problems first before he addresses this for some reason that escapes me.
[00:03:43.148 --> 00:03:46.670]  But I'm not going to issue an ultimatum to the president.
