[00:00.000 --> 00:25.000]  This is our land, these are our people, the workers, the strivers, the builders, these
[00:25.000 --> 00:36.000]  are our people. Who are they? They are the Dark Armies. The Dark Murdering Armies is
[00:36.000 --> 00:58.000]  the answer to 1984 is 1776. You're listening to the Alex Jones Show. It's Super Bowl Sunday. This is the Alex Jones
[00:58.000 --> 01:02.000]  Show. I'm Anthony Gucciardi and I'll tell you what, you don't need to watch the Super Bowl
[01:02.000 --> 01:08.000]  because the real battle for this country and the entire planet is right here. This is it. We're going to
[01:08.000 --> 01:13.000]  break down the latest from last night's debates and newest election news. We've got someone on the ground
[01:13.000 --> 01:18.000]  actually and they're going to give us a report as well as Alex is going to be joining in and calling
[01:18.000 --> 01:24.000]  to give his view on last night's debates and the election at large. The stacks of news today are
[01:24.000 --> 01:31.000]  completely mind blowing, completely mind blowing, such as a key figure saying there's a special place
[01:31.000 --> 01:37.000]  in hell for women who don't support Hillary and how Trump's lead in New Hampshire is actually growing
[01:37.000 --> 01:42.000]  despite all of the attacks. We've also got Rob Dew riding shotgun for the entire show today. It's going
[01:42.000 --> 01:47.000]  to be really, really exciting. Let me tell you, more exciting and more meaningful and more important
[01:47.000 --> 01:52.000]  than the Super Bowl. Yeah, I totally agree. And here's a, we're going to get to Super Bowl security
[01:52.000 --> 01:57.000]  in a second. We have a video that we produced earlier this week, but this is from WGNTV in
[01:57.000 --> 02:02.000]  Chicago, unprecedented security at Super Bowl 50. So we have this fake gladiatorial event,
[02:02.000 --> 02:11.000]  this mock battle, 60 different agencies, the state, federal and local agencies to send upon
[02:11.000 --> 02:16.000]  San Francisco for Super Bowl 50. So all the security apparatus, but we can't get it done at the border.
[02:16.000 --> 02:21.000]  We keep the borders wide open, but we got to lock down the Super Bowl. And that's just to teach people
[02:21.000 --> 02:26.000]  that they're slaves because they're going to have face reading cameras. They're going to be checking
[02:26.000 --> 02:30.000]  every truck that comes through probably with those X-ray vans that they've shown in the past.
[02:30.000 --> 02:35.000]  I mean, it is just literally turning us into an Orwellian police state while the border stays
[02:35.000 --> 02:37.000]  wide open and they pretend they don't know how to shut it.
[02:37.000 --> 02:40.000]  Well, that's because the Super Bowl is the most important thing. And look, I want to be clear.
[02:40.000 --> 02:43.000]  I'm not going to sit up here and trash people that watch the Super Bowl and enjoy it with their friends
[02:43.000 --> 02:48.000]  and family, right? But there's 120 plus million people. They're going to watch the Super Bowl tonight.
[02:48.000 --> 02:53.000]  And that's actually an incorrect number because if you think about 100 plus people at a bar or whatever,
[02:53.000 --> 02:58.000]  it's only one television or a few televisions. So it's really, they say, around 180 plus million that watch it.
[02:58.000 --> 03:04.000]  But imagine if those people actually cared about something that matters as much as they care about the Super Bowl.
