[00:00.000 --> 00:14.000]  Waging War on Corruption. It's Alex Jones.
[00:14.000 --> 00:32.000]  It's the time of the season, when love runs high. In this time, give it to me easy, and let me try with pleasure hands.
[00:32.000 --> 00:47.000]  To take you in the sound, to promise lands, to show you everyone, it's the time of the season for love.
[00:47.000 --> 00:57.000]  Here we are, ladies and gentlemen, broadcasting worldwide on this live Sunday edition, the 27th day of April.
[00:57.000 --> 01:07.000]  2014, I am your host, Alex Jones. And this will be another very important transmission, totally jam-packed with Key Intel.
[01:07.000 --> 01:21.000]  The Russian situation, as I've been saying the last few months, is deteriorating, and I said that they would probably try to partition the eastern half for Russia, the western half for western back to Ukraine.
[01:21.000 --> 01:27.000]  That may be a staged event at the highest levels between different arms of the global crime syndicate.
[01:27.000 --> 01:40.000]  Now, let's just say that that's what we hope is going on, because as bad as that is, that is nothing in comparison to if this is real.
[01:40.000 --> 01:48.000]  Now, again, I'm not a conspiracy theorist. What I am is really a historian and a man who is street smart.
[01:48.000 --> 02:07.000]  I'm a lay study of history and how humans operate, and there are no fewer than 30 plus examples in the last 200 years in eastern, western, southern Europe of powerful empires making back room deals to act like they're fighting with each other,
[02:07.000 --> 02:13.000]  but to divide a country in two or three, four parts sometimes, more than four parts.
[02:13.000 --> 02:32.000]  So, that's the standard play. One of the last famous examples was Adolf Hitler and Joseph Stalin made a deal right before World War II to act like that, well, Germany's coming to protect ethnic Germans in Poland,
[02:32.000 --> 02:36.000]  and Russia's coming into its side to protect ethnic Russians in Poland.
[02:36.000 --> 02:43.000]  So, they made a back room deal that came out at the end of World War II to divide the country between each other.
[02:43.000 --> 02:54.000]  That may be what this is. Unfortunately, my gut tells me it's not, and there's a lot of reasons for that, and let me expand on that.
[02:54.000 --> 03:07.000]  It's not staged. We've gone from a 10% chance in my gut estimation last Friday, two days ago for nuclear war, to about a 20%.
[03:07.000 --> 03:15.000]  We've got about a 40% chance, maybe 50%. You're going to see armor from Ukraine openly fighting Russian armor and helicopters.
[03:15.000 --> 03:20.000]  In fact, it looks like it's already started. So, I'm being very conservative here.
[03:20.000 --> 03:28.000]  I'm not a military analyst. Most military analysts are on the Pentagon payroll here, or they're on KGB slash FSB payroll.
[03:28.000 --> 03:35.000]  You see them on Russian television. So, they're not going to tell you anything that resembles reality when you're watching military analysts on CNN or Fox.
[03:35.000 --> 03:45.000]  I am also a lay historian of military affairs, as you've noticed, and larger geopolitical machinations, and I've read the books of Brzezinski and many others.
[03:45.000 --> 03:53.000]  And I've interviewed a lot of top experts you've heard over the years, former generals, former chairman of the Joint Chiefs of Staff, former top CIA analysts and others.
[03:53.000 --> 03:58.000]  So, this is a realm I'm informed in. That doesn't mean I have all the answers.
[03:58.000 --> 04:06.000]  So, I do want to open the phones up today to get your take on the Ukraine situation, and we'll cover these headlines when we come back.
[04:06.000 --> 04:24.000]  Then we've got an LA Times article. I remember three years ago, DrugsReport.com, just giving credit where credit's due, linked to an article we did where the Texas Utility Commission said that it would basically double Texas power prices if Obama shut down these Texas power plants.
[04:24.000 --> 04:32.000]  They did it. The power doubled. It's more than doubled where I live. I mean, it's incredible. I have trouble paying the bill. I can't imagine poor folks.
[04:32.000 --> 04:39.000]  There's the LA Times. Talk about economic warfare. This is it. This is a Gen 21.
[04:39.000 --> 04:48.000]  U.S. electricity prices may be going up for good, set to double because of shutdown of coal power plants. That's your precious LA Times.
[04:48.000 --> 04:55.000]  When I broke this three years ago, the White House actually came out and responded to us, okay, and said we were liars.
[04:55.000 --> 04:58.000]  Well, right back, I'm Alex Jones. Stay with us.
[04:58.000 --> 05:07.000]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[05:07.000 --> 05:16.000]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[05:16.000 --> 05:21.000]  We have now managed to secure these sought-after beans in a highly customized blend.
[05:21.000 --> 05:28.000]  Look over and try a bag of the Patriot Blend 100% Organic Coffee at infowarslife.com.
[05:28.000 --> 05:35.000]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[05:35.000 --> 05:42.000]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[05:42.000 --> 05:50.000]  Dropped by the site today, order a bag or two, and I don't think you're going to be disappointed. Available in original or with our immune support infusion blend.
[05:50.000 --> 06:00.000]  We're supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee. Available at infowarslife.com.
[06:00.000 --> 06:17.000]  Renewed hostile actions against United States ships on the high seas and the Gulf of Tonkin have today required me to order the military forces of the United States to take action and reply.
[06:17.000 --> 06:25.000]  Dr. Martin Luther King, the apostle of non-violence in the civil rights movement, has been shot to death in Memphis, Tennessee.
[06:25.000 --> 06:33.000]  He still has the gun, the gun is pointed at me right at this moment. Take a hold of this moment, break it if you have to.
[06:33.000 --> 06:47.000]  People calling themselves members of the weather underground last night planted farms and federal office buildings in Washington and Oakland, California.
[06:47.000 --> 06:52.000]  They took the babies out of incubators and left the children to die on the cold floor.
[06:52.000 --> 07:02.000]  The survivors of the USS Liberty are demanding a congressional investigation into what happened and acknowledgment that the Israeli Air Force bombed a US intelligence Navy ship.
[07:02.000 --> 07:08.000]  The death of bin Laden marks the most significant achievement to date in our nation's effort to defeat Al Qaeda.
[07:08.000 --> 07:17.000]  The Taliban is taking responsibility for shooting down a US helicopter. More than 30 people were killed and there are reports this morning that most of them are US Navy SEALs.
[07:17.000 --> 07:25.000]  There may be a false flag incident where a ship goes down and used for the excuse to accelerate the next war.
[07:25.000 --> 07:32.000]  There's one thing that has unified Democrats and Republicans and everybody in between is that we all hated the bank bailout.
[07:32.000 --> 07:37.000]  The Department of Homeland Security is apparently on a huge ammo buying spree.
[07:37.000 --> 07:41.000]  It comes out to like 1.6 billion rounds of ammunition.
[07:41.000 --> 07:47.000]  Today it is infinitely easier to kill a million people than to control a million people.
[07:47.000 --> 07:52.000]  They estimated that they would have to eliminate 25 million people in these reeducation centers.
[07:52.000 --> 07:54.000]  And when I say eliminate, I mean kill.
[07:54.000 --> 08:00.000]  I'm here to warn people you keep telling me to shut up. This isn't a game.
[08:00.000 --> 08:09.000]  From the front lines of the information war, it's Alex Jones.
[08:09.000 --> 08:14.000]  You keep telling me to shut up, but I'm not going to do it because this isn't a game.
[08:14.000 --> 08:21.000]  We're live, ladies and gentlemen. It is Sunday, the 27th day of April 2014.
[08:21.000 --> 08:26.000]  I come to you from deep in the heart of Texas, Austin.
[08:26.000 --> 08:38.000]  And we are going to kick off the transmission with news so important, so off the chart, incredible, so unbelievably dangerous
[08:38.000 --> 08:50.000]  that out of everything I've ever covered on air in 19 years, this is undoubtedly in the top five most important developments.
[08:50.000 --> 08:57.000]  And you'll notice for most of the top stories, the most important news I've ever covered in the last few years.
[08:57.000 --> 08:59.000]  In the past, I never really talked like that.
[08:59.000 --> 09:18.000]  But every few months now, earth shaking events are taking place when you geopolitically, militarily, economically, culturally understand the context in which they are happening.
[09:18.000 --> 09:24.000]  I've never been to Russia. I don't have any Russian ancestors.
[09:24.000 --> 09:33.000]  I believe the Soviet Union was a great evil of collective socialism and communism, and basically what the U.S. is adopting today.
[09:33.000 --> 09:43.000]  That said, Russia is in a holding position collapsing, basically, trying to stabilize their plunging population growth levels that are negative.
[09:43.000 --> 09:50.000]  They have 1.2 Russians for every two people that die, and they are not offensively causing any problems.
[09:50.000 --> 09:59.000]  China is taking over the whole world, working with the globalist, and the banks that have hijacked the U.S. are actively involved in economic warfare against the American people,
[09:59.000 --> 10:10.000]  and lobbying to break up our families, raise our taxes, disarm us, destroy our borders, and make the Constitution null and void, and let the president operate as a dictator.
[10:10.000 --> 10:12.000]  That was all of our mainstream headlines last week.
[10:12.000 --> 10:16.000]  The Republican Congress saying that Obama is abolishing the Constitution.
[10:16.000 --> 10:22.000]  Finally, the Republican House, not the Congress, is telling the truth.
[10:22.000 --> 10:24.000]  That's the only hope we've got.
[10:24.000 --> 10:30.000]  So with that backdrop, let me go over the headlines here dealing with Russia.
[10:30.000 --> 10:34.000]  First, before I get to the latest headlines, let me just show you Friday's headlines here.
[10:34.000 --> 10:39.000]  You're a TV viewer. You can see this on infowars.com, forward slash show, or prismpata.tv, radio listeners.
[10:39.000 --> 10:42.000]  You can just search whatever I'm reading here, and you'll find it.
[10:42.000 --> 10:48.000]  This is CNBC. Russia wants to start World War III, Ukrainian Prime Minister.
[10:48.000 --> 10:53.000]  This is Friday. Ukraine Foreign Minister ready to fight Russia, AP.
[10:53.000 --> 10:58.000]  Ukraine helicopter hit my grenade taking off.
[10:58.000 --> 11:04.000]  Bloomberg reports Putin warns of consequences as Ukraine steps up offensive, up to the Russian border.
[11:04.000 --> 11:08.000]  Kerry warns Russia of expensive new sanctions.
[11:08.000 --> 11:16.000]  S&P stare and pours downgrades Russian government currency and bonds down as a destabilization effort.
[11:16.000 --> 11:20.000]  Russia says it's an attack on them and will engage in economic scorched earth in Europe.
[11:20.000 --> 11:24.000]  That's the Wall Street Journal reporting on that.
[11:24.000 --> 11:28.000]  Now, continuing, what's the West doing?
[11:28.000 --> 11:32.000]  How traders can prepare for worst thing, UK crisis.
[11:32.000 --> 11:35.000]  CNBC, how to make money off of it.
[11:35.000 --> 11:39.000]  So, that's the headlines there on that front.
[11:39.000 --> 11:44.000]  Now, let me give you the new headlines, and you can make of these what you want, then I'll go over my take on this.
[11:44.000 --> 11:46.000]  Why this is such a big deal.
[11:46.000 --> 11:52.000]  Here's a nice headline up on infowars.com from the Project Syndicate publication.
[11:52.000 --> 12:02.000]  Top US diplomat, US has betrayed the New World Order, or the current plan for global governance.
[12:02.000 --> 12:07.000]  Let's move on to the next headline.
[12:07.000 --> 12:13.000]  Russia denies aircraft violated Ukrainian airspace, ABC.
[12:13.000 --> 12:23.000]  Satellite images reveal massing of 15,000 Ukrainian troops, hundreds of tanks around the cities that they're invading on the border of Russia.
[12:23.000 --> 12:27.000]  There are any Ukraine, Sloviansk and others.
[12:27.000 --> 12:28.000]  There's another one.
[12:28.000 --> 12:31.000]  This is out of Reuters.
[12:31.000 --> 12:34.000]  Ukraine rebels free Swedish hostages.
[12:34.000 --> 12:36.000]  Obama seeks unity against Russia.
[12:36.000 --> 12:38.000]  These are real headlines.
[12:38.000 --> 12:46.000]  Moving closer to war, Paul Craig Roberts, former head of Department of Policy at the Treasury, father of Reaganomics, breaks that down.
[12:46.000 --> 12:52.000]  Obama decries thugs in Ukraine, Russia provocation.
[12:52.000 --> 12:54.000]  That's in AP.
[12:54.000 --> 13:02.000]  Pro-Russian militants take over TV station in Ukraine's Donetsk, Donetsk.
[13:02.000 --> 13:06.000]  Russian jets probe Ukrainian airspace again as tensions rise.
[13:06.000 --> 13:09.000]  Christian science monitor.
[13:09.000 --> 13:15.000]  Ukraine blames Moscow for human shield, the tensions in the east.
[13:15.000 --> 13:20.000]  Okay, so that's some of the headlines right there.
[13:20.000 --> 13:25.000]  I'm going to be very calm about this, but also very clear and deliberative for everybody.
[13:25.000 --> 13:28.000]  Does everybody know what happened in Ukraine?
[13:28.000 --> 13:32.000]  How this started three and a half months ago?
[13:32.000 --> 13:35.000]  Please forgive me if you're a longtime listener and you hear this constantly and know this.
[13:35.000 --> 13:37.000]  We have a lot of new listeners. People need to understand this.
[13:37.000 --> 13:42.000]  People come to me on the street saying, you know, Putin's evil, Russia's evil, you ready for war, Alex?
[13:42.000 --> 13:45.000]  Are you going to be a peacenik like you always are?
[13:45.000 --> 13:47.000]  I'm not a peacenik.
[13:47.000 --> 13:52.000]  If somebody actually attacks us, I think we should attack them with a full force.
[13:52.000 --> 13:55.000]  The State Department, and I've played this clip probably ten times.
[13:55.000 --> 13:59.000]  I'm not going to play it again today. You can just search engine.
[13:59.000 --> 14:07.000]  Deputy Secretary of State says five billion spent in Ukraine.
[14:07.000 --> 14:10.000]  Call a revolution or State Department spent five billion Ukraine.
[14:10.000 --> 14:16.000]  That'll pull up the video of her a few months ago saying, quote,
[14:16.000 --> 14:25.000]  We spent five billion dollars in Ukraine in the last few years to overthrow their government, their elected government.
[14:25.000 --> 14:31.000]  Now, if the country's half Russian, basically, been part of Russia off and on for hundreds of years,
[14:31.000 --> 14:35.000]  the East has always been part of Russia at any one time.
[14:35.000 --> 14:39.000]  The Russians have their pipelines of military bases there.
[14:39.000 --> 14:46.000]  And the West goes and arms a bunch of thugs and blow up police stations and bomb military bases and take over and calls them freedom fighters.
[14:46.000 --> 14:55.000]  And then now they're moving into the East, kicking people out, mayors that are elected, things like that, in cities that are basically Russian.
[14:55.000 --> 15:00.000]  And the Russians, Lavrov, their farm minister, said last Wednesday, he said,
[15:00.000 --> 15:07.000]  If you keep doing this, we're going to move our military in to protect Russian citizens and Russian ethnics.
[15:07.000 --> 15:13.000]  The response of the Ukrainians are to attack multiple cities with attack helicopters, tanks, you name it,
[15:13.000 --> 15:18.000]  including every day they report scores of civilians being shot in the street.
[15:18.000 --> 15:24.000]  They pull checkpoints over, if you got a Russian last name, boom, they shoot you in the head.
[15:24.000 --> 15:26.000]  That'd be like if Mexico took over Texas.
[15:26.000 --> 15:31.000]  And Mexico has a claim to Texas going back before the purchase.
[15:31.000 --> 15:35.000]  And then if anybody who was a Texan and wasn't a Mexican was being shot.
[15:35.000 --> 15:38.000]  I mean, it's the equivalent of that. That's what's happening to the Russians.
[15:38.000 --> 15:40.000]  The Russians are like, we've been here for hundreds of years.
[15:40.000 --> 15:43.000]  They're like, we don't care. Boom, in the head.
[15:43.000 --> 15:50.000]  And our media is calling them freedom fighters and their president, their prime minister in Ukraine, is calling the Russians terrorists.
[15:50.000 --> 15:56.000]  They're saying Russians out of Ukraine. That's like half the people in Ukraine are saying get out.
[15:56.000 --> 16:20.000]  We're going to come back and break this down. This is huge.
[16:20.000 --> 16:28.000]  We have to break through our kind of private idea that kids belong to their parents or kids belong to their families and recognize that kids belong to whole communities.
[16:28.000 --> 16:34.000]  It is more important than ever to realize that we are not the alternative media. We are the true media.
[16:34.000 --> 16:37.000]  The establishment dinosaur press is dying.
[16:37.000 --> 16:41.000]  We are in an information war and we are losing that war.
[16:41.000 --> 16:45.000]  Join us at infowarsnews.com and prisonplanet.tv.
[16:45.000 --> 17:00.000]  You will literally be buying war bonds in the info war to expand our operation in the face of the tyrants. Join us at prisonplanet.tv.
[17:00.000 --> 17:04.000]  A chemical spill contaminating the water supply in nine West Virginia counties.
[17:04.000 --> 17:08.000]  This year alone over 300,000 people in West Virginia had their drinking water contaminated.
[17:08.000 --> 17:12.000]  What are the health effects of having these drugs in our drinking water?
[17:12.000 --> 17:15.000]  This is forced medical treatment without the consent of residents.
[17:15.000 --> 17:23.000]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[17:23.000 --> 17:27.000]  On average the county says it sprays with glyphosate at least once a week.
[17:27.000 --> 17:31.000]  Few filters cut out the glyphosates that is found in water supplies worldwide.
[17:31.000 --> 17:37.000]  Remove pesticides, herbicides, chloramines, hydrofluorosalic acid, sodium hexafluorosilicate.
[17:37.000 --> 17:42.000]  It is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[17:42.000 --> 17:45.000]  It is our responsibility to protect our families. The establishment is not going to do it.
[17:45.000 --> 17:48.000]  It's time to take action. It's time to filter our water.
[17:48.000 --> 17:55.000]  Visit infowarsnews.com and use promo code WATER to get 10% off their entire family of incredible products.
[17:55.000 --> 18:10.000]  Or call toll-free 888-253-3139. In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
[18:10.000 --> 18:13.000]  Guess what else is in a halogen family? Fluoride.
[18:13.000 --> 18:15.000]  Ladies and gentlemen, Alex Jones here.
[18:15.000 --> 18:21.000]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[18:21.000 --> 18:26.000]  It's the good halogen on the periodic table and the results are on record.
[18:26.000 --> 18:32.000]  Reports documented a 15-point IQ increase in areas that had previously been deficient in iodine.
[18:32.000 --> 18:41.000]  Bottom line, iodine is important. Unbound, clean, in a glycerin base, nascent iodine was the answer for myself and my family.
[18:41.000 --> 18:52.000]  You will find survival shield nascent iodine exclusively at infowarslife.com. Infowars life survival shield nascent iodine isn't just for emergencies.
[18:52.000 --> 18:59.000]  I take it every day. That's infowarslife.com or call toll-free 888-253-3139.
[18:59.000 --> 19:07.000]  From the water table to our soils to the atmosphere itself, our world is becoming more and more toxic each and every day.
[19:07.000 --> 19:15.000]  But it's not just the air outside that's toxic. Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[19:15.000 --> 19:20.000]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[19:20.000 --> 19:23.000]  There are more than 42 million smokers in the United States.
[19:23.000 --> 19:27.000]  Well over a thousand types of mold in mildew linked to numerous conditions.
[19:27.000 --> 19:32.000]  And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[19:32.000 --> 19:42.000]  When I began to research these statistics it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape until we can fight back against.
[19:42.000 --> 19:47.000]  Made with organic and wild cultivated herbs and manufactured in the USA.
[19:47.000 --> 19:53.000]  The new infowarslife lung cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[19:53.000 --> 20:00.000]  Now available exclusively at infowarslife.com or by calling toll-free 888-253-3139.
[20:00.000 --> 20:04.000]  Coast to coast. Direct from Austin.
[20:04.000 --> 20:08.000]  You're listening to the Alex Jones Broadcasting Network.
[20:08.000 --> 20:33.000]  Welcome back my friends you live to the Central Texas Command Center in the heart of the resistance.
[20:33.000 --> 20:39.000]  It's Alex Jones.
[20:39.000 --> 20:45.000]  Again folks welcome back thank you so much for joining us on this Sunday Worldwide Broadcast.
[20:45.000 --> 20:49.000]  I am your host Alex Jones.
[20:49.000 --> 20:52.000]  And we're talking about the Russian situation.
[20:52.000 --> 20:55.000]  I mean obviously it's over in Eastern Europe.
[20:55.000 --> 21:01.000]  The average person's like hey what do I have to worry there's basketball on television or different sporting events.
[21:01.000 --> 21:12.000]  What you need to know is that back in 2008 on 888 during the Olympics the West launched an attack through NATO on Russian held areas since the 50s.
[21:12.000 --> 21:17.000]  South of Saudi and Abkhazia and blew up Russian military bases.
