[00:00.000 --> 00:21.240]  these
[00:21.240 --> 00:32.480]  Ladies and gentlemen, we are live.
[00:32.480 --> 00:34.200]  We are broadcasting worldwide.
[00:34.200 --> 00:40.480]  I am your host, Alex Jones, and we have some incredibly important information to cover
[00:40.480 --> 00:42.200]  here today.
[00:42.200 --> 00:50.280]  We are in a climate where we are openly hearing that there's going to be a civil war, that
[00:50.280 --> 00:56.280]  the president's a traitor, that he's got to be removed, the president is calling all
[00:56.280 --> 01:01.840]  of this a attempted coup.
[01:01.840 --> 01:04.840]  So that is the climate we're in.
[01:04.840 --> 01:13.160]  And there is a deep state that is attempting to take our president down, that is trying,
[01:13.160 --> 01:16.000]  you know, really as hard as they can.
[01:16.000 --> 01:24.120]  And so the headlines are up on infowars.com and newswars.com right now.
[01:24.120 --> 01:32.240]  Trump activates U.S. marine reserves for emergency within the United States to stop illegal
[01:32.240 --> 01:34.240]  coup.
[01:34.240 --> 01:41.880]  Now we have the Marine Corps ordered as well that we're going to be going over after we
[01:41.880 --> 01:45.840]  come back from break here.
[01:45.840 --> 01:50.840]  I don't want to play a compilation of the last few weeks and going back the last few
[01:50.840 --> 01:55.120]  years, Democrats saying impeach, imprison and then kill the president.
[01:55.120 --> 02:02.040]  Now Phil Mudd, former deputy director of the CIA, a protege of Comey and of Mueller is saying
[02:02.040 --> 02:03.520]  they're going to shank the president.
[02:03.520 --> 02:06.600]  They said they're going to kill him previously, Mudd said that, but now they're going to shank
[02:06.600 --> 02:08.320]  him.
[02:08.320 --> 02:10.600]  So that's all coming up.
[02:10.600 --> 02:13.920]  Obviously this is the climate we're in, we're taking this very, very serious.
[02:13.920 --> 02:17.560]  This shows how far we've gone and they may just move with an illegal coup, not even the
[02:17.560 --> 02:23.240]  impeachment because Trump in two weeks has the IG report coming out on the FISA warrants
[02:23.240 --> 02:24.880]  and the illegal spy on the president.
[02:24.880 --> 02:29.320]  Here's that report.
[02:29.320 --> 02:33.320]  If he takes the risk of going to trial and he's convicted, that could be seen as an impeachable
[02:33.320 --> 02:34.320]  offense.
[02:34.320 --> 02:37.200]  I don't see how that wouldn't be an impeachable offense.
[02:37.200 --> 02:41.160]  That tweet fits the Republican definition of an impeachable offense.
[02:41.160 --> 02:43.160]  Where do you see an impeachable offense?
[02:43.160 --> 02:44.680]  It is grounds for impeachment.
[02:44.680 --> 02:48.120]  Potentially criminal or even impeachable grounds for impeachment.
[02:48.120 --> 02:52.600]  You may scapegoat Andy McCabe, but you will not destroy America.
[02:52.600 --> 02:54.400]  America will triumph over you.
[02:54.400 --> 02:57.320]  That apparently directed for the president of the United States.
[02:57.320 --> 02:58.320]  Is it impeachable?
[02:58.320 --> 03:01.000]  100% is impeachable.
[03:01.000 --> 03:05.040]  Very substantial evidence that the president is guilty of high crimes and misdemeanor.
[03:05.040 --> 03:09.160]  To take on the intelligence community, they have six ways from Sunday of getting back
[03:09.160 --> 03:10.160]  at you.
[03:10.160 --> 03:12.640]  As former government official, government's going to kill this guy.
[03:12.640 --> 03:15.120]  There is enough here for articles of impeachment.
[03:15.120 --> 03:16.120]  Absolutely.
[03:16.120 --> 03:17.120]  Already.
[03:17.120 --> 03:21.960]  The president himself admitted that he had a telephone conversation with the president
[03:21.960 --> 03:23.120]  of Ukraine.
[03:23.120 --> 03:25.840]  He also said he did talk to him about Biden.
[03:25.840 --> 03:28.960]  He is with so many people knowing about this.
[03:28.960 --> 03:31.640]  It's interesting and I'm kind of proud to say this.
[03:31.640 --> 03:36.440]  He took a member of the intelligence community to step up and bring it forward.
[03:36.440 --> 03:41.840]  It's hard to imagine a set of circumstances that would have alarmed the founders more
[03:41.840 --> 03:44.080]  than what's on that call.
[03:44.080 --> 03:51.720]  Where you have a president using the full power of his office to try to effectively coerce
[03:51.720 --> 03:57.000]  a foreign leader that is completely dependent on our country for military, economic, diplomatic
[03:57.000 --> 03:59.280]  and other support.
[03:59.280 --> 04:03.240]  To intervene in our election to help his campaign.
[04:03.240 --> 04:09.320]  Talk about pressuring a foreign country to interfere with and control a U.S. election.
[04:09.320 --> 04:10.320]  It couldn't be clearer.
[04:10.320 --> 04:14.240]  And that's not just undermining democratic institutions.
[04:14.240 --> 04:15.440]  That is treason.
[04:15.440 --> 04:17.160]  It's treason, pure and simple.
[04:17.160 --> 04:21.160]  And the penalty for treason under the U.S. Code is death.
[04:21.160 --> 04:22.160]  That's the only penalty.
[04:22.160 --> 04:27.000]  I mean, president is only a four-year job, but it feels like it's taken him five years
[04:27.000 --> 04:28.520]  to just fire his ass.
[04:28.520 --> 04:29.520]  It's frustrating.
[04:29.520 --> 04:33.880]  You know, I bet somebody explained how long impeachment takes to John Wilkes Booth, and
[04:33.880 --> 04:36.520]  he was like, okay, well, where's he at right now?
[04:36.520 --> 04:44.960]  When was the last time an actor assassinated a president?
[04:44.960 --> 04:49.880]  The call is the call, but there's nothing here that rises to the level of high crimes
