[00:00.000 --> 00:13.360]  That's 928-308-0408, or you can order online at GetTheT.com.
[00:13.360 --> 00:15.960]  That's GetTheT.com.
[00:15.960 --> 00:18.120]  Make an investment in your life.
[00:18.120 --> 00:23.480]  PS, I've been drinking it for years.
[00:23.480 --> 00:31.520]  The state can make a billion dollars a year by legalizing your listening to GCN, the Genesis Communications Radio Network.
[00:31.520 --> 00:37.080]  LBJ, Austin, Texas.
[00:37.080 --> 00:40.160]  I am USA Radio News, I'm Jody Jordan.
[00:40.160 --> 00:49.040]  Republican congressional leaders and a key house Democrat are voicing misgivings over the Senate version of an economic recovery plan, but for different reasons.
[00:49.040 --> 00:57.440]  The Republicans, Nevada Senator John Ensign and Congressman Mike Pence of Indiana, say the plan has too much spending and not enough tax cuts.
[00:57.440 --> 01:02.600]  Ensign says the housing crisis is to blame for sending the nation's economy in a downward spiral.
[01:02.600 --> 01:07.760]  If you don't fix that underlying cancer, if you don't treat that, the rest of the economy can't recover.
[01:07.760 --> 01:11.480]  Pence says support for the present stimulus package is collapsing.
[01:11.480 --> 01:21.680]  American people know we can't borrow and spend and bail our way back to a growing economy. This bill, the only thing this bill is going to stimulate is more government and more debt.
[01:21.680 --> 01:27.720]  And Congressman Barney Frank says the bill cuts spending needed to protect the jobs of police and firefighters.
[01:27.720 --> 01:30.200]  They spoke on NBC's Meet the Press.
[01:30.200 --> 01:33.720]  This is IRN, USA Radio News.
[01:33.720 --> 01:38.760]  It was a dead end. You don't know what to do because you don't have the money, but you want to take care of the debt.
[01:38.760 --> 01:42.760]  How would you like to wipe out 30 to 60 percent of your credit card debt?
[01:42.760 --> 01:49.160]  There are secret programs most credit card companies won't tell you about that can allow a portion of your debt to be forgiven.
[01:49.160 --> 01:57.200]  Financial Freedom of America uses these programs to help you avoid bankruptcy, save thousands, and get more cash back in your pocket every month.
[01:57.200 --> 02:01.000]  I wasn't sure what to expect, but FFA came through like promise.
[02:01.000 --> 02:03.800]  We're kind of excited to have that stress-free feeling now.
[02:03.800 --> 02:14.800]  Find out the secret that credit card companies hope you don't discover. FFA will give you the steps to eliminating a large percentage of your credit card bills, medical bills, or department-stored debt.
[02:14.800 --> 02:17.400]  Individual results vary and it's not available in all states.
[02:17.400 --> 02:19.960]  So call for your free information now.
[02:19.960 --> 02:22.960]  800-515-4749.
[02:22.960 --> 02:25.920]  800-515-4749.
[02:25.920 --> 02:29.080]  Call 800-515-4749.
[02:29.080 --> 02:34.080]  800-515-4749.
[02:34.080 --> 02:43.640]  Republican Senator John McCain is accusing Democrats of doing the same thing he says Republicans did during the Bush administration, not listening to the opposition.
[02:43.640 --> 02:50.320]  McCain, on CBS, criticized the way Democratic lawmakers are putting together an economic stimulus plan.
[02:50.320 --> 02:57.840]  I think it's massive. It's much larger than any measure that was taken during the Great Depression.
[02:57.840 --> 03:02.480]  I think it has policy changes in it, which are fundamentally bad.
[03:02.480 --> 03:09.320]  And officials in Australia say it will be days before wildfires in Victoria State are brought under control.
[03:09.320 --> 03:19.040]  Towering flames have leveled entire towns in southeastern Australia and burned fleeing residents in their cars as the death toll has risen to 84.
[03:19.040 --> 03:20.480]  Here's Tana Lee Smith.
[03:20.480 --> 03:26.680]  You see people coming down in their cars and they're leaning out the windows just to give updates and they're crying and they're dazed.
[03:26.680 --> 03:31.560]  For more news and analysis, log on to IRNNews.com.
[03:56.680 --> 04:04.040]  That's 866-452-555. That's 866-452-555. For Det Relief, USA.
[04:04.040 --> 04:08.560]  Palestinians have fired two rockets at Israel from Gaza. Here's Mark Latte.
[04:08.560 --> 04:19.120]  Two rockets fired from Gaza exploded in southern Israel. No one was hurt, but the rocket fire underlined the instability of the situation three weeks after Israel's punishing offensive in Gaza ended.
[04:19.120 --> 04:24.720]  Israel hits back for every rocket, targeting smuggling tunnels along the Gaza-Egypt border and other targets.
[04:24.720 --> 04:29.160]  At the same time, there are signs of progress and talks toward a long-term truce.
[04:29.160 --> 04:35.440]  Egypt is mediating the contacts because Israel and the Islamic Hamas rulers of Gaza don't talk to each other.
[04:35.440 --> 04:36.680]  Mark Latte, Jerusalem.
[04:36.680 --> 04:42.760]  Resilient authorities are investigating the crash of a twin turboprop plane into the Amazon Jungle River.
[04:42.760 --> 04:49.240]  Saturday's crash killed 24 people who were on board. Four survived. Here's Telessa Elizoni.
[04:49.240 --> 05:02.920]  Reports made the pilots reported problems with the weather at the time of the crash, and the relatives of the four survivors said that apparently one of the engines malfunctioned, which caused the plane to lose altitude.
[05:02.920 --> 05:08.920]  More from the Sunday talk shows were Lawrence Summers, one of President Barack Obama's top economic advisors.
[05:08.920 --> 05:12.680]  Say aggressive action must be taken to turn the economy around.
[05:12.680 --> 05:24.400]  A very wide consensus of economists, they may disagree about the details of which particular step you should take, but a very wide cross-section of opinion believes that this economy needs help quickly.
[05:24.400 --> 05:32.560]  And in Iraq, police say a roadside bomb killed two Shia pilgrims today. I'm Jody Jordan for IRN USA Radio News.
[05:32.560 --> 05:44.400]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S. and the world. And for the first time in their lives, they are feeling the need for preparedness.
[05:44.400 --> 05:50.920]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[05:50.920 --> 06:01.200]  Ready Reserve is the manufacturer. Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish with doubly-nammeled cans and nitrogen packaging.
[06:01.200 --> 06:05.840]  When purchasing from Ready Reserve Foods, you are buying Factory Direct at wholesale prices.
[06:05.840 --> 06:13.880]  Other companies are quoting delivery times of one to two months. While Ready Reserve ships within five business days, many companies do not even offer a catalog.
[06:13.880 --> 06:17.520]  We will be more than happy to send a catalog to you, free of charge.
[06:17.520 --> 06:25.960]  Dial 1-800-453-2202, 1-800-453-2202, or visit our website at readyreservefoods.com.
[06:25.960 --> 06:32.760]  Factory Direct, wholesale pricing from Ready Reserve Foods. Call us at 1-800-453-2202.
[06:32.760 --> 07:02.520]  I.R.A. USA Radio News. I'm Jody Jordan. Republican Senator John Cornyn of Texas tells Fox News Sunday he expects President Barack Obama's
[07:02.520 --> 07:08.160]  stimulus package to pass the Senate, but warns it could damage the economy in the future.
[07:08.160 --> 07:11.840]  Missouri Democratic Senator Claire McCaskill says Americans are herding.
[07:11.840 --> 07:17.480]  Well, it is the two-hour Sunday abbreviated version of my weekday syndicated transmission.
[07:17.480 --> 07:24.000]  Thank you so much for joining us. It is the eighth day of February 2009.
[07:24.000 --> 07:37.880]  We'll be here for the next hour and 55 minutes. The toll-free number to join us on air is 877-590-5525, 877-590-5525.
[07:37.880 --> 07:44.240]  If you're in central Texas, you're welcome to call 836-0590.
[07:44.240 --> 07:51.160]  I want to take a lot of calls today, and that's going to be a challenge because the news is all extremely important.
[07:51.160 --> 07:57.000]  The Washington Post today has the headline, Obama's National Security Council Will Get New Power.
[07:57.000 --> 08:01.640]  Directive Expands Makeup and Role of Security Body.
[08:01.640 --> 08:12.040]  And this is open dictatorship. It couples perfectly with Homeland Security, the Northern Command, the Indo-Pacific Command TOTUS, the John Warren Defense Authorization Act,
[08:12.040 --> 08:17.560]  Presidential Decision Directive 51, the Military Commissions Act,
[08:17.560 --> 08:25.400]  and the former commandant of the Marine Corps, Bilderberg Group, and the world government supporter, James L. Jones, is to head it up.
[08:25.400 --> 08:39.640]  Congress will have no oversight, no involvement. Every major federal agency will be under the control of the National Security Council and operated secrecy under the 1947 National Security Act.
[08:39.640 --> 08:45.080]  This is a coup d'etat, and you're like, wait a minute, Bush just left, Obama just came in.
[08:45.080 --> 08:50.760]  Well, what did I cover in Endgame and Terror Storm? I said Bush was going to leave office in my films.
[08:50.760 --> 08:57.960]  I said he would pass on the powers to a new puppet, but I have to say it looks like they're going to make their full move with Obama.
[08:57.960 --> 09:04.760]  All this preparation, the way they're setting him up as a messianic savior, we're in a lot of trouble.
[09:04.760 --> 09:08.760]  Why do the elites want tyranny? They want to steal all your pension funds.
[09:08.760 --> 09:19.000]  Offshore banks have seized control of the country, and they're using dictatorial power that they set up in third world nations they loot to ensure that we never bring them to justice.
[09:19.000 --> 09:25.160]  The tyranny is only a rearguard action for the thieving.
[09:25.160 --> 09:40.040]  So we'll get into that. Kurt Nemo's there an excellent story. So is Paul Watson at prisonpana.com, Kurt Nemo's article. Obama's change, expanding the power of the NSC and shadow government just out about an hour ago, full of hyperlinks to all the federal documents themselves.
[09:40.040 --> 09:49.400]  Every claim we make is documented. And as scary as this article is, I read it. I have to tell you it's worse than even Kurt is saying.
[09:49.400 --> 09:55.880]  And in the last week at Dovetails with this article, new legislation authorizes FEMA camps in the United States.
[09:55.880 --> 10:07.400]  HR 645 says they're going to merge local police, the military, all governmental functions, the governors will be titular, ceremonial, everything around the local FEMA camps.
[10:07.400 --> 10:14.440]  And it says local pastors will help the public prepare to go into the camps. It's in the bill.
[10:14.440 --> 10:22.280]  Of course, we told you about that three years ago when it was top secret, when we got the secret classified documents and posted them.
[10:22.280 --> 10:29.800]  Did people appreciate us being brave? No, they just said they were fake. Now mainstream news admits they're real.
[10:29.800 --> 10:33.080]  That's right. They got a FEMA camp for you and your family.
[10:33.080 --> 10:42.120]  The Defense Department announces civilian expeditionary force. We told you that Obama, because he said so, and his chief of staff wrote a book about it and said so, and said so in ceaseband.
[10:42.120 --> 10:46.440]  National compulsory service and a one million man new domestic army.
[10:46.440 --> 10:51.800]  Well, they don't need legislation now under the new North Com system.
