whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing './wav/20080815_Fri_Alex.wav' (230164355 samples, 14385.3 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:07.720]   Government cover-ups. You want answers? Well, so does he. He's Alex Jones on the
[00:00:07.720 --> 00:00:15.640]   GCN Radio Network. And now, live from Austin, Texas, Alex Jones.
[00:00:15.640 --> 00:00:28.240]   Welcome, my friends. Welcome to this very important Friday edition, the 15th day of
[00:00:28.240 --> 00:00:35.880]   August 2008. We're gonna be live here for the next three hours and 59 minutes, 18
[00:00:35.880 --> 00:00:40.240]   seconds. We are going to have wide open phones throughout the day. Professor
[00:00:40.240 --> 00:00:46.600]   Michelle Chosodosky, expert on what's happening with Poland, Georgia, Ukraine,
[00:00:46.600 --> 00:00:51.680]   Russia, will be joining us for 30 minutes coming up at the middle of this hour.
[00:00:51.680 --> 00:00:56.400]   Then Jonathan Elenof, they're reporting that they're going to be putting people
[00:00:56.400 --> 00:01:02.360]   in a little makeshift FEMA camp, as they did at the RNC in 2004 that we covered.
[00:01:02.360 --> 00:01:08.440]   He was able to successfully sneak in to the facility and get video of that.
[00:01:08.440 --> 00:01:13.880]   Jonathan Elenof, we are Change Colorado now with something like 500 members.
[00:01:13.880 --> 00:01:18.160]   Really exploding that one chapter. And then, of course, popping in with us
[00:01:18.160 --> 00:01:21.360]   multiple times weekly to track all the economic and geopolitical developments,
[00:01:21.360 --> 00:01:26.520]   as well as Russia. Bob Chapman with us in the fourth hour today. So Michael
[00:01:26.520 --> 00:01:31.640]   Chosodosky, Jonathan Elenof, and Bob Chapman all on the show on the
[00:01:31.640 --> 00:01:36.640]   transmission for you today. Huge developments with the Russian escalation
[00:01:36.640 --> 00:01:42.320]   kicking off the old Cold War, but in a hotter, more dangerous, more accelerated
[00:01:42.320 --> 00:01:44.480]   way.
[00:01:47.640 --> 00:01:54.240]   Russia, Poland risk attacks because of US missiles. Now, that is the Associated
[00:01:54.240 --> 00:02:01.500]   Press headline. A top Russian general said Friday that Poland's agreement to
[00:02:01.500 --> 00:02:07.400]   accept a US missile interceptor base exposes the ex-communist nation to
