[00:00:02.927 --> 00:00:03.608]  Is the U.S.
[00:00:03.608 --> 00:00:15.905]  involved with any procuring of weapons, transfer of weapons, buying, selling, anyhow transferring weapons to Turkey out of Libya?
[00:00:15.905 --> 00:00:18.309]  To Turkey?
[00:00:18.309 --> 00:00:19.650]  It is a big idea.
[00:00:20.825 --> 00:00:22.346]  A new world order.
[00:00:22.346 --> 00:00:26.087]  How is it that this organization is so well-funded, so organized?
[00:00:26.087 --> 00:00:33.509]  Islamic State-linked militants have gained a stronger foothold in Libya, seizing new economically vital areas of the country.
[00:00:33.509 --> 00:00:41.592]  The leader of ISIS in Libya is none other than Abdel Hakim Belhadj, and of course he was armed to the teeth by NATO.
[00:00:41.852 --> 00:00:46.055]  A world in which there is the very real prospect of a new world order.
[00:00:46.055 --> 00:00:50.577]  The Russians say they're negotiating with North Korea to hold joint military exercises.
[00:00:50.577 --> 00:00:57.061]  Kim Jong-un and Vladimir Putin teaming up, creating an ominous alliance against the United States.
[00:00:57.061 --> 00:01:02.004]  Israel's Prime Minister Benjamin Netanyahu is aggressively opposing the nuclear deal that the U.S.
[00:01:02.004 --> 00:01:04.346]  government is negotiating with Iran.
[00:01:04.346 --> 00:01:09.489]  Saudi Arabia is apparently prepared to allow Israeli jets into its airspace to conduct attacks on Iran.
[00:01:10.009 --> 00:01:14.933]  We have an unprecedented opportunity to build a new world order.
[00:01:14.933 --> 00:01:21.257]  I set up a foundation in Ukraine and played an important part in events now.
[00:01:21.257 --> 00:01:25.660]  Ukraine is set to receive the first tranche of the International Monetary Fund aid package.
[00:01:25.660 --> 00:01:30.403]  We had brokered a deal to transition power in Ukraine.
[00:01:30.403 --> 00:01:32.165]  Vladimir Putin is on the move.
[00:01:34.518 --> 00:01:45.566]  Only when this transformation is complete will we be able to take full measure of the opportunities presented by this new and involving world order.
[00:01:45.566 --> 00:01:48.368]  It's known as the Bilderberg Group.
[00:01:48.368 --> 00:01:50.590]  Could their objective be world domination?
[00:02:09.167 --> 00:02:11.147]  Hi, Mr. Eagle?
[00:02:11.147 --> 00:02:15.869]  Okay.
[00:02:15.869 --> 00:02:18.709]  You want to talk to us?
[00:02:18.709 --> 00:02:18.929]  Really?
[00:02:18.929 --> 00:02:20.310]  You don't want to talk to us at all?
[00:02:20.310 --> 00:02:22.030]  People are concerned the election is going to be rigged.
[00:02:22.030 --> 00:02:24.891]  I guess they're really going to be concerned when they see you turn your back on us.
[00:02:24.891 --> 00:02:27.291]  Yeah.
[00:02:27.291 --> 00:02:28.512]  Well, can I talk to him?
[00:02:28.512 --> 00:02:30.552]  Will anybody here talk to us?
[00:02:30.552 --> 00:02:32.613]  Or do you want to rig this?
[00:02:32.613 --> 00:02:35.093]  Why are you cutting off all these audit trails?
[00:02:35.093 --> 00:02:37.874]  Why are you cutting down the paper audit trails?
[00:02:40.669 --> 00:02:41.310]  Well, there you go.
[00:02:41.310 --> 00:02:43.071]  That should tell you something.
[00:02:43.071 --> 00:02:45.473]  People concerned about elections being rigged?
[00:02:45.473 --> 00:02:49.957]  You've got the Director of Elections here at the Secretary of State Office that won't talk to us.
[00:02:49.957 --> 00:02:51.999]  Takes one look at the press and turns around and walks off.
[00:02:57.389 --> 00:02:58.891]  David Knight for Infowars.com.
[00:02:58.891 --> 00:03:03.197]  We're here in Austin, Texas at the Capitol at the Secretary of State office.
[00:03:03.197 --> 00:03:13.651]  We want to ask the Director of Elections why there have been so many orders to countervene the law that would give us an audit trail for electronic voting machines.
[00:03:13.871 --> 00:03:20.099]  We all are concerned about knowing whether or not we're going to have honest elections, the integrity of the elections.
[00:03:20.099 --> 00:03:29.151]  And yet we've seen time and time again that the director here of elections has judged in favor of the vendors rather than in favor of integrity.
[00:03:29.691 --> 00:03:34.932]  If the vendors' machines that he wants to buy don't conform to the election law, they change the election law.
[00:03:34.932 --> 00:03:46.815]  So we want to ask him why he's shutting down paper trails at the different precincts, why they are turning away monitors at the elections, and other issues about electronic voting that many people are concerned about.
[00:03:46.815 --> 00:03:54.257]  It is a nationwide concern, and we're going to ask him what he can tell us to reassure voters that these elections are not rigged.
[00:04:10.640 --> 00:04:12.601]  Hi, Mr. Reader?
[00:04:12.601 --> 00:04:13.522]  Yeah.
[00:04:13.522 --> 00:04:14.102]  Okay.
[00:04:14.102 --> 00:04:16.924]  You don't want to talk to us?
[00:04:16.924 --> 00:04:17.144]  Really?
[00:04:17.144 --> 00:04:18.525]  You don't want to talk to us at all?
[00:04:18.525 --> 00:04:20.246]  People are concerned the election is going to be rigged.
[00:04:20.246 --> 00:04:23.128]  I guess they're really going to be concerned when they see you turn your back on us.
[00:04:23.128 --> 00:04:25.509]  Yeah.
[00:04:25.509 --> 00:04:26.750]  Well, can I talk to him?
[00:04:26.750 --> 00:04:28.771]  Will anybody here talk to us?
[00:04:28.771 --> 00:04:30.832]  Or do you want to rig this?
[00:04:30.832 --> 00:04:33.314]  Why are you cutting off all these audit trails?
[00:04:33.314 --> 00:04:38.897]  Why are you cutting down the paper audit trails?
[00:04:38.897 --> 00:04:39.478]  Well, there you go.
[00:04:40.313 --> 00:04:41.273]  That should tell you something.
[00:04:41.273 --> 00:04:43.695]  People are concerned about elections being rigged.
[00:04:43.695 --> 00:04:48.156]  You've got the Director of Elections here at the Secretary of State office that won't talk to us.
[00:04:48.156 --> 00:04:50.898]  Takes one look at the press and turns around and walks off.
[00:04:50.898 --> 00:04:52.218]  That should tell you a great deal.
[00:04:52.218 --> 00:04:53.799]  For Infowars.com, I'm David Knight.
[00:05:01.801 --> 00:05:03.703]  Joe Bates here with InfoWars.com.
[00:05:03.703 --> 00:05:04.424]  Michael Moore.
[00:05:04.424 --> 00:05:07.587]  Trump's election will be the biggest FU in history.
[00:05:07.587 --> 00:05:09.710]  An article up by Paul Joseph Watson.
[00:05:09.710 --> 00:05:17.818]  During a speech for his new one-man stage performance, Trumpland, Michael Moore remarked that the election of Donald Trump will be the biggest FU in history.
[00:05:17.818 --> 00:05:23.344]  Moore began by saying he knew a lot of people in Michigan who were going to vote for Trump, who were not racist to rednecks.
[00:05:23.484 --> 00:05:26.725]  But we're sick of their jobs being offshore to places like Mexico.
[00:05:26.725 --> 00:05:37.289]  Trump's promise to slap a 35% tariff on Ford cars made in Mexico and sent back to America was music to the ears of people in Michigan and Ohio and Pennsylvania and Wisconsin.
[00:05:37.289 --> 00:05:49.713]  Whether Trump means it or not is kind of irrelevant because he's saying the things to people who are hurting and it's why every beaten down, worthless, forgotten, working stiff who used to be part of what was called the middle class loves Trump.
[00:05:49.713 --> 00:05:53.234]  Arguing that Trump was the human maltop cocktail that they've been waiting for.
[00:05:53.274 --> 00:05:55.195]  I'm Alex Jones with a simple question.
[00:05:55.195 --> 00:05:58.656]  Will you and your family be financially protected if there's another economic meltdown?
[00:05:58.656 --> 00:05:59.276]  Like many experts.
[00:06:08.780 --> 00:06:11.201]  I believe another devastating crash is coming.
[00:06:11.201 --> 00:06:13.242]  I think it's a matter of when, not if.
[00:06:13.242 --> 00:06:16.143]  Don't wait for another crisis that could wipe out your hard-earned money.
[00:06:16.143 --> 00:06:21.665]  Do what I did and call United States Gold Vault at 844-541-ALEX.
[00:06:21.665 --> 00:06:23.045]  It's a company I trust.
[00:06:23.045 --> 00:06:29.127]  They're offering gold and silver coin survival packs that could help safeguard your money in an economic meltdown.
[00:06:29.127 --> 00:06:32.348]  I'm talking real money, not paper or worthless stocks.
[00:06:32.348 --> 00:06:36.330]  China recently bought more than a billion dollars worth of gold, proving that gold is on the move.
[00:06:36.790 --> 00:06:42.638]  Gold and silver are recognized worldwide as one of the most stable means of protecting finances.
[00:06:42.638 --> 00:06:43.319]  Don't delay.
[00:06:43.319 --> 00:06:50.348]  Call 844-541-ALEX now and get a rugged double locked bank bag to securely store your coins absolutely free.
[00:06:50.348 --> 00:06:54.834]  These are dangerous times and you need to make financial protection a priority.
[00:06:55.114 --> 00:06:57.735]  I personally own these survival packs and you should too.
[00:06:57.735 --> 00:07:01.377]  Pick up the phone and call 844-541-ALEX now.
[00:07:01.377 --> 00:07:04.578]  A clean, toxic-free body is the foundation of true health.
[00:07:04.578 --> 00:07:06.919]  Deep Cleanze by Infowarslife.com.
[00:07:06.919 --> 00:07:13.942]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:07:13.942 --> 00:07:19.104]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:07:19.244 --> 00:07:28.672]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanse doesn't hold back.
[00:07:28.672 --> 00:07:37.559]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:07:37.559 --> 00:07:44.445]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spike G-Rex herbal processing technique.
[00:07:44.645 --> 00:07:50.995]  We use only the highest quality organic herbs backed by serious research and we still bring it to you at the best price out there.
[00:07:50.995 --> 00:07:55.922]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[00:07:55.922 --> 00:07:57.865]  That's InfoWarsLife.com or call 888-253-3139.
[00:08:14.332 --> 00:08:16.433]  The Alex Jones Show.
[00:08:16.433 --> 00:08:20.074]  Because there is a war on, on your mind.
[00:08:20.074 --> 00:08:30.377]  Oh my gosh, it's big breaking national news!
[00:08:30.377 --> 00:08:33.238]  The New York Times might get a Pulitzer Prize!
[00:08:33.238 --> 00:08:37.320]  AT&T is paid by the NSA to spy on you!
[00:08:37.320 --> 00:08:39.560]  Of course, we broke that in 1996.
[00:08:41.485 --> 00:08:42.806]  Like I say, we broke it.
[00:08:42.806 --> 00:08:55.854]  It was in the Telecommunications Act of 1996 that they would spend up to $5 billion a year paying the telecoms to set up the spy hubs for the NSA and pass all your data through it.
[00:08:55.854 --> 00:09:02.918]  Now it ended up being closer to $10 billion a year by the time that the act was fully implemented under law October 1st, 2001.
[00:09:02.918 --> 00:09:03.699]  Statutorily.
[00:09:03.699 --> 00:09:05.220]  One month after 9-11.
[00:09:10.919 --> 00:09:27.489]  They had it scripted five years before to have it statutorily be in place, the entire grid, one month after 9-11, right when they magically passed all the accompanying legislation to make it legal.
[00:09:27.489 --> 00:09:30.011]  You know what that is?
[00:09:30.011 --> 00:09:36.215]  It's called continuity of agenda, continuity of purpose.
[00:09:36.215 --> 00:09:38.817]  It's how the big telecoms communicate with each other all around the world.
[00:09:39.571 --> 00:09:47.135]  When you read the big white papers, you learn that they are building a planet that will not need people.
[00:09:47.135 --> 00:09:51.798]  Why the future doesn't need us is the term they most often use.
[00:09:51.798 --> 00:09:56.441]  Where humans are obsolete, obsolescent.
[00:09:56.441 --> 00:10:01.183]  The final technotronic, technocrat dream.
[00:10:01.183 --> 00:10:07.387]  And so I've got big stacks of news here in front of me where men, no matter what color you are,
[00:10:08.928 --> 00:10:15.434]  Are at record numbers out of the workforce at a level higher than the Great Depression.
[00:10:15.434 --> 00:10:23.202]  And that ties into Anheuser-Busch has had the first autonomous 18-wheeler delivery of cold beer in Colorado.
[00:10:23.202 --> 00:10:27.866]  And it's being hailed as the greatest thing ever.
[00:10:27.866 --> 00:10:30.649]  Self-driving truck's first mission, a beer run.
[00:10:30.649 --> 00:10:32.951]  Isn't that just special?
[00:10:32.951 --> 00:10:33.812]  That ties in
[00:10:35.930 --> 00:10:38.091]  To the fact that this is an innovation.
[00:10:38.091 --> 00:10:48.458]  An economy is being built worldwide that ends the human species as we know it, and that is the officialdom plan.
[00:10:48.458 --> 00:10:59.465]  But it doesn't matter to pseudo-intellectuals like John Ronson, the journalist, who talks about how I am the... What's the quote?
[00:11:06.474 --> 00:11:18.161]  I am the most, because I was just reading this last night, most reckless person in the world.
[00:11:18.161 --> 00:11:21.143]  The most out of control.
[00:11:24.838 --> 00:11:53.014]  And I just sit back and I'm out of control because I talked to NSA whistleblowers in 1996 and they pointed out how the whole system worked and we've been proven right and so I'm bad again because it's scary to people that have bet on the system and who believe that the establishment's on their side because I'm exposing to them that it's all a fantasy land.
[00:12:02.088 --> 00:12:14.860]  Obamacare, we're now learning, according to Obama, he told us, so you can bet it's going to be a lot higher, is going to boost the average premium, including that of poor people, 25%.
[00:12:14.860 --> 00:12:23.127]  And of course, we've already seen massive premium increases.
[00:12:23.127 --> 00:12:28.212]  And then of course we have the Hillary Rodham Clinton emails,
[00:12:29.517 --> 00:12:32.919]  Where she says, I want it to go bankrupt, then we'll have a single payer.
[00:12:32.919 --> 00:12:34.840]  Well, we always told you that was the plan.
[00:12:34.840 --> 00:12:42.365]  In fact, they were so arrogant, they would simultaneously say we were conspiracy theorists, or racist, or a combination of both.
[00:12:42.365 --> 00:12:53.492]  But then Ezekiel Emanuel would go on television, on Fox, I've played it in other channels, and say, of course we're trying to bankrupt healthcare and bring in a single payer.
[00:12:55.708 --> 00:12:59.210]  But it isn't some utopian communist single-payer.
[00:12:59.210 --> 00:13:07.976]  It's big mega-corporations that will basically make you go to them and work through their system at prices even higher than what you're seeing now.
[00:13:07.976 --> 00:13:11.839]  It is a looting!
[00:13:11.839 --> 00:13:21.666]  But because Obama goes on the entertainment shows and acts like he's your little buddy, a lot of these people have childlike minds and they really believe that Obama is their friend and out to help them.
[00:13:23.697 --> 00:13:34.143]  Despite the fact that it's in all of the emails that they are deceiving us.
[00:13:34.143 --> 00:13:47.390]  Just like it was in Data Dump 16 on Podesta's emails that we're going to work with the entire press and the entire polling industry to oversample for Hillary.
[00:13:47.390 --> 00:13:50.852]  We want to get ahead of this early and have her dominate right through the election.
[00:13:52.383 --> 00:14:05.010]  Now, we don't need the Podesta email to see unparalleled fraud by the polling industry as a whole.
[00:14:05.010 --> 00:14:14.735]  And the way the polling industry works, if they don't like you, they won't even conduct a poll the way you want it, or they won't even do it fairly.
[00:14:14.735 --> 00:14:19.398]  Ten years ago, I did quite a bit of polling because it became a way to make points in the news.
[00:14:20.916 --> 00:14:33.981]  And I would call up Reuters and Gallup and others and I would talk to them and they would come back about a day later with the pollster or a manager and say, you're a conspiracy theorist.
[00:14:33.981 --> 00:14:37.282]  We will not give you our services.
[00:14:37.282 --> 00:14:39.283]  And I said, well, you're not a conspiracy theorist.
[00:14:39.283 --> 00:14:40.744]  I understand you control reality.
[00:14:40.744 --> 00:14:42.965]  You decide, you know, what's real and what isn't.
[00:14:42.965 --> 00:14:45.846]  So how about you even set the poll for me?
[00:14:45.846 --> 00:14:47.186]  I'm sure you'll do it fair.
[00:14:47.186 --> 00:14:48.107]  Show me the methodology.
[00:14:48.107 --> 00:14:48.467]  They're like, no.
[00:14:51.747 --> 00:15:02.534]  In fact, I don't remember the actual numbers, but I want to say that I would go through maybe 10 polling companies before I'd find one that would even do our poll.
[00:15:02.534 --> 00:15:09.478]  Now you think about that.
[00:15:09.478 --> 00:15:13.440]  And I was ready to spend $10,000, $15,000, you name it, on a real poll sampling thousands of people.
[00:15:13.440 --> 00:15:13.800]  Wouldn't do it.
[00:15:22.827 --> 00:15:25.649]  So, look, if Donald Trump was really behind, I'd tell you that.
[00:15:25.649 --> 00:15:27.470]  He's not.
[00:15:27.470 --> 00:15:35.756]  Donald Trump, depending on which battleground state you're in, those are the ones that matter, are 5, 10, 15 points ahead.
[00:15:35.756 --> 00:15:45.784]  And that's why you've got Washington Post polls that show Hillary 12 points ahead of him, and you've got CNN polls that show her 25 points ahead.
[00:15:45.784 --> 00:15:48.086]  It's because they're not
[00:15:49.221 --> 00:15:51.823]  Sampling as many Republicans as they do Democrats.
[00:15:51.823 --> 00:15:52.863]  It's that simple.
[00:15:52.863 --> 00:15:57.906]  A lot of times they'll have Hillary Clinton in an ABC News poll, we covered yesterday, 12 points ahead in Florida.
[00:15:57.906 --> 00:16:03.790]  Do you know how much they oversampled Democrats in the poll?
[00:16:03.790 --> 00:16:04.250]  12%.
[00:16:04.250 --> 00:16:09.053]  Now that would have them in a dead heat in Florida, until you look at all the Independent, and that's where they really hide the fraud.
[00:16:09.053 --> 00:16:14.657]  Because you don't know who they're really polling there, but that's where they, in the past, have been caught engaging in the fraud.
[00:16:16.445 --> 00:16:26.013]  But they'll argue, hey, you sign a contract with us, we're a polling company, we conduct it the way we want, with our science, and our methodology, and then you just accept it.
[00:16:26.013 --> 00:16:37.363]  Kind of like you get a Dallas Cowboys ticket, set, you know, right on the 50-yard line, and it says on the back of the ticket, this is for entertainment purposes, this game isn't even real.
[00:16:37.363 --> 00:16:39.305]  And you're not even guaranteed that there'll even be a game.
[00:16:40.660 --> 00:16:42.441]  You waive all your rights.
[00:16:42.441 --> 00:16:46.044]  And that's the thing about vaccines or NFL tickets or any of it.
[00:16:46.044 --> 00:16:47.786]  They don't want you to read the fine print.
[00:16:47.786 --> 00:16:48.627]  Well, guess what?
[00:16:48.627 --> 00:16:55.092]  Infowars read the fine print.
[00:16:55.092 --> 00:16:58.775]  And we have a very corrupt elite in this country that back dictators all over the world.
[00:16:58.775 --> 00:17:00.076]  Now, why is that important?
[00:17:00.076 --> 00:17:08.463]  They'll back a dictator, communist, socialist, fascist, they don't care, over an elected government that's even pro-America because they don't want people to be self-determined.
[00:17:09.537 --> 00:17:14.119]  And the very same elites that don't want other countries to be free, they don't want us to be free.
[00:17:14.119 --> 00:17:18.282]  So you can bet whatever they're promoting, whatever they're pushing is about globalism.
[00:17:18.282 --> 00:17:31.529]  I have a stack of articles and videos today of illegals recruited by the Democratic Party openly to knock on doors and to basically tell immigrant groups how to go vote.
[00:17:33.328 --> 00:17:45.846]  Now can you imagine if in China, where they don't even have voting, or Mexico, if there were people going around beating on doors, who weren't citizens, saying this is how you should vote, the Mexicans would kill you.
[00:17:45.846 --> 00:17:47.448]  Because that's just normal nationalism.
[00:17:47.448 --> 00:17:49.231]  Despite all their problems, they would attack you.
[00:17:50.422 --> 00:17:56.147]  Only in America do we have stuff like this rubbed in, but then it gets more fun.
[00:17:56.147 --> 00:18:08.657]  It's now back in the news that the security force of the private corporation that founded modern Europe under the Marshall Plan, the OECD, that is the root of the world government.
[00:18:08.657 --> 00:18:09.738]  That's it.
[00:18:09.738 --> 00:18:10.959]  The robber barons in 1945 set up the OECD.
[00:18:14.189 --> 00:18:15.929]  They did the reconstruction of Europe.
[00:18:15.929 --> 00:18:17.790]  Europe's never gotten out from under its control.
[00:18:17.790 --> 00:18:20.710]  That's why the EU was put in place without voting.
[00:18:20.710 --> 00:18:22.351]  It's a dictatorship.
[00:18:22.351 --> 00:18:26.591]  They have voting, but the ministers aren't in control.
[00:18:26.591 --> 00:18:35.713]  That's why they've had four Goldman Sachs presidents appointed as presidents and prime ministers in Europe in places like Greece and Italy just in the last few years.
[00:18:35.713 --> 00:18:42.135]  I mean, and then they're in the news saying, it's a new form of government, technocracy, where you don't elect your leaders.
[00:18:42.135 --> 00:18:43.595]  They say it openly.
[00:18:44.741 --> 00:18:53.545]  And I'll sit there with some journalist who begs for an interview and promises and swears it's not a hit piece, and then I'll tell them this stuff and show them quotes and their eyes glaze over.
[00:18:53.545 --> 00:19:11.433]  And so that's back in the news today, that we have all these foreign observers here, with the Feds, making sure Trump and the Russians don't steal it, but then again, we live in la-la land, there's no such thing as fraud, it's insane, doesn't exist, but Russian takeover of the election is imminent, oh my God, thank goodness,
[00:19:12.267 --> 00:19:26.000]  The security force of the OECD, that's like the Pinkerton Railroad men of Europe, they're here to run our election.
[00:19:26.000 --> 00:19:28.522]  And Homeland Security is federalizing it.
[00:19:28.522 --> 00:19:29.183]  It's a setup.
[00:19:29.183 --> 00:19:29.403]  U.S.
[00:19:29.403 --> 00:19:34.068]  officials warn that Russians will undermine elections with fake documents showing voter fraud.
[00:19:35.114 --> 00:19:36.395]  That's right, ladies and gentlemen.
[00:19:36.395 --> 00:19:43.397]  There's no voter fraud, even though it's on local radio and WOAI that the machines are all turning off and votes are flipping and we have all these witnesses and our story's on drudge.
[00:19:43.397 --> 00:19:44.338]  None of that's happening.
[00:19:44.338 --> 00:19:46.078]  There's never a problem.
[00:19:46.078 --> 00:19:48.339]  Hell, they might even take Texas and just give it to Hillary.
[00:19:48.339 --> 00:19:49.480]  They might give her all 50 states.
[00:19:49.480 --> 00:19:52.001]  Why not give her 100% of the vote?
[00:19:52.001 --> 00:19:52.361]  Hell, 200%.
[00:19:52.361 --> 00:19:57.403]  I mean, we've already got the emails where they admit they're stealing the election.
[00:19:57.403 --> 00:19:59.344]  They just hope the public doesn't see that.
[00:20:01.778 --> 00:20:11.202]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:20:11.202 --> 00:20:15.624]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:20:15.624 --> 00:20:22.627]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:20:22.627 --> 00:20:24.508]  Buy now at DefenderShield.com.
[00:20:24.508 --> 00:20:26.909]  For 10% off, use promo code GCN.
[00:20:26.909 --> 00:20:30.431]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:20:31.437 --> 00:20:33.318]  Fully cooked, ready-to-eat bacon.
[00:20:33.318 --> 00:20:36.540]  I'm talking thick, meaty, center-cut, presidential bacon.
[00:20:36.540 --> 00:20:38.141]  Savory and delicious.
[00:20:38.141 --> 00:20:40.983]  I buy some, I use some, I store some.
[00:20:40.983 --> 00:20:41.643]  Awesome.
[00:20:41.643 --> 00:20:44.725]  No refrigeration needed with a 10-year shelf life.
[00:20:44.725 --> 00:20:46.306]  NASA PAC Technology.
[00:20:46.306 --> 00:20:46.926]  Bacon.
[00:20:46.926 --> 00:20:51.069]  Fully cooked, fully hydrated, ready-to-eat right from the pack bacon.
