[00:00:00.000 --> 00:00:02.000]  Big John!
[00:00:02.000 --> 00:00:06.000]  Every morning in the mine, you could see him arrive.
[00:00:06.000 --> 00:00:09.000]  He stood six foot six and weighed two forty-five.
[00:00:09.000 --> 00:00:12.000]  I don't know if he showed her the nerve or whatever.
[00:00:12.000 --> 00:00:16.000]  Everybody knew you didn't give no lip to Big John.
[00:00:16.000 --> 00:00:25.000]  Big John! Big John! Big Bad John!
[00:00:26.000 --> 00:00:37.000]  We have Elaine Brown on the cell phone inside their home that the media calls a compound outside Plainfield, New Hampshire.
[00:00:37.000 --> 00:00:43.000]  We have Randy Weaver, Green Beret, father, lost his wife and son and dog.
[00:00:43.000 --> 00:00:54.000]  All shot in the back, all shot from their concealed positions, of course, way back in 1992, so many years ago. Fifteen years ago.
[00:00:55.000 --> 00:01:02.000]  And we are joined today by these folks.
[00:01:02.000 --> 00:01:05.000]  We are joined by Ed Elaine Brown and Randy Weaver.
[00:01:05.000 --> 00:01:08.000]  And Randy is going to be leaving tomorrow night.
[00:01:08.000 --> 00:01:14.000]  He is going to be going there to get there by, I guess, late in the weekend.
[00:01:14.000 --> 00:01:18.000]  And I just want to say here, I was talking to Randy during the break.
[00:01:18.000 --> 00:01:22.000]  He is an InfoWars.com freelance reporter.
[00:01:22.000 --> 00:01:25.000]  He is welcome to say he is a Genesis reporter.
[00:01:25.000 --> 00:01:29.000]  I would imagine that he would like to report for other people.
[00:01:29.000 --> 00:01:33.000]  He is a freelance reporter reporting to the American people.
[00:01:33.000 --> 00:01:36.000]  He is going there to cover the event.
[00:01:36.000 --> 00:01:40.000]  He is going there to try to diffuse the situation.
[00:01:40.000 --> 00:01:46.000]  And frankly, I think everybody owes him a debt of gratitude for his incredible courage after what he has already been through.
[00:01:46.000 --> 00:01:50.000]  And I mean, I owe him that, the country owes him that, the Browns owe him that.
[00:01:50.000 --> 00:01:55.000]  And especially the Feds, because we need national attention on this,
[00:01:55.000 --> 00:02:02.000]  so their bosses tell them to back off and try to come at this from another angle, because they have been inside.
[00:02:02.000 --> 00:02:08.000]  They sent in this FBI guy we have identified, posing as a quote, white supremacist.
[00:02:08.000 --> 00:02:10.000]  And I guess trying to get dirt on the Browns.
[00:02:10.000 --> 00:02:13.000]  The Browns told him, we don't agree with that, get out of here.
[00:02:13.000 --> 00:02:19.000]  He matches the M.O. according to Mr. Riley of the FBI agent who is in command.
[00:02:19.000 --> 00:02:21.000]  We have that in triplicate now.
[00:02:21.000 --> 00:02:23.000]  But bottom line, he works for the Feds.
[00:02:23.000 --> 00:02:29.000]  We know that they didn't cut their power right after he called them and called them wimps.
[00:02:29.000 --> 00:02:31.000]  After he left their home, he called them back and they said, we know you're a Fed.
[00:02:31.000 --> 00:02:33.000]  And he said, well, you're basically a bunch of wimps.
[00:02:33.000 --> 00:02:35.000]  And they said, fine, whatever.
[00:02:35.000 --> 00:02:37.000]  We're just here standing up for our freedoms.
[00:02:37.000 --> 00:02:39.000]  We are wimps.
[00:02:39.000 --> 00:02:41.000]  It's other people you've got to worry about.
[00:02:41.000 --> 00:02:46.000]  I'm paraphrasing the history of what's happened, trying to condense it here, if we can go to Randy and the Browns.
[00:02:46.000 --> 00:02:56.000]  And on top of all this, the Feds called them a couple days ago and said, we are going to be coming in on you.
[00:02:56.000 --> 00:03:03.000]  And then locals have told them, some of the local instabulary, that yeah, they're telling them they're going to use robots or swords.
[00:03:03.000 --> 00:03:05.000]  So that's where it stands.
[00:03:05.000 --> 00:03:08.000]  And they're such liars that it may mean they're never going to come in.
[00:03:08.000 --> 00:03:11.000]  They may back off like they did with the Gray family in 2000.
[00:03:11.000 --> 00:03:14.000]  Here we are seven years later and they've left the Grays alone.
[00:03:14.000 --> 00:03:15.000]  They're 44 acres.
[00:03:15.000 --> 00:03:18.000]  They're on the Trinity River in East Texas.
[00:03:18.000 --> 00:03:23.000]  But going to Randy Weaver, Randy, and we'll also bring up Elaine Brown right now.
[00:03:23.000 --> 00:03:26.000]  Randy, you're planning to head out tomorrow?
[00:03:26.000 --> 00:03:32.000]  Yes, probably later tomorrow evening or early Saturday morning at the latest.
[00:03:32.000 --> 00:03:34.000]  Now, Randy, you're located where?
[00:03:34.000 --> 00:03:38.000]  How long will it take you to get to the area of New Hampshire?
[00:03:38.000 --> 00:03:47.000]  I'm in Arkansas, and from my home place, I figure it'll take me upwards of 20 hours.
[00:03:47.000 --> 00:03:53.000]  Well, I think because of the situation you're going into, speed is important, but also you need to probably stop and get some rest.
[00:03:53.000 --> 00:03:55.000]  We don't want you all tired out when you get there.
[00:03:55.000 --> 00:03:57.000]  Right.
[00:03:57.000 --> 00:03:59.000]  I wanted to say this much, Alex.
[00:03:59.000 --> 00:04:06.000]  My daughter, 15-year-old daughter that lives with me, Alicia, the one that Vicki was holding in her arms when they killed Vicki,
[00:04:06.000 --> 00:04:08.000]  I put her on a plane this morning.
[00:04:08.000 --> 00:04:12.000]  She's out to visit her sisters for the summer in Montana.
[00:04:12.000 --> 00:04:14.000]  And they give her the total pat down.
[00:04:14.000 --> 00:04:20.000]  They checked her bag with the little swabs for dynamite or whatever they check for.
[00:04:20.000 --> 00:04:22.000]  And she was totally embarrassed and disgusted.
[00:04:22.000 --> 00:04:24.000]  And she said, why did they do that, Dad?
[00:04:24.000 --> 00:04:28.000]  I said, well, welcome to George Orwell's 1984.
[00:04:28.000 --> 00:04:35.000]  They can't profile, so supposedly just every other so many people they'll pull out and do that to.
[00:04:35.000 --> 00:04:40.000]  I said, hopefully she was just random and that they don't have dry on her.
[00:04:40.000 --> 00:04:47.000]  You know, I've seen literal foreigners who can hardly speak English in bright blue commando outfits in San Francisco
[00:04:47.000 --> 00:04:51.000]  jabbing with their finger at a World War II vet who was flying out.
[00:04:51.000 --> 00:04:53.000]  A bunch of them were flying out.
[00:04:53.000 --> 00:04:57.000]  This was like five years ago, four years ago to a Pearl Harbor remembrance.
[00:04:57.000 --> 00:05:00.000]  And this guy looked like he literally was about to collapse and die.
[00:05:00.000 --> 00:05:02.000]  I mean, he looked like death warmed over.
[00:05:02.000 --> 00:05:05.000]  And this foreigner was just relishing jabbing that vet.
[00:05:05.000 --> 00:05:06.000]  Yes.
[00:05:06.000 --> 00:05:08.000]  That's America, buddy.
[00:05:08.000 --> 00:05:13.000]  Well, I think, you know what, it appears to me that the foreigners have taken over our government, period.
[00:05:13.000 --> 00:05:14.000]  Oh, that's it, yeah.
[00:05:14.000 --> 00:05:18.000]  They cannot claim to be Americans the way they run this country.
[00:05:18.000 --> 00:05:22.000]  And I was just reading a book recently and it was talking about IQ.
[00:05:22.000 --> 00:05:25.000]  And it says that sometimes IQ can be a detriment.
[00:05:25.000 --> 00:05:30.000]  Because if these people running our country are supposed to be the illuminated people
[00:05:30.000 --> 00:05:35.000]  with such high IQs, they're sure ruining this country and they're working with this one world government
[00:05:35.000 --> 00:05:39.000]  which will totally ruin everything for everybody, the common man.
[00:05:39.000 --> 00:05:42.000]  So that doesn't show that high IQ does us any good, does it?
[00:05:42.000 --> 00:05:43.000]  I agree.
[00:05:43.000 --> 00:05:47.000]  I'm going to be going into the Washington Post saying the economy is beginning its collapse.
[00:05:47.000 --> 00:05:48.000]  This is serious news.
[00:05:48.000 --> 00:05:54.000]  But they admit in there, they say so the elite can consolidate.
[00:05:54.000 --> 00:05:57.000]  See, that's where the real power and the profits come from.
[00:05:57.000 --> 00:06:02.000]  They rent the money and they set it up as a Ponzi scheme every generation or so to consolidate.
[00:06:02.000 --> 00:06:05.000]  And this is the final global consolidation.
[00:06:05.000 --> 00:06:07.000]  And believe me, I'm freaked out.
[00:06:07.000 --> 00:06:08.000]  I'm losing sleep.
[00:06:08.000 --> 00:06:10.000]  It's all coming to a head right now.
[00:06:10.000 --> 00:06:12.000]  Let's go to Elaine Brown and Ed Brown's waiting in the wings.
[00:06:12.000 --> 00:06:13.000]  They've got one cell phone.
[00:06:13.000 --> 00:06:15.000]  This is how they're able to, one at a time.
[00:06:15.000 --> 00:06:20.000]  Elaine, Randy Weaver, I tell you, it literally brings a tear to my eye.
[00:06:20.000 --> 00:06:23.000]  It makes my heart start beating a little faster.
[00:06:23.000 --> 00:06:27.000]  I just admire this man after everything he's already done and he's coming out there.
[00:06:27.000 --> 00:06:29.000]  I know, I know.
[00:06:29.000 --> 00:06:38.000]  Even after all this time, when I think of that situation that that family endured, I still cry.
[00:06:38.000 --> 00:06:40.000]  It was a horrible, horrible thing.
[00:06:40.000 --> 00:06:48.000]  And I have so much admiration for Randy and such gratitude to him for coming out here to help us.
[00:06:48.000 --> 00:06:50.000]  Elaine, you're not alone.
[00:06:50.000 --> 00:06:52.000]  We've all shed a lot of tears.
[00:06:52.000 --> 00:06:55.000]  But there's going to be more tears coming.
[00:06:55.000 --> 00:06:59.000]  And it won't be just our side doing it.
[00:06:59.000 --> 00:07:01.000]  You bet.
[00:07:01.000 --> 00:07:02.000]  You bet.
[00:07:02.000 --> 00:07:04.000]  Things are in place.
[00:07:04.000 --> 00:07:06.000]  They've thrown down the gauntlet.
[00:07:06.000 --> 00:07:10.000]  A week ago today they let us know they're coming in here to kill us.
[00:07:10.000 --> 00:07:13.000]  And they certainly never thought about that.
[00:07:13.000 --> 00:07:16.000]  We're going to try and stop that.
[00:07:16.000 --> 00:07:19.000]  We don't like it to be stopped, certainly.
[00:07:19.000 --> 00:07:22.000]  But we're going to change our stance.
[00:07:22.000 --> 00:07:24.000]  We will not come out.
[00:07:24.000 --> 00:07:26.000]  We have committed no crime.
[00:07:26.000 --> 00:07:28.000]  It was a total sham trial.
[00:07:28.000 --> 00:07:30.000]  The whole thing was just fabricated.
[00:07:30.000 --> 00:07:33.000]  Had we committed a crime, fine, we'd do the time.
[00:07:33.000 --> 00:07:35.000]  But we have committed no crime.
[00:07:35.000 --> 00:07:37.000]  We've done nothing wrong.
[00:07:37.000 --> 00:07:39.000]  Randy, you did nothing wrong.
[00:07:39.000 --> 00:07:41.000]  That was entrapment right along.
[00:07:41.000 --> 00:07:42.000]  Yes.
[00:07:42.000 --> 00:07:46.000]  Well, even if it wasn't entrapment, the gun thing is totally a farce anyway and totally unconstitutional.
[00:07:46.000 --> 00:07:47.000]  Of course it is.
[00:07:47.000 --> 00:07:51.000]  You hear they now are completely federalizing gun purchases, even at point of sale.
[00:07:51.000 --> 00:07:56.000]  And if the government gives you any psychological designation now, you won't be able to own a gun.
[00:07:56.000 --> 00:08:00.000]  Oh, well, they really are stepping up their program, you know.
[00:08:00.000 --> 00:08:03.000]  Well, they say legally you won't be able to own one.
[00:08:03.000 --> 00:08:04.000]  Yeah.
[00:08:04.000 --> 00:08:05.000]  Yeah.
[00:08:05.000 --> 00:08:08.000]  You know, but that's going to be a different story.
[00:08:08.000 --> 00:08:09.000]  Yeah.
[00:08:09.000 --> 00:08:10.000]  Yeah, very different.
[00:08:10.000 --> 00:08:11.000]  Yeah.
[00:08:11.000 --> 00:08:12.000]  Yeah.
[00:08:12.000 --> 00:08:13.000]  They'll never get all the guns in the country.
[00:08:13.000 --> 00:08:19.000]  It is the gun issue, just like 1775 with Lexington and Concord right in your neck of the woods, Elaine, that triggered it.
[00:08:19.000 --> 00:08:22.000]  Because let's say 99 percent of people roll over.
[00:08:22.000 --> 00:08:24.000]  I think it'll be about 95.
[00:08:24.000 --> 00:08:29.000]  But if 1 percent stand up, that's 1.6 million fighters.
[00:08:29.000 --> 00:08:31.000]  Uh-huh.
[00:08:31.000 --> 00:08:34.000]  Randy, where do you see this?
[00:08:34.000 --> 00:08:36.000]  I mean, we never talk about your military training.
[00:08:36.000 --> 00:08:40.000]  What is it like for you, who served your country, the best of the best, the Green Berets,
[00:08:40.000 --> 00:08:43.000]  to then just suddenly be, them tell you, you're going to be our informant.
[00:08:43.000 --> 00:08:44.000]  You're perfect.
[00:08:44.000 --> 00:08:47.000]  You're going to go into these groups for us, and you say no.
[00:08:47.000 --> 00:08:50.000]  Should they come out and set you up and kill your family?
[00:08:50.000 --> 00:08:53.000]  I mean, it's just, I mean, where do you see the world going?
[00:08:53.000 --> 00:08:55.000]  Where do you see all this breaking down?
[00:08:55.000 --> 00:08:57.000]  Well, I originally joined the service.
[00:08:57.000 --> 00:08:59.000]  I thought I'd make a career out of it.
[00:08:59.000 --> 00:09:07.000]  But by the time I had gone on, well, into just my second out of three years, I was starting to see things I didn't like.
[00:09:08.000 --> 00:09:15.000]  And, you know, the old-time military boys would sit around and get to discussing things, and they would do nothing.
[00:09:15.000 --> 00:09:18.000]  They'd complain about the civilians, the civilians and how bad they were.
[00:09:18.000 --> 00:09:21.000]  And I'm thinking, you guys are here to serve the civilians.
[00:09:21.000 --> 00:09:25.000]  And that just didn't sit well with me.
[00:09:25.000 --> 00:09:28.000]  So...
[00:09:28.000 --> 00:09:31.000]  What kind of things would they say?
[00:09:31.000 --> 00:09:33.000]  Oh, just complaining about everything.
[00:09:33.000 --> 00:09:38.000]  The civilians do this, and they want that, and they won't let us do this, and just on and on and on.
