[00:00:00.000 --> 00:00:26.320]  InfoWars, tomorrow's news today.
[00:00:26.320 --> 00:00:32.960]  In a recent Time Magazine article, Ray Dalio of Bridgewater Associates Hedge Funds warned
[00:00:32.960 --> 00:00:35.960]  that the world is on the brink of disaster.
[00:00:35.960 --> 00:00:41.480]  He came to this conclusion based on current events that haven't happened since the 1930s.
[00:00:41.480 --> 00:00:47.080]  The largest amounts of debt and inflation, the biggest gaps in wealth and values resulting
[00:00:47.080 --> 00:00:53.080]  in the rise of populism on both the left and the right against the elites, and the greatest
[00:00:53.080 --> 00:00:59.840]  international conflict between world powers, most importantly between the U.S. and China.
[00:00:59.840 --> 00:01:05.600]  Peter Ange writes that the easy way out of this mess would be for the elite to proactively
[00:01:05.600 --> 00:01:11.320]  shrink in scope, get government out of the economy, out of social engineering, and out
[00:01:11.320 --> 00:01:13.880]  of propagandizing kids.
[00:01:13.880 --> 00:01:16.360]  But of course, this won't happen.
[00:01:16.360 --> 00:01:21.400]  Common sense and simple observation will tell you that the so-called elites will continue
[00:01:21.400 --> 00:01:27.320]  on their path towards economic destruction and world war, which is likely what the international
[00:01:27.320 --> 00:01:30.120]  bankers had planned all along.
[00:01:30.120 --> 00:01:37.320]  Let us not forget that the fast-growing BRICS monetary system was born in 2001 out of Goldman
[00:01:37.320 --> 00:01:38.320]  Sachs.
[00:01:38.320 --> 00:01:44.560]  In 1971, President Nixon officially ended the gold standard and replaced it with the
[00:01:44.560 --> 00:01:51.400]  petrodollar, in which OPEC agreed to price their oil in U.S. dollars in exchange for
[00:01:51.400 --> 00:01:53.720]  U.S. military protection.
[00:01:53.720 --> 00:01:58.480]  This blood-money deal preserved U.S. control over the world economy.
[00:01:58.480 --> 00:02:04.600]  But when the U.S. weaponized the swift payment system against Russia, BRICS became the only
[00:02:04.600 --> 00:02:07.760]  viable solution for the rest of the world.
[00:02:07.760 --> 00:02:14.240]  Reuters in New Delhi reported that last May, the State Bank of India rejected Indian Oil
[00:02:14.240 --> 00:02:19.480]  Corp.'s planned payment in U.S. dollars for Russian oil, and so they went to a private
[00:02:19.480 --> 00:02:25.280]  bank and settled their trade for Russian oil by paying in yuan to the Bank of China and
[00:02:25.280 --> 00:02:27.240]  have continued to do so since.
[00:02:27.240 --> 00:02:33.000]  A shortage of U.S. dollars in Argentina has caused commercial banks to allow the Chinese
[00:02:33.000 --> 00:02:38.040]  yuan as a form of currency in savings and checkings accounts.
[00:02:38.040 --> 00:02:44.120]  Argentina has already been issuing securities in the Chinese yuan and has made a $2.7 billion
[00:02:44.120 --> 00:02:49.560]  payment to the International Monetary Fund using the Chinese BRICS currency.
[00:02:49.560 --> 00:02:54.960]  The Federal Reserve Bank's FedNow is scheduled for launch by the end of July.
[00:02:54.960 --> 00:02:59.640]  FedNow is officially an update to the Federal Reserve's payment processing and settlement
[00:02:59.640 --> 00:03:05.520]  system and appears to be a backdoor to creating a central bank digital currency.
[00:03:05.520 --> 00:03:11.000]  Private blockchain operator Tessat has partnered with the Federal Reserve's new payment system
[00:03:11.000 --> 00:03:14.680]  and will serve as an interface for FedNow.
[00:03:14.680 --> 00:03:20.560]  FedNow will also connect with Metal Blockchain, whose CEO and founder claims will allow banks
[00:03:20.560 --> 00:03:27.560]  to prepare for an eventual central bank digital currency, along with bank-issued stablecoins.
[00:03:27.600 --> 00:03:33.200]  The idea of a central bank digital currency is already hugely unpopular with the majority
[00:03:33.200 --> 00:03:38.640]  of Americans, but according to Dale Hauser, it is being set up to destroy alternative
[00:03:38.640 --> 00:03:42.480]  blockchain solutions, such as Ripple and Stellar.
[00:03:42.480 --> 00:03:46.880]  And if the powers that be are successful in destroying the U.S. economy, then the only
[00:03:46.880 --> 00:03:52.600]  other option to accepting a CBDC would be some sort of revolution, which would be nearly
[00:03:52.600 --> 00:03:59.120]  impossible seeing as how divided the populist movement is within the left-right paradigm.
[00:03:59.120 --> 00:04:04.240]  Last week in China, the World Economic Forum proclaimed that the entire world needs to
[00:04:04.240 --> 00:04:10.800]  switch to a central bank digital currency, with expiry dates and restrictions on undesirable
