[00:00.000 --> 00:02.000]  it
[00:15.520 --> 00:19.800]  Big brother mainstream media government cover-ups
[00:19.800 --> 00:28.440]  You want to stop tyranny? Well, so does he live from the info wars dot-com studios. It's Alex Jones
[00:33.280 --> 00:36.720]  We all live it is the 14th of March
[00:38.040 --> 00:42.000]  2019 and Alex Jones will be in place for the third hour
[00:42.520 --> 00:46.560]  Time being we're talking about Beto may yeah, of course. He's enough
[00:46.560 --> 00:52.800]  Hey, we're gonna have to put up with Beto and his skateboard for the next 18 months at least the absolute horror of that
[00:53.680 --> 00:57.000]  Beto has come out. He's now stopped. He came out in an interview last night
[00:57.640 --> 00:59.640]  He's it now. It's official and
[01:00.480 --> 01:08.200]  He's trying to move away from the center already. We have this civil war within the democratic party of the
[01:08.360 --> 01:12.040]  stream left-wing fringe versus the moderate center
[01:12.040 --> 01:17.000]  There was a big debate about whether the center would move left later on down the line
[01:17.000 --> 01:23.740]  Well, Beto's already moving left moving to the fringe moving to the extreme. He's talking about the planet ending
[01:24.080 --> 01:27.960]  12 years time just like AOC did a couple of weeks ago
[01:29.080 --> 01:34.000]  Where doom that's a war all starts presidential campaign by claiming the world faces
[01:34.000 --> 01:42.200]  Astrophy wants hundreds of millions of climate refugees will overwhelm board as humanity could go extinct in less big planet in
[01:42.440 --> 01:47.800]  12 years, so he's already going over the top with this hope top rhetoric
[01:48.480 --> 01:51.640]  Again moving to the left fringe of the Democratic Party
[01:52.120 --> 01:58.920]  That gives you a sense of how it's going to be in the next year 18 months going forward. Also talking about Brexit
[01:58.920 --> 02:04.340]  Donald Trump has just been out and said you have to be prepared to walk away from a bad deal
[02:04.560 --> 02:10.480]  This exact quote the worst thing you can possibly do in a deal seem desperate to make it
[02:10.920 --> 02:17.000]  That makes the other guys fell blood and you're dead Theresa May are you listening?
[02:17.600 --> 02:21.480]  Basically have a situation if you pay now by the country. It's no longer
[02:22.120 --> 02:28.040]  Democratic now they're gonna vote on delaying Brexit yet again last night. They voted on
[02:28.040 --> 02:31.160]  Cutting out eliminate no deal altogether
[02:32.160 --> 02:34.360]  Nigel Farage's that
[02:34.360 --> 02:37.120]  Parliament note the represents the people
[02:37.800 --> 02:45.000]  We have the Queen waiting in think when will the Queen be activated basically we have a dictatorship of
[02:45.800 --> 02:52.960]  MPs in Parliament have overridden the trade that they've ignored the will 17 point four million people
[02:52.960 --> 02:57.840]  She needs to step up to the plate to protect democracy
[02:58.600 --> 03:03.240]  Party reports no delay from EU or we like seven free Nigel Farage
[03:03.880 --> 03:10.080]  European Parliament that is the situation if this Brexit deal gets delayed past the end of May
[03:10.080 --> 03:18.240]  We're gonna have European elections gonna have a flood of MEs stand for Brexit for democracy for the British people
[03:18.240 --> 03:22.400]  And against the EU super state hope we talk about that as well
[03:23.040 --> 03:29.040]  Tucker Carlson main protect from the George Soros funded media matters outfit now
[03:29.040 --> 03:31.040]  He's hit back by thinking out that
[03:31.600 --> 03:40.240]  Angelo Prasone one of the main architects of peace against him said probably way worse than he did so we're gonna play
[03:41.600 --> 03:43.400]  Also talking about
[03:43.400 --> 03:50.400]  Facebook and Instagram suffering the most severe outages ever. This is the problem with the novel power of
[03:51.320 --> 03:52.320]  Facebook
[03:52.320 --> 03:53.400]  Instagram
[03:53.400 --> 04:00.720]  Oculus what that all go down at the same time in one case Facebook down for 14 hours break
[04:01.520 --> 04:07.320]  No explanation how to why are all these different platform on the same back?
[04:07.320 --> 04:15.080]  Is the weakness of monopolies? This is why these big tech corporations need to be with you and fight for us laws
[04:15.960 --> 04:22.840]  Stephen Colbert in an in Tulsi gathered who is one of the democratic contenders who actually took any sense and is reasonable
[04:23.640 --> 04:26.160]  Basically, he's now fully frowns way behind
[04:26.360 --> 04:31.420]  War past behind the state after having his teeth on going after George
