[00:00.000 --> 00:11.800]  Waging war on corruption.
[00:11.800 --> 00:28.000]  It's Alex Jones coming to you live from the front lines of the Infowar.
[00:28.000 --> 00:39.800]  Ladies and gentlemen, it is Sunday, the 19th day of May 2013.
[00:39.800 --> 00:43.680]  I am your host, Alex Jones, and we're going to be here for the next two hours as we are
[00:43.680 --> 00:48.360]  every Sunday, 4 to 6 p.m. Central Standard Time.
[00:48.360 --> 00:55.400]  Okay, obviously, there's a lot of new developments in the last day and a half since Friday.
[00:55.400 --> 01:00.840]  On the whole IRS scandal, Benghazi gate that IRS is serving as a distraction from.
[01:00.840 --> 01:02.000]  More and more, that's clear.
[01:02.000 --> 01:06.240]  The White House even basically admits that in their own arrogant way.
[01:06.240 --> 01:11.720]  We've got the spying on the reporters illegally and on the congressional cloakroom.
[01:11.720 --> 01:17.520]  I mean, it's all of this directly out of an authoritarian nightmare.
[01:17.520 --> 01:22.240]  And then I've also got some points I want to make about Angelina Jolie having a double
[01:22.240 --> 01:23.240]  mastectomy.
[01:23.240 --> 01:29.720]  I don't believe her herself is consciously involved in big pharma trying to get $4,000
[01:29.720 --> 01:33.900]  per woman through Obamacare to have this gene typing done.
[01:33.900 --> 01:35.880]  But the big companies are certainly using it now.
[01:35.880 --> 01:43.080]  A bunch of women are lining up sympathetically out of fear or out of rock stardom to mutilate
[01:43.080 --> 01:44.520]  themselves like this.
[01:44.520 --> 01:47.120]  I know it's a tough decision for anybody beyond tough.
[01:47.120 --> 01:58.800]  But this is becoming just a systematic idea that, hey, we're not gonna ask why breast
[01:58.800 --> 02:00.720]  cancer is skyrocketing.
[02:00.720 --> 02:04.480]  We're just gonna say, hey, let's have women, all women, remove their breast.
[02:04.480 --> 02:07.760]  It'd be like saying people are having brain cancer.
[02:07.760 --> 02:11.880]  So let's just remove everybody's brain preemptively or colon cancer skyrocketing.
[02:11.880 --> 02:15.080]  Let's remove colons preemptively.
[02:15.080 --> 02:16.480]  Everyone has genetic markers.
[02:16.480 --> 02:19.840]  Some are more predisposed, that's true.
[02:19.840 --> 02:25.360]  But it's predisposed genetically in certain chemical and biological environments.
[02:25.360 --> 02:30.320]  We all have the same genetic lines have already always been there.
[02:30.320 --> 02:36.440]  They vary person to person, family to family, group to group, sub race, but there's really
[02:36.440 --> 02:42.800]  just one human race, sub derivations, Anglo, Asian, the list goes on and on.
[02:42.800 --> 02:48.640]  Native groups are more predisposed, Native American groups, which are really land bridge
[02:48.640 --> 02:53.380]  crossing Asian groups are more predisposed for pancreas type issues.
[02:53.380 --> 03:05.520]  But the issue here is this is being driven by the environment, not by the nature.
[03:05.520 --> 03:09.680]  It's being done by the nurture or the anti-nurture.
[03:09.680 --> 03:16.320]  Because the same genetic lines were there, the same genetic lines were there, the same
[03:16.320 --> 03:22.440]  pre-markers were there, but why is it now all increasing?
[03:22.440 --> 03:30.160]  Well, we know it's the cocktail of chemicals and biologicals that we are hammered with.
[03:30.160 --> 03:36.760]  And they're gonna have a job on their hands regardless of what happens to me.
[03:36.760 --> 03:40.700]  They're gonna have a job on their hands because of myself and millions of others that understand
[03:40.700 --> 03:45.880]  the eugenics agenda as we go from one in 25,000 with autism to 150 something.
[03:45.880 --> 03:49.960]  As we go from one out of a couple hundred with some type of psychological disorder to
[03:49.960 --> 03:53.840]  now one out of five, have statistics on that today.
[03:53.840 --> 04:02.200]  As we go from diabetes being one in maybe 150 something years ago, to now three out
[04:02.200 --> 04:11.380]  of ten or pre-diabetic being five out of ten in some Hispanic communities.
[04:11.380 --> 04:17.680]  Ladies and gentlemen, there is a holocaust going on and the system knows what's happening,
[04:17.680 --> 04:20.840]  even if they're not behind it, which they're behind a lot of it.
[04:20.840 --> 04:25.600]  They write books about it, bragging about spiking our water with things and sterilizing
[04:25.600 --> 04:28.360]  us and our useless eaters.
[04:28.360 --> 04:29.360]  So that's going on.
[04:29.360 --> 04:36.040]  Regardless, they know, they know and they're taking precautions of purifying water, non-GMO,
[04:36.040 --> 04:38.920]  not taking vaccines and that comes out in the news.
[04:38.920 --> 04:42.240]  The establishment globalists are staying off all this stuff.
[04:42.240 --> 04:43.520]  So that's coming up as well.
[04:43.520 --> 04:47.560]  We've got David Knight in here and we're gonna go over some clips of the Friday hearings
[04:47.560 --> 04:50.760]  with the IRS, it's a bombshell.
[04:50.760 --> 04:55.800]  And we're gonna get into Michael Moore and others basically saying it's treason to question
[04:55.800 --> 04:56.800]  government.
[04:56.800 --> 04:57.800]  It's all coming up today.
[04:57.800 --> 04:59.680]  Stay with us.
[04:59.680 --> 05:05.280]  With health threats on the rise such as West Nile virus, MRSA, CRE, and now the new bird
[05:05.280 --> 05:09.880]  flu recently discovered in China, there has never been a more crucial time to support
[05:09.880 --> 05:12.280]  your immune system.
[05:12.280 --> 05:16.400]  Supernatural Silver is a revolutionary new silver solution that is clinically shown to
[05:16.400 --> 05:21.880]  be several hundred times more effective than colloidal or ionic silver and is powerful
[05:21.880 --> 05:25.260]  enough to help protect you and your family.
[05:25.260 --> 05:29.760]  Supernatural Silver is scientifically supported, highly effective, and perfect for everyday
[05:29.760 --> 05:32.160]  use inside the body as well as out.
[05:32.160 --> 05:36.240]  The Science Digest Journal says silver is our mightiest germ fighter.
[05:36.240 --> 05:42.000]  It is virtually non-toxic and is emerging as a wonder of modern medicine.
[05:42.000 --> 05:46.040]  Supernatural Silver is the number one choice of thousands for improved health and immune
[05:46.040 --> 05:47.180]  system support.
[05:47.180 --> 05:53.040]  To find out how Supernatural Silver can change your life, go to supernaturalsilver.com and
[05:53.040 --> 06:06.920]  use the promo code SPRING2013 for 20% off and like us on Facebook.
[06:06.920 --> 06:15.640]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[06:15.640 --> 06:32.600]  Rallying patriots worldwide, you're listening to the Alex Jones Show.
[06:32.600 --> 06:39.920]  Monday through Friday from 11am until 2pm Central Standard Time.
[06:39.920 --> 06:45.000]  We are here live, ladies and gentlemen, and then of course we come back Sundays and we
[06:45.000 --> 06:49.080]  are live right now, 4 to 6pm Central Standard Time.
[06:49.080 --> 06:55.360]  It is 4.06 and 27 seconds on the 19th day of May, 2013.
[06:55.360 --> 06:58.320]  I am your host, Alex Jones.
[06:58.320 --> 07:02.320]  All right, here's what's coming up today.
[07:02.320 --> 07:07.280]  We've got Info Wars Nightly News and Info Wars Radio reporter David Knight coming in
[07:07.280 --> 07:13.480]  with a bunch of clips, really powerful stuff and heartening information from the IRS hearings
[07:13.480 --> 07:20.520]  on Friday where some Congress people are actually doing their jobs and saying, look, don't tell
[07:20.520 --> 07:21.680]  us these are mistakes.
[07:21.680 --> 07:26.880]  You did this on purpose and you go around without due process taking people's bank accounts
[07:26.880 --> 07:30.160]  in their homes if they, quote, make mistakes.
[07:30.160 --> 07:31.200]  It's not mistakes.
[07:31.200 --> 07:35.520]  The IRS is the private collection agency for the private Federal Reserve with governmental
[07:35.520 --> 07:36.520]  power.
[07:36.520 --> 07:40.320]  It is a manifest fraud and part of the occupation of this country.
[07:40.320 --> 07:41.320]  That's just a fact.
[07:41.320 --> 07:42.880]  So that is coming up.
[07:42.880 --> 07:47.200]  Also, I was traumatized by this on Friday and didn't get to the meat of it, but I will
[07:47.200 --> 07:48.200]  today.
[07:48.200 --> 07:49.920]  I've talked about it for almost an hour.
[07:49.920 --> 07:55.960]  Military says no presidential authorization needed to quell civil disturbances.
[07:55.960 --> 08:00.960]  Those that don't know about common sense or common history or the Constitution were like,
[08:00.960 --> 08:02.920]  well, what's the big deal?
[08:02.920 --> 08:06.240]  Military doesn't need the president's authorization to operate domestically.
[08:06.240 --> 08:11.240]  I mean, what an incredible statement, but they already say our military is under NATO
[08:11.240 --> 08:14.720]  control, so I guess that's what Congress has been told.
[08:14.720 --> 08:18.160]  They of course control the military and the purse strings.
[08:18.160 --> 08:24.560]  We're in very perilous times where just bombshell things are announced, bombshell things are
[08:24.560 --> 08:30.280]  done and it's put out there like it's no big deal.
[08:30.280 --> 08:34.880]  My father Friday texted me and he said, I'm listening to local radio.
[08:34.880 --> 08:38.960]  That show that attacks you whenever I listen and they're admitting that tyranny's here
[08:38.960 --> 08:44.840]  and they can't believe it and my gosh, they never thought it could be true.
[08:44.840 --> 08:49.440]  And I called my dad back and I said, yeah, but if I called in, they would make fun of
[08:49.440 --> 08:50.520]  me.
[08:50.520 --> 08:57.120]  Because that's a mantle of manliness in America, is to deny things and laugh at people that
[08:57.120 --> 08:58.680]  are right.
[08:58.680 --> 09:03.520]  And then see, folks that are even criticizing tyranny like Piers Morgan nationally is now
[09:03.520 --> 09:06.600]  saying, we are seeing some tyranny out of Obama.
[09:06.600 --> 09:07.600]  I don't like it.
[09:07.600 --> 09:08.920]  We're gonna play a clip of that.
[09:08.920 --> 09:15.200]  They're doing it because the people are waking up.
[09:15.200 --> 09:17.440]  That's why they're doing it.
[09:17.440 --> 09:20.960]  But I have been in public quite a bit.
[09:20.960 --> 09:28.120]  I went to a music recital that my daughters were in that had about looked like a couple
[09:28.120 --> 09:36.360]  thousand people at it today at the School for the Deaf as it's called.
[09:36.360 --> 09:39.820]  Still has the politically incorrect name, horrible.
[09:39.820 --> 09:42.440]  But my daughters are not hearing impaired.
[09:42.440 --> 09:44.280]  That's why they had a big auditorium and they were having it.
[09:44.280 --> 09:49.920]  And all four security guards are, I think they were police that I ran into or were avid
[09:49.920 --> 09:56.280]  listeners and they said, yeah, well, I'm not gonna say what they said.
[09:56.280 --> 09:59.640]  But the point is, is that that's what I encounter everywhere.
[09:59.640 --> 10:05.920]  At the park, at Barton Springs, at the mall, in a grocery store, in a parking lot.
[10:05.920 --> 10:12.720]  And again, I'm just one guy, so that's a radar sonar ping that people are waking up.
[10:12.720 --> 10:15.840]  And there are a lot of talk shows that have talked about tyranny before, but they're really
[10:15.840 --> 10:16.880]  starting to get it.
[10:16.880 --> 10:22.600]  So I've had my ear to the ground and I'm noticing the biggest tipping point right at the edge
[10:22.600 --> 10:26.600]  of it I've ever seen.
[10:26.600 --> 10:31.200]  And I have to make the realization to myself and then say it on air before I get into all
[10:31.200 --> 10:35.400]  this news so that people understand how powerful you are.
[10:35.400 --> 10:38.800]  You are the reason this radio show has been so successful.
[10:38.800 --> 10:43.040]  You resonating with our information, doing your own research, taking action, warning
[10:43.040 --> 10:46.400]  others, spreading the word about liberty and about threats to freedom.
[10:46.400 --> 10:48.200]  You have the power.
[10:48.200 --> 10:53.080]  If I can go anywhere in the world now and walk down the street and run into listeners
[10:53.080 --> 10:55.160]  everywhere.
[10:55.160 --> 10:59.920]  And if I go into a restaurant and there's a group of military and they run over and
[10:59.920 --> 11:04.440]  say, 40% of us are awake or half of us are awake and the others are waking up now, we're
[11:04.440 --> 11:06.360]  ready.
[11:06.360 --> 11:09.120]  And they're sophisticated and they know what's going on.
[11:09.120 --> 11:11.160]  What does that tell you about the new world order?
[11:11.160 --> 11:15.520]  See, you feel like you're alone because you are not Ron Paul.
[11:15.520 --> 11:19.480]  You are not an Alex Jones.
[11:19.480 --> 11:25.200]  You do not get to see what's happening and if you'll start speaking out more and if you'll
[11:25.200 --> 11:31.840]  start wearing the banner of liberty more openly, you will realize the power you've got.
[11:31.840 --> 11:40.360]  And that if we just continue to wake up others, all our job is, I was jogging, if you can
[11:40.360 --> 11:44.400]  call it that, around the hike and bike trail last night at about eight o'clock.
[11:44.400 --> 11:49.200]  And I was, sunglasses on, even though it was getting dark, some of you noticed, ball cap,
[11:49.200 --> 11:50.200]  all of it.
[11:50.200 --> 11:58.360]  And I probably had, let's not exaggerate, it wasn't even very crowded, maybe 15 people
[11:58.360 --> 12:05.080]  stopped me just recognizing, I guess, the line of my face and shoulders.
[12:05.080 --> 12:08.640]  And I would try to stop and say, okay, hey, thank you, but they would say, three or four
[12:08.640 --> 12:13.760]  of them said, you made me wake up, you made me think, you made me get outside the box,
[12:13.760 --> 12:14.760]  stuff like that.
[12:14.760 --> 12:16.960]  And I would say, that's good, cuz I don't have all the answers.
[12:16.960 --> 12:23.000]  Just be more reflective, do more research, look at the world more, study things, and
[12:23.000 --> 12:26.760]  it'll all come clear to you.
[12:26.760 --> 12:32.920]  And that's really the good message that I've got to everybody out there, is that the reason
[12:32.920 --> 12:37.360]  they haven't trumped up charges and put me in prison, the reason they haven't killed
[12:37.360 --> 12:42.480]  me is, number one, God, I know God with providence smiles upon those who stand up against overwhelming
[12:42.480 --> 12:45.240]  odds and evil, that's always happened in history.
[12:45.240 --> 12:49.560]  But also it's because a lot of people in the system are awake and just feel powerless and
[12:49.560 --> 12:53.080]  don't know what to do because it's so big.
[12:53.080 --> 13:00.080]  But also because the more evil people in the system realize, if you go back over my compendium
[13:00.080 --> 13:06.120]  of work, if you cut away the fat and the gristle, and there's plenty of that there, nobody's
[13:06.120 --> 13:07.120]  perfect.
[13:07.120 --> 13:13.240]  We have a great body of work, so there's certainly some tripping and falling and stumbling in
[13:13.240 --> 13:14.280]  that work.
[13:14.280 --> 13:18.440]  But it's been done from a place of love and history and research and trying to do the
[13:18.440 --> 13:19.440]  best job.
