[00:00.000 --> 00:05.000]  The
[00:05.000 --> 00:10.360]  Kola Blue 28 is shipped right to your home, ready to make close to 7 gallons a day right
[00:10.360 --> 00:11.520]  out of the box.
[00:11.520 --> 00:13.760]  They have a 30-day money-back guarantee.
[00:13.760 --> 00:17.520]  Call the Kola Blue right now at 866-585-4044.
[00:17.520 --> 00:20.040]  That's 866-585-4044.
[00:20.040 --> 00:24.080]  Or visit the Kola Blue at ECOLOBLUE.com today.
[00:24.080 --> 00:25.440]  See you next month.
[00:25.440 --> 00:27.560]  And thousands of people in Travis County.
[00:27.560 --> 00:32.160]  This is the GCN Radio Network.
[00:32.160 --> 00:55.400]  Once the plan is put in action, a new website, Recovery.gov, will allow any American to watch
[00:55.400 --> 00:59.840]  where the money goes and weigh in with constant questions, and I encourage every American to
[00:59.840 --> 01:00.840]  do so.
[01:00.840 --> 01:05.240]  Ultimately, this is your money, and you deserve to know where it's going and how it's spent.
[01:05.240 --> 01:09.280]  The president will sign the measure into law Tuesday in Denver.
[01:09.280 --> 01:13.840]  And Chrysler and GM are racing towards a Tuesday deadline to submit plans to show the government
[01:13.840 --> 01:17.640]  how they will become viable and repay billions in loans.
[01:17.640 --> 01:20.920]  But GM talks with auto workers have broken off.
[01:20.920 --> 01:21.920]  Here's Tom Christianer.
[01:21.920 --> 01:25.000]  They're kind of on a treadmill that really not much is being accomplished, but they're
[01:25.000 --> 01:26.400]  still talking at Chrysler.
[01:26.400 --> 01:30.800]  Ford has said it can make it through 2009 without government help.
[01:30.800 --> 01:35.120]  This is IRN USA Radio News.
[01:35.120 --> 01:38.280]  Men and women, if you've got 10 to 30 pounds or more to lose, please listen carefully.
[01:38.280 --> 01:40.080]  Guys, many of us tend to overeat.
[01:40.080 --> 01:42.540]  We eat too much red meat, fast foods and processed foods.
[01:42.540 --> 01:44.920]  This keeps the belly flabby and keeps our bodies overweight.
[01:44.920 --> 01:47.160]  Ladies, have you ever said, I feel fat today?
[01:47.160 --> 01:48.520]  Or do you have this bloated feeling?
[01:48.520 --> 01:51.640]  And how many of you have been trying to lose the same 10 to 20 pounds for years?
[01:51.640 --> 01:54.400]  There's a healthy and faster way to lose weight than any diet pill.
[01:54.400 --> 01:57.760]  It's called EverCleanse, a clinically proven weight loss and detox formula that helps you
[01:57.760 --> 02:01.960]  lose weight and get rid of the 5 to 25 pounds of waste that some experts say is trapped
[02:01.960 --> 02:04.160]  to the colon walls like spackle or paste.
[02:04.160 --> 02:06.520]  Two weeks of EverCleanse may be equal to months of dieting.
[02:06.520 --> 02:07.520]  It's simple too.
[02:07.520 --> 02:10.120]  Natural, tasteless crystals that dissolve in any food or beverage.
[02:10.120 --> 02:12.960]  EverCleanse will flatten out your midsection, reduce love handles and bellies and bloating
[02:12.960 --> 02:14.560]  have been disappearing in just days.
[02:14.560 --> 02:18.040]  You see, EverCleanse gets rid of the weight you can't take off by exercising or starving
[02:18.040 --> 02:19.040]  yourself on a diet.
[02:19.040 --> 02:21.480]  And it's not something you have to take for the rest of your life.
[02:21.480 --> 02:24.640]  Visit us at EverCleanse.com or call now to receive a very special offer.
[02:24.640 --> 02:34.960]  That number is 800-567-5598, call for your special offer, 800-567-5598, 800-567-5598.
[02:34.960 --> 02:40.420]  The Obama administration has agreed to participate in planning for a UN conference on racism.
[02:40.420 --> 02:45.640]  The State Department, however, says it will decide later on whether to attend the conference.
[02:45.640 --> 02:46.640]  Here's Carlotta Bradley.
