[00:00.000 --> 00:02.000]  Oh
[00:30.000 --> 00:51.000]  Ladies and gentlemen, young broadcasting world-wide. I'm not supposed to be on the air right now when the globalists make their move to establish world government using manufactured biological crises.
[00:51.000 --> 01:00.000]  We've been predicting this for a long time. My film in-game blueprint for global enslavement lays out this exact scenario we're now witnessing.
[01:00.000 --> 01:05.000]  Big article was written last night that we're printing right now.
[01:05.000 --> 01:25.000]  Michael McBreen at infowars.com laying all this out. We're going to be breaking it down here today, but first here's a very important report that we have just showing more of how the mainstream media is completely deceptive by design. I know that's really rhetorical, but still some are not aware of this fact.
[01:25.000 --> 01:39.000]  I do not support in any way shape or form Governor Northam's and the Democrats' gun control. What I also don't support is the fact that every news piece you've seen on this weekend, they've always brought up the issue of race.
[01:39.000 --> 01:50.000]  Congressman Virginia is on high alert this morning before a gun rights rally that local authorities fear could turn violent. We're seeing threats of violence. Virginia's governor has declared a state of emergency.
[01:50.000 --> 02:10.000]  We're seeing threats of armed confrontation and assault on our country. Now armed gun rights supporters from across the country, including some from the far right, are planning to sweep into Richmond on Martin Luther King Day.
[02:10.000 --> 02:21.000]  White supremacists are crawling the nation that all gun owners are racist and that people are planning to kill law enforcement in Virginia when conservatives and patriots have never even acted like that at a gun rally before.
[02:21.000 --> 02:37.000]  The neo-nazi group that advocates violence against minorities, far right extremists, neo-nazis, several hate groups, militia groups, these militia groups, far right militias, militia groups, white supremacist groups, white supremacists, white supremacist groups, white supremacist groups, white nationalist groups.
[02:37.000 --> 02:49.000]  They want to paint Trump supporters as neo-nazis, white supremacists.
[02:49.000 --> 03:03.000]  As though it's nothing but white, red nicks and hillbillies out here who care for the Second Amendment would actually black Americans, Asian Americans, Hispanic Americans, Americans in general, who care about the Second Amendment.
[03:03.000 --> 03:14.000]  These white politicians in leftist run cities want to take away black women's rights to protect ourselves.
[03:14.000 --> 03:21.000]  That's what they do. It's like a mascot. They put you in front and then they run their agenda.
[03:21.000 --> 03:28.000]  When you look at the history of gun control, it was used to take away guns from minorities and the black men and women who just wanted to protect their family.
[03:28.000 --> 03:35.000]  If anything, you would want black men and women to be able to protect their families from anybody trying to break in.
[03:35.000 --> 03:43.000]  It all started with them taking away our guns. You can't protect yourself. It's fine for the police to protect you, but what if they can't get to you fast enough?
[03:43.000 --> 03:53.000]  Much of gang members storming into a jewelry store shot your fire right there. The woman behind the counter opened fire. Who are they running back?
[03:53.000 --> 04:01.000]  Listen, if they steamroll the Second Amendment, they'll steamroll everything else. Simply, we just want to hold on to our rights to protect ourselves.
[04:01.000 --> 04:07.000]  We're definitely here to show this unity because the media will play and act like we don't deal with each other very well.
[04:07.000 --> 04:11.000]  We won't come together, but you can look around and not see people from all walks of life today.
[04:11.000 --> 04:19.000]  I'm here because I love this country and if the Democrats are able to do away with the Constitution, a temporary ban on the Constitution, come on.
[04:19.000 --> 04:22.000]  Never heard of. Everyone should be terrified of that.
[04:22.000 --> 04:26.000]  You need to be prepared to protect what's yours at all times.
[04:26.000 --> 04:28.000]  United, we stay. Right. Right.
