[00:00.000 --> 00:05.000] ...
[00:05.000 --> 00:10.000] ...
[00:10.000 --> 00:15.000] ...
[00:15.000 --> 00:19.000]  Infowars, tomorrow's news today.
[00:19.000 --> 00:47.360]  It was 16 months ago that the head of the UN's Global Rapid Response Force,
[00:47.360 --> 00:54.840]  said the goal is to go into the homes and take people out who might have COVID and take them
[00:54.840 --> 01:00.680]  to emergency centers and to see the image of vans and basically paramilitary stormtroopers dressed
[01:00.680 --> 01:08.120]  up in medical gear as a cover, disappearing all of their political enemies. Then ventilators,
[01:08.120 --> 01:12.560]  ventilators, ventilators, as the murderous governor of New York said, he will be intubated
[01:12.560 --> 01:17.560]  and murdered. The new guillotine is that plan. Documents came out years ago that they would use.
[01:17.560 --> 01:23.880]  This is the cover for martial law. You now see it around the world. Well, it's coming here,
[01:23.880 --> 01:30.120]  I told you, and the Democrats in California and in Michigan and in New York and other states have
[01:30.120 --> 01:37.840]  announced the Clinton Global Initiative with Google is tracking and tracing everything you say.
[01:37.840 --> 01:44.000]  They're reading your emails, your text messages, and if you tell someone via text message or email
[01:44.000 --> 01:48.760]  you have COVID, they're going to first have a lot of high-profile cases like the guy that
[01:48.760 --> 01:53.800]  sneezed on the elevator. They had a national manhunt like he was a child molester or something like
[01:53.800 --> 01:58.160]  them, and they showed that in Australia to get that image of this is the ultimate crime and
[01:58.160 --> 02:03.640]  helicopters and police dogs. They're then going to come for you and they're building giant centers
[02:03.640 --> 02:09.400]  everywhere. The CDC announced it last year. This is their permanent martial law. It doesn't matter
[02:09.400 --> 02:18.760]  if Texas and other schools, they have 2,000 students at one school, 600 are out sick. Waco
[02:18.760 --> 02:23.920]  school, one school alone, teachers in their 40s, totally healthy, dead from being intubated. They
[02:23.920 --> 02:29.160]  didn't give them ivermectin. They didn't give them steroids. It's the vaccinated that are sloughing
[02:29.160 --> 02:34.840]  it and causing it, and so last year was an overblown hoax. This year is completely real as the
[02:34.840 --> 02:40.520]  scientists predicted here. They're spreading it, and it's an impossible enemy to ever beat. They've
[02:40.520 --> 02:48.760]  released synthetic viruses, prion crystals that cause cancer and so much more. They're not just
[02:48.760 --> 02:53.720]  like a carcinogen. They go in and grow cancer in your body, and they just admit it in the news. Oh,
[02:53.720 --> 02:59.240]  yeah. The shot gives you cancer. No big deal. You'll get stage 4 and die. Just in the news. Yeah,
[02:59.240 --> 03:05.240]  your uterus will be cut out. You'll get lymphatic cancer. No big deal. No big deal. Just in the
[03:05.240 --> 03:10.280]  news. No big deal. And just the U.N.s coming to take you out of your house. No big deal. And so
[03:10.280 --> 03:14.120]  they did it. They killed us. It's here. They're going to blame the unvaccinated for all the mass
[03:14.120 --> 03:19.400]  death now happening. We already have more deaths happening today than we had last winter, supposedly
[03:19.400 --> 03:23.720]  during the peak of this crap. They were really counting everybody else dying of the flu or heart
