[00:00.000 --> 00:29.000]  Music
[00:29.000 --> 00:33.000]  News, Politics, Cover-ups, Government Corruption.
[00:33.000 --> 00:36.000]  You're listening to We the People Radio Network.
[00:36.000 --> 00:38.000]  WTPRN.
[00:40.000 --> 00:43.000]  I am known for sticking to principle and not flip flopping.
[00:43.000 --> 00:46.000]  Yeah, we need a good man for presidency.
[00:46.000 --> 00:49.000]  I would guarantee that I would never abuse Haby's corpus.
[00:49.000 --> 00:52.000]  We want him to get the America we have in our head.
[00:52.000 --> 00:55.000]  The freedom message brings us together. It doesn't divide us.
[00:55.000 --> 01:01.000]  I'll say, Rand Paul is here. Waking up people everywhere.
[01:01.000 --> 01:06.000]  Rand Paul is here. Making people be aware.
[01:06.000 --> 01:08.000]  Rand Paul is here. The freedom message.
[01:08.000 --> 01:13.000]  Waking up people everywhere. Rand Paul is here. Defending liberty.
[01:13.000 --> 01:17.000]  Both for the monologue next year. Is this a doctor in the house?
[01:17.000 --> 01:22.000]  Is this a doctor in the house? Is this a doctor in the house?
[01:22.000 --> 01:28.000]  Well Houston, we have a problem. We need Rand Paul to solve them.
[01:28.000 --> 01:33.000]  Houston, we have a problem. We need Rand Paul to solve them.
[01:33.000 --> 01:36.000]  Principle, the moral principle is that of defending liberty
[01:36.000 --> 01:39.000]  and minimizing the scope of government.
[01:39.000 --> 01:42.000]  If you think the government has to take care of us from cradle to grave
[01:42.000 --> 01:45.000]  and if you think our government should police the world
[01:45.000 --> 01:50.000]  and spend hundreds of billions of dollars on a foreign policy that we cannot manage,
[01:50.000 --> 01:54.000]  you can't get rid of the IRS. But if you want to lower taxes
[01:54.000 --> 01:56.000]  and if you don't want the government to quit printing the money
[01:56.000 --> 01:58.000]  to come up with shortfall and cause all the inflation,
[01:58.000 --> 02:00.000]  you have to change policy.
[02:00.000 --> 02:05.000]  Is this a doctor in the house? Is this a doctor in the house?
[02:05.000 --> 02:08.000]  Is this a doctor in the house?
[02:08.000 --> 02:12.000]  It's a cold blue. Somebody ball out in ICU.
[02:12.000 --> 02:14.000]  They have a patient with them ripped into.
[02:14.000 --> 02:17.000]  That's the constitution with them ripped into.
[02:17.000 --> 02:20.000]  Did I miss the situation to fix it?
[02:20.000 --> 02:23.000]  In Washington, we either prohibit it or subsidize it.
[02:23.000 --> 02:25.000]  And the market should deal with it and the state should deal with it.
[02:25.000 --> 02:28.000]  We print money for it, the value of the money goes down
[02:28.000 --> 02:31.000]  and poor people pay higher prices. That is a tax.
[02:31.000 --> 02:34.000]  Wall Street is doing quite well, but the inflation tax is eating away
[02:34.000 --> 02:36.000]  at the middle class of this country.
[02:36.000 --> 02:39.000]  We need to get rid of the inflation tax with sound money.
[02:39.000 --> 02:42.000]  He's the only man called a happy country.
[02:42.000 --> 02:45.000]  And when him come and help our Halloween people,
[02:45.000 --> 02:47.000]  I know you'll have to vote for him.
[02:47.000 --> 02:49.000]  I am absolutely opposed to a national ID card.
