[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[00:18.000 --> 00:40.000]  Alright folks, we are live. Thank you so much for joining us on this Sunday edition. It is the ninth day of October 2011 and I am energized despite the fact I'm physically tired.
[00:40.000 --> 00:55.000]  Friday in Dallas for a in the Fed protest, actually going after the true problem in this country, the money laundering globalist insiders that control the issuance of currency and credit and they're setting up this undemocratic world government.
[00:55.000 --> 01:11.000]  Amazing turnout up there, I'd say 400 people, about 300 or more showed up at the in the Fed in Houston and even though it was in the rain, probably about 120 down in San Antonio today, though it was raining cats and dogs down there.
[01:11.000 --> 01:25.000]  I guess symbolic God trying to wash away the filth of the private Federal Reserve and it was it was interesting that the police came out about an hour and a half into it and said the Federal Reserve is called and complained and asked that you get off their private property.
[01:25.000 --> 01:40.000]  And I said, officers, please say that on tape. This is federal. I said, they said, no, it's, it's, you know, that police say on tape this Federal Reserve is not federal. And they said, no, it's not. It's private. And they're asking to get off their private property.
[01:40.000 --> 01:55.000]  And we said, of course, you know, we want to let the mafia have this organization that looks like a government building and has all these fake federal seals on it and calls itself the Federal Reserve, and we'll get off their property and go to the sidewalk.
[01:55.000 --> 02:10.000]  And the police were smiling and laughing with us. In fact, Rob do is here right now dumping all the hours of protest and demonstration video down. And that's the first clip he's going to have ready for radio listeners and prison planet dot TV viewers.
[02:10.000 --> 02:24.000]  That is coming up later, probably the second hour today. We'll play some clips that haven't been seen yet from some of the demonstrations out there. And he's also going to post at prison planet dot TV, some of that, and also at our YouTube channel.
[02:24.000 --> 02:34.000]  And a lot of the instant uploads we did via iPhones that aren't the highest res are already up on the YouTube channel and at prison planet dot TV from the field.
[02:34.000 --> 02:47.000]  But we're also going to be posting a lot of high res stuff to prison planet dot TV and of course on info wars, nightly news throughout the week.
[02:47.000 --> 02:57.000]  We'll be here covering all of that. Okay, I want to come back from break because what I thought was going to happen is now happened.
[02:57.000 --> 03:05.000]  Exactly as I saw it wasn't hard to see that happening. The establishment always tries to divide and conquer always tries to balkanize.
[03:05.000 --> 03:12.000]  And then because of their divide and conquer you're basically forced to respond to them and what they've done.
[03:12.000 --> 03:23.000]  And there is no doubt now that the establishment from the beginning has tried and in some cases failed others succeeded in co-opting the Occupy Wall Street movement.
[03:23.000 --> 03:30.000]  That's why we have headlines here Occupy Wall Street finds sympathy from the Federal Reserve Chairman because it's all this nebulous.
[03:30.000 --> 03:41.000]  The 1% is making too much money 40% of the wealth and on and on and on and we need higher taxes to get the wealthy people driving in listening to the local affiliate.
[03:41.000 --> 03:48.000]  We're on 590am. I heard a woman talking about we need to tax small businesses more because that'll help the economy.
[03:48.000 --> 03:55.000]  I mean they have no idea how reality operates and that's exactly how the banksters manipulate people.
[03:55.000 --> 04:11.000]  So I want to speak to the Tea Party people. I want to speak to the Occupy Wall Street people and I know it's fun to fight with each other and get into tribal warfare and say cowboys versus redskins, Chevy versus Ford, Pepsi versus Coca-Cola.
[04:11.000 --> 04:19.000]  Good guys versus the bad guys, cowboys and Indians. Don't pick aside whether you're for the cowboys or the Indians here.
[04:19.000 --> 04:27.000]  The cowboys and the Indians are all getting stuff put in their water, all getting our pension funds destroyed, all having our currency devalued.
[04:27.000 --> 04:29.000]  We're all under attack.
[04:29.000 --> 04:43.000]  So no matter if you see the Republicans as the Indians, the cowboys as the good guys, the bad guys, whether you see the Indians as the good guys, the bad guys, let's just get off all of this fighting with each other.
[04:43.000 --> 04:59.000]  Let's talk about the reality. We'll also take your phones throughout the transmission. It's in the Fed. Stay with us.
[04:59.000 --> 05:03.000]  You may be arrested and your subject to other police action.
[05:03.000 --> 05:08.000]  tyranny is here. The grim future foretold in 1984 has become reality.
[05:08.000 --> 05:10.000]  It really says that the state is God.
[05:10.000 --> 05:16.000]  The United States is now recognized globally as one of the most impressive police states on earth.
[05:16.000 --> 05:22.000]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[05:22.000 --> 05:28.000]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[05:28.000 --> 05:43.000]  Police State 4 chronicles the sickening depths to which our republic has fallen. Prepare to enter the secretive world of emergency dictatorship, body scammers, sound cameras, citizen spies, staged terror and cameras on every street corner.
[05:43.000 --> 05:49.000]  It's only the beginning of the New World Order's hellish plan. The police state isn't coming. It's here.
[05:49.000 --> 05:59.000]  Secure your copy today at infowars.com or see it online in the highest quality at prisonplanet.tv.
[06:19.000 --> 06:41.000]  Okay, ladies and gentlemen, it is Sunday, the 9th day of October 2011.
[06:41.000 --> 06:55.000]  I'm going to be here for the next two hours as we are every Sunday from 4 to 6 p.m. Central Standard Time, that's 5 to 7 Eastern, I guess, what, 2 to 4 Pacific, 3 to 5 Mountain.
[06:55.000 --> 07:03.000]  I want to get people to get outside the left-right paradigm, outside that box, and get serious, get focused.
[07:03.000 --> 07:14.000]  I want people out there to really listen to me and to really pay attention to what I'm going to say to them, okay?
[07:14.000 --> 07:31.000]  I really want that because if we continue to allow the establishment to play us off against each other, we're going to continue to go down the same road, our republic falling apart.
[07:31.000 --> 07:49.000]  Now, I just returned from a three-day trip in Dallas, Houston, and ended it this morning in San Antonio demonstrating at the in-the-fed rallies that have been kicked off across the nation.
[07:49.000 --> 08:00.000]  There are these buildings all across the country that look like federal buildings that have federal seals on them that are private, and they're alien to our country.
[08:00.000 --> 08:10.000]  They arrived in 1913 and since then have transferred a large portion of the country's wealth to offshore banks.
[08:10.000 --> 08:17.000]  Our middle class has shrunk in the last 30 years directly under the policies of this group.
[08:17.000 --> 08:26.000]  Now, they are not free market. They are what you call crony capitalist or monopoly capitalist. They do not like regular capitalism.
[08:26.000 --> 08:37.000]  Here's an example of crony capitalism. General Electric finances Obama along with Wall Street powerhouses four to one, his Republican challenger.
