[00:00:00.000 --> 00:00:07.000]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:00:10.000 --> 00:00:22.000]  Waging war on corruption, crashing the lies and disinformation, Monday through Friday from 11 to 2 Central and back from 9 to midnight as well.
[00:00:22.000 --> 00:00:35.000]  A couple weeks ago I covered the article, the shocking article, out of Harper's Magazine and another interview that was done of the author, My Guerrilla News Network.
[00:00:35.000 --> 00:00:39.000]  The good folks over there, he's Jeffrey Charlotte.
[00:00:39.000 --> 00:00:43.000]  Now, I've talked a lot about neo-cons, neo-conservatives.
[00:00:43.000 --> 00:00:50.000]  They're for open borders, gun control, supercomputers of Communist China, nuclear reactors in North Korea.
[00:00:50.000 --> 00:00:55.000]  They're for draconian police state legislation like Patriot Act 1 and 2.
[00:00:55.000 --> 00:01:08.000]  They have bizarre Nazi connections like the Bushes and Prescott Bush running the largest Nazi bank in the United States, Brown Brother Harriman, that controlled over half of Nazi steel production.
[00:01:08.000 --> 00:01:16.000]  The Skull and Bones with all of its bizarre activities at Yale, with all these CIA directors and three Bushes.
[00:01:16.000 --> 00:01:27.000]  I've infiltrated Bohemian Grove and videotaped the bizarre rituals that our world leaders do there, German Chancellors, British Prime Ministers, American Presidents.
[00:01:27.000 --> 00:01:31.000]  And yeah, it all sounds crazy, but it's mainstream, ladies and gentlemen.
[00:01:31.000 --> 00:01:42.000]  The Grove admitted on Trio Network in that hour-long special that aired, Secret Rulers of the World, that indeed I did sneak in and get footage of that ritual, but they're just having fun.
[00:01:42.000 --> 00:01:45.000]  I guess they were just having fun in the movie Eyes Wide Shut.
[00:01:45.000 --> 00:01:52.000]  But you have all these so-called Christian leaders involved with these organizations calling themselves Christians, but doing the exact opposite.
[00:01:52.000 --> 00:02:03.000]  We were just talking to Jeffrey Charlotte, and he was getting into how they think that Hitler's model was good, Mao's model was good, the mafia's model was good.
[00:02:03.000 --> 00:02:05.000]  They don't call themselves Christians.
[00:02:05.000 --> 00:02:06.000]  They don't call themselves Christians.
[00:02:06.000 --> 00:02:12.000]  No, it's all about Jesus, and Jesus wants a secret world government with a secret brotherhood running it.
[00:02:12.000 --> 00:02:16.000]  They call it the brotherhood, the family, all these different names, very shadowy.
[00:02:16.000 --> 00:02:24.000]  They've got a house in D.C., where we're on the radio right now, where seven to eight Congressmen live, Ash Cross connected to it.
[00:02:24.000 --> 00:02:26.000]  A lot of good Christian leaders are connected to it.
[00:02:26.000 --> 00:02:32.000]  Go over this in detail for us, Jeffrey Charlotte, please, because it's so important.
[00:02:33.000 --> 00:02:38.000]  I would also challenge folks to go to your website, killingthebuddha.com, about your upcoming book.
[00:02:38.000 --> 00:02:47.000]  Please break it down for us what the brotherhood is, or the family, as they call it, how they operate, how it was founded, and all these shadowy connections.
[00:02:47.000 --> 00:02:48.000]  Okay.
