[00:00:03.863 --> 00:00:06.544]  First, congratulations.
[00:00:06.544 --> 00:00:08.425]  Such an obvious success story.
[00:00:08.425 --> 00:00:09.706]  People are leaving California.
[00:00:09.706 --> 00:00:11.187]  They can go to 49 other places.
[00:00:11.187 --> 00:00:12.868]  They're coming to your state.
[00:00:12.868 --> 00:00:16.030]  That is an endorsement of the way you're running it, obviously.
[00:00:16.030 --> 00:00:18.171]  So, sincere congratulations.
[00:00:18.171 --> 00:00:19.151]  But I do have a question.
[00:00:19.151 --> 00:00:26.936]  We've seen this across the country, where people flee a collapsing, crummy state and then wreck the state they go to.
[00:00:26.936 --> 00:00:27.996]  Are you worried?
[00:00:27.996 --> 00:00:29.077]  Totally sincere question.
[00:00:29.617 --> 00:00:36.340]  That all these Californians will bring their values and degrade the state of Texas.
[00:00:36.340 --> 00:00:55.547]  Tucker, this is the number one question I get from fellow Texans all the time when they see all of these headquarters relocate from California to Texas and I have great news for them and that is these relocations are not going to change the politics in Texas and we have mathematical proof for it.
[00:00:56.047 --> 00:01:01.290]  Two years ago, I was on the ballot at the same time that Ted Cruz and Beto O'Rourke were on the ballot.
[00:01:01.290 --> 00:01:08.193]  We did an exit poll asking people after they left the polls, did you vote for Ted Cruz or did you vote for Beto O'Rourke?
[00:01:08.193 --> 00:01:12.435]  And then we asked him, have you moved from California or are you a native-born Texan?
[00:01:12.435 --> 00:01:13.856]  The results of that poll showed
[00:01:14.216 --> 00:01:19.220]  That 58% of the people who moved from California voted for Ted Cruz.
[00:01:19.220 --> 00:01:40.595]  Interestingly, that almost identically matches a separate poll that was taken, also an exit poll from that same election, that showed that 57% of the people who moved from California voted for Ted Cruz, and both of those polls match a study that was done a couple of years before that, that asked Californians that came to Texas, are you conservative or are you liberal?
[00:01:41.775 --> 00:01:45.877]  57% of the people who moved from California said they were conservative.
[00:01:45.877 --> 00:01:49.158]  27% of the people who moved from California said they were liberal.
[00:01:49.158 --> 00:01:51.759]  And there are reasons for this, Tucker.
[00:01:51.759 --> 00:02:03.104]  And that is that if people like big government, if they like high taxes, if they like more regulations, they're going to stay in California and the last place they would come to is the state of Texas.
[00:02:03.524 --> 00:02:21.170]  But Tucker, I need to add this, because I talk to CEOs every single week, and I listen to their concerns, whether they're coming from California or New York or some other state, and they've added a new reason this year why they're coming to the state of Texas and leaving these other states, and that is because of the lack
[00:02:21.790 --> 00:02:21.830]  of
[00:02:40.376 --> 00:02:43.397]  May I interrupt you?
[00:02:43.397 --> 00:02:44.838]  I think you make really strong points.
[00:02:44.838 --> 00:02:46.098]  Those are clearly true.
[00:02:46.098 --> 00:02:48.759]  But there's another factor that's never considered.
[00:02:48.759 --> 00:02:52.721]  Texas is a great place in part because it's a very religious state.
[00:02:52.721 --> 00:02:53.641]  No one ever says that.
[00:02:53.641 --> 00:02:57.163]  But you go to Dallas and people are doing Bible study at Starbucks.
[00:02:58.411 --> 00:03:01.717]  The truth is there are massive cultural differences.
[00:03:01.717 --> 00:03:06.886]  You're getting a lot of people with left-wing social values moving into your state.
[00:03:06.886 --> 00:03:09.811]  They've already completely wrecked Austin, as you well know.
[00:03:09.811 --> 00:03:10.833]  You're not concerned about that?
[00:03:12.597 --> 00:03:22.762]  I'm not, again, in part because of the studies and also in part because of the thousands of Californians that I have personally dealt with that have come to the state of Texas.
[00:03:22.762 --> 00:03:33.108]  It's the Californians that they believe in God, they believe in guns, and they are so excited about coming to the state of Texas and getting a gun that they couldn't have in California.
[00:03:33.108 --> 00:03:40.852]  And so it's the people who want to re-engage with their faith, the people who want to have guns, the people who believe in fossil fuel.
[00:03:41.192 --> 00:03:47.295]  And they're trying to get away from the hostile positions of California against all of those issues.
[00:03:47.295 --> 00:03:49.296]  And so there is a reason why they're coming here.
[00:03:49.296 --> 00:03:54.818]  But also remember this, Tucker, there are some people who are actually leaving Texas and going to California.
[00:03:54.818 --> 00:03:57.679]  So we have kind of a trade deal going here.
[00:03:57.679 --> 00:04:02.401]  The liberals are leaving Texas and the conservatives are coming from California to Texas.
[00:04:02.401 --> 00:04:03.402]  I hope that's true.
[00:04:03.402 --> 00:04:06.263]  I should say, and this is a full disclosure, I am from California.
[00:04:06.903 --> 00:04:11.124]  I'd be very wary of letting people like me in, but good luck.
[00:04:11.124 --> 00:04:13.624]  We're certainly, if Texas goes, then we're done.
[00:04:13.624 --> 00:04:15.925]  So, please, keep an eye on that.
[00:04:15.925 --> 00:04:17.045]  Governor, great to see you tonight.
[00:04:17.045 --> 00:04:18.185]  Thank you.
[00:04:18.185 --> 00:04:25.487]  Thank you, Tucker.
[00:04:25.487 --> 00:04:32.428]  And it's time for humanity to stand up in the info war and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:04:32.428 --> 00:04:34.509]  You better believe you've got one!
[00:04:36.721 --> 00:04:41.806]  From the front lines of the Information War, it's Alex Jones.
[00:04:58.812 --> 00:05:03.054]  Inflation is here, and many experts believe hyperinflation could be coming.
[00:05:03.054 --> 00:05:06.656]  Especially if the globalists are successful in killing the dollar.
[00:05:06.656 --> 00:05:11.919]  Tens of millions of Americans that were not awake are now beginning to store food.
[00:05:11.919 --> 00:05:18.263]  That's a good thing, but it's going to drive up prices, and we're already beginning to see record sales once again.
[00:05:18.723 --> 00:05:22.165]  We the people understand it's up to us to protect ourselves.
[00:05:22.165 --> 00:05:24.446]  It's up to us to become self-sufficient.
[00:05:24.446 --> 00:05:32.290]  The globalists are waging siege against us, trying to destroy our businesses, trying to bankrupt our families, our towns, our churches.
[00:05:32.290 --> 00:05:36.572]  That's why, while we still can, we've got to get prepared and get ready.
[00:05:36.912 --> 00:05:48.656]  Take advantage of a huge final mega sale before prices go up at preparewithalex.com and save up to $850 off the highest quality storable foods out there.
[00:05:48.656 --> 00:05:57.960]  You've got until Friday, January 8th to get your orders in at preparewithalex.com and lock in the lowest prices out there on high quality storable food.
[00:06:10.479 --> 00:06:11.580]  Big Brother.
[00:06:11.580 --> 00:06:13.401]  Mainstream media.
[00:06:13.401 --> 00:06:15.263]  Government cover-ups.
[00:06:15.263 --> 00:06:17.004]  You want to stop tyranny?
[00:06:17.004 --> 00:06:18.645]  Well, so does he.
[00:06:18.645 --> 00:06:23.309]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:26.360 --> 00:06:34.687]  Ladies and gentlemen, we are live, broadcasting worldwide on December 31st, 2020.
[00:06:34.687 --> 00:06:40.011]  I'll see you on the other side in the year 2021.
[00:06:40.011 --> 00:06:42.333]  Sounds like a science fiction headline, doesn't it?
[00:06:42.333 --> 00:06:42.814]  But we're here!
[00:06:44.383 --> 00:07:04.979]  The year 2021 is only hours away, and we have a powerful corporate world government trying to put in our bodies a mutagenic compound made up of human genomes and jellyfish genomes, just in the Pfizer vaccine alone, to reprogram the entire body.
[00:07:09.619 --> 00:07:11.200]  Now, what is this?
[00:07:11.200 --> 00:07:27.767]  Well, this really is the equivalent of an intruder cell with an entire genome of multiple species, a chimera, a chimera clone of a human and a jellyfish, coming in and assimilating your entire body.
[00:07:27.767 --> 00:07:31.989]  The jellyfish is a hive organism, a colony organism.
[00:07:33.183 --> 00:07:40.745]  It's a colony organism of human genomes going in and taking over every cell that replicates in your body.
[00:07:40.745 --> 00:07:49.066]  Only thing that will be the original you when it's done is the cells in your eyes and in the eggs in a woman's ovaries.
[00:07:49.066 --> 00:07:55.628]  All other cells are to be taken over.
[00:07:55.628 --> 00:07:57.428]  And it's all happening in the year 2021.
[00:07:57.428 --> 00:08:01.529]  It didn't come from some distant
[00:08:05.166 --> 00:08:07.027]  Galaxy.
[00:08:07.027 --> 00:08:12.431]  It didn't come from some distant star.
[00:08:12.431 --> 00:08:18.374]  It didn't come from some faraway planetary system.
[00:08:18.374 --> 00:08:21.476]  It came from the mad scientist here on our planet.
[00:08:21.476 --> 00:08:24.158]  But it is as alien as a Martian.
[00:08:24.158 --> 00:08:27.340]  It's as alien as somebody from Pluto.
[00:08:27.340 --> 00:08:33.964]  It's as alien as some single-cell organism in some planet orbiting Alpha Centauri or Betelgeuse.
[00:08:46.522 --> 00:08:49.403]  Cell intruder MRNA.
[00:08:49.403 --> 00:08:53.685]  Human cell.
[00:08:53.685 --> 00:08:56.666]  Inject.
[00:08:56.666 --> 00:08:58.447]  MRNA.
[00:08:58.447 --> 00:08:59.847]  Takeover.
[00:08:59.847 --> 00:09:02.088]  Assimilation completed.
[00:09:02.088 --> 00:09:06.210]  Now it looks like a human cell, but now it's owned by Microsoft.
[00:09:07.705 --> 00:09:11.867]  Which really owns large stock in all the big pharma companies.
[00:09:11.867 --> 00:09:12.887]  Simulation complete.
[00:09:12.887 --> 00:09:19.589]  Cell MMRA imitation cell now continues takeover.
[00:09:19.589 --> 00:09:22.611]  It only uncloaks to fire its messenger RNA in.
[00:09:22.611 --> 00:09:26.652]  Fixover.
[00:09:26.652 --> 00:09:34.095]  And continues the process until every cell in your body has now been reprogrammed by your new doctor.
[00:09:34.095 --> 00:09:36.536]  Bill Gates.
[00:09:39.266 --> 00:09:44.529]  So that's the year 2021.
[00:09:44.529 --> 00:09:56.437]  Again, if flying saucers landed, like Mars Attacks, and little green men with eggheads came toddling off and firing at us with ray guns, we'd whip their butts.
[00:09:56.437 --> 00:10:04.842]  We'd all unify like a team of heavily armed army ants, and we would destroy them.
[00:10:04.842 --> 00:10:08.385]  No matter how many of us died, we'd win, because it'd be a big frontal assault.
[00:10:09.206 --> 00:10:27.240]  But when it comes from the UN and Davos Group, and the globalists, and it's the Save Us, and oh, it comes out of Wuhan, and Fauci and Gates ran the whole thing, but they always say the devil is in the old details.
[00:10:27.240 --> 00:10:29.221]  Oh, more deaths, by the way.
[00:10:29.221 --> 00:10:38.949]  Deaths in Spain, deaths in Israel, deaths in Switzerland, deaths, deaths, deaths from the new mRNA genetic takeover systems.
[00:10:42.113 --> 00:10:47.456]  Folks are taking it and they're dead in a couple hours.
[00:10:47.456 --> 00:11:05.005]  Well, hell, it's in the major medical studies that a lot of babies, especially preemies, they end up dying when they're given their vaccine.
[00:11:05.005 --> 00:11:08.126]  And the nurses have to fight with the bioethics board that runs the hospital.
[00:11:08.126 --> 00:11:09.607]  You don't know what bioethics are.
[00:11:09.607 --> 00:11:11.148]  You might want to find out about these boys.
[00:11:13.454 --> 00:11:19.078]  The whole study of bioethics is just a field they created.
[00:11:19.078 --> 00:11:22.000]  Biological ethics, that's why they call us human resources.
[00:11:22.000 --> 00:11:22.860]  It's all hidden in plain view.
