[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[00:30.000 --> 00:46.000]  Alright my friends, we have Obama in the next week and a half set to sign the UN Treaty.
[00:46.000 --> 00:51.000]  I'm going to try to ram it through the Senate to register and then begin banning our firearms.
[00:51.000 --> 01:09.000]  I did a special program Thursday reading from the UN Treaty and from the implementers at UNIDR where they openly state their plan is to disarm individuals completely and then countries only have the UN armed.
[01:09.000 --> 01:19.000]  And I'm sure that you noticed just with clockwork magically there was a mass shooting at the premiere of the Dark Knight Rises.
[01:19.000 --> 01:29.000]  There are mentally ill people in society. Generally they're on Xanax or Luvox or Prozac and it's coming out that he was on psychotropic drugs.
[01:29.000 --> 01:36.000]  Supposedly if you can believe any of this. And it is possible this could have been done by a lone nut.
[01:36.000 --> 01:46.000]  The problem is all the witnesses that I've seen on television and that six of them so far said that there were multiple people in there and that somebody let him in
[01:46.000 --> 01:56.000]  and that there were tear gas canisters coming from smoke bombs from both from opposite sides. This was so coordinated.
[01:56.000 --> 02:05.000]  And then there's another big problem. Operation Ajax, Operation Gladio and a bunch of other operations that NATO and the US government carried out.
[02:05.000 --> 02:09.000]  But the Russians have been caught doing stuff like this. So have the Israelis.
[02:09.000 --> 02:23.000]  Where you go in and shoot up a movie theater and then blame on mentally ill Patsy. In fact, Operation Northwood's a joint chiefs of staff plan even describes how to do this in DC, Maryland and Florida was their plan.
[02:23.000 --> 02:33.000]  But Kennedy said no. And that's a long time ago. So I thought I'd get into some of the more modern army field manuals that teach the officers.
[02:33.000 --> 02:39.000]  Only officers get these who are in special operations, how to stage a terror attack, how to launch a false flag.
[02:39.000 --> 02:45.000]  And the argument is, well, the enemy's doing this. And so we've got to be more evil than the evil.
[02:45.000 --> 02:52.000]  Got to guard the good with the bodyguard of lies. That's kind of an unjustifies the means way. And that's how they get people into selling out.
[02:52.000 --> 03:03.000]  And it's done across the board. Narcotics, trafficking, child kidnapping, sex, slavery, all publicly run publicly. It comes out. They grow the opium, run the run the little kids, steal the trillions.
[03:03.000 --> 03:10.000]  And it's patriotic in America to just say, well, that's that's what you do. Well, it's going to be done to you, America.
[03:10.000 --> 03:25.000]  If they have a drone and it kills 20 people or some cases, 200 people, they say, well, it's collateral damage. But they don't care about collateral damage overseas in countries that we haven't even declared war on.
[03:25.000 --> 03:31.000]  Breaks international law as well. The Geneva Convention, Nuremberg Code.
[03:31.000 --> 03:40.000]  We're like, yeah, we killed 227 people at this wedding, but we killed the one bad guy. No judge, no jury. It's like, well, just women and kids. But then when there's 12 dead in America.
[03:40.000 --> 03:47.000]  Oh, it's so sad. It's so horrible. Oh, we better get up all our eyes right now.
[03:47.000 --> 03:56.000]  You know, the president of Mexico says, turn our guns and we better do it. And here's Morgan from England. He's over here telling us that he's got one of those fancy accents.
[03:56.000 --> 04:06.000]  He's more than us G in Bloomberg and ABC News and Obama's traveling there to be at the prayer vigils and suck off of it.
[04:06.000 --> 04:13.000]  Same folks at stage fashion furious that's killed over 2000 in Mexico over 200 year.
[04:13.000 --> 04:22.000]  Confirmed it's killed three border patrol agents and three cops, a lot more than that confirmed only one family's made a hubbub out of it though and sued.
[04:22.000 --> 04:32.000]  So you don't get any attention to that. And of course, there's not a bunch of crying over them either. It's when the system says to get upset they do and they know how to pick something for a false flag.
[04:32.000 --> 04:43.000]  I can just see him probably six months ago. Hey, we'll attack the Batman premiere. And you got people in that psych warfare department over there, drug them up, get them prepped, start shock therapy.
[04:43.000 --> 04:53.000]  Yeah, scramble their brain, get subject ACQ ready to launch for he'll take the fall as the Patsy. Get that up, go and bring in foreign assets to do it.
[04:53.000 --> 05:14.000]  We'll get their guns one way or another.
[05:24.000 --> 05:40.000]  Call 800-340-7091 for a free catalog by the one to two month sample package and enjoy soaps that are twice as good as what you're using now or save big with a one to two year supply of soaps for all your cleaning needs.
[05:40.000 --> 05:47.000]  This is an amazing deal. You can save thousands of dollars and you will love the way real soap makes you feel.
[05:47.000 --> 05:55.000]  See them on the web at fivestarsoap.com or call 800-340-7091 for a free catalog.
[06:18.000 --> 06:39.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[06:39.000 --> 06:53.000]  It is Sunday, the 22nd day of July 2012. We are going to be live here for the next two hours as we are every Sunday, four to six central five to seven eastern.
[06:53.000 --> 07:01.000]  I'll be back tomorrow, 12 noon to 3 p.m. Eastern with a weekday show that's also on channel 166XM.
