[00:00.000 --> 00:24.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:24.000 --> 00:36.000]  So are we surfing towards a new era of prosperity at Americana Worldwide, or are we surfing towards the apocalypse and thermal nuclear war triggered by the crisis on the Korean Peninsula?
[00:36.000 --> 00:42.000]  I'm your host, Alex Jones. We're going to be live here for the next four hours. Paul Watson joins us at the bottom of the hour.
[00:42.000 --> 00:48.000]  He's launching a big global initiative that we're going to break here in just about 30 minutes from now.
[00:48.000 --> 01:06.000]  I'm going to leave it at that. Also, I'm in hundreds of headlines, just as we've already told everybody, but it's now confirmed in more documents, that the number one enemy of Google, the art type that they basically chant against is Alex Jones.
[01:06.000 --> 01:12.000]  We already have undercover recordings. We already have congressional hearings where Google execs, Twitter and Facebook.
[01:12.000 --> 01:22.000]  People are like, we were stopping M4s and Paul Watson at lunch. They're like, we want him shut down. We want him for a stop. Sir, we were on it during lunch.
[01:22.000 --> 01:31.000]  It's like villains out of a cheesy cartoon or a James Bond movie. Like, I want James Bond stopped. Sir, we were working on it just before we came back in here.
[01:31.000 --> 01:36.000]  We're trying as best we can. And why? Because we've got their number.
[01:36.000 --> 01:43.000]  Not trying to make it about me. We're at the center of this because we're the art type of the individual and what they don't like.
[01:43.000 --> 01:50.000]  There it is out of New York Magazine, The Hill. Alex Jones was reportedly banned from Google.
[01:50.000 --> 02:02.000]  And other things we learned from James DeMors class action students, more than that, they have like drills and it's in the computers and they drill, fearing Jones is coming.
[02:02.000 --> 02:08.000]  And later I learned that from some of our sources when we got documents that Google is totally obsessed with us.
[02:08.000 --> 02:19.000]  And it hired a company, millions of dollars to go downvote my name, my products. When Google got caught, they said, oh, it's an accident. We're going to stop doing that.
[02:19.000 --> 02:31.000]  Why are they scared? Because they're building an AI world to dehumanize us. They're building a system and they want to start with their employees where you could be anything but heterosexual or white.
[02:31.000 --> 02:40.000]  The worst thing is a woman who has babies. And they actually call white men in the rooms and the other white men in charge, everyone chant, oh, bad white people, bad white people.
[02:40.000 --> 02:49.000]  And they have the documents. But here's the deal. You want to create a thing that's anti-human. This is all anti-human. They play us off against each other.
[02:49.000 --> 03:07.000]  The story's up on infowars.com. It is in the documents that high-level Google execs come in and announce that they are golden dragons or dragonettes, like a female dragon, and that they are also a beautiful ornate building, an expansive ornate building.
[03:07.000 --> 03:21.000]  And you say, well, that sounds insane. Like, let's pay for a woman to dump bleach in her eyes because she identifies as blind and then taxpayers pay for it. It starts with sex changes. Oh, you don't like me if you don't accept my sex change.
[03:21.000 --> 03:31.000]  Hey, cut your genitals off. It's a free world. I'm a libertarian. I'm not paying for your nose job. I'm not paying for you to have a lizard tail added on. I'm not paying for your body modification.
[03:31.000 --> 03:42.000]  I'm not criticizing it. Somebody modifications quite nice. The point is, is that you can do what you want. But then saying, I've got to pay for it.
[03:42.000 --> 03:54.000]  What they're saying is I'm transphobic. And they started with humans, men going to women, women going to men. And now it's, well, identify as a beautiful ornate building or as a golden female dragon.
[03:54.000 --> 04:04.000]  So this is a cult. It's not even insane people. They're teaching insanity as a program. And they know I've got their number. And if people listen to me, it's over.
[04:04.000 --> 04:15.000]  Now, that's only the tip of the iceberg. Paul Watson's coming up on that. Incredible. Trump, it's now been announced, is planning to go to Davos to face the globalist down at point blank range, face to face.
[04:15.000 --> 04:26.000]  So we are sending crew to Davos. We won't obviously pay the $100,000 to get in. Maybe we should and let him refuse us. You know what? Maybe I should go to Davos.
[04:26.000 --> 04:34.000]  You know, I hardly ever put myself in the field these days. I do so much more in the digital command base. But we're going to Davos. That's happening.
[04:34.000 --> 04:45.000]  Trump is cheered at the championship college game between Georgia and Alabama cheered. But then they focus on individuals saying FM and a few billing and say, Trump was booed.
[04:45.000 --> 04:58.000]  Trump is aided. Trump's a failure. The economy's in floating. So that's all coming up as well. A jam-packed transmission. Please share all the different live links.
[04:58.000 --> 05:01.000]  Mike in Arizona here on the air worldwide. Go ahead.
[05:01.000 --> 05:13.000]  Oh, Alex, you can rent any day of the week. Thank you, sir, for doing what you do and being a patriot and doing your best to save America and encouraging us as fellow patriots to do that in our local areas as well.
[05:13.000 --> 05:22.000]  And as a longtime InfoWars listener, I want to say thanks for the awesome brain force, Anthroplex. My girlfriend would like to say thanks for the Anthroplex.
[05:22.000 --> 05:23.000]  Thank you.
[05:23.000 --> 05:36.000]  I use the BioTrue Selenium, the Super Blue toothpaste for you folks who are big normal toothpaste fans. The Super Blue is awesome. And thank you so much, Alex, for the InfoWars live products. They are quality. I can't wait to get some more.
[05:36.000 --> 05:39.000]  And thank you so much for doing that for us to keep us healthy.
[05:39.000 --> 05:40.000]  Absolutely.
[05:40.000 --> 05:54.000]  Because then we could all, as educated patriots, help our other countrymen and women understand that there's bigger problems going on. And if we can get our houses in order and be good to each other and ourselves, we can take our country back.
[06:10.000 --> 06:15.000]  Coming to you live from the front lines of the InfoWars.
[06:41.000 --> 06:56.000]  This is going to be a momentous transmission as we accelerate towards the singularity, not the singularity that the globalists have envisioned, but the true singularity, oneness with the mind of God.
[06:56.000 --> 07:01.000]  The planets align and more and more happens in a day than happened in the previous week.
[07:01.000 --> 07:10.000]  Then more happens in a month than happened in the previous five years. And then more happens in the next year than happened in the previous 50.
[07:10.000 --> 07:20.000]  And then more happens in the next year than happened in the previous 100. And then a thousand. And then 10,000. This is the great acceleration.
[07:20.000 --> 07:28.000]  And there's going to be horrible things that are going to happen. There's going to be incredibly good things that happen. It's going to be mind blowing.
[07:28.000 --> 07:34.000]  So strap yourselves in, ladies and gentlemen, reality is the real trip.
[07:34.000 --> 07:36.000]  Reality is the real excitement.
[07:36.000 --> 07:44.000]  Reality is the real show, and each of us are not spectators, but we are on the field.
