[00:00.000 --> 00:21.480]  Waging war on corruption, it's Alex Jones, coming to you live from the front lines of
[00:21.480 --> 00:46.480]  the Info War. To have microchip identification devices implanted into their body.
[00:46.480 --> 00:59.480]  Got a long line of heartache I carry it well. The list of lives I've broken reach from here to hell.
[00:59.480 --> 01:15.480]  Bad luck when been blowing at my back. I pray you don't look at me, I pray I don't look back.
[01:15.480 --> 01:25.480]  Alright, we are live. It is the final day of the first month of 2017.
[01:25.480 --> 01:34.480]  We're now 10 days into the Trump era and it couldn't really get any better than this when it comes to him delivering.
[01:34.480 --> 01:40.480]  Obviously, big Supreme Court pick coming this evening by the president, another big announcement.
[01:40.480 --> 01:47.480]  His energy, his focus, just dominating the globalist on every front, reversing them, not just here but on a planetary scale.
[01:47.480 --> 01:52.480]  His nationalist movements go from exploding to supernova.
[01:52.480 --> 02:01.480]  Trump has also announced that he will definitely pull out of the Paris climate deal and carbon taxes that are only leveled on Europe, Australia, the United States and Canada.
[02:01.480 --> 02:06.480]  No one else. He's pulling out of those. That will supercharge the economy.
[02:06.480 --> 02:19.480]  He says he will do a big number to Dodd-Frank that was written by private Federal Reserve shareholders openly to take over small banks and other small lending facilities and community banks,
[02:19.480 --> 02:33.480]  as well as credit unions and basically not let them loan to the public while the big megabanks gorged on trillions of liquidity, much of it, interest-free and in some cases absolutely free.
[02:33.480 --> 02:38.480]  So fighting for the little guy, fighting for Main Street, not Wall Street again.
[02:38.480 --> 02:48.480]  And a good Main Street is good for Wall Street if Wall Street doesn't want a consolidation and doesn't want a controlled system and a crony capitalist quagmire.
[02:48.480 --> 02:51.480]  That's why a lot of Wall Street is good.
[02:51.480 --> 03:00.480]  It's only the few top big ones that want a monopoly and that's why you see the markets surging $2.2 trillion.
[03:00.480 --> 03:06.480]  Unprecedented. We've got all of that to break down, just more of him telling the truth, more of Trump delivering.
[03:06.480 --> 03:11.480]  I look at all three of the gentlemen that they say are frontrunners.
[03:11.480 --> 03:22.480]  Now, I was told about a week ago from several sources that the individual they know that say is in the lead, is in the lead, but Trump can change his mind last minute.
[03:22.480 --> 03:35.480]  So we're going to see what happens today. I don't know if I'm pronouncing this fellow's name correctly, but Neil Gorsuch is the guy that I heard about weeks ago as being in the lead.
[03:35.480 --> 03:43.480]  And then I was watching Fox this morning and they were saying he's in the lead and that there's been talking points already circulated about why he's the best to a bunch of top conservative pundits.
[03:43.480 --> 03:58.480]  But look, something could come in on him any minute. One of the other individuals in the running is a judge who's been on the bench with Trump's sister.
[03:58.480 --> 04:08.480]  So who knows what's going to happen. I've looked at them all. They are worlds better than the type of people Obama would have put on the court.
[04:08.480 --> 04:14.480]  Are they perfect? Absolutely not. But I've tried to burrow in into some of their records and they're all pro-gun.
[04:14.480 --> 04:21.480]  They're all pretty much strict constructionist that don't really make comments from the bench or legislate from the bench.
[04:21.480 --> 04:32.480]  They execute according to the strict jurisprudence of our republic and even transcending that English common law.
[04:32.480 --> 04:43.480]  So looks good. Another promise kept by Donald J. Trump.
[04:43.480 --> 04:48.480]  I know that Napolitano's met like five times with Trump and it wasn't the front running.
[04:48.480 --> 04:52.480]  But Trump just said, you know, the original list didn't have you on it. I just can't do it around one.
[04:52.480 --> 04:59.480]  So there you go. Trump is pigheaded in a beautiful way. We'll be back.
[04:59.480 --> 05:06.480]  There's one ex-official that's calling on Mexico to, quote, unleash drug cartels to punish President Trump.
[05:06.480 --> 05:09.480]  He's suggesting that drugs should be allowed to flow freely into the US.
[05:09.480 --> 05:13.480]  Of course, I'm talking about former Secretary of Foreign Affairs George Castaneda.
[05:13.480 --> 05:19.480]  He's calling on Mexico to punish Trump for his actions on deporting illegals here in the US and building a border wall.
[05:19.480 --> 05:24.480]  He's suggesting that criminal cartels should be allowed to run drugs freely in the US.
[05:24.480 --> 05:34.480]  During an interview on CNN, the ex-official suggested that drug cartels could be unleashed on the US as retribution for, quote, Trump's aggressive stance toward Mexico.
[05:34.480 --> 05:38.480]  He goes on to say, Mexico has a lot of negotiating ships in this matter.
[05:38.480 --> 05:43.480]  For example, drugs that come through Mexico from South America or drugs that are produced here in Mexico all go to the US.
[05:43.480 --> 05:50.480]  This is not our problem. We've been cooperating with the US for many years on these issues because they've asked us to and because we have a friendly, trustful relationship.
[05:50.480 --> 05:56.480]  You know what, pal? That relationship does include a wall which is being built whether you like it or not.
[05:56.480 --> 06:21.480]  I'm Margaret Howe reporting for Infowars.com.
[06:26.480 --> 06:32.480]  It breaks down what really happened with the Russians and so much more, and it supports him and it supports Infowars, our whole operation.
[06:32.480 --> 06:37.480]  So it's essential that this book go to the top of the charts in the political area, if not to the very top of the charts.
[06:37.480 --> 06:41.480]  Joe Biden has come out and said world government is collapsing. They're in full crisis mode.
[06:41.480 --> 06:46.480]  Nationalist movements are exploding. Everybody needs to go pre-order, so you get it first.
[06:46.480 --> 06:56.480]  At Infowarsstore.com, the making of a president by Roger Stone. I'm Alex Jones. I'm going on airplane to go to the inaugural event with Trump.
[06:56.480 --> 07:20.480]  It is a book now, sir. The first to have it shipped to you.
[07:20.480 --> 07:28.480]  Prostagart formula does just that with its mixture of plant-based nutrients and antioxidants that help give your body total support.
[07:28.480 --> 07:37.480]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols, zinc, vitamin D3, selenium, and copper.
[07:37.480 --> 07:45.480]  Prostagart is something that the men on the Infowars crew take every day, and from our research, it's something that men should really be adding to their daily regimen
[07:45.480 --> 07:51.480]  in order to keep their body going at optimal levels. Now's the time to start naturally supporting your body.
[07:51.480 --> 08:00.480]  Get Prostagart on your side today, exclusively at Infowarslife.com. That's Infowarslife.com.
[08:00.480 --> 08:15.480]  We've got it.
[08:15.480 --> 08:20.480]  Well, we warned of it.
[08:20.480 --> 08:30.480]  Lou Dobbs warned of it. Ron Paul warned of it. I made a documentary film titled Battle for the Republic that was based on it.
[08:30.480 --> 08:43.480]  That was the prediction that there would be an attempt to break Mexico, part of Nevada, New Mexico, and even Texas away and be part of Mexico,
[08:43.480 --> 08:53.480]  or be its own autonomous state outside of Mexico, outside of the United States. And the Club of Rome, the Council on Fire and Relations,
[08:53.480 --> 09:04.480]  the TPP documents have also shown this, the NAFTA and GATT, BAMF Canada, North American Union, partnership agreements.
[09:04.480 --> 09:13.480]  It's all been covered at nauseam. Remember Lou Dobbs ten years ago, harping on it every night, having top ratings, and then getting fired from CNN?
[09:13.480 --> 09:22.480]  Remember Lou Dobbs coming on the broadcast discussing it? Because it's an admitted plan by the big foundations and the colleges to break off part of the United States
[09:22.480 --> 09:31.480]  and create a, quote, Chicano nation. Now, I was taught this at Anderson High School here in Austin, Texas in the art department.
[09:31.480 --> 09:44.480]  I took art, you know, one hour a day when I was a senior, and all it was was a America bashing fest, and of course it was an old liberal white lady that was leading it.
[09:44.480 --> 09:53.480]  And she took it to a field trip to UT, not once, but twice, where we were brainwashed for an entire day with lunches provided by the Ford Foundation
[09:53.480 --> 10:02.480]  about the Chicano nation and how white people are inherently bad and how the Southwest is going to break off and be part of Mexico or be its own state.
[10:02.480 --> 10:12.480]  This has not come from Mexicans or Hispanics. It is a totally made up cosmology developed in the 1940s and 50s by the Ford Foundation
[10:12.480 --> 10:21.480]  as a long term strategic plan to break up the United States. Now, of course, once it breaks up and becomes an autonomous zone, it's controlled by the globalist.
[10:21.480 --> 10:29.480]  They create mega regions, destroy the old nation states' rights, destroy their cultures, play people off against each other, vulcanize them,
[10:29.480 --> 10:40.480]  and then break the area into sub-states, just like you're seeing in the Middle East. This is the old game of empire, a corporate global empire coming in destroying the nation states.
