[00:00:09.150 --> 00:00:13.339]  All right.
[00:00:13.339 --> 00:00:15.523]  Ladies and gentlemen, we are live.
[00:00:15.523 --> 00:00:17.047]  We are broadcasting worldwide.
[00:00:18.080 --> 00:00:21.662]  And tomorrow is the big day here in D.C.
[00:00:21.662 --> 00:00:26.944]  We're expecting even more people than were here three weeks ago.
[00:00:26.944 --> 00:00:33.207]  And you notice in three weeks the evidence has come out of total election fraud in those five states by the Democrats and the Communist Chinese.
[00:00:33.207 --> 00:00:34.707]  Totally coordinated.
[00:00:34.707 --> 00:00:36.128]  And we'll be opening the phones up today.
[00:00:36.128 --> 00:00:38.629]  We've got some big surprise guests and more.
[00:00:38.629 --> 00:00:46.533]  But the big news that overshadows all of this and that now must have Trump come out against it because now we have the evidence.
[00:00:47.333 --> 00:00:54.037]  It's something that's been hiding in plain view for 10 months on this broadcast since late February of this year.
[00:00:54.037 --> 00:00:57.200]  10 months ago.
[00:00:57.200 --> 00:01:04.785]  Now, it's hiding in plain view, and I want to call this system dystopianism.
[00:01:04.785 --> 00:01:11.469]  You know, a dystopia is a nightmare system based on tyranny and oppression that's bad.
[00:01:11.469 --> 00:01:15.752]  And a lot of times you see dystopias in fiction or futuristic dystopic visions.
[00:01:16.954 --> 00:01:22.658]  The establishment actually finances dystopic visions because that's the vision they're building.
[00:01:22.658 --> 00:01:35.268]  But the dystopists, or the dystopians, are building a dystopia for us because it's easier to manage, and they like it, and they enjoy it, and are actually trying to tear down the egalitarian, open, free societies.
[00:01:35.268 --> 00:01:39.531]  That's why George Soros calls his group the Open Society, because he's destroying open societies.
[00:01:40.299 --> 00:01:50.346]  Because to have open societies, you've got to have independent, separate societies who then interface with each other through free will, not through cultural, spiritual, financial, genetic rape.
[00:01:50.346 --> 00:01:54.389]  So, I'm going to give you the big enchilada when we come back, ladies and gentlemen.
[00:01:54.389 --> 00:01:58.431]  The giant, trillion pound elephant in the room.
[00:01:59.386 --> 00:02:03.569]  And the end of the New World Order as we know it, and I now know exactly what's going on.
[00:02:03.569 --> 00:02:11.616]  We've been able to decipher this and have all the pieces of the jigsaw puzzle, but we're busy plopping them into place, making sure that they're the right pieces in the right spots.
[00:02:11.616 --> 00:02:15.999]  Well, there are no more pieces that have not been put in place.
[00:02:15.999 --> 00:02:18.761]  It is 100% complete.
[00:02:18.761 --> 00:02:22.184]  We are 100% dead-on accurate about this.
[00:02:22.184 --> 00:02:25.627]  And I've had a lot of people walk up to me and shake my hand here in D.C.
[00:02:25.627 --> 00:02:28.129]  this morning when I was out walking around, black, white, old gun.
[00:02:29.241 --> 00:02:31.722]  Asian, great souls.
[00:02:31.722 --> 00:02:35.202]  And when I tell them this information, their jaws drop.
[00:02:35.202 --> 00:02:37.523]  Because there's a certainty in my voice.
[00:02:37.523 --> 00:02:39.343]  Now, here's the deal.
[00:02:39.343 --> 00:02:41.684]  I already know this.
[00:02:41.684 --> 00:02:44.024]  You already know this.
[00:02:44.024 --> 00:02:52.626]  This has already been hiding in plain view in a big, big way.
[00:02:52.626 --> 00:02:54.947]  But it was from us before.
[00:02:55.956 --> 00:03:04.038]  It was us warning you, and us with scientists, and us with the scans from the electron microscopes.
[00:03:04.038 --> 00:03:11.540]  But now, ladies and gentlemen, it is out in the open, and it is now completely and totally confirmed.
[00:03:11.540 --> 00:03:14.721]  Now, you're probably wondering what I'm talking about.
[00:03:14.721 --> 00:03:19.042]  Well, we're live right now at noon Eastern, 11 a.m.
[00:03:19.042 --> 00:03:20.002]  Central Texas time.
[00:03:22.032 --> 00:03:34.425]  And later we're going to archive this video and I'm asking everyone, if you care about the future, and if you don't want to be a slave, you better listen to me and you better bust your ass.
[00:03:34.425 --> 00:03:42.493]  Because I am going to run through the streets today with proper behavior, screaming and yelling, panicking, like the body snatchers have attacked.
[00:03:43.325 --> 00:03:51.011]  Because if we just take this new news and normalize it and standardize it, it's the equivalent of the Aztecs or others normalizing human sacrifice.
[00:03:51.011 --> 00:03:54.574]  And people marched their kids up to have their hearts cut out because everybody was going along with it.
[00:03:54.574 --> 00:03:57.516]  They are trying to normalize mass extermination.
[00:03:57.516 --> 00:03:58.597]  So, get ready for it.
[00:03:58.597 --> 00:04:01.199]  I'm going to break it down when we come back.
[00:04:02.961 --> 00:04:20.366]  But you need to understand that you already, when you hear this, you already know this, but this is total, absolute, triple admission by the Australian government of what we've known from the Indian scientists and the German scientists and the African scientists and the U.S.
[00:04:20.366 --> 00:04:30.069]  scientists and the Canadian scientists and the discoverer of the HIV virus, that when you scan the COVID-19 virus,
[00:04:32.244 --> 00:04:40.487]  When you scan the COVID-19 virus, it has had five viruses cut into it, one of them HIV.
[00:04:40.487 --> 00:04:45.129]  And now, people that are taking the COVID vaccine are getting HIV AIDS.
[00:04:45.129 --> 00:04:45.649]  Boom!
[00:04:45.649 --> 00:04:46.069]  There it is.
[00:04:46.069 --> 00:04:51.871]  They're giving you a new weaponized HIV with the vaccine, not the original virus.
[00:04:51.871 --> 00:04:53.692]  I'll explain how this works when we come back.
[00:04:53.692 --> 00:04:54.012]  Stay with us.
[00:04:58.547 --> 00:05:03.630]  I've got some really exciting good news, and I've also got some bad news.
[00:05:03.630 --> 00:05:10.713]  InfoWars is getting the highest traffic we have ever gotten since the election in 2016.
[00:05:10.713 --> 00:05:23.559]  Despite all the bans, all of the system trying to censor us and suppress us, you with your word of mouth have overridden that, and they are so scared of InfoWars.com and Ban.Video, and they're so scared of you being able to communicate and share the truth.
[00:05:25.180 --> 00:05:28.722]  We're bringing in the same amount of money we brought in last December right now.
[00:05:28.722 --> 00:05:32.403]  This is our most important month to be able to fund ourselves into next year.
[00:05:32.403 --> 00:05:34.024]  And I understand the economy shut down.
[00:05:34.024 --> 00:05:35.805]  I understand there's not as much money as there used to be.
[00:05:35.805 --> 00:05:37.306]  They're trying to kill Trump's recovery.
[00:05:37.306 --> 00:05:39.487]  But InfoWars really needs your support.
[00:05:39.487 --> 00:05:52.373]  You just buy great items through your Christmas shopping at InfoWarsStore.com with huge sales, amazing products, and then you know you're funding the InfoWar and not funding Amazon and Jeff Bezos and the globalists that are openly trying to destroy small businesses.
