[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[00:08.000 --> 00:12.000]  It's Alex Jones and the GCN Radio Network.
[00:12.000 --> 00:32.000]  We're live, ladies and gentlemen. Sunday, April 18, 2010 and we're going to be live here for the next two hours.
[00:32.000 --> 00:37.000]  The information we're going to cover just gets more and more intense.
[00:37.000 --> 00:42.000]  When I tell you this is an important broadcast, those that have been listening for a long time understand and I mean it.
[00:42.000 --> 00:46.000]  But this is going to be a particularly important broadcast.
[00:46.000 --> 00:55.000]  For that reason, I'm not even opening the phones up until the second hour today.
[00:55.000 --> 01:11.000]  Bill Clinton went on CNN on Friday. He gave speeches Wednesday and Thursday saying he hopes there doesn't have to be a terror attack in America to make the Tea Party stop calling for violence, basically, which the Tea Parties are not doing.
[01:11.000 --> 01:14.000]  This is the talking point. This is the dirty trick.
[01:14.000 --> 01:25.000]  Even Rick Perry was in the Houston Chronicle Friday putting on an alert to Republicans, the governor of Texas, that Democrats may stage dirty tricks.
[01:25.000 --> 01:32.000]  We know Democratic Party operatives and others have been caught all over the nation with Nazi signs at events.
[01:32.000 --> 01:38.000]  Even Rush Limbaugh came out Friday and said Bill Clinton and his people may stage something.
[01:38.000 --> 01:44.000]  This is unprecedented. Now, they're being vague about it. We know exactly what Limbaugh is talking about.
[01:44.000 --> 01:48.000]  It was Clinton's controllers that bombed Oklahoma City in 1995.
[01:48.000 --> 01:52.000]  The evidence on that front is so voluminous it will make your head spin.
[01:52.000 --> 01:57.000]  Of course, Tim McVeigh on record said that it's going to come out that the government ran this operation.
[01:57.000 --> 02:09.000]  Now, they're airing these tapes and distorted information on MSNBC and CNN to bolster the official story of the Oklahoma City bombing in 1995.
[02:09.000 --> 02:24.000]  So, we're going to be walking through this today and separately, I have received information from two different high-level sources that are bulletproof, that are absolute bona fide.
[02:24.000 --> 02:36.000]  About things happening in Texas, and I'm not at liberty to even give the exact border sector because that will identify the military units that are down there.
[02:36.000 --> 02:50.000]  I am at liberty to tell you it's a West Texas border area with Mexico, and this is very, very dangerous information.
[02:50.000 --> 02:57.000]  I mean, you know what, I want to fight the New World Order, but I got to be honest, I'm in way over my head.
[02:57.000 --> 03:04.000]  And we take it as it comes. We do our job. We do our duty here.
[03:04.000 --> 03:16.000]  It's just, I wish this would end. I wish the New World Order would back off. I wish they would stop, but FEMA has ordered a major news service,
[03:16.000 --> 03:24.000]  public intelligence, to remove documents on national-level exercise 2010.
[03:24.000 --> 03:30.000]  That's a separate huge issue dealing with nuke attacks in the United States.
[03:30.000 --> 03:43.000]  When you understand that FEMA runs drills to cover up real terror attacks being carried out by intelligence agencies, foreign governments, and private mercenary black ops squads, it becomes even more serious.
[03:43.000 --> 03:56.000]  It is all coming up today. We'll also get into the new bank regulations that are being pushed by Obama that actually give the private banks that are robbing us more power and more money,
[03:56.000 --> 04:02.000]  more taxpayer money, we'll be breaking that down as well.
[04:02.000 --> 04:09.000]  But I don't even know what to start first with when we come back from this quick break.
[04:09.000 --> 04:15.000]  I do hours of research every day. I have it all here in front of me. In fact, give me a document cam shot of just the whole desk.
[04:15.000 --> 04:21.000]  This is just the news from yesterday and today. The intel I've got, the information.
[04:21.000 --> 04:35.000]  And I'm not complaining. I just hope people realize how dire our straits are and that it does a disservice to just cover a full spectrum because I need to just focus on one issue
[04:35.000 --> 04:40.000]  and spend two hours on it to really flesh it out for people, but then we don't have that luxury of time.
[04:40.000 --> 04:50.000]  So I will try to be as brief and focused and detailed as I can on the other side of this quick break.
[04:50.000 --> 04:59.000]  But these are the times that try men's souls. There's no doubt criminal elements of the government are preparing to stage terror attacks and blame on the American people.
[04:59.000 --> 05:06.000]  Hi, this is Alex Jones. Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[05:06.000 --> 05:11.000]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[05:11.000 --> 05:17.000]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible that could even happen again.
[05:17.000 --> 05:22.000]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[05:22.000 --> 05:29.000]  They call it a survival seed bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[05:29.000 --> 05:37.000]  And here's the best part. These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full-acre crisis garden.
[05:37.000 --> 05:47.000]  So visit them today at survivalseedbank.com. That's survivalseedbank.com, or give them a call at 877-327-0365.
[05:47.000 --> 05:59.000]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item. This is Alex Jones for survivalseedbank.com.
[06:17.000 --> 06:25.000]  And now, live from Austin, Texas, Alex Jones.
[06:25.000 --> 06:34.000]  Laging war on corruption, crashing through the lives and disinformation. I am Alex Jones. It is Sunday, April 18, 2010.
[06:34.000 --> 06:49.000]  Okay, if you're a new listener, or if you're somebody who's tuned in on AM and FM stations, or satellite, or shortwave, or internet, over time, and you think that we're joking around on this show,
[06:49.000 --> 06:58.000]  you think that we're exaggerating, you think this is a conspiracy theory that is discussed on this radio broadcast, it is a conspiracy theory.
[06:58.000 --> 07:11.000]  It is conspiracy fact. And I want all of you to listen very carefully to what I'm going to say, because it's getting late for this country and this republic.
[07:11.000 --> 07:21.000]  I want you to listen to me very carefully. I'm not going to take any calls during the first hour because I have so much vital news to cover.
[07:21.000 --> 07:35.000]  Number one, we have law enforcement sources. And when I get up here and I tell you I have law enforcement and military sources, I'm not tuning my horn when I point out all the national news stories we've broken.
[07:35.000 --> 07:41.000]  I'm simply pointing out for people that want to go look it up to find out that we are the progenitors of it.
[07:41.000 --> 07:58.000]  The clergy response teams, two years before it was declassified, tens of thousands of preachers trained to tell their flocks in a secret CIA FEMA program that guns are bad, that the Second Amendment's bad, and that during emergencies we need to go to FEMA camps.
[07:58.000 --> 08:10.000]  The Mayak and Homeland Security reports of January of 2009 where patriots, conservatives, gun owners, returning veterans are listed as the number one enemies of the government.
[08:10.000 --> 08:16.000]  We got those secret documents from two separate state and federal law enforcement sources.
[08:16.000 --> 08:22.000]  And for a week, people couldn't even believe it was real, including my friend Ron Paul.
[08:22.000 --> 08:30.000]  I got a call from his office about it three days into it. They couldn't even believe it. Then it was on Fox, CNN, everywhere, and was confirmed.
[08:30.000 --> 08:37.000]  We do not make things up here, okay? And we've broken hundreds of other major stories.
[08:37.000 --> 08:50.000]  And most of the time I'm so busy when I get a document or material, I don't even have time to track it down, or if I can't 100% confirm it, we shred it and throw in the trash and delete it.
[08:50.000 --> 08:56.000]  This is very dangerous, the situation we're in.
[08:56.000 --> 09:05.000]  Now, it had to be five, six months ago, we started getting calls on air from West Texas and South Texas towns that Mexican troops were over the border.
[09:05.000 --> 09:10.000]  The Minutemen got video of it.
[09:10.000 --> 09:22.000]  I called several sheriffs, some of which we've interviewed before, but I don't want to give out names here and say exactly these sheriffs we talked to because they want this to be off the record, but these are people we've interviewed before.
[09:22.000 --> 09:30.000]  I've interviewed quite a few South Texas and West Texas sheriffs. I have to be very careful here.
[09:30.000 --> 09:38.000]  I was getting calls that there were Mexican troops and Mexican helicopters all over the place and that shots were being fired.
[09:38.000 --> 09:44.000]  And I called and confirmed that this was going on.
[09:44.000 --> 10:00.000]  And of course, you've seen it in AP and other places, back of the newspaper in Arizona and Texas over the last five years, where Mexican troops have come across and fired at Border Patrol, fired at sheriff's deputies, robbed sheriff's deputies at gunpoint when they intercept a load of drugs.
[10:00.000 --> 10:07.000]  I mean, that's been in the news generally months after we cover it.
[10:07.000 --> 10:14.000]  A lot of times it takes a long time to get a clear picture on exactly what's happening.
[10:14.000 --> 10:22.000]  You'll have all these different pieces of intelligence, but then it takes years to figure out exactly what's going on and now it's 100% clear.
[10:22.000 --> 10:29.000]  In the last week and a half, I've talked to several law enforcement sources at the highest levels.
[10:29.000 --> 10:36.000]  I've talked to a state house source, Texas legislature based in Austin.
[10:36.000 --> 10:42.000]  And now I have confirmed from a direct military source.
[10:42.000 --> 10:45.000]  And that's all I can say.
[10:45.000 --> 10:48.000]  That's all I can say.
[10:48.000 --> 10:51.000]  And I'm going to go ahead and get this out now before they shot us down or something.
[10:51.000 --> 10:54.000]  I mean, this is very serious what you're about to hear.
[10:54.000 --> 10:56.000]  I want you to understand this.
