[00:00.000 --> 00:26.000]  You want to stop tyranny? Well so does he. Live from the Infowars.com studios, it's Alex Jones.
[00:30.000 --> 00:38.000]  That's right ladies and gentlemen, thank you so much for joining us. We are live and we are broadcasting worldwide on this Sunday edition.
[00:38.000 --> 00:43.000]  I am coming to you via the telephone and we'll be here off and on throughout the transmission.
[00:43.000 --> 00:48.000]  And David Knight is sitting in the Infowars.com studios in Austin, Texas.
[00:48.000 --> 00:55.000]  Again, I am on the road today working on a story coming to you from Texas.
[00:55.000 --> 01:03.000]  And again, David Knight is keeping the heart of Texas, Austin, Texas. And we've got a lot of news and information obviously to cover.
[01:03.000 --> 01:12.000]  I'm not just going to break down the truth behind ISIS and how this whole situation, this three day bombing campaign that's continuing is total theater.
[01:12.000 --> 01:22.000]  Just because it's big news that Obama is doing a few airstrikes a day supposedly against ISIS or Al Qaeda targets.
[01:22.000 --> 01:35.000]  It's more important because it is what I call a Rosetta Stone that we talk so much about that decodes basically the entire pantheon of globalist manipulation
[01:35.000 --> 01:50.000]  and how their dark logic operates and how it manipulates where you fund all sides and then gain power by playing the part of the good guys out of the chaos that you help so and foster and promote.
[01:50.000 --> 02:00.000]  There's a special video report upon Infowars.com that I shot Friday for Infowars Nightly News that's extremely, extremely important.
[02:00.000 --> 02:09.000]  And we're going to be playing some of that report here today and it will be powerful for radio listeners.
[02:09.000 --> 02:22.000]  But I particularly want to challenge radio listeners to go to Infowars.com and watch the video so you can see the news articles and see the admissions for yourself.
[02:22.000 --> 02:30.000]  The title of the video is Obama's ISIS bombing hoax exposed and it's about 17 minutes long.
[02:30.000 --> 02:35.000]  The video is totaled 20 minutes but there's a three minute ad or two minute ad at the end of it.
[02:35.000 --> 02:46.000]  So it's about 17 minutes long. We're going to be airing that coming up about 20 minutes into the transmission here today.
[02:46.000 --> 02:57.000]  David Nye will also open the phones up in the second hour and get into all the other financial news, the Obamacare news, the open borders news, the attack on the Second Amendment news.
[02:57.000 --> 03:16.000]  And the fact that Nixon, this was the 40th anniversary on Friday of Nixon resigning and we have that video of his Oval Office television resignation there on the scratchy color video from the late 1970s.
[03:16.000 --> 03:38.000]  So we're going to be playing that coming up as well or I guess mid-1970s, 1974. We're going to be playing all of that coming up today and contrasting Nixon to Obama when I have not lionized Richard Milhouse Nixon anyway or turning Minnesota up as a saint.
[03:38.000 --> 03:50.000]  But quite frankly, Richard Nixon was a saint in many respects. I mean, even Clinton, who's horrible, is not as bad as Obama and we can't just blame this on Obama himself.
[03:50.000 --> 04:07.000]  We would be unwise to do that. The image of Obama, the front man, the pitch man that is Obama though, has been the most deadly weapon against this country, against the free market, against wealth, against stability and against any type of future that we've ever seen.
[04:07.000 --> 04:16.000]  And so we're going to be breaking that down coming up here in just a moment. And then I know David, it was funny, I talked to David about doing the show today because I was late getting back into town.
[04:16.000 --> 04:28.000]  He said, you know, I'd like to cover Nixon and the contrast to Obama. And I had already sent the guys Friday night in an email to the producers saying, get these clips of Nixon ready.
[04:28.000 --> 04:34.000]  I want to cover this. So we're on the same page. We're going to break here, David. What's some of the other stuff you're going to be covering?
[04:34.000 --> 04:40.000]  Well, Alex, there's a lot of news. There's a Missouri crowd. We had a massive riot in Missouri where someone was killed.
[04:40.000 --> 04:46.000]  Very much like the story that was picked up by the Dredge Report on Friday about a guy who was carrying a BB gun in Walmart, a Walmart BB gun.
[04:46.000 --> 04:56.000]  He was going to purchase and was shot dead by the police. Now we had a very large riot in Missouri and Mitch McConnell's wife is actually sitting on the board of a group that's working to kill the coal industry.
[04:56.000 --> 04:59.000]  You know, Obama was supposed to be the enemy of the coal industry. Maybe we've got some Republicans.
[04:59.000 --> 05:05.000]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[05:05.000 --> 05:14.000]  Most people know that iodine deficiency has been a crisis around the world. Iodine is key to so many of the body's functions, especially the thyroid.
[05:14.000 --> 05:23.000]  I discovered a product being developed by Dr. Group. You now know it as survival shield, true nascent iodine that your body can really absorb.
[05:23.000 --> 05:30.000]  Then about a year ago he said, listen, if you think this is powerful, I'm going to come out with rare earth, deep earth crystals.
[05:30.000 --> 05:39.000]  And the results that I personally have had have been life changing. Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[05:39.000 --> 05:48.000]  This is innovating and the best part is it helps fund infowars.com, the radio show, the TV show, the whole media operation, promoting true libertarian ideas.
[05:48.000 --> 05:59.000]  For a limited time, experience the ancient power of survival shield X2. Take advantage of this unprecedented 30% off super detox special at infowarslife.com.
[06:19.000 --> 06:27.000]  Live from the infowars.com studios, it's Alex Jones.
[06:27.000 --> 06:34.000]  Well, there's a lot of really interesting crazy news taking place around the world. We'll be breaking it all down.
[06:34.000 --> 06:43.000]  Look at the bad thing ugly again. We are live, ladies and gentlemen. Thank you so much for joining us on this Sunday Worldwide Edition.
[06:43.000 --> 06:53.000]  Again, I am your host, Alex Jones. David Knight is riding shotgun with us there in the TV slash radio studios in Austin, Texas.
[06:53.000 --> 07:04.000]  And there's just so much to get into, obviously, here today. We have horror at NASCAR as a race car star kills.
[07:04.000 --> 07:12.000]  Driver trying to confront him on the track, shocking video. No criminal charges imminent.
[07:12.000 --> 07:19.000]  I guess the answer is to ban cars. If somebody uses a car for something violent, you've got to convict everybody and not let anybody have cars.
[07:19.000 --> 07:28.000]  That's the gun control argument. We've also got the really serious issues like the imploding falling border.
[07:28.000 --> 07:38.000]  We've got the Obama supposedly into day three or day four of airstrikes on Islamic State or ISIS who've renamed themselves formerly Al Qaeda.
[07:38.000 --> 07:44.000]  We're going to give you the news behind the news, the rest of the story about how that's actually completely staged.
[07:44.000 --> 07:59.000]  That's coming up today. We've got Republican leaders going out for the coal industry working with Obama to shut off half of this nation's power that will totally cripple us on Mexico and China and India and every other country.
[07:59.000 --> 08:06.000]  In the third, the old world is allowed to use coal. We're not allowed to cheap as power source out there. It's such a huge issue.
[08:06.000 --> 08:18.000]  That's all coming up today. 40th anniversary came up earlier this week on Friday of Obama's prototype Richard Millhouse Nixon resigning.
[08:18.000 --> 08:23.000]  So David Knight is going to be covering that as well coming up in the next segment.
[08:23.000 --> 08:38.000]  David Knight is in studio. This is a live Sunday edition here today, ladies and gentlemen, and David Knight will be taking your phone calls coming up in the next hour.
[08:38.000 --> 08:50.000]  David, that's just some of what we're going to be breaking down. I want to get into ISIS first before we go to the special video report that I shot from Full Wars Nightly News that we're going to premiere here for the radio audience today.
[08:50.000 --> 08:57.000]  But first off, is there other news? You've got a big stack of important news. You're going to be breaking down as well.
[08:57.000 --> 09:07.000]  Well, Alex, I think it's significant you're going to be talking about ISIS that Obama is now saying that this fight in Iraq that he's beginning is now going to be a quote long term project.
[09:07.000 --> 09:15.000]  In other words, this isn't something they said that is going to be solved in just a few weeks. This is going to take some time. That's according to Bloomberg.
[09:15.000 --> 09:25.000]  So this is something that has been going on for quite some time. As you point out in the report, we've had this happening in building in Syria as well.
[09:25.000 --> 09:39.000]  And of course, it even goes back to Libya and back to Benghazi. And you remember after the Libyan War stopped, we had Senator Sessions question Panetta, who was then the Defense Secretary,
[09:39.000 --> 09:46.000]  as to under what conditions do you believe you can start a war? And they had that very interesting back and forth going on at the time.
[09:46.000 --> 09:57.000]  We're now seeing this happening again. And of course, I think it's interesting that Obama waited until after Congress left so that he wouldn't have to go to them and pretend in any way shape or form.
[09:57.000 --> 10:05.000]  Nixon had his secret bombing of Cambodia, but Obama does his things now right out in the open. He ignores the law right out in the open.
[10:05.000 --> 10:12.000]  And you're going to be breaking that down. We have a special report that I shot Friday for the nightly news that will play on the radio coming up at the bottom of the hour.
[10:12.000 --> 10:23.000]  But I want people to understand something. A, ISIS Islamic State is al-Qaeda renamed. They are the worst of the worst of radical Islamic extremists.
[10:23.000 --> 10:30.000]  They are beheading babies, blowing up churches, blowing up non-radical Muslim mosques. They've killed over 300,000 people conservatively.
[10:30.000 --> 10:43.000]  According to the United Nations, they've been attacking Assad and our government and the French government and the British government and the Qatari government, the government of Qatar, the government of Saudi Arabia,
[10:43.000 --> 10:53.000]  is on record. Anybody can look this up. Funding IS, which bordered, in Syria, their operations, bordered Iraq.
[10:53.000 --> 11:04.000]  And so here's the issue. These are a horrible group of people. And I said when they poured into Iraq four months ago that they had huge convoys of hundreds of vehicles and armored vehicles.
[11:04.000 --> 11:11.000]  Why weren't predator drones taking them out then when they were attacking US military bases that had been turned over to Iraq years ago?
[11:11.000 --> 11:17.000]  Why weren't they being taken out like a highway of death with Saddam's convoys that were leaving Kuwait?
[11:17.000 --> 11:26.000]  Because the truth is, the deal was signed years ago between Iran and Saudi Arabia, the Shiite and Sunnis, to split up Iraq.
[11:26.000 --> 11:33.000]  Islamic State gets a third of it, bordering Syria to take over part of Syria, new countries being formed. This is all on record, as you all know.
[11:33.000 --> 11:39.000]  The North goes to the Kurds and the EU and the Chinese are now controlling not a will to a great extent.
[11:39.000 --> 11:43.000]  It's been carved up. This is what the great powers always do throughout history, different empires.
[11:43.000 --> 11:50.000]  And the South and East then will go to Iran and will basically merge with Iran.
[11:50.000 --> 11:59.000]  So this is a total screw job on the most secular pro-America country except for Israel and Egypt in the Middle East.
[11:59.000 --> 12:04.000]  Of course, Egypt is in Africa, the most pro-America regime under Saddam Hussein.
[12:04.000 --> 12:09.000]  He was put in by the CIA in 79. They had movie theaters, rock and roll music, women could go to college.
[12:09.000 --> 12:15.000]  No Marcus, not defending Saddam, but compared to ISIS, he was literally an angel cake.
[12:15.000 --> 12:23.000]  And they have now, after 20 years, destroyed the country, taken their weapons, broken the nation up, and now they're turning al-Qaeda loose to murder everybody.
[12:23.000 --> 12:27.000]  So why is Obama now bombing them? Well, it's very simple.
[12:27.000 --> 12:31.000]  Huge congressional hearings about why was the government openly funding al-Qaeda.
[12:31.000 --> 12:34.000]  That's why they changed the name to ISIS and then ISIS to confuse people.
[12:34.000 --> 12:39.000]  The military had those campaigns we can put on screen within FullWars.com saying, I won't fight for al-Qaeda.
[12:39.000 --> 12:43.000]  Rand Paul Ted Cruz said, we're not al-Qaeda's air force, on and on and on.
[12:43.000 --> 12:45.000]  So we have all of that going on.
[12:45.000 --> 12:52.000]  And then there's major heat that our government is actually behind protecting al-Qaeda.
[12:52.000 --> 12:59.000]  Now al-Qaeda isn't controlled by the U.S. government or by NATO. They fund them, they protect them, they give them the weapons,
[12:59.000 --> 13:04.000]  they make sure they don't get blocked coming into the U.S. by the U.S. Embassy. That's all on record before 9-11.
[13:04.000 --> 13:14.000]  It's the same story. It's like a group of bees and a beehive that the New World Order, the globalists go and throw into countries that they want to destabilize.
[13:14.000 --> 13:23.000]  So it's a real threat, it's a real group, but they then use the threat of this group that they turn loose to take over countries,
[13:23.000 --> 13:31.000]  to destabilize them and take our liberties in the West via the threat of al-Qaeda that we thought was defeated suddenly being allowed to gestate,
[13:31.000 --> 13:39.000]  to gestate and to grow into this huge force that can now topple a major military in Iraq.
[13:39.000 --> 13:47.000]  It is truly unprecedented. And then finally, they're bombing some old artillery, they're bombing some old armored vehicles,
[13:47.000 --> 13:53.000]  they're claiming, oh, we're protecting minority Muslim groups stuck on a mountain. Isn't Obama sweet?
[13:53.000 --> 13:59.000]  When ISIS is simply trying to go into areas where they've not been told they can have it,
[13:59.000 --> 14:05.000]  and so they're being kept in line to only take the areas mainly where Christians are at to be slaughtered and mashed,
[14:05.000 --> 14:10.000]  because even the UN admits the slaughter of Christians by Muslim extremists is exponential,
[14:10.000 --> 14:15.000]  and Obama won't talk about that. He'll just talk about some Muslim minority on a mountaintop,
[14:15.000 --> 14:21.000]  so that's why he's had a few dozen airstrikes that are literally a joke and wouldn't take out a Somali warlord, folks.
[14:21.000 --> 14:26.000]  ISIS is probably 50 to 100 times bigger than some of the biggest Somali warlords.
[14:26.000 --> 14:34.000]  This is totally and completely staged, and probably just like the airlift of evil back in 2001 with the invasion of Afghanistan,
[14:34.000 --> 14:38.000]  totally staged, and they're probably just bombing old artillery and things.
[14:38.000 --> 14:47.000]  As we know they did when they supposedly invaded Afghanistan in 2001, the real Taliban in al-Qaeda or on NATO payroll were protected
[14:47.000 --> 14:51.000]  and then flown out of the country, 40,000 of them, into Pakistan and protected.
[14:51.000 --> 14:59.000]  That's declassified NBC News, Times of London, BBC, I made films on the subject, 9-11 the road to tyranny, you name it.
[14:59.000 --> 15:05.000]  So here's the deal. Saudi Arabia is the big globalist ally. They run al-Qaeda, they run ISIS,
[15:05.000 --> 15:12.000]  and they are working with criminals in our government to empower this group while having plausible deniability,
[15:12.000 --> 15:17.000]  and they bomb supposedly a couple of armored vehicles and some artillery.
[15:17.000 --> 15:22.000]  And then Obama talks about, oops, a permanent force. They always were going to keep a permanent force there.
[15:22.000 --> 15:27.000]  They never really completely left, and now our own military will believe we're there fighting ISIS
[15:27.000 --> 15:34.000]  when really we're there to help make sure the country's broken in three and turned over to total vulcanization and economic conflict.
