[00:30.000 --> 00:32.000]  3, 2, 1, go!
[00:48.000 --> 00:53.000]  Ladies and gentlemen, we're live on this Friday,
[00:53.000 --> 01:07.000]  February 25th, 2022 broadcast, and you are seeing the biggest unfolding war on the continent of Europe
[01:07.000 --> 01:11.000]  since World War II, 75 years ago.
[01:11.000 --> 01:20.000]  Full-scale invasion, full-scale takeover of a country with 40 million people on it,
[01:20.000 --> 01:24.000]  one of the largest countries geographically in Europe.
[01:24.000 --> 01:27.000]  All hell has broken loose.
[01:27.000 --> 01:32.000]  Now, a lot of people have asked, how did I know in October, November, and December this was coming?
[01:32.000 --> 01:35.000]  And I told you how I knew that.
[01:35.000 --> 01:40.000]  The ice melts at the end of February, and the tanks would bog down,
[01:40.000 --> 01:44.000]  so if Russia was going to invade, they'd do it by the end of February,
[01:44.000 --> 01:52.000]  and major financial individuals I talked to, the highest levels, said get ready for war in February.
[01:52.000 --> 01:57.000]  Not just Russia, but also China, and I told you that so you could get ready.
[01:57.000 --> 02:01.000]  And a lot of people just marvel and say, how does he do it? He must be a secret agent,
[02:01.000 --> 02:06.000]  or Jones must just make a lot of predictions and this one's stuck.
[02:06.000 --> 02:14.000]  You know, I said for the last four months, five months, that it would come at the end of February.
[02:14.000 --> 02:16.000]  That's what I said.
[02:16.000 --> 02:22.000]  And the reason I point that out is, now I'm going to tell you what is also in the cards.
[02:22.000 --> 02:25.000]  And I think you already know it's in the cards if you're informed and educated,
[02:25.000 --> 02:27.000]  but for leftists and others out there that don't seem to get it,
[02:27.000 --> 02:31.000]  or for the Rolling Stone, or CNN attacking us, because they're jealous,
[02:31.000 --> 02:35.000]  because they have to lie and we get to tell the truth.
[02:35.000 --> 02:37.000]  But they don't have the skills to actually predict the future,
[02:37.000 --> 02:40.000]  because they're so disconnected from reality, putting out lies,
[02:40.000 --> 02:44.000]  that they're basically smoking their own dope.
[02:44.000 --> 02:48.000]  The reason I point out that we've been so accurate on all these different issues,
[02:48.000 --> 02:56.000]  is so people will listen to me on what I'm about to say today.
[02:56.000 --> 03:00.000]  Now, right before we went live, I dictated the headline for the show.
[03:00.000 --> 03:05.000]  It's not up yet, but it basically goes like this.
[03:05.000 --> 03:14.000]  World War III Alert, or Nuclear War Alert, is technically the Communist Chinese,
[03:14.000 --> 03:19.000]  and the Russians, and the CIA, and all these groups call this World War IV.
[03:19.000 --> 03:21.000]  World War III already happened in the last Cold War.
[03:21.000 --> 03:22.000]  It was called World War III.
[03:22.000 --> 03:23.000]  This is World War IV.
[03:23.000 --> 03:25.000]  This is a different type of war.
