[00:00:00.109 --> 00:00:01.190]  You're listening to GCN.
[00:00:41.148 --> 00:00:43.229]  Real talk radio.
[00:00:43.229 --> 00:00:45.330]  That's what this radio transmission has always been about.
[00:00:45.330 --> 00:00:49.393]  It's really the original name of this radio show.
[00:00:49.393 --> 00:00:51.874]  It's also been called the Final Edition.
[00:00:51.874 --> 00:00:54.775]  You know, when I would do the last live show at a local station.
[00:00:54.775 --> 00:00:57.277]  Okay, we got Mark Dice with us, the resistance band Mephisto.
[00:00:57.277 --> 00:00:58.337]  We're gonna have him back on.
[00:00:58.337 --> 00:00:59.438]  Get it at markdice.com.
[00:01:01.235 --> 00:01:02.336]  I want to shift into 9-11.
[00:01:02.336 --> 00:01:09.462]  Uh, Barnas, what do you think of Mr. Corsi, and what do you think of Mark Dice, and what we just heard with him?
[00:01:09.462 --> 00:01:10.784]  It's throwing me under the bus.
[00:01:10.784 --> 00:01:16.789]  Oh, he's definitely throwing you under the bus a wee bit, but also, you know, I think Combs is throwing you under the bus.
[00:01:16.789 --> 00:01:24.416]  He also was contacted by you, has been on the show, and, uh, you know, he's the little Democratic cheerleader there, the little psy-op on that end of the spectrum.
[00:01:24.996 --> 00:01:32.023]  And he just loves to use you to discredit people when, in fact, Corsi a couple times just tried to say, look, I'm looking at the physicist's evidence.
[00:01:32.023 --> 00:01:36.087]  And, of course, he did have to backpedal and say, maybe there were some unanswered questions.
[00:01:36.087 --> 00:01:39.470]  But I'm saying that, you know, there's no way that the government helped cause 9-1-1.
[00:01:39.470 --> 00:01:43.574]  And, by the way, Corsi says his publisher will, quote, not let him come on the show.
[00:01:44.134 --> 00:01:45.374]  And he's under contract.
[00:01:45.374 --> 00:01:48.675]  Well, I mean, you got snubbed on Geraldo the other day and other Fox News.
[00:01:48.675 --> 00:01:50.656]  Yeah, they drove me down there, had me sit there.
[00:01:50.656 --> 00:01:52.556]  That's why I've always refused to fly there.
[00:01:52.556 --> 00:01:54.597]  They're always trying to get me to fly to New York.
[00:01:54.597 --> 00:01:56.357]  Like it's some Murdoch joke.
[00:01:56.357 --> 00:01:58.418]  And the last guy I sent up there, the plane almost crashed.
[00:01:58.418 --> 00:02:01.339]  It was like dropping 2,000 feet in thunderstorms.
[00:02:01.339 --> 00:02:02.359]  I'm sure that's a coincidence.
[00:02:02.359 --> 00:02:03.939]  Of course it is, yeah.
