[00:00:00.000 --> 00:00:23.840]  InfoWars, tomorrow's news today.
[00:00:23.840 --> 00:00:24.840]  It's Tuesday, April 11th, 2023.
[00:00:24.840 --> 00:00:25.840]  I'm your host, Alex Jones.
[00:00:25.840 --> 00:00:32.840]  We're going to be live for the next four hours over the War Room, 3 p.m. Central, with the
[00:00:32.840 --> 00:00:33.840]  great Owen Schroer.
[00:00:33.840 --> 00:00:34.840]  All right.
[00:00:34.840 --> 00:00:36.440]  I like to take action.
[00:00:36.440 --> 00:00:39.960]  I like victory.
[00:00:39.960 --> 00:00:46.640]  So we have the gun shop owner and big gun trainer here in Texas joining us in the third
[00:00:46.640 --> 00:00:53.520]  hour who's just won his second federal court case overturning Biden gun control.
[00:00:53.520 --> 00:00:57.520]  He already overturned Trump gun control.
[00:00:57.520 --> 00:01:03.280]  So Michael Cargill joining us in studio, a great friend of mine, what a great patriot.
[00:01:03.280 --> 00:01:04.280]  I love victory.
[00:01:04.280 --> 00:01:05.280]  I love leadership.
[00:01:05.280 --> 00:01:12.480]  He'll be with us to talk about that and, of course, the big case last Friday with the
[00:01:12.480 --> 00:01:19.560]  federal government and Soros putting in these DAs they've been funding that put people in
[00:01:19.560 --> 00:01:23.880]  jail for defending themselves and the army sergeant that had a gun pointed at him so
[00:01:23.880 --> 00:01:24.880]  he shot the Antifa.
[00:01:24.880 --> 00:01:25.880]  Garbage, in my view.
[00:01:25.880 --> 00:01:26.880]  Cargill's an expert on that.
[00:01:26.880 --> 00:01:35.160]  He'll be joining us the third hour, but I'm going to open the phones up in the first and
[00:01:35.160 --> 00:01:38.600]  the second hour and then we have a special guest the fourth.
[00:01:39.860 --> 00:01:44.580]  I was sitting here looking at all this incredible news minutes ago before I
[00:01:44.580 --> 00:01:51.380]  went live and I thought where do I start first and I think it's here.
[00:01:49.656 --> 00:01:59.176]  A week ago or week and a half ago Barack Obama who's really president right now
[00:01:59.176 --> 00:02:04.016]  gave a speech and it was recorded and they put a transcript out and he said
[00:02:04.016 --> 00:02:09.396]  it's Trump's fault China double-crossed the West and the China's taking the
[00:02:09.396 --> 00:02:14.856]  planet over and the China's about to invade Taiwan. Remember that? Covered at
[00:02:14.856 --> 00:02:21.016]  the time and I have a George Soros clip from 2009 where he's being interviewed
[00:02:21.016 --> 00:02:25.536]  by the deputy out of the Davos group.
[00:02:24.851 --> 00:02:26.851]  Christina Freeland
[00:02:27.851 --> 00:02:32.851]  And how China's gonna take over and we gotta get rid of the dollar and America's done
[00:02:32.851 --> 00:02:37.851]  You fast forward 10 years, 11 years, going back about a year ago
[00:02:37.851 --> 00:02:40.851]  And Soros says Xi Jinping is Hitler
[00:02:40.851 --> 00:02:44.851]  We gotta have war with China and China's the most evil force on Earth
[00:02:44.851 --> 00:02:48.851]  So back when George Soros thought he controlled China and Xi Jinping
[00:02:49.851 --> 00:02:54.851]  China's the best thing since sliced bread and mother's milk and blue skies
[00:02:54.851 --> 00:02:56.851]  A full tank of gas
[00:02:56.804 --> 00:03:07.124]  But as soon as China doesn't follow his orders, the tyranny he helped set up is the worst
[00:03:07.124 --> 00:03:08.124]  thing on earth.
[00:03:08.124 --> 00:03:14.404]  So we've got those clips, we're going to be getting to those coming up next segment.
[00:03:14.404 --> 00:03:17.264]  Because what does that illustrate?
[00:03:17.264 --> 00:03:20.004]  These globalists are not in control.
