[00:00:08.348 --> 00:00:09.668]  We're good to go.
[00:00:36.807 --> 00:00:46.694]  Ladies and gentlemen, thank you so much for joining us on this live, Friday, April 24th, global transmission, 192 days out from the election.
[00:00:46.694 --> 00:01:03.346]  We all wondered how they would try to scuttle the economy and bring down the president, and well, now you've seen what they're doing, and they're, of course, trying to teach us all lessons as well, that we better behave ourselves and be good little slaves.
[00:01:03.346 --> 00:01:05.047]  Now, from the beginning of this, 11, 12 weeks ago,
[00:01:07.591 --> 00:01:10.654]  We knew that a lot of the videos out of China were fake.
[00:01:10.654 --> 00:01:14.117]  We knew that they were trying to create as much fear as possible.
[00:01:14.117 --> 00:01:18.461]  But we also knew that the virus was man-made.
[00:01:18.461 --> 00:01:21.383]  And so we had to take it very, very seriously.
[00:01:21.383 --> 00:01:23.425]  We now know why it's man-made.
[00:01:23.425 --> 00:01:26.227]  That's so Bill Gates, who financed the whole thing,
[00:01:27.130 --> 00:01:41.334]  through subcompanies on record can control the rollout of the vaccine because you could never have a vaccine for a cold virus because there's thousands of them in the Corona family every year, thousands of different mutations.
[00:01:41.334 --> 00:01:49.597]  But if you make an entirely new alien, and that's what it is, it's an artificial chimera.
[00:01:49.597 --> 00:01:55.559]  Those were just in fabled Greek legends before, creatures that were made up of three or more animals.
[00:01:57.301 --> 00:01:59.082]  Chimeras!
[00:01:59.082 --> 00:02:23.337]  And so, it's out there, and I said, 11 weeks ago, with Dr. Steve Pachinick, that this was already in the population, and that they already knew it, and that a lot of folks had already died from pneumonia-like symptoms.
[00:02:23.337 --> 00:02:25.218]  And it's a tough, tough virus.
[00:02:27.677 --> 00:02:38.843]  But the response to all of it and the hysteria is the hoax, the power grab.
[00:02:38.843 --> 00:02:50.489]  And now it was in the New York Times yesterday that, oh, turns out it was already in the United States in November.
[00:02:50.489 --> 00:02:53.651]  But still, we've all got to stay locked down, ladies and gentlemen.
[00:02:55.982 --> 00:03:04.325]  This is the end of civilization as we know it and a predatory AI globalist robot economy takeover.
[00:03:04.325 --> 00:03:08.866]  This is the equivalent of Pearl Harbor when the Japanese struck.
[00:03:08.866 --> 00:03:15.068]  This is the first official launch of the end of the rest of our lives.
[00:03:15.068 --> 00:03:24.152]  Now remember, I'm the one that laid this out absolutely specifically in the last 26 years and I've been telling you for 26 years
[00:03:26.451 --> 00:03:39.475]  That Bill Gates is the front man for the large robber baron fortunes headed up by IBM that his mother captained.
[00:03:39.475 --> 00:03:50.839]  His father ran the World Eugenics Society after it was made illegal in Europe and it went underground.
[00:03:50.839 --> 00:03:54.360]  They run the whole thing.
[00:03:59.512 --> 00:04:03.576]  And they believe they are exterminating you to save the earth.
[00:04:03.576 --> 00:04:04.857]  And I'll just say something.
[00:04:04.857 --> 00:04:11.442]  I'm not going to join Bill Gates, because it forfeits your soul.
[00:04:11.442 --> 00:04:21.210]  But if you go along with this, and if you don't spread the word, and if you don't stand up for your children and others, you are deserving of what happens to you.
[00:04:21.210 --> 00:04:27.175]  Because if you're going to let these people kill you, and your family,
[00:04:29.349 --> 00:04:31.589]  Then you deserve what happens to you.
[00:04:31.589 --> 00:04:41.831]  Now, I've been told, and at a certain point I'll go public with this, but I've been warned and I've been told, if you don't shut up, you're dead or we're going to put you in prison.
[00:04:41.831 --> 00:04:43.772]  And now they're preparing to put me in prison right now.
[00:04:43.772 --> 00:04:45.012]  Fine!
[00:04:45.012 --> 00:04:47.432]  They're killing everybody!
[00:04:47.432 --> 00:04:48.593]  Idiots!
[00:04:48.593 --> 00:04:50.133]  All of you are dead!
[00:04:50.133 --> 00:04:51.253]  Every single one of us.
[00:04:51.253 --> 00:04:52.633]  They're murdering everyone.
[00:04:52.633 --> 00:04:54.434]  I'll explain how they're doing when we come back.
[00:04:54.434 --> 00:04:55.734]  This is the real world, folks.
[00:04:55.734 --> 00:04:56.514]  You better grow up.
[00:04:59.099 --> 00:04:59.339]  I don't
[00:05:25.322 --> 00:05:27.783]  That are known to supercharge at all.
[00:05:27.783 --> 00:05:31.844]  This is our best selling overall formula.
[00:05:31.844 --> 00:05:41.306]  And I've told listeners at the end of last year that we can't sell products at 50% off anymore because there's not enough markup in them to fund our operations.
[00:05:41.306 --> 00:05:52.889]  But because of what's happening and going on in the world right now, I really want everybody who hasn't used or tried or enjoyed the benefits of DNA Force Plus to have DNA Force Plus.
[00:06:01.562 --> 00:06:04.204]  Waging war on corruption.
[00:06:04.204 --> 00:06:10.968]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:06:10.968 --> 00:06:17.513]  The first time I ever heard about Jeffrey Epstein was about 15 years ago when
[00:06:30.686 --> 00:06:46.409]  In a scientific publication that a listener sent me, it was talking about how billionaires were meeting in secret at a New York University, the Albert Einstein Institute, to develop a worldwide depopulation plan.
[00:06:46.409 --> 00:06:48.789]  And we've been sent a lot of documents like this.
[00:06:48.789 --> 00:06:56.571]  It wasn't a secret document, but it was an internal trade publication connected to MIT.
[00:06:59.017 --> 00:07:07.919]  And the same person later sent me secret documents out of a senator's archive on the population.
[00:07:07.919 --> 00:07:09.199]  I showed those on air.
[00:07:09.199 --> 00:07:10.299]  They're on InfoWars.
[00:07:10.299 --> 00:07:11.940]  No one even cared about it.
[00:07:11.940 --> 00:07:13.500]  It's just a plan to kill you and your family.
[00:07:13.500 --> 00:07:15.200]  You know, no big deal.
[00:07:15.200 --> 00:07:21.061]  And they're actually setting it all up right now.
[00:07:21.061 --> 00:07:28.363]  The LA Times, even Wired, two years ago, ran big headline stories with links to major long-term studies
[00:07:30.086 --> 00:07:43.682]  On rat populations and pig populations with regular cell phone radiation and it massively increased cancers.
[00:07:43.682 --> 00:07:47.547]  When you put 5G on in a laboratory?
[00:07:50.287 --> 00:08:00.814]  You're talking about massive behavioral problems, mental illness, and pigs chewing their trotters off, rats going insane.
[00:08:00.814 --> 00:08:03.015]  It's the psychological effects that are going to be really bad.
[00:08:03.015 --> 00:08:09.219]  And they even tell you in movies like The Kingsman, where they send out the transmission through the smartphones and everybody starts killing each other.
[00:08:09.219 --> 00:08:10.440]  But it won't be done like that.
[00:08:10.440 --> 00:08:13.162]  It's going to be done incrementally.
