[00:00.000 --> 00:02.000]  We've got it
[00:07.440 --> 00:09.440]  Waging war on corruption
[00:11.480 --> 00:17.520]  It's Alex Jones coming to you live from the front lines of the info war
[00:17.520 --> 00:26.480]  We are go liftoff Houston, this is Cape Canaveral
[00:30.000 --> 00:35.040]  It is the 20th day of March 2011
[00:35.320 --> 00:43.800]  We're gonna be live here for the next two hours, and I have a lengthy list here of key points that I want to go over today
[00:43.800 --> 00:57.440]  Obviously, when we launch the full transmission in the next segment, I'm gonna be getting into the latest unfolding NATO UN bombardment
[00:57.440 --> 01:04.640]  including 120 plus cruise missiles fired from US vessels into Libya, mainly around Tripoli
[01:04.640 --> 01:14.880]  softening them up for the ground invasion, they have two giant Marine Corps amphibious aircraft carriers off the coast of Tripoli
[01:14.880 --> 01:22.560]  You notice now a air war means a bombardment or the ground cover
[01:22.560 --> 01:43.560]  The supposed no fly zone means bombardment and Muammar Gaddafi who's been big buddies with Obama, big buddies with Tony Blair, big buddies with the current prime minister of England hanging out with Herman von Roompi of the EU
[01:43.560 --> 01:58.560]  The weapons systems have been sold to him by England and by the United States and France, their CIA, MI6, SAS-backed forces have been defeated across Libya
[01:58.560 --> 02:08.560]  The final big city to take was Benghazi of 700,000, and as soon as that happened, you really see the evidence that this was a globalist backed destabilization program
[02:08.560 --> 02:17.560]  They began openly flooding weapons in via Saudi Arabia into Egypt on the eastern side of Libya
[02:17.560 --> 02:23.560]  This is incredible, this is amazing hypocrisy and we're gonna be breaking it all down
[02:23.560 --> 02:29.560]  Also the latest on the radiation cloud that began reaching the United States two days ago on Friday
[02:29.560 --> 02:33.560]  Since then, almost no news in the US about radiation detectors
[02:33.560 --> 02:45.560]  Remember the first radiation that got here on Friday was from the Friday before last in Japan when they just had a leak at the 6 reactor base Fukushima in northeastern Japan
[02:45.560 --> 02:56.560]  Then on Saturday, Monday, Tuesday, Wednesday, Thursday there were more explosions and fires at Fukushima, that heavier radiation as well as the 600,000 spent fuel rods blown sky high
[02:56.560 --> 03:07.560]  The off-gassing and radiation from that headed our way and because it's invisible, we're getting the same propaganda we got in the 40s, 50s and 60s
[03:07.560 --> 03:13.560]  From the 300 plus above ground test carried out in the United States and in the Pacific
[03:13.560 --> 03:16.560]  Don't worry about it, it's not a problem
[03:16.560 --> 03:20.560]  They say, oh, the radiation's only double in some areas what it should be
[03:20.560 --> 03:21.560]  That's no big deal
[03:21.560 --> 03:28.560]  Well, that's background radiation, but if one of those little particles that's highly radiated, that's not being picked up by detectors
[03:28.560 --> 03:36.560]  You breathe that, you die a year, 10 years, 20 years, down the road from it, that's plausible deniability
[03:36.560 --> 03:43.560]  So we're gonna be breaking all of that down as well today on the other side of this quick break
[03:43.560 --> 03:53.560]  Also, the Liberty Dollar Creator convicted in federal court, the sound of the Citizen Times, out of Asheville
[03:53.560 --> 04:02.560]  And I have the Department of Justice press release where they talk about it being domestic terrorism to print your own silver or gold coins
[04:02.560 --> 04:10.560]  I guess that Montana legislature wants gold and silver in some state transactions, I guess they're terrorists
[04:10.560 --> 04:19.560]  Or what about this article? Legislature says the state needs its own currency, this out of North Carolina
[04:19.560 --> 04:25.560]  There are dozens of US cities that have had their own currencies for decades
[04:25.560 --> 04:30.560]  But now the system is saying it's illegal to print your own silver or gold
[04:30.560 --> 04:37.560]  I mean, there's thousands of companies putting out commemorative coins, another big shine of big fat tyranny
[04:37.560 --> 04:45.560]  Also, the National Guard to leave Mexico border in June, the Southwest border to be left unguarded even more
[04:45.560 --> 04:54.560]  That's actually constitutional to have troops down there, but no, sorry, they gotta be all over the Middle East, Central Asia, and of course North Africa
[04:54.560 --> 05:08.560]  Just stay with us
[05:24.560 --> 05:28.560]  Socialist legislation is only compounding the problem
[05:28.560 --> 05:31.560]  Dangerous weather is always a threat to local grids
[05:31.560 --> 05:35.560]  Every year, thousands of families lose their power from weather-related onages
[05:35.560 --> 05:40.560]  A solar power generator provides powerful backup insurance and peace of mind
[05:40.560 --> 05:45.560]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my old sponsors
[05:45.560 --> 05:50.560]  You can get more information at www.mysolarbackup.com
[05:50.560 --> 05:54.560]  Remember, the government doesn't own the sun, so go to mysolarbackup.com
[05:54.560 --> 06:20.560]  or call 1-877-327-0365
[06:20.560 --> 06:43.560]  I have three stacks of extremely important news to cover today
[06:43.560 --> 06:56.560]  First off, the huge unfolding NATO-UN-US strikes on the dictator's stronghold in Tripoli in the country of Libya
[06:56.560 --> 07:01.560]  We're going to be breaking all of that down today
[07:01.560 --> 07:06.560]  I've got more than 50 articles on that front
[07:06.560 --> 07:16.560]  Then we're going to get into the latest developments in the six nuclear reactor center at Fukushima in Japan
