[00:00.000 --> 00:11.520]  You are listening to an Infowars.com frontline report.
[00:11.520 --> 00:23.120]  If you are receiving this transmission, you are the resistance.
[00:23.120 --> 00:33.120]  You are watching deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide its Alex Jones.
[00:33.120 --> 00:44.120]  Yet again, we are seeing total information overload, vicious massacre, 17 dead, dozens more wounded at a Florida high school.
[00:44.120 --> 00:49.120]  We, of course, were covering it live yesterday, right through the evening, as you had unfolded.
[00:49.120 --> 00:57.120]  So many angles to this. You've got the hero coach now confirmed running into the hail of gunfire, saving many people and being killed.
[00:57.120 --> 01:06.120]  You've got the police responding pretty quickly compared to a lot of other situations that we've seen like this.
[01:06.120 --> 01:13.120]  We've got Salon and CNN and others saying that Trump blamed the victims when he simply tweeted,
[01:13.120 --> 01:20.120]  wow, there were a lot of warning signs, everybody warned about him. That's exactly what the students, everybody are saying.
[01:20.120 --> 01:31.120]  But we have a very credible eyewitness, and this story broke on KHOU, a very credible Houston television program,
[01:31.120 --> 01:39.120]  last night with their top sports reporter who was there covering big baseball tryouts there in Miami.
[01:39.120 --> 01:45.120]  And he went over to the school to cover it live. I was over on national television, Matt Musell.
[01:45.120 --> 01:57.120]  And he talked to one particular witness and others as well that said that they were hearing shots coming from another area of the school at different times.
[01:57.120 --> 02:07.120]  But this witness particularly was saying that she knew him from the year before when he still been in school, thought he was a weirdo,
[02:07.120 --> 02:16.120]  and said, I'm surprised it's not you that did this. And he looked at her like he was surprised while they heard shots going off.
[02:16.120 --> 02:20.120]  Alexa Meadnick is her name. We're trying to get her on the broadcast right now.
[02:20.120 --> 02:27.120]  And at first, the reporter said, I've shot these interviews. It's going to be airing on the news coming up later when he was live.
[02:27.120 --> 02:35.120]  It never aired. Then the reporter late at night, later in the evening, tweeted his interview with her.
[02:35.120 --> 02:42.120]  So he obviously thinks this was important. This has spiked written all over it. She's very credible.
[02:42.120 --> 02:48.120]  She's well spoken. She's attractive. She's a senior there at the school. He was a senior last year.
[02:48.120 --> 02:55.120]  She said she saw him and thought, are you the one shooting everybody? There he is. No guns in his hands.
[02:55.120 --> 03:04.120]  No nothing. And there are shots going off down and around the hall. That video is all coming up.
[03:04.120 --> 03:09.120]  This is a big deal. Just like we had reports of second shooters in Vegas.
[03:09.120 --> 03:15.120]  We had reports from the hostage rescue team that he'd been to the Middle East and had women in the room and had ISIS paraphernalia.
