[00:00:00.049 --> 00:00:00.409]  Firearms!
[00:00:22.314 --> 00:00:23.915]  Those stories at Weekend Weather.
[00:00:23.915 --> 00:00:28.516]  You're listening to GCN.
[00:00:28.516 --> 00:00:33.837]  Watch, it's 4 o'clock.
[00:00:33.837 --> 00:00:35.878]  IRN USA Radio News.
[00:00:35.878 --> 00:00:36.978]  I'm Pete LaValle.
[00:00:36.978 --> 00:00:43.060]  It could be a lousy drive home for most holiday travelers along the East Coast and the Great Lakes region.
[00:00:43.060 --> 00:00:45.020]  So says the National Weather Service.
[00:00:45.020 --> 00:00:50.222]  Just to the south of there, over the southern portion of the Great Lakes region, all the way towards
[00:00:51.301 --> 00:00:52.904]  Oh, upper New York State.
[00:00:52.904 --> 00:00:55.207]  We are going to see a wintry mix also develop.
[00:00:56.079 --> 00:01:02.064]  That snow across the Great Lakes region is going to continue not only today, but also into the day on Monday.
[00:01:02.064 --> 00:01:03.665]  Forecaster Brian Cordy.
[00:01:03.665 --> 00:01:07.949]  NASA has called off any attempts to land Space Shuttle Endeavour today in Florida.
[00:01:07.949 --> 00:01:10.831]  Doesn't look like a good day for Florida today.
[00:01:10.831 --> 00:01:17.277]  The weather again is observed no-go and forecast no-go for the second opportunity.
[00:01:17.277 --> 00:01:22.221]  Endeavour has two more chances to land today at Edwards Air Force Base in California.
[00:01:22.221 --> 00:01:23.802]  And that's okay with the shuttle crew.
[00:01:25.345 --> 00:01:29.139]  Endeavor Commander Chris Ferguson, this is IRN USA Radio News.
[00:01:30.590 --> 00:01:33.312]  It works, it works, it works, it works!
[00:01:33.312 --> 00:01:35.594]  And what's best is it works from home.
[00:01:35.594 --> 00:01:37.615]  Hi, how in the world are you anyway?
[00:01:37.615 --> 00:01:41.899]  This is Andy Willoughby from the 3stepplan.com home business system.
[00:01:41.899 --> 00:01:46.202]  The dramatic difference with 3stepplan.com is that it does work.
[00:01:46.202 --> 00:01:55.909]  And after almost five years, I think that even the most diehard skeptic would have to agree there must be something different about the 3stepplan.com home business system.
[00:01:56.169 --> 00:02:06.479]  You see, we operate more like a mini-franchise, so you get the expertise of people who have actually been successful working at home to help and guide you in operating your home business.
[00:02:06.479 --> 00:02:10.924]  It's kind of like a McDonald's franchise, without the teenagers and big startup expense.
[00:02:10.924 --> 00:02:12.846]  And of course, we don't sell hamburgers.
[00:02:13.106 --> 00:02:17.751]  You do get to work with some really nice people who share similar family values.
[00:02:17.751 --> 00:02:22.876]  To find out how you can make more money working from home, go to 3stepplan.com or call 800-480-2102.
[00:02:22.876 --> 00:02:22.916]  800-480-2102.
[00:02:30.732 --> 00:02:32.913]  Retailers got a welcome surprise this weekend.
[00:02:32.913 --> 00:02:42.455]  Despite predictions of dismal sales, shoppers turned out in droves to help many stores and Black Friday end the black, just like it's supposed to do.
[00:02:42.455 --> 00:02:48.076]  Bloomberg.com reports Black Friday sales rose by $10.6 billion from a year ago.
[00:02:48.076 --> 00:02:52.757]  ShopperTrack RCT Corporation says that's a 3% jump from last year.
[00:02:52.757 --> 00:02:57.478]  However, it is still the smallest yearly gain retailers have seen since 2005.
[00:02:58.858 --> 00:03:09.768]  Senator Hillary Clinton and current Defense Secretary Robert Gates are expected to be among the names unveiled Monday when President-elect Barack Obama announces his national security team.
[00:03:09.768 --> 00:03:21.018]  It's also expected Obama will announce retired Marine General James Jones as White House National Security Advisor while tapping Arizona Governor Janet Napolitano as head of Homeland Security.
[00:03:21.693 --> 00:03:28.306]  For the latest news and analysis online, log on to irnnews.com.
[00:03:30.405 --> 00:03:34.128]  I'm Errol Squires, inventor of Relieve One Day Cold Sore Symptom Treatment.
[00:03:34.128 --> 00:03:39.611]  I invented Relieve because I wanted a very effective, natural treatment for cold sores that work really fast.
[00:03:39.611 --> 00:03:43.494]  Relieve works so well and so fast for me, my family and friends.
[00:03:43.494 --> 00:03:46.235]  I wanted to help other people who suffer from cold sores.
[00:03:46.235 --> 00:03:49.137]  I think people are smart enough to know if something works.
[00:03:49.137 --> 00:03:53.320]  If you suffer from cold sores, try Relieve and find out if it works for you.
[00:03:53.320 --> 00:03:56.682]  Relieve is comprised of botanical extracts and is guaranteed.
[00:03:56.682 --> 00:03:58.964]  Buy Relieve now at all major stores.
[00:04:00.808 --> 00:04:11.511]  The head of a retail workers union is accusing Walmart of a blatant level of irresponsibility in the Black Friday trapping death of a temporary worker at a New York store.
[00:04:11.511 --> 00:04:16.892]  United Food and Commercial Workers Union leader Bruce Booth is charging the death was preventable.
[00:04:16.892 --> 00:04:21.113]  Nassau County Police stated the store may not have had enough security.
[00:04:21.113 --> 00:04:29.515]  A Walmart regional manager defended the store stating it had hired additional security and increased staff for the early morning Black Friday rush.
[00:04:30.385 --> 00:04:34.950]  There's a shake-up in the Indian government following the terrorist attacks in Mumbai.
[00:04:34.950 --> 00:04:36.812]  The Home Minister has called it quits.
[00:04:36.812 --> 00:04:41.378]  An Indian Prime Minister has met with the main political parties to urge unity.
[00:04:41.378 --> 00:04:47.465]  He says air and maritime security will be tightened in the aftermath of the attacks that killed more than 170 people.
[00:04:49.258 --> 00:04:56.722]  Bad boy, Iran is offering to help its neighboring Arab countries build joint light water nuclear power plants.
[00:04:56.722 --> 00:05:04.847]  It's not clear why Tehran is making that offer, but one reason may be to ease fears about its nuclear intentions.
[00:05:04.847 --> 00:05:07.669]  So far, no reaction from Iran's neighbors.
[00:05:07.669 --> 00:05:14.133]  A ransom has reportedly been agreed to for a Ukrainian freighter seized by Somali pirates two months ago.
[00:05:14.133 --> 00:05:17.655]  A spokesman said the ship and the crew could be freed within days.
[00:05:18.315 --> 00:05:20.456]  No word on the size of the ransom.
[00:05:20.456 --> 00:05:24.198]  The ship's cargo includes tanks and other heavy weapons.
[00:05:24.198 --> 00:05:25.559]  I'm Pete LaVallee.
[00:05:25.559 --> 00:05:31.422]  IRN USA Radio News.
[00:05:31.422 --> 00:05:35.565]  You don't have to be in the military to enjoy military surplus savings.
[00:05:35.565 --> 00:05:41.728]  Right now at MainMilitary.com, you'll find savings on the top must-have military supplies.
[00:05:41.728 --> 00:05:43.369]  M10 gas masks for $12 or 3 for $30.
[00:05:43.369 --> 00:05:44.469]  Gas mask hoods $4 or 3 for $10.
[00:05:47.651 --> 00:05:50.274]  Mask filters, $6 or 3 for $15.
[00:05:50.274 --> 00:05:52.416]  Save big on British chemical suits, only $12.
[00:05:52.416 --> 00:05:53.256]  Israeli gas masks, $20.
[00:05:53.256 --> 00:05:54.798]  Trigger finger gloves, $5 a pair or $36 a dozen.
[00:05:54.798 --> 00:05:55.999]  Snowshoe binding for $8 or $48 a dozen.
[00:05:55.999 --> 00:05:56.720]  And so much more!
[00:06:03.726 --> 00:06:07.427]  Even hard to find surplus items, all at surplus prices.
[00:06:07.427 --> 00:06:12.489]  Preparing the whole family has never been so affordable at MainMilitary.com.
[00:06:12.489 --> 00:06:17.311]  MainMilitary.com, one of the last surviving true surplus stores in the country.
[00:06:17.311 --> 00:06:21.212]  Shop now at M-A-I-N-E Military.com.
[00:06:21.212 --> 00:06:21.912]  Or call 877-608-0179.
[00:06:21.912 --> 00:06:22.332]  That's 877-608-0179 today.
[00:06:32.998 --> 00:06:41.987]  Prepare yourself for a talk radio experience like no other.
[00:06:41.987 --> 00:06:44.750]  He stands for truth.
[00:06:44.750 --> 00:06:47.954]  He stands for justice.
[00:06:47.954 --> 00:06:50.376]  He stands for what's right.
[00:06:50.376 --> 00:06:53.720]  This is the Alex Jones Show.
[00:06:53.720 --> 00:06:55.482]  Call Alex now, toll free.
[00:06:56.540 --> 00:06:56.941]  At 877-590-5525.
[00:06:56.941 --> 00:07:00.666]  Now live from Austin, Texas, here's Alex Jones.
[00:07:10.501 --> 00:07:13.523]  Hello, thank you for joining us today.
[00:07:13.523 --> 00:07:16.784]  We are live the 30th day of November 2008.
[00:07:16.784 --> 00:07:18.905]  We'll be here for the next two hours.
[00:07:18.905 --> 00:07:28.511]  We'll be taking your phone calls on a host of important issues at 877-590-5525, 877-590-5525, wherever you're listening locally in Central Texas to the station that we come to you from, syndicated across the country.
[00:07:28.511 --> 00:07:29.191]  News Radio 590, KLBJ 836-0590.
[00:07:29.191 --> 00:07:29.331]  Okay.
[00:07:39.810 --> 00:07:43.372]  Here are the important stacks of news I have in front of me.
[00:07:43.372 --> 00:07:54.357]  One of them is the Associated Press with a headline, 90% of infant formula sold in the United States has the deadly poison melamine in it.
[00:07:54.357 --> 00:08:05.863]  And what does the FDA do after two years of scandals with this and it turning out that most baby formula and thousands of foods have it in them, not just made in China but here in the United States as well,
[00:08:06.661 --> 00:08:13.544]  They come out and say, well, you know what, we're just going to say that melamine isn't bad for you then.
[00:08:13.544 --> 00:08:19.967]  Now, in China, thousands have died from this, hundreds of thousands have gotten sick in the last few years.
[00:08:19.967 --> 00:08:26.350]  Why now would our government, if you can call it that, say that it's not bad for you?
[00:08:27.518 --> 00:08:28.799]  I'll give you my take on that.
[00:08:28.799 --> 00:08:30.140]  We'll be discussing it.
[00:08:30.140 --> 00:08:34.864]  By the way, remember about a year and a half ago in China with the first big scandal dealing with this?
[00:08:34.864 --> 00:08:37.346]  They executed the head of the factory.
[00:08:37.346 --> 00:08:42.750]  They executed the head of the factory who allowed this to happen.
[00:08:42.750 --> 00:08:44.772]  And then now it's just, oh, so what?
[00:08:44.772 --> 00:08:45.753]  It's not bad for you.
[00:08:45.753 --> 00:08:47.975]  In fact, it's good for you.
[00:08:47.975 --> 00:08:48.915]  I have another report here.
[00:08:48.915 --> 00:08:50.957]  They just executed another guy.
[00:08:50.957 --> 00:08:54.380]  Reuters reports involved with this in the milk in China.
[00:08:55.146 --> 00:08:57.689]  So in China, they execute you for this.
[00:08:57.689 --> 00:09:03.314]  In the United States, their answer, with the executives allowing this to happen, is, you know what, we're just going to say that isn't bad for you.
[00:09:03.314 --> 00:09:04.795]  How's that sound?
[00:09:04.795 --> 00:09:08.058]  So, we'll be going over that for you today.
[00:09:08.058 --> 00:09:19.129]  And this story dovetails in with a culture of government, corporations, individuals, more and more, who just don't care about anybody else but themselves.
[00:09:19.933 --> 00:09:21.974]  Or, in many cases, don't even care about themselves.
[00:09:21.974 --> 00:09:38.384]  It's just a smiley face, smart-mouthed arrogance, a delusional outlook that many, many Americans have, and that's what's allowing just out-of-control corruption to breed at every level of our society.
[00:09:40.297 --> 00:09:55.812]  And of course that dovetails with worker dies in Long Island Walmart after being trampled in Black Friday stampede and all over the news across the nation are videos not just of this guy being stampeded and killed by hundreds of people running over him
[00:09:56.758 --> 00:10:03.380]  Or the fact that they then threw fits and basically threatened a riot when they were told, you just killed this guy, we've got to close the store.
[00:10:03.380 --> 00:10:05.821]  They said, I don't care, that's in the Associated Press.
[00:10:05.821 --> 00:10:10.702]  They said on record, we don't care if he's dead, we want our Xboxes.
[00:10:10.702 --> 00:10:14.303]  We want our Chinese slave goods and we want them now.
[00:10:14.303 --> 00:10:20.725]  We want our melamine-filled candies and children's formula.
[00:10:22.003 --> 00:10:23.424]  Because we're self-centered.
[00:10:23.424 --> 00:10:26.286]  We're so self-centered that we don't breastfeed our children.
[00:10:26.286 --> 00:10:29.949]  Though that's the reason women have breasts and all mammals have mammary glands.
[00:10:29.949 --> 00:10:39.576]  We don't care if, statistically, the cc size of the brain, the development of the IQ, the health of a child, is inexorably tied to mother's milk.
[00:10:39.576 --> 00:10:44.920]  And we don't just care if the milk's full of poison.
[00:10:44.920 --> 00:10:48.683]  Again, it all just compounds and stacks up on top of itself.
[00:10:50.208 --> 00:10:59.152]  But then I saw videos all over the country of people at Walmart, Toys R Us, Target stores fighting with each other over sale items.
[00:10:59.152 --> 00:11:02.293]  I mean, getting in brawls, in fist fights.
[00:11:02.293 --> 00:11:16.479]  They could care less if their country's being destroyed, if their national sovereignty's being destroyed, if a world government's being set up, if their currency's being devalued, if $7.8 trillion has been stolen in the last six weeks, according to AP and Bloomberg.
[00:11:16.479 --> 00:11:18.580]  That's right, by the private Federal Reserve.
[00:11:19.801 --> 00:11:20.502]  They don't care.
[00:11:20.502 --> 00:11:31.909]  They don't care about anything but drinking beer, eating cheeseburgers, and what the rankings are for college football, and who's going to get the number one slot.
[00:11:31.909 --> 00:11:34.110]  And it's all been done by design.
[00:11:34.110 --> 00:11:39.634]  We have the government documents, the behavioral psychology, the evolutionary psychology documents on this.
[00:11:39.634 --> 00:11:46.358]  They have used Madison Avenue and PR to turn the American people and the people of the West, predominantly, into a bunch of
[00:11:47.339 --> 00:11:51.889]  Automaton-consuming androids who aren't even really conscious.
[00:11:52.879 --> 00:11:59.525]  And now that people don't care about their neighbors, their friends, their families, anybody for that matter, so what if the cop tasers your neighbor to death?
[00:11:59.525 --> 00:12:05.710]  So what if the CPS kidnapped your neighbor's children, or even your cousin's children, with no due process?
[00:12:05.710 --> 00:12:10.515]  And so what if they're five times more likely to kill the children or hurt the children in their custody?
[00:12:10.515 --> 00:12:14.338]  So what if the Texas Youth Commission runs giant rape camps with the children?
[00:12:14.338 --> 00:12:17.020]  So what if there's just corruption in every level of government?
[00:12:17.020 --> 00:12:17.881]  So what?
[00:12:17.881 --> 00:12:18.562]  So what?
[00:12:18.562 --> 00:12:19.242]  So what?
[00:12:19.242 --> 00:12:19.803]  So what?
[00:12:20.845 --> 00:12:26.509]  Because we're all so self-centered and dumbed down and decadent.
[00:12:26.509 --> 00:12:33.014]  Worker dies at Long Island Walmart after being trampled in Black Friday Stampede.
[00:12:33.014 --> 00:12:41.261]  A Walmart worker died after being trampled when hundreds of shoppers smashed through the doors of a Long Island store Friday morning, police and witnesses said.
[00:12:41.261 --> 00:12:49.907]  The 34-year-old worker, employed as an overnight stock clerk, tried to hold back the unruly crowds just after the Valley Stream store opened at 5 a.m.
[00:12:51.494 --> 00:12:58.156]  And it went on to a report that they just stomped over his body and then he was pronounced dead at the hospital 30 minutes later.
[00:12:58.156 --> 00:13:02.097]  Now, that was the first story that came out about it out of the Daily News.
[00:13:02.097 --> 00:13:07.118]  Here's the Associated Press sought Walmart shoppers who trampled New York worker.
[00:13:07.118 --> 00:13:07.979]  That is the headline.
[00:13:07.979 --> 00:13:10.939]  It says, this crowd was out of control, Fleming said.
[00:13:10.939 --> 00:13:12.880]  He described the scene as utter chaos.
[00:13:13.699 --> 00:13:16.901]  Fleming manages a store and said the store didn't have enough security.
[00:13:16.901 --> 00:13:24.066]  Dozens of store employees trying to fight their way out to help Damore, who died, were also getting trampled by the crowd.
[00:13:24.066 --> 00:13:28.189]  Fleming said shoppers stepped over the man on the ground and streamed into the store.
[00:13:28.189 --> 00:13:33.232]  Damore, 34, of Queens, was taken to the hospital where he was pronounced dead around 6 a.m.
[00:13:33.232 --> 00:13:36.074]  Police said the exact cause of death had not been determined.
[00:13:36.074 --> 00:13:41.498]  The 28-year-old pregnant woman was also taken to the hospital where she and the baby were reported to be okay.
[00:13:42.395 --> 00:13:43.055]  And it goes on.
[00:13:43.055 --> 00:13:48.376]  It says, Kimberly Cribbs, who witnessed the stampede, said shoppers were acting like savages.
[00:13:48.376 --> 00:13:49.456]  Well, we are savages now.
[00:13:49.456 --> 00:13:50.917]  That's what they turned us into.
[00:13:50.917 --> 00:14:00.079]  I mean, the IQs from the poisons and the water and food and the fluoride, the education system by design to dumb us down.
[00:14:00.079 --> 00:14:02.259]  I mean, the average American can't find the U.S.
[00:14:02.259 --> 00:14:04.299]  on a map, on a globe.
[00:14:04.299 --> 00:14:07.000]  I mean, the average American doesn't know who the vice president is.
[00:14:07.000 --> 00:14:10.321]  The average American literally is a complete idiot.
[00:14:10.321 --> 00:14:11.581]  That's why we're so enslaved.
[00:14:12.512 --> 00:14:13.395]  And it goes on.
[00:14:13.395 --> 00:14:21.035]  When they were saying they had to leave, that an employee got killed, people were yelling, I've been online since yesterday morning, and they kept on shopping.
[00:14:22.757 --> 00:14:26.499]  I had to be forcibly brought out of the store by police.
[00:14:26.499 --> 00:14:29.120]  So, this is the type of news we're dealing with.
[00:14:29.120 --> 00:14:29.720]  Here's another one.
[00:14:29.720 --> 00:14:32.862]  Witnesses fatal shooting followed toy store brawl.
