[00:00.000 --> 00:27.000]  Infowars, tomorrow's news, today.
[00:27.000 --> 00:31.000]  Ladies and gentlemen, we are live.
[00:31.000 --> 00:34.000]  The Alex Jones show.
[00:34.000 --> 00:39.000]  Believe me, they wanted this shut down for days like this.
[00:39.000 --> 00:44.000]  But we are live on this Tuesday, March 21st, 2023.
[00:44.000 --> 00:48.000]  Every day is history now.
[00:48.000 --> 00:55.000]  As we are living through truly the most corrupt times in American history.
[00:55.000 --> 01:00.000]  Biden running around taking money, acting illegally as a foreign agent.
[01:00.000 --> 01:08.000]  He and his family even getting millions of dollars from Chinese communists in 2017
[01:08.000 --> 01:14.000]  while they were sniffing around for Donald Trump and Russians.
[01:14.000 --> 01:16.000]  Does the name Terra Reid ring a bell?
[01:16.000 --> 01:20.000]  I'm just going to throw that out there.
[01:20.000 --> 01:29.000]  And now they're coming after Trump for charges that have already passed their statute of limitations
[01:29.000 --> 01:35.000]  over a man's testimony who is a convicted liar
[01:35.000 --> 01:44.000]  over charges that would normally be basically booking errors and fines.
[01:44.000 --> 01:49.000]  But they really built it up and lied to their people again and said this is it for Trump.
[01:49.000 --> 01:53.000]  Ladies and gentlemen, Alex Jones has been with Stephen Crowder this morning
[01:53.000 --> 01:59.000]  and he is going to be joining us right now over the phone to cover this and all the other news
[01:59.000 --> 02:05.000]  and the fact that the First Amendment, Alex, it's winning. It's proof. Here you are.
[02:05.000 --> 02:10.000]  Well, that's right, Owen. I just wanted to say this. They rolled out the red carpet here
[02:10.000 --> 02:15.000]  and I guess with their new show they asked people who they wanted to be the guests
[02:15.000 --> 02:19.000]  of most requests for me. So I'm hosting today, which we just did in tomorrow.
[02:19.000 --> 02:23.000]  They rolled out the red carpet, but they're still tweaking stuff in Crowder Studio for me.
[02:23.000 --> 02:26.000]  So I wanted this huge rumble audience, record audience.
[02:26.000 --> 02:31.000]  It's as big as the biggest streams on YouTube that's tuning in right now at infowars.com
[02:31.000 --> 02:35.000]  and band.videos. The same thing we did last week with Crowder saying tune in, make his show even bigger.
[02:35.000 --> 02:38.000]  All people tuning in to us. It's an information war.
[02:38.000 --> 02:42.000]  I'm going to ask all the great Stephen Crowder fans that are tuned in to know that I'll be live
[02:42.000 --> 02:46.000]  in about 10, 15 minutes. They're getting it all set up right now in his studio.
