[00:00.000 --> 00:13.000]  from the front lines of the information war it's alex jones
[00:13.000 --> 00:28.000]  mother tell your children not to walk my way tell your children not to hear my words what they mean what they say mother
[00:28.000 --> 00:45.000]  mother can you keep them in the dark for a while can you hide them from the wedding world mother
[00:45.000 --> 00:58.000]  it is sunday february 16th the year is 2020 i am your host alex jones we're gonna be here live for the next two hours as we are every sunday four to six p.m.
[00:58.000 --> 01:16.000]  now we are going to have max keiser in studio with us coming up in about 10 minutes to talk about the waterfront and make some major bitcoin announcements as well but he's always on fire especially when he comes through maybe once a year
[01:16.000 --> 01:31.000]  and is in studio with us so the always interesting and informative max keiser will be in studio mike adams is going to be joining us coming up in the second hour with just horrifying new corona virus developments we know the virus is killing people killing
[01:31.000 --> 01:44.000]  them in europe starting to kill people in western nations we know it's spreading very very fast and it's mutating into something even more deadly it's now being confirmed but the response the response to it is what's really
[01:44.000 --> 02:04.000]  horrifying and really frightening and the communist chinese are definitely using it to suppress and demoralize their population and to try to have a crackdown in taiwan which have been politically slipping away under their tyranny and all of it's being cast with the dictator for life g.g.
[02:04.000 --> 02:18.000]  as the saviour so that is coming up also we had steve chenicon i think the smart guy but i don't always agree with him completely he thinks bars after the president but we've got a thousand plus former justice department
[02:18.000 --> 02:35.000]  operatives saying that they want him removed and fired because they dare talk about not giving roger stona sentence that's too long well i mean if you've done nothing wrong any sentence is is too long so we're gonna be looking at the angles on that of course the really big
[02:35.000 --> 02:53.000]  announcement we've even talked about this and i totally believe drudge has sources effect i know he does and drudge doesn't put out dis info when he rarely breaks a big story it's almost always been dead on i remember speculation that hillary would join bloomberg months
[02:53.000 --> 03:10.000]  ago when he first got in or that she'd have a broker convention or they could have impeached trump then pelosi would have been the third in line they got rid of pence as well and that she would then be appointed vp by pelosi they even came out and then floated that
[03:10.000 --> 03:28.000]  a hundred percent that's what bloomberg's doing is spending hundreds of millions of dollars to shoehorn in hillary as his vp and then at some point he steps down she becomes the nominee and massive election fraud is engaged in and she is installed
[03:28.000 --> 03:44.000]  because there is a cult around this one and they've always meant to put her in power and the deep state minions that have been promised all these goodies if she ever just gets in there they are still beavering away believing in the coming of their
[03:44.000 --> 04:09.000]  messiah and believing that it is her right to rule and that she is the madame president that they can jerk victory from the jaws of defeat the big question is what type of death wish does michael bloomberg have to ever have her as his vp just a few heart beats away from the presidency she would absolutely end up killing him
[04:09.000 --> 04:26.000]  but he knows that they know that and so that's why he would only get into office and then step down making her the president this is what they have always believed in so bloomberg does not need to jump off of a cliff he does not
[04:26.000 --> 04:39.000]  need to run headlong towards the grim reaper because that's not his intention he's there to soften up trump with a bunch of propaganda spend a bunch of money to weaken the other candidates and then at the key moment he steps back
[04:39.000 --> 04:59.000]  I'm Alex Jones your host we've got some really important news on the other side trump at the Daytona 500 yes it's absolutely important and I'll explain why in my view it's sunday we're live broadcasting worldwide
[04:59.000 --> 05:17.000]  well it's finally happening the president is coming out and saying the deep state are a bunch of out of control criminals that need to be prosecuted and he has fired over 200 senior bureaucrats in the state department and the justice department in just the last few days
[05:17.000 --> 05:32.000]  and he took the head prosecutor over stone and offered her a job at treasury as soon as she quit that job he then withdrew the nomination and now she's out on her globalist ass this is beautiful it's happening but we need to see a lot more
[05:32.000 --> 05:49.000]  all the neocons need to be fired all the Obama appointees fired all the deep state globalist who have resumes with George Soros fired fired fired fired trump is finally unleashed trump is not the red wave he is the red storm
[05:49.000 --> 06:03.000]  and info wars is the tip of the spear powered by we the people never backing down never giving in and delivering victory in our time we've got it
[06:03.000 --> 06:24.000]  waging war on corruption it's alex jones coming to you live from the front lines of the info war
[06:24.000 --> 06:43.000]  there are 160 plus major nations on the face of this earth and many of those countries are larger geographically and have more resources than the united states and their populations are much greater than the united states
[06:43.000 --> 07:02.000]  by 1955 the united states was 4% of the world's population 96% lived outside the united states the united states had more than half the wealth on earth and the wealth wasn't stolen the wealth was generated
[07:02.000 --> 07:18.000]  something that people that want communism and socialism and who haven't studied history don't understand because america was a free market capitalist nation it was the destination for anyone who wanted to be set free and be successful
[07:18.000 --> 07:32.000]  and as we become incredibly powerful we become decadent our children have become decadent we become decadent their children have become decadent and we're forgetting and losing who we are the point of major polls show more than half of college students identify as communists
[07:32.000 --> 07:49.000]  our socialist and bernie sanders is the main candidate in all polls across the united states and a billionaire oligarch who made almost all his money on fiat digital fraud not real products bloomberg is coming in to the rescue
[07:49.000 --> 08:10.000]  i don't know which one of these people is worse probably bloomberg because he's so inauthentic and such a fraud now contrast that with hollywood and the mainstream media constantly telling you how much america sucks
[08:10.000 --> 08:24.000]  and telling you how much you suck and saying america was never great it will never be great they're doing that because they're globalists that are conquering the nation and vertically integrating the economy showing it up getting rid of the middle
[08:24.000 --> 08:43.000]  and putting us in debt as they devalue the currencies while the very ultra rich that claim they oppose bernie through their endowments teaching the colleges classic communism as again a way to knock out their competition and sabotage the minds of young people everywhere
[08:43.000 --> 08:59.000]  and that's a piece of collectivism now inner trump he's been called a carnival barker by hillary and by bloomberg who now we're hearing are going to be running mates probably
[08:59.000 --> 09:19.000]  it flies in we'll play this in a moment to the Daytona 500 today with a huge flight of the valkyries spectacle than he says starts your engines and f-16 jets fly over it's pageantry it's it's it's booing it's a pep rally for the nation
[09:19.000 --> 09:34.000]  celebrating the great outdoors and powerful engines and men and women risking their lives like modern gladiators racing around that track it's the opposite of the nanny state
