[00:00:01.350 --> 00:00:03.072]  News moves fast here.
[00:00:03.072 --> 00:00:09.657]  We're going to shift gears out of the open borders, the illegal alien invasion controlled by our government, and get back into it.
[00:00:09.657 --> 00:00:17.644]  During the last break, we got multiple calls here at the office saying CNN just announced they're going to release footage of the plane hitting the Pentagon.
[00:00:19.338 --> 00:00:21.781]  And we have calls coming into the network reporting this.
[00:00:21.781 --> 00:00:26.708]  Within one minute we were on CNN recording it, and they had some gold commercial on.
[00:00:26.708 --> 00:00:29.051]  We're recording both channels of CNN right now.
[00:00:29.051 --> 00:00:31.594]  We need you two as well.
[00:00:31.594 --> 00:00:36.561]  Now, again, in none of my films do we cover the Pentagon being hit or not being hit by an aircraft.
[00:00:37.313 --> 00:00:40.215]  The whole thing has looked like a honeypot from the beginning.
[00:00:40.215 --> 00:00:44.839]  I'll say that the evidence of a plane hitting it was very, very suspicious.
[00:00:44.839 --> 00:00:47.962]  But it could be fake footage.
[00:00:47.962 --> 00:00:49.783]  You can put nothing past the government.
[00:00:49.783 --> 00:00:55.027]  The point is, this could have been an ultra-massive setup from the beginning.
[00:00:55.027 --> 00:01:01.252]  The hairs on the back of my neck from the start told me, and my gut has never been wrong, to stay away from it.
[00:01:01.252 --> 00:01:02.654]  That it was a trap.
[00:01:02.654 --> 00:01:04.475]  Let's go to Tom in Arizona.
[00:01:04.475 --> 00:01:05.316]  Tom, what did you see?
[00:01:07.438 --> 00:01:08.099]  Good morning, Alex.
[00:01:08.099 --> 00:01:25.835]  Yes, what I saw was a brief news story on CNN and they said they were going to release, I was just in, and they were going to release the video footage, I believe they said it was from the parking lot of the Pentagon, of the plane hitting the Pentagon.
[00:01:25.835 --> 00:01:32.181]  And one person, one of the news people from the Pentagon, sounded like she was saying she had seen it and it was
[00:01:32.773 --> 00:01:36.036]  It's going to be a little grainy and hard to make out.
[00:01:36.036 --> 00:01:46.044]  So that'll just continue the debate on forever, which they want us to focus on the Pentagon, and then later they'll even bring out an even better video of it, whether it's real or not.
[00:01:46.044 --> 00:01:49.126]  Again, the question is, why did they go to the hotel across the street?
[00:01:49.126 --> 00:01:52.249]  Why did they grab the state highway and federal cameras?
[00:01:52.249 --> 00:01:56.933]  Why did they grab the tapes from hundreds of cameras, the digital recordings?
[00:01:56.933 --> 00:01:59.095]  That is the most surveilled place in the world.
