[00:00.000 --> 00:21.880]  Defending the Republic from enemies foreign and domestic it's Alex Jones and now your
[00:21.880 --> 00:34.000]  host Owen Troyer I'm sorry it's come to this but on March 1st 2019 is today the
[00:34.000 --> 00:49.840]  final Alex Jones show ever well the day has come we've had a long run against the
[00:49.840 --> 00:54.760]  globalist but the enemy at this level has been successful this is the M4's
[00:54.760 --> 01:00.220]  last broadcast the internet kill switch is now being put into place we are
[01:00.220 --> 01:04.640]  witnessing the true mark of the beast scenario unfold but the fact this
[01:04.640 --> 01:08.600]  humanity is awakening and the fact that the globalist can shut down key
[01:08.600 --> 01:13.480]  leaders is not a symbol of their victory it's a symbol of their defeat and so now
[01:13.480 --> 01:18.680]  it's up to you to decide the future course of humanity for myself the
[01:18.680 --> 01:22.880]  M4's crew I salute you and I thank you we'll carry on the fight in the non
[01:22.880 --> 01:26.480]  cyber world I bless
[01:26.480 --> 01:28.480]  I
[01:28.480 --> 01:30.480]  I
[01:30.480 --> 01:32.480]  I
[01:32.480 --> 01:34.480]  I
[01:34.480 --> 01:36.480]  I
[01:36.480 --> 01:38.480]  I
[01:38.480 --> 01:40.480]  I
[01:40.480 --> 02:04.480]  I
[02:10.480 --> 02:13.480]  Is it right now
[02:40.480 --> 02:42.480]  I
[03:10.480 --> 03:12.480]  I
[03:40.480 --> 03:42.480]  I
[04:10.480 --> 04:12.480]  I
[04:12.480 --> 04:14.480]  I
[04:35.000 --> 04:42.440]  All right ladies and gentlemen you just saw a glimpse into a world without info wars now for the radio audience that couldn't walk
[04:42.440 --> 04:44.440]  watch that special
[04:44.440 --> 04:51.520]  censored video that we just aired here you can go to info wars calm and watch it for yourself in its entirety the headline verb
[04:51.520 --> 04:57.200]  Oton Alex Jones final broadcasts Alex Jones joins us on the other side of this break
[04:57.200 --> 05:14.320]  By leaps and by bounds the number one best-selling supplement family in the world is energy drinks and energy supples
[05:14.320 --> 05:23.200]  but they are riddled with dyes and toxins and synthetic caffeine and other chemicals that sure get you a quick boost but burnout in just a few hours
[05:23.200 --> 05:33.200]  and have terrible side effects we have developed hands down from our research the most powerful healthy energy drink pre-workout and beyond system in the world
[05:33.200 --> 05:43.200]  there's nothing else like it you must experience it it is a total game changer and it comes in easy to use packets to mix in the fruges or water whatever you'd like
[05:43.200 --> 05:53.200]  warning though it's very very strong it lasts 10 hours so take a half pack at the first time you take it because turbo force is named turbo force because it will take you into overdrive
[05:53.200 --> 06:01.200]  turbo force and enforce live.com
[06:01.200 --> 06:21.200]  I have a tendency and I don't think it's a bad thing but it is a compulsion instead of just stating my basic theory or idea or population or report
[06:21.200 --> 06:31.200]  I go into historical my new shot and begin to try to build a gestalt that defines the vision that I have
[06:31.200 --> 06:41.200]  but when I tell you this just right up front and quick and dirty if you go down this rabbit trail if you research yourself
[06:41.200 --> 06:57.200]  you'll find what I found a lot more and it will make your head spin it's known that England was the dominant empire in the world for the last 200 years probably 250
[06:57.200 --> 07:13.200]  and they were very threatened by the Austrian-Hungarian Empire that was what we know as Germany and Austria and a few other countries today because the technological development not just of music not just psychology but engineering and chemistry
[07:13.200 --> 07:29.200]  and it was before the British Empire was worried about the American experiment people have freedom and we have a lot of industry as well but the Germans the British had full page ads full page articles was all over their news
[07:29.200 --> 07:45.200]  and the German problems what it was called because they weren't trying to dominate with troops and navies all these countries they were dominating with advanced technology and if you look at Pratt House in 1922 Council on Foreign Relations set up by the
